# q                 I(q)             
  1.00000e-03       9.99438e-01      
  2.12531e-03       9.97462e-01      
  3.25063e-03       9.94071e-01      
  4.37594e-03       9.89278e-01      
  5.50125e-03       9.83099e-01      
  6.62657e-03       9.75557e-01      
  7.75188e-03       9.66679e-01      
  8.87719e-03       9.56498e-01      
  1.00025e-02       9.45049e-01      
  1.11278e-02       9.32374e-01      
  1.22531e-02       9.18518e-01      
  1.33784e-02       9.03529e-01      
  1.45038e-02       8.87461e-01      
  1.56291e-02       8.70369e-01      
  1.67544e-02       8.52312e-01      
  1.78797e-02       8.33352e-01      
  1.90050e-02       8.13555e-01      
  2.01303e-02       7.92987e-01      
  2.12556e-02       7.71715e-01      
  2.23810e-02       7.49812e-01      
  2.35063e-02       7.27347e-01      
  2.46316e-02       7.04393e-01      
  2.57569e-02       6.81023e-01      
  2.68822e-02       6.57310e-01      
  2.80075e-02       6.33327e-01      
  2.91328e-02       6.09145e-01      
  3.02581e-02       5.84837e-01      
  3.13835e-02       5.60472e-01      
  3.25088e-02       5.36120e-01      
  3.36341e-02       5.11847e-01      
  3.47594e-02       4.87720e-01      
  3.58847e-02       4.63801e-01      
  3.70100e-02       4.40150e-01      
  3.81353e-02       4.16825e-01      
  3.92607e-02       3.93881e-01      
  4.03860e-02       3.71370e-01      
  4.15113e-02       3.49340e-01      
  4.26366e-02       3.27837e-01      
  4.37619e-02       3.06901e-01      
  4.48872e-02       2.86571e-01      
  4.60125e-02       2.66881e-01      
  4.71378e-02       2.47860e-01      
  4.82632e-02       2.29537e-01      
  4.93885e-02       2.11932e-01      
  5.05138e-02       1.95066e-01      
  5.16391e-02       1.78953e-01      
  5.27644e-02       1.63605e-01      
  5.38897e-02       1.49030e-01      
  5.50150e-02       1.35231e-01      
  5.61404e-02       1.22210e-01      
  5.72657e-02       1.09963e-01      
  5.83910e-02       9.84858e-02      
  5.95163e-02       8.77686e-02      
  6.06416e-02       7.77999e-02      
  6.17669e-02       6.85652e-02      
  6.28922e-02       6.00476e-02      
  6.40175e-02       5.22277e-02      
  6.51429e-02       4.50843e-02      
  6.62682e-02       3.85938e-02      
  6.73935e-02       3.27314e-02      
  6.85188e-02       2.74705e-02      
  6.96441e-02       2.27832e-02      
  7.07694e-02       1.86407e-02      
  7.18947e-02       1.50132e-02      
  7.30201e-02       1.18703e-02      
  7.41454e-02       9.18115e-03      
  7.52707e-02       6.91467e-03      
  7.63960e-02       5.03969e-03      
  7.75213e-02       3.52514e-03      
  7.86466e-02       2.34028e-03      
  7.97719e-02       1.45482e-03      
  8.08972e-02       8.39064e-04      
  8.20226e-02       4.64104e-04      
  8.31479e-02       3.01898e-04      
