# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  1.74328e+00  2.77059e-01 
  2.12531e-03  1.56302e+00  1.89859e-01 
  3.25063e-03  1.96765e+00  1.53257e-01 
  4.37594e-03  1.57594e+00  1.31772e-01 
  5.50125e-03  1.71050e+00  1.17157e-01 
  6.62657e-03  1.84402e+00  1.06337e-01 
  7.75188e-03  1.76008e+00  9.78688e-02 
  8.87719e-03  1.65314e+00  9.09735e-02 
  1.00025e-02  1.75264e+00  8.51898e-02 
  1.11278e-02  1.55503e+00  8.02251e-02 
  1.22531e-02  1.64739e+00  7.58833e-02 
  1.33784e-02  1.67140e+00  7.20279e-02 
  1.45038e-02  1.60888e+00  6.85605e-02 
  1.56291e-02  1.51724e+00  6.54082e-02 
  1.67544e-02  1.56017e+00  6.25160e-02 
  1.78797e-02  1.33195e+00  5.98411e-02 
  1.90050e-02  1.42983e+00  5.73502e-02 
  2.01303e-02  1.39637e+00  5.50167e-02 
  2.12556e-02  1.33822e+00  5.28191e-02 
  2.23810e-02  1.22014e+00  5.07399e-02 
  2.35063e-02  1.27139e+00  4.87648e-02 
  2.46316e-02  1.21331e+00  4.68819e-02 
  2.57569e-02  1.16995e+00  4.50812e-02 
  2.68822e-02  1.15192e+00  4.33543e-02 
  2.80075e-02  1.10126e+00  4.16943e-02 
  2.91328e-02  1.04873e+00  4.00951e-02 
  3.02581e-02  1.04311e+00  3.85517e-02 
  3.13835e-02  9.51794e-01  3.70595e-02 
  3.25088e-02  9.39271e-01  3.56150e-02 
  3.36341e-02  8.93094e-01  3.42148e-02 
  3.47594e-02  8.73478e-01  3.28562e-02 
  3.58847e-02  8.04059e-01  3.15367e-02 
  3.70100e-02  7.75115e-01  3.02543e-02 
  3.81353e-02  6.86243e-01  2.90071e-02 
  3.92607e-02  6.60926e-01  2.77936e-02 
  4.03860e-02  6.45371e-01  2.66124e-02 
  4.15113e-02  6.08080e-01  2.54623e-02 
  4.26366e-02  5.72467e-01  2.43422e-02 
  4.37619e-02  5.33197e-01  2.32513e-02 
  4.48872e-02  4.77153e-01  2.21888e-02 
  4.60125e-02  4.25050e-01  2.11539e-02 
  4.71378e-02  4.44733e-01  2.01461e-02 
  4.82632e-02  4.02442e-01  1.91648e-02 
  4.93885e-02  3.90156e-01  1.82096e-02 
  5.05138e-02  3.48754e-01  1.72800e-02 
  5.16391e-02  3.09410e-01  1.63758e-02 
  5.27644e-02  2.92938e-01  1.54965e-02 
  5.38897e-02  2.50799e-01  1.46420e-02 
  5.50150e-02  2.19966e-01  1.38120e-02 
  5.61404e-02  1.97999e-01  1.30062e-02 
  5.72657e-02  1.91811e-01  1.22246e-02 
  5.83910e-02  1.70827e-01  1.14668e-02 
  5.95163e-02  1.55115e-01  1.07329e-02 
  6.06416e-02  1.41238e-01  1.00225e-02 
  6.17669e-02  1.17030e-01  9.33580e-03 
  6.28922e-02  1.01690e-01  8.67253e-03 
  6.40175e-02  8.02974e-02  8.03270e-03 
  6.51429e-02  6.72081e-02  7.41628e-03 
  6.62682e-02  6.82595e-02  6.82328e-03 
  6.73935e-02  5.73406e-02  6.25377e-03 
  6.85188e-02  5.10350e-02  5.70787e-03 
  6.96441e-02  3.30676e-02  5.18581e-03 
  7.07694e-02  3.41147e-02  4.68791e-03 
  7.18947e-02  2.64159e-02  4.21470e-03 
  7.30201e-02  2.33413e-02  3.76690e-03 
  7.41454e-02  1.67001e-02  3.34562e-03 
  7.52707e-02  1.51038e-02  2.95245e-03 
  7.63960e-02  1.26400e-02  2.58971e-03 
  7.75213e-02  5.60674e-03  2.26079e-03 
  7.86466e-02  5.93019e-03  1.97049e-03 
  7.97719e-02  2.77960e-03  1.72538e-03 
  8.08972e-02  -1.51159e-04 1.53358e-03 
  8.20226e-02  1.14797e-03  1.40323e-03 
  8.31479e-02  -1.14371e-04 1.33897e-03 
