# r                 p(r)             
  5.77653e-01       6.06325e-04      
  1.73296e+00       3.61285e-03      
  2.88827e+00       9.36285e-03      
  4.04357e+00       1.85129e-02      
  5.19888e+00       2.97343e-02      
  6.35419e+00       4.39406e-02      
  7.50949e+00       5.95588e-02      
  8.66480e+00       7.79388e-02      
  9.82011e+00       9.75902e-02      
  1.09754e+01       1.19470e-01      
  1.21307e+01       1.42291e-01      
  1.32860e+01       1.66596e-01      
  1.44413e+01       1.92334e-01      
  1.55966e+01       2.19225e-01      
  1.67519e+01       2.47920e-01      
  1.79073e+01       2.75014e-01      
  1.90626e+01       3.03533e-01      
  2.02179e+01       3.31702e-01      
  2.13732e+01       3.61817e-01      
  2.25285e+01       3.94394e-01      
  2.36838e+01       4.24256e-01      
  2.48391e+01       4.55538e-01      
  2.59944e+01       4.85136e-01      
  2.71497e+01       5.16051e-01      
  2.83050e+01       5.45351e-01      
  2.94603e+01       5.75606e-01      
  3.06156e+01       6.05504e-01      
  3.17709e+01       6.35212e-01      
  3.29262e+01       6.63571e-01      
  3.40816e+01       6.91829e-01      
  3.52369e+01       7.18007e-01      
  3.63922e+01       7.43565e-01      
  3.75475e+01       7.69221e-01      
  3.87028e+01       7.92580e-01      
  3.98581e+01       8.16112e-01      
  4.10134e+01       8.39111e-01      
  4.21687e+01       8.60654e-01      
  4.33240e+01       8.80654e-01      
  4.44793e+01       8.99138e-01      
  4.56346e+01       9.16195e-01      
  4.67899e+01       9.30887e-01      
  4.79452e+01       9.44762e-01      
  4.91005e+01       9.57930e-01      
  5.02558e+01       9.68536e-01      
  5.14112e+01       9.78584e-01      
  5.25665e+01       9.85585e-01      
  5.37218e+01       9.91060e-01      
  5.48771e+01       9.96523e-01      
  5.60324e+01       9.98929e-01      
  5.71877e+01       1.00000e+00      
  5.83430e+01       9.98635e-01      
  5.94983e+01       9.94714e-01      
  6.06536e+01       9.88531e-01      
  6.18089e+01       9.81551e-01      
  6.29642e+01       9.72999e-01      
  6.41195e+01       9.61257e-01      
  6.52748e+01       9.48464e-01      
  6.64301e+01       9.33055e-01      
  6.75854e+01       9.15340e-01      
  6.87408e+01       8.96517e-01      
  6.98961e+01       8.75572e-01      
  7.10514e+01       8.53598e-01      
  7.22067e+01       8.28255e-01      
  7.33620e+01       8.02142e-01      
  7.45173e+01       7.74370e-01      
  7.56726e+01       7.45455e-01      
  7.68279e+01       7.14997e-01      
  7.79832e+01       6.83228e-01      
  7.91385e+01       6.49712e-01      
  8.02938e+01       6.14764e-01      
  8.14491e+01       5.78814e-01      
  8.26044e+01       5.41388e-01      
  8.37597e+01       5.02842e-01      
  8.49151e+01       4.63604e-01      
  8.60704e+01       4.23571e-01      
  8.72257e+01       3.83575e-01      
  8.83810e+01       3.44075e-01      
  8.95363e+01       3.05179e-01      
  9.06916e+01       2.67223e-01      
  9.18469e+01       2.30885e-01      
  9.30022e+01       1.95831e-01      
  9.41575e+01       1.62818e-01      
  9.53128e+01       1.32288e-01      
  9.64681e+01       1.04070e-01      
  9.76234e+01       7.92025e-02      
  9.87787e+01       5.76332e-02      
  9.99340e+01       3.93550e-02      
  1.01089e+02       2.50260e-02      
  1.02245e+02       1.42723e-02      
  1.03400e+02       7.15543e-03      
  1.04555e+02       3.07689e-03      
  1.05711e+02       1.09736e-03      
  1.06866e+02       3.23595e-04      
  1.08021e+02       7.11344e-05      
  1.09176e+02       9.48376e-06      
  1.10332e+02       2.18835e-07      
  1.11487e+02       0.00000e+00      
  1.12642e+02       0.00000e+00      
  1.13798e+02       0.00000e+00      
  1.14953e+02       0.00000e+00      
