# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  8.25602e+02  6.05833e+00 
  2.12531e-03  8.22419e+02  4.15397e+00 
  3.25063e-03  8.24155e+02  3.35648e+00 
  4.37594e-03  8.20312e+02  2.88999e+00 
  5.50125e-03  8.16917e+02  2.57416e+00 
  6.62657e-03  8.14925e+02  2.34169e+00 
  7.75188e-03  8.14138e+02  2.16096e+00 
  8.87719e-03  8.06855e+02  2.01493e+00 
  1.00025e-02  8.07217e+02  1.89349e+00 
  1.11278e-02  7.93897e+02  1.79020e+00 
  1.22531e-02  7.93052e+02  1.70075e+00 
  1.33784e-02  7.88426e+02  1.62214e+00 
  1.45038e-02  7.81174e+02  1.55221e+00 
  1.56291e-02  7.75551e+02  1.48932e+00 
  1.67544e-02  7.72205e+02  1.43227e+00 
  1.78797e-02  7.64034e+02  1.38010e+00 
  1.90050e-02  7.53967e+02  1.33207e+00 
  2.01303e-02  7.48760e+02  1.28757e+00 
  2.12556e-02  7.39469e+02  1.24613e+00 
  2.23810e-02  7.30164e+02  1.20734e+00 
  2.35063e-02  7.24113e+02  1.17087e+00 
  2.46316e-02  7.11735e+02  1.13645e+00 
  2.57569e-02  7.00745e+02  1.10385e+00 
  2.68822e-02  6.91825e+02  1.07288e+00 
  2.80075e-02  6.83051e+02  1.04335e+00 
  2.91328e-02  6.72503e+02  1.01513e+00 
  3.02581e-02  6.61572e+02  9.88091e-01 
  3.13835e-02  6.50618e+02  9.62128e-01 
  3.25088e-02  6.39733e+02  9.37143e-01 
  3.36341e-02  6.29777e+02  9.13053e-01 
  3.47594e-02  6.16787e+02  8.89786e-01 
  3.58847e-02  6.04615e+02  8.67276e-01 
  3.70100e-02  5.93283e+02  8.45466e-01 
  3.81353e-02  5.79106e+02  8.24305e-01 
  3.92607e-02  5.67628e+02  8.03747e-01 
  4.03860e-02  5.55646e+02  7.83752e-01 
  4.15113e-02  5.42415e+02  7.64284e-01 
  4.26366e-02  5.29956e+02  7.45310e-01 
  4.37619e-02  5.17178e+02  7.26800e-01 
  4.48872e-02  5.04699e+02  7.08728e-01 
  4.60125e-02  4.91996e+02  6.91071e-01 
  4.71378e-02  4.78798e+02  6.73805e-01 
  4.82632e-02  4.66103e+02  6.56913e-01 
  4.93885e-02  4.51837e+02  6.40376e-01 
  5.05138e-02  4.39162e+02  6.24177e-01 
  5.16391e-02  4.27632e+02  6.08304e-01 
  5.27644e-02  4.14222e+02  5.92741e-01 
  5.38897e-02  4.01515e+02  5.77477e-01 
  5.50150e-02  3.88249e+02  5.62502e-01 
  5.61404e-02  3.76820e+02  5.47804e-01 
  5.72657e-02  3.63999e+02  5.33375e-01 
  5.83910e-02  3.50454e+02  5.19206e-01 
  5.95163e-02  3.39219e+02  5.05290e-01 
  6.06416e-02  3.27453e+02  4.91620e-01 
  6.17669e-02  3.15207e+02  4.78190e-01 
  6.28922e-02  3.02605e+02  4.64992e-01 
  6.40175e-02  2.90206e+02  4.52023e-01 
  6.51429e-02  2.79918e+02  4.39278e-01 
  6.62682e-02  2.69275e+02  4.26751e-01 
  6.73935e-02  2.57647e+02  4.14439e-01 
  6.85188e-02  2.46458e+02  4.02339e-01 
  6.96441e-02  2.34840e+02  3.90446e-01 
  7.07694e-02  2.25944e+02  3.78757e-01 
  7.18947e-02  2.14946e+02  3.67270e-01 
  7.30201e-02  2.05402e+02  3.55982e-01 
  7.41454e-02  1.96276e+02  3.44891e-01 
  7.52707e-02  1.85622e+02  3.33995e-01 
  7.63960e-02  1.75932e+02  3.23291e-01 
  7.75213e-02  1.68021e+02  3.12777e-01 
  7.86466e-02  1.58770e+02  3.02453e-01 
  7.97719e-02  1.50355e+02  2.92316e-01 
  8.08972e-02  1.41913e+02  2.82365e-01 
  8.20226e-02  1.34072e+02  2.72599e-01 
  8.31479e-02  1.26991e+02  2.63016e-01 
  8.42732e-02  1.19000e+02  2.53616e-01 
  8.53985e-02  1.11382e+02  2.44398e-01 
  8.65238e-02  1.05031e+02  2.35360e-01 
  8.76491e-02  9.81548e+01  2.26502e-01 
  8.87744e-02  9.24190e+01  2.17823e-01 
  8.98997e-02  8.59133e+01  2.09323e-01 
  9.10251e-02  7.95727e+01  2.01001e-01 
  9.21504e-02  7.42821e+01  1.92857e-01 
  9.32757e-02  6.89987e+01  1.84890e-01 
  9.44010e-02  6.40779e+01  1.77100e-01 
  9.55263e-02  5.87708e+01  1.69486e-01 
  9.66516e-02  5.43643e+01  1.62050e-01 
  9.77769e-02  4.99058e+01  1.54790e-01 
  9.89023e-02  4.55684e+01  1.47706e-01 
  1.00028e-01  4.18965e+01  1.40800e-01 
  1.01153e-01  3.80820e+01  1.34071e-01 
  1.02278e-01  3.44141e+01  1.27520e-01 
  1.03404e-01  3.12399e+01  1.21147e-01 
  1.04529e-01  2.83212e+01  1.14955e-01 
  1.05654e-01  2.54841e+01  1.08943e-01 
  1.06779e-01  2.26701e+01  1.03113e-01 
  1.07905e-01  2.00587e+01  9.74685e-02 
  1.09030e-01  1.80553e+01  9.20102e-02 
  1.10155e-01  1.57567e+01  8.67416e-02 
  1.11281e-01  1.37646e+01  8.16659e-02 
  1.12406e-01  1.19882e+01  7.67875e-02 
  1.13531e-01  1.04852e+01  7.21111e-02 
  1.14657e-01  8.91763e+00  6.76429e-02 
  1.15782e-01  7.60982e+00  6.33896e-02 
  1.16907e-01  6.27538e+00  5.93597e-02 
  1.18033e-01  5.36966e+00  5.55628e-02 
  1.19158e-01  4.29654e+00  5.20098e-02 
