# Structure factor, S(q), used in: I(q) = P(q)*S(q)
# Default: S(q) = 1.0
# q                 S(q)             
  1.00000e-03      1.00000e+00      
  2.12531e-03      1.00000e+00      
  3.25063e-03      1.00000e+00      
  4.37594e-03      1.00000e+00      
  5.50125e-03      1.00000e+00      
  6.62657e-03      1.00000e+00      
  7.75188e-03      1.00000e+00      
  8.87719e-03      1.00000e+00      
  1.00025e-02      1.00000e+00      
  1.11278e-02      1.00000e+00      
  1.22531e-02      1.00000e+00      
  1.33784e-02      1.00000e+00      
  1.45038e-02      1.00000e+00      
  1.56291e-02      1.00000e+00      
  1.67544e-02      1.00000e+00      
  1.78797e-02      1.00000e+00      
  1.90050e-02      1.00000e+00      
  2.01303e-02      1.00000e+00      
  2.12556e-02      1.00000e+00      
  2.23810e-02      1.00000e+00      
  2.35063e-02      1.00000e+00      
  2.46316e-02      1.00000e+00      
  2.57569e-02      1.00000e+00      
  2.68822e-02      1.00000e+00      
  2.80075e-02      1.00000e+00      
  2.91328e-02      1.00000e+00      
  3.02581e-02      1.00000e+00      
  3.13835e-02      1.00000e+00      
  3.25088e-02      1.00000e+00      
  3.36341e-02      1.00000e+00      
  3.47594e-02      1.00000e+00      
  3.58847e-02      1.00000e+00      
  3.70100e-02      1.00000e+00      
  3.81353e-02      1.00000e+00      
  3.92607e-02      1.00000e+00      
  4.03860e-02      1.00000e+00      
  4.15113e-02      1.00000e+00      
  4.26366e-02      1.00000e+00      
  4.37619e-02      1.00000e+00      
  4.48872e-02      1.00000e+00      
  4.60125e-02      1.00000e+00      
  4.71378e-02      1.00000e+00      
  4.82632e-02      1.00000e+00      
  4.93885e-02      1.00000e+00      
  5.05138e-02      1.00000e+00      
  5.16391e-02      1.00000e+00      
  5.27644e-02      1.00000e+00      
  5.38897e-02      1.00000e+00      
  5.50150e-02      1.00000e+00      
  5.61404e-02      1.00000e+00      
  5.72657e-02      1.00000e+00      
  5.83910e-02      1.00000e+00      
  5.95163e-02      1.00000e+00      
  6.06416e-02      1.00000e+00      
  6.17669e-02      1.00000e+00      
  6.28922e-02      1.00000e+00      
  6.40175e-02      1.00000e+00      
  6.51429e-02      1.00000e+00      
  6.62682e-02      1.00000e+00      
  6.73935e-02      1.00000e+00      
  6.85188e-02      1.00000e+00      
  6.96441e-02      1.00000e+00      
  7.07694e-02      1.00000e+00      
  7.18947e-02      1.00000e+00      
  7.30201e-02      1.00000e+00      
  7.41454e-02      1.00000e+00      
  7.52707e-02      1.00000e+00      
  7.63960e-02      1.00000e+00      
  7.75213e-02      1.00000e+00      
  7.86466e-02      1.00000e+00      
  7.97719e-02      1.00000e+00      
  8.08972e-02      1.00000e+00      
  8.20226e-02      1.00000e+00      
  8.31479e-02      1.00000e+00      
  8.42732e-02      1.00000e+00      
  8.53985e-02      1.00000e+00      
  8.65238e-02      1.00000e+00      
  8.76491e-02      1.00000e+00      
  8.87744e-02      1.00000e+00      
  8.98997e-02      1.00000e+00      
  9.10251e-02      1.00000e+00      
  9.21504e-02      1.00000e+00      
  9.32757e-02      1.00000e+00      
  9.44010e-02      1.00000e+00      
  9.55263e-02      1.00000e+00      
  9.66516e-02      1.00000e+00      
  9.77769e-02      1.00000e+00      
  9.89023e-02      1.00000e+00      
  1.00028e-01      1.00000e+00      
  1.01153e-01      1.00000e+00      
  1.02278e-01      1.00000e+00      
  1.03404e-01      1.00000e+00      
  1.04529e-01      1.00000e+00      
  1.05654e-01      1.00000e+00      
  1.06779e-01      1.00000e+00      
  1.07905e-01      1.00000e+00      
  1.09030e-01      1.00000e+00      
  1.10155e-01      1.00000e+00      
  1.11281e-01      1.00000e+00      
  1.12406e-01      1.00000e+00      
  1.13531e-01      1.00000e+00      
  1.14657e-01      1.00000e+00      
  1.15782e-01      1.00000e+00      
  1.16907e-01      1.00000e+00      
  1.18033e-01      1.00000e+00      
  1.19158e-01      1.00000e+00      
  1.20283e-01      1.00000e+00      
  1.21409e-01      1.00000e+00      
  1.22534e-01      1.00000e+00      
  1.23659e-01      1.00000e+00      
  1.24784e-01      1.00000e+00      
  1.25910e-01      1.00000e+00      
  1.27035e-01      1.00000e+00      
  1.28160e-01      1.00000e+00      
  1.29286e-01      1.00000e+00      
  1.30411e-01      1.00000e+00      
