# q                 I(q)             
  1.00000e-03       9.99402e-01      
  2.25063e-03       9.96976e-01      
  3.50125e-03       9.92696e-01      
  4.75188e-03       9.86581e-01      
  6.00251e-03       9.78660e-01      
  7.25313e-03       9.68970e-01      
  8.50376e-03       9.57556e-01      
  9.75439e-03       9.44472e-01      
  1.10050e-02       9.29778e-01      
  1.22556e-02       9.13540e-01      
  1.35063e-02       8.95835e-01      
  1.47569e-02       8.76741e-01      
  1.60075e-02       8.56344e-01      
  1.72581e-02       8.34737e-01      
  1.85088e-02       8.12013e-01      
  1.97594e-02       7.88273e-01      
  2.10100e-02       7.63619e-01      
  2.22607e-02       7.38156e-01      
  2.35113e-02       7.11992e-01      
  2.47619e-02       6.85235e-01      
  2.60125e-02       6.57995e-01      
  2.72632e-02       6.30380e-01      
  2.85138e-02       6.02499e-01      
  2.97644e-02       5.74459e-01      
  3.10150e-02       5.46367e-01      
  3.22657e-02       5.18325e-01      
  3.35163e-02       4.90433e-01      
  3.47669e-02       4.62789e-01      
  3.60175e-02       4.35485e-01      
  3.72682e-02       4.08609e-01      
  3.85188e-02       3.82245e-01      
  3.97694e-02       3.56472e-01      
  4.10201e-02       3.31363e-01      
  4.22707e-02       3.06984e-01      
  4.35213e-02       2.83398e-01      
  4.47719e-02       2.60660e-01      
  4.60226e-02       2.38818e-01      
  4.72732e-02       2.17915e-01      
  4.85238e-02       1.97988e-01      
  4.97744e-02       1.79066e-01      
  5.10251e-02       1.61173e-01      
  5.22757e-02       1.44326e-01      
  5.35263e-02       1.28537e-01      
  5.47769e-02       1.13811e-01      
  5.60276e-02       1.00147e-01      
  5.72782e-02       8.75404e-02      
  5.85288e-02       7.59792e-02      
  5.97794e-02       6.54477e-02      
  6.10301e-02       5.59255e-02      
  6.22807e-02       4.73878e-02      
  6.35313e-02       3.98057e-02      
  6.47820e-02       3.31472e-02      
  6.60326e-02       2.73766e-02      
  6.72832e-02       2.24559e-02      
  6.85338e-02       1.83443e-02      
  6.97845e-02       1.49992e-02      
  7.10351e-02       1.23761e-02      
  7.22857e-02       1.04294e-02      
  7.35363e-02       9.11257e-03      
  7.47870e-02       8.37833e-03      
  7.60376e-02       8.17926e-03      
  7.72882e-02       8.46797e-03      
  7.85388e-02       9.19744e-03      
  7.97895e-02       1.03213e-02      
  8.10401e-02       1.17940e-02      
  8.22907e-02       1.35713e-02      
  8.35414e-02       1.56101e-02      
  8.47920e-02       1.78690e-02      
  8.60426e-02       2.03083e-02      
  8.72932e-02       2.28902e-02      
  8.85439e-02       2.55787e-02      
  8.97945e-02       2.83401e-02      
  9.10451e-02       3.11427e-02      
  9.22957e-02       3.39573e-02      
  9.35464e-02       3.67565e-02      
  9.47970e-02       3.95157e-02      
  9.60476e-02       4.22121e-02      
  9.72982e-02       4.48255e-02      
  9.85489e-02       4.73378e-02      
  9.97995e-02       4.97330e-02      
  1.01050e-01       5.19973e-02      
  1.02301e-01       5.41188e-02      
  1.03551e-01       5.60878e-02      
  1.04802e-01       5.78962e-02      
  1.06053e-01       5.95379e-02      
  1.07303e-01       6.10083e-02      
  1.08554e-01       6.23043e-02      
  1.09805e-01       6.34244e-02      
  1.11055e-01       6.43684e-02      
  1.12306e-01       6.51371e-02      
  1.13556e-01       6.57327e-02      
  1.14807e-01       6.61582e-02      
  1.16058e-01       6.64176e-02      
  1.17308e-01       6.65155e-02      
  1.18559e-01       6.64575e-02      
  1.19810e-01       6.62493e-02      
  1.21060e-01       6.58977e-02      
  1.22311e-01       6.54093e-02      
