# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  3.61035e-01  1.25457e-02 
  2.25063e-03  3.57708e-01  8.35248e-03 
  3.50125e-03  3.43500e-01  6.68223e-03 
  4.75188e-03  3.50562e-01  5.71819e-03 
  6.00251e-03  3.49030e-01  5.06728e-03 
  7.25313e-03  3.49994e-01  4.58689e-03 
  8.50376e-03  3.45943e-01  4.21117e-03 
  9.75439e-03  3.33809e-01  3.90500e-03 
  1.10050e-02  3.29179e-01  3.64772e-03 
  1.22556e-02  3.22719e-01  3.42629e-03 
  1.35063e-02  3.17850e-01  3.23203e-03 
  1.47569e-02  3.04935e-01  3.05892e-03 
  1.60075e-02  3.04089e-01  2.90264e-03 
  1.72581e-02  2.99846e-01  2.76000e-03 
  1.85088e-02  2.88209e-01  2.62861e-03 
  1.97594e-02  2.77846e-01  2.50661e-03 
  2.10100e-02  2.71613e-01  2.39255e-03 
  2.22607e-02  2.63975e-01  2.28530e-03 
  2.35113e-02  2.52352e-01  2.18393e-03 
  2.47619e-02  2.44856e-01  2.08771e-03 
  2.60125e-02  2.31641e-01  1.99602e-03 
  2.72632e-02  2.20842e-01  1.90836e-03 
  2.85138e-02  2.15341e-01  1.82431e-03 
  2.97644e-02  2.04083e-01  1.74354e-03 
  3.10150e-02  1.91214e-01  1.66576e-03 
  3.22657e-02  1.84195e-01  1.59071e-03 
  3.35163e-02  1.73399e-01  1.51819e-03 
  3.47669e-02  1.64128e-01  1.44803e-03 
  3.60175e-02  1.53970e-01  1.38007e-03 
  3.72682e-02  1.45957e-01  1.31421e-03 
  3.85188e-02  1.33822e-01  1.25031e-03 
  3.97694e-02  1.25179e-01  1.18831e-03 
  4.10201e-02  1.16931e-01  1.12812e-03 
  4.22707e-02  1.07647e-01  1.06966e-03 
  4.35213e-02  1.01511e-01  1.01290e-03 
  4.47719e-02  9.30184e-02  9.57777e-04 
  4.60226e-02  8.36329e-02  9.04256e-04 
  4.72732e-02  7.70743e-02  8.52304e-04 
  4.85238e-02  7.18445e-02  8.01894e-04 
  4.97744e-02  6.29663e-02  7.53006e-04 
  5.10251e-02  5.80434e-02  7.05623e-04 
  5.22757e-02  5.01872e-02  6.59733e-04 
  5.35263e-02  4.53847e-02  6.15329e-04 
  5.47769e-02  3.88393e-02  5.72410e-04 
  5.60276e-02  3.53750e-02  5.30979e-04 
  5.72782e-02  3.11748e-02  4.91045e-04 
  5.85288e-02  2.78572e-02  4.52625e-04 
  5.97794e-02  2.25968e-02  4.15744e-04 
  6.10301e-02  1.90618e-02  3.80439e-04 
  6.22807e-02  1.70583e-02  3.46759e-04 
  6.35313e-02  1.41038e-02  3.14774e-04 
  6.47820e-02  1.18299e-02  2.84579e-04 
  6.60326e-02  1.00430e-02  2.56303e-04 
  6.72832e-02  8.29318e-03  2.30118e-04 
  6.85338e-02  6.73322e-03  2.06255e-04 
  6.97845e-02  5.26467e-03  1.85016e-04 
  7.10351e-02  4.53534e-03  1.66774e-04 
  7.22857e-02  3.61050e-03  1.51960e-04 
  7.35363e-02  3.37859e-03  1.40995e-04 
  7.47870e-02  3.00564e-03  1.34168e-04 
  7.60376e-02  2.74272e-03  1.31502e-04 
  7.72882e-02  3.14559e-03  1.32670e-04 
  7.85388e-02  3.34269e-03  1.37053e-04 
  7.97895e-02  3.44400e-03  1.43899e-04 
  8.10401e-02  4.34729e-03  1.52476e-04 
  8.22907e-02  4.93453e-03  1.62161e-04 
  8.35414e-02  5.13183e-03  1.72469e-04 
  8.47920e-02  6.16426e-03  1.83034e-04 
  8.60426e-02  7.16008e-03  1.93594e-04 
  8.72932e-02  8.03463e-03  2.03958e-04 
