# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  4.75188e-03  1.61646e+01  3.89069e-02 
  6.00251e-03  1.07040e+01  2.80977e-02 
  7.25313e-03  7.51136e+00  2.14505e-02 
  8.50376e-03  5.55507e+00  1.70438e-02 
  9.75439e-03  4.27762e+00  1.39541e-02 
  1.10050e-02  3.38715e+00  1.16925e-02 
  1.22556e-02  2.76003e+00  9.97971e-03 
  1.35063e-02  2.27112e+00  8.64632e-03 
  1.47569e-02  1.90638e+00  7.58440e-03 
  1.60075e-02  1.62775e+00  6.72236e-03 
  1.72581e-02  1.39955e+00  6.01110e-03 
  1.85088e-02  1.21689e+00  5.41592e-03 
  1.97594e-02  1.06792e+00  4.91176e-03 
  2.10100e-02  9.48034e-01  4.48005e-03 
  2.22607e-02  8.41053e-01  4.10683e-03 
  2.35113e-02  7.49138e-01  3.78140e-03 
  2.47619e-02  6.73019e-01  3.49545e-03 
  2.60125e-02  6.11136e-01  3.24243e-03 
  2.72632e-02  5.60295e-01  3.01713e-03 
  2.85138e-02  5.07655e-01  2.81537e-03 
  2.97644e-02  4.63776e-01  2.63372e-03 
  3.10150e-02  4.27342e-01  2.46939e-03 
  3.22657e-02  3.87426e-01  2.32008e-03 
  3.35163e-02  3.60455e-01  2.18385e-03 
  3.47669e-02  3.27809e-01  2.05910e-03 
  3.60175e-02  3.04308e-01  1.94447e-03 
  3.72682e-02  2.80988e-01  1.83879e-03 
  3.85188e-02  2.60153e-01  1.74110e-03 
  3.97694e-02  2.41772e-01  1.65053e-03 
  4.10201e-02  2.26651e-01  1.56636e-03 
  4.22707e-02  2.10072e-01  1.48797e-03 
  4.35213e-02  1.93389e-01  1.41480e-03 
  4.47719e-02  1.81725e-01  1.34637e-03 
  4.60226e-02  1.68947e-01  1.28225e-03 
  4.72732e-02  1.57588e-01  1.22209e-03 
  4.85238e-02  1.46313e-01  1.16555e-03 
  4.97744e-02  1.36064e-01  1.11234e-03 
  5.10251e-02  1.30863e-01  1.06221e-03 
  5.22757e-02  1.19370e-01  1.01491e-03 
  5.35263e-02  1.11893e-01  9.70236e-04 
  5.47769e-02  1.04779e-01  9.28009e-04 
  5.60276e-02  9.74800e-02  8.88055e-04 
  5.72782e-02  9.07957e-02  8.50222e-04 
  5.85288e-02  8.55464e-02  8.14369e-04 
  5.97794e-02  8.06637e-02  7.80370e-04 
  6.10301e-02  7.56462e-02  7.48108e-04 
  6.22807e-02  7.07491e-02  7.17477e-04 
  6.35313e-02  6.61377e-02  6.88378e-04 
  6.47820e-02  6.28626e-02  6.60723e-04 
  6.60326e-02  5.72057e-02  6.34427e-04 
  6.72832e-02  5.35760e-02  6.09413e-04 
  6.85338e-02  5.11329e-02  5.85611e-04 
  6.97845e-02  4.86899e-02  5.62953e-04 
  7.10351e-02  4.46823e-02  5.41378e-04 
  7.22857e-02  4.22574e-02  5.20830e-04 
  7.35363e-02  4.08642e-02  5.01253e-04 
  7.47870e-02  3.79293e-02  4.82597e-04 
  7.60376e-02  3.57493e-02  4.64816e-04 
  7.72882e-02  3.31977e-02  4.47866e-04 
  7.85388e-02  3.13045e-02  4.31705e-04 
  7.97895e-02  2.89117e-02  4.16294e-04 
  8.10401e-02  2.77623e-02  4.01596e-04 
  8.22907e-02  2.57530e-02  3.87576e-04 
  8.35414e-02  2.44398e-02  3.74203e-04 
  8.47920e-02  2.31259e-02  3.61445e-04 
  8.60426e-02  2.18104e-02  3.49272e-04 
  8.72932e-02  2.07047e-02  3.37658e-04 
  8.85439e-02  2.00618e-02  3.26576e-04 
  8.97945e-02  1.82988e-02  3.16000e-04 
  9.10451e-02  1.72552e-02  3.05907e-04 
  9.22957e-02  1.63204e-02  2.96276e-04 
  9.35464e-02  1.55542e-02  2.87083e-04 
  9.47970e-02  1.49314e-02  2.78308e-04 
  9.60476e-02  1.42562e-02  2.69933e-04 
  9.72982e-02  1.35112e-02  2.61937e-04 
  9.85489e-02  1.28250e-02  2.54304e-04 
  9.97995e-02  1.20793e-02  2.47016e-04 
  1.01050e-01  1.12421e-02  2.40057e-04 
  1.02301e-01  1.05153e-02  2.33411e-04 
  1.03551e-01  1.02731e-02  2.27064e-04 
  1.04802e-01  1.00394e-02  2.21000e-04 
  1.06053e-01  9.08550e-03  2.15206e-04 
  1.07303e-01  8.91823e-03  2.09670e-04 
  1.08554e-01  8.49366e-03  2.04378e-04 
  1.09805e-01  8.20485e-03  1.99318e-04 
  1.11055e-01  7.72924e-03  1.94479e-04 
  1.12306e-01  7.51808e-03  1.89850e-04 
  1.13556e-01  7.20897e-03  1.85420e-04 
  1.14807e-01  6.76420e-03  1.81179e-04 
  1.16058e-01  6.60466e-03  1.77118e-04 
  1.17308e-01  6.36005e-03  1.73227e-04 
  1.18559e-01  5.68281e-03  1.69499e-04 
  1.19810e-01  5.94304e-03  1.65924e-04 
  1.21060e-01  5.65469e-03  1.62494e-04 
  1.22311e-01  5.34127e-03  1.59202e-04 
  1.23561e-01  5.24775e-03  1.56042e-04 
  1.24812e-01  4.83283e-03  1.53005e-04 
  1.26063e-01  4.85078e-03  1.50086e-04 
  1.27313e-01  4.53307e-03  1.47279e-04 
  1.28564e-01  4.16431e-03  1.44578e-04 
  1.29815e-01  4.28508e-03  1.41977e-04 
  1.31065e-01  3.95410e-03  1.39472e-04 
  1.32316e-01  3.65299e-03  1.37057e-04 
  1.33566e-01  3.89600e-03  1.34728e-04 
  1.34817e-01  3.76622e-03  1.32480e-04 
  1.36068e-01  3.51448e-03  1.30310e-04 
  1.37318e-01  3.53241e-03  1.28214e-04 
  1.38569e-01  3.21263e-03  1.26188e-04 
  1.39820e-01  3.27884e-03  1.24229e-04 
  1.41070e-01  3.12634e-03  1.22334e-04 
  1.42321e-01  2.93431e-03  1.20499e-04 
  1.43571e-01  2.80165e-03  1.18721e-04 
  1.44822e-01  2.72913e-03  1.16999e-04 
  1.46073e-01  2.89714e-03  1.15330e-04 
  1.47323e-01  2.78957e-03  1.13711e-04 
  1.48574e-01  2.49878e-03  1.12140e-04 
  1.49825e-01  2.36489e-03  1.10615e-04 
  1.51075e-01  2.25074e-03  1.09135e-04 
  1.52326e-01  2.27280e-03  1.07697e-04 
  1.53576e-01  2.15950e-03  1.06299e-04 
  1.54827e-01  2.20065e-03  1.04941e-04 
  1.56078e-01  2.30116e-03  1.03620e-04 
  1.57328e-01  2.01949e-03  1.02336e-04 
  1.58579e-01  2.05036e-03  1.01086e-04 
  1.59830e-01  1.86541e-03  9.98698e-05 
  1.61080e-01  1.85639e-03  9.86859e-05 
  1.62331e-01  2.02800e-03  9.75332e-05 
  1.63581e-01  1.98741e-03  9.64106e-05 
  1.64832e-01  1.56088e-03  9.53171e-05 
  1.66083e-01  1.62894e-03  9.42516e-05 
  1.67333e-01  1.62821e-03  9.32134e-05 
  1.68584e-01  1.75888e-03  9.22016e-05 
  1.69835e-01  1.67984e-03  9.12152e-05 
  1.71085e-01  1.64843e-03  9.02534e-05 
  1.72336e-01  1.57673e-03  8.93157e-05 
  1.73586e-01  1.45279e-03  8.84011e-05 
  1.74837e-01  1.61325e-03  8.75090e-05 
  1.76088e-01  1.38529e-03  8.66387e-05 
  1.77338e-01  1.35146e-03  8.57896e-05 
  1.78589e-01  1.17407e-03  8.49612e-05 
  1.79840e-01  1.23842e-03  8.41526e-05 
  1.81090e-01  1.21569e-03  8.33635e-05 
  1.82341e-01  1.13027e-03  8.25933e-05 
  1.83591e-01  1.06069e-03  8.18413e-05 
  1.84842e-01  1.13604e-03  8.11072e-05 
  1.86093e-01  1.04718e-03  8.03904e-05 
  1.87343e-01  1.17956e-03  7.96905e-05 
  1.88594e-01  7.91418e-04  7.90069e-05 
  1.89845e-01  9.75728e-04  7.83392e-05 
  1.91095e-01  9.58660e-04  7.76870e-05 
  1.92346e-01  1.03242e-03  7.70499e-05 
  1.93596e-01  1.22470e-03  7.64274e-05 
  1.94847e-01  9.88033e-04  7.58192e-05 
  1.96098e-01  8.77374e-04  7.52248e-05 
  1.97348e-01  7.97257e-04  7.46439e-05 
  1.98599e-01  9.89808e-04  7.40761e-05 
  1.99850e-01  7.92399e-04  7.35211e-05 
  2.01100e-01  6.68763e-04  7.29786e-05 
  2.02351e-01  7.55414e-04  7.24481e-05 
  2.03602e-01  6.43739e-04  7.19293e-05 
  2.04852e-01  7.57508e-04  7.14221e-05 
  2.06103e-01  6.84458e-04  7.09260e-05 
  2.07353e-01  6.48180e-04  7.04407e-05 
  2.08604e-01  7.55301e-04  6.99660e-05 
  2.09855e-01  4.93976e-04  6.95015e-05 
  2.11105e-01  6.46605e-04  6.90471e-05 
  2.12356e-01  6.86926e-04  6.86025e-05 
  2.13607e-01  5.86596e-04  6.81673e-05 
  2.14857e-01  5.65114e-04  6.77414e-05 
  2.16108e-01  5.34489e-04  6.73244e-05 
  2.17358e-01  6.33467e-04  6.69163e-05 
  2.18609e-01  4.46285e-04  6.65166e-05 
  2.19860e-01  6.16473e-04  6.61253e-05 
  2.21110e-01  4.41966e-04  6.57421e-05 
  2.22361e-01  5.32394e-04  6.53668e-05 
  2.23612e-01  5.15055e-04  6.49991e-05 
  2.24862e-01  4.65415e-04  6.46389e-05 
  2.26113e-01  5.13887e-04  6.42860e-05 
  2.27363e-01  4.67736e-04  6.39401e-05 
  2.28614e-01  4.09016e-04  6.36011e-05 
  2.29865e-01  3.66802e-04  6.32689e-05 
  2.31115e-01  4.14811e-04  6.29431e-05 
  2.32366e-01  3.36876e-04  6.26237e-05 
  2.33617e-01  4.57280e-04  6.23105e-05 
  2.34867e-01  4.02658e-04  6.20033e-05 
  2.36118e-01  3.61642e-04  6.17019e-05 
  2.37368e-01  3.78949e-04  6.14062e-05 
  2.38619e-01  4.14300e-04  6.11160e-05 
  2.39870e-01  3.73225e-04  6.08312e-05 
  2.41120e-01  4.49922e-04  6.05516e-05 
  2.42371e-01  3.51652e-04  6.02771e-05 
  2.43622e-01  3.33489e-04  6.00075e-05 
  2.44872e-01  3.18418e-04  5.97427e-05 
  2.46123e-01  3.91012e-04  5.94825e-05 
  2.47373e-01  3.71905e-04  5.92269e-05 
  2.48624e-01  2.79104e-04  5.89757e-05 
  2.49875e-01  3.31169e-04  5.87288e-05 
  2.51125e-01  2.18056e-04  5.84860e-05 
  2.52376e-01  2.94005e-04  5.82472e-05 
  2.53627e-01  3.05804e-04  5.80124e-05 
  2.54877e-01  2.69598e-04  5.77815e-05 
  2.56128e-01  2.09122e-04  5.75542e-05 
  2.57378e-01  1.84520e-04  5.73306e-05 
  2.58629e-01  2.42135e-04  5.71105e-05 
  2.59880e-01  2.62040e-04  5.68938e-05 
  2.61130e-01  1.80177e-04  5.66806e-05 
  2.62381e-01  3.61419e-04  5.64705e-05 
  2.63632e-01  2.91840e-04  5.62637e-05 
  2.64882e-01  1.89879e-04  5.60600e-05 
  2.66133e-01  2.21805e-04  5.58594e-05 
  2.67383e-01  2.36008e-04  5.56617e-05 
  2.68634e-01  2.08594e-04  5.54669e-05 
  2.69885e-01  3.69088e-04  5.52750e-05 
  2.71135e-01  2.17978e-04  5.50858e-05 
  2.72386e-01  2.07677e-04  5.48993e-05 
  2.73637e-01  1.13357e-04  5.47155e-05 
  2.74887e-01  2.77973e-04  5.45343e-05 
  2.76138e-01  1.39775e-04  5.43556e-05 
  2.77388e-01  1.46240e-04  5.41794e-05 
  2.78639e-01  2.38581e-04  5.40056e-05 
  2.79890e-01  2.12429e-04  5.38342e-05 
  2.81140e-01  1.06792e-04  5.36651e-05 
  2.82391e-01  2.11603e-04  5.34982e-05 
  2.83642e-01  1.46343e-04  5.33334e-05 
  2.84892e-01  2.06770e-04  5.31708e-05 
  2.86143e-01  1.51975e-04  5.30103e-05 
  2.87393e-01  1.60421e-04  5.28518e-05 
  2.88644e-01  1.31784e-04  5.26952e-05 
  2.89895e-01  2.72412e-04  5.25406e-05 
  2.91145e-01  1.16398e-04  5.23877e-05 
  2.92396e-01  1.50696e-04  5.22367e-05 
  2.93647e-01  1.60843e-04  5.20874e-05 
  2.94897e-01  2.71755e-04  5.19398e-05 
  2.96148e-01  1.15066e-04  5.17938e-05 
  2.97398e-01  1.31689e-04  5.16494e-05 
  2.98649e-01  2.39114e-04  5.15065e-05 
  2.99900e-01  1.04122e-04  5.13651e-05 
  3.01150e-01  1.81452e-04  5.12252e-05 
  3.02401e-01  1.99591e-04  5.10867e-05 
  3.03652e-01  1.26593e-04  5.09495e-05 
  3.04902e-01  1.59780e-04  5.08138e-05 
  3.06153e-01  6.30675e-05  5.06793e-05 
  3.07404e-01  1.81557e-04  5.05461e-05 
  3.08654e-01  1.77612e-04  5.04142e-05 
  3.09905e-01  8.71557e-05  5.02836e-05 
  3.11155e-01  1.40070e-04  5.01542e-05 
  3.12406e-01  1.30795e-04  5.00260e-05 
  3.13657e-01  5.43771e-05  4.98990e-05 
  3.14907e-01  9.21269e-05  4.97731e-05 
  3.16158e-01  1.13858e-04  4.96485e-05 
  3.17409e-01  6.08898e-05  4.95250e-05 
  3.18659e-01  5.76723e-05  4.94027e-05 
  3.19910e-01  2.54055e-04  4.92815e-05 
  3.21160e-01  9.21436e-05  4.91615e-05 
  3.22411e-01  7.62873e-06  4.90425e-05 
  3.23662e-01  8.74555e-05  4.89248e-05 
  3.24912e-01  2.14089e-04  4.88081e-05 
  3.26163e-01  9.46672e-05  4.86925e-05 
  3.27414e-01  1.19681e-04  4.85780e-05 
  3.28664e-01  9.70349e-05  4.84646e-05 
  3.29915e-01  1.21180e-04  4.83523e-05 
  3.31165e-01  1.28638e-04  4.82411e-05 
  3.32416e-01  8.87642e-05  4.81308e-05 
  3.33667e-01  7.99075e-06  4.80217e-05 
  3.34917e-01  -6.47335e-05 4.79135e-05 
  3.36168e-01  4.88014e-05  4.78063e-05 
  3.37419e-01  5.82014e-05  4.77001e-05 
  3.38669e-01  1.04377e-04  4.75948e-05 
  3.39920e-01  2.22299e-05  4.74905e-05 
  3.41170e-01  -2.52709e-05 4.73870e-05 
  3.42421e-01  1.22536e-04  4.72845e-05 
  3.43672e-01  1.50368e-04  4.71828e-05 
  3.44922e-01  4.40699e-05  4.70820e-05 
  3.46173e-01  7.62721e-05  4.69819e-05 
  3.47424e-01  9.42190e-05  4.68827e-05 
  3.48674e-01  1.11166e-04  4.67842e-05 
  3.49925e-01  1.35013e-04  4.66865e-05 
  3.51175e-01  5.09361e-05  4.65895e-05 
  3.52426e-01  1.10234e-04  4.64932e-05 
  3.53677e-01  1.46961e-04  4.63976e-05 
  3.54927e-01  1.75139e-04  4.63027e-05 
  3.56178e-01  5.11973e-05  4.62084e-05 
  3.57429e-01  5.56169e-05  4.61147e-05 
  3.58679e-01  6.27575e-05  4.60217e-05 
  3.59930e-01  1.36852e-04  4.59292e-05 
  3.61180e-01  1.07397e-05  4.58374e-05 
  3.62431e-01  6.17204e-05  4.57461e-05 
