# Simulated SAXS data with noise
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-04  1.17252e+01  2.23536e-01 
  1.10113e-03  1.10427e+01  6.72158e-02 
  2.10225e-03  1.09918e+01  4.83618e-02 
  3.10338e-03  1.07066e+01  3.94301e-02 
  4.10451e-03  1.05112e+01  3.38462e-02 
  5.10563e-03  1.02136e+01  2.98591e-02 
  6.10676e-03  9.78266e+00  2.67803e-02 
  7.10788e-03  9.37761e+00  2.42795e-02 
  8.10901e-03  8.87061e+00  2.21776e-02 
  9.11014e-03  8.42402e+00  2.03696e-02 
  1.01113e-02  7.94853e+00  1.87893e-02 
  1.11124e-02  7.49460e+00  1.73934e-02 
  1.21135e-02  7.01528e+00  1.61521e-02 
  1.31146e-02  6.61734e+00  1.50439e-02 
  1.41158e-02  6.17092e+00  1.40522e-02 
  1.51169e-02  5.78806e+00  1.31640e-02 
  1.61180e-02  5.45373e+00  1.23680e-02 
  1.71191e-02  5.12253e+00  1.16545e-02 
  1.81203e-02  4.86397e+00  1.10144e-02 
  1.91214e-02  4.60698e+00  1.04393e-02 
  2.01225e-02  4.36977e+00  9.92143e-03 
  2.11237e-02  4.18293e+00  9.45360e-03 
  2.21248e-02  3.95843e+00  9.02921e-03 
  2.31259e-02  3.80064e+00  8.64235e-03 
  2.41270e-02  3.64172e+00  8.28782e-03 
  2.51282e-02  3.48720e+00  7.96115e-03 
  2.61293e-02  3.36109e+00  7.65858e-03 
  2.71304e-02  3.23021e+00  7.37696e-03 
  2.81315e-02  3.11223e+00  7.11376e-03 
  2.91327e-02  2.99957e+00  6.86690e-03 
  3.01338e-02  2.90457e+00  6.63472e-03 
  3.11349e-02  2.78724e+00  6.41588e-03 
  3.21360e-02  2.69491e+00  6.20926e-03 
  3.31372e-02  2.60691e+00  6.01391e-03 
  3.41383e-02  2.52322e+00  5.82900e-03 
  3.51394e-02  2.43638e+00  5.65381e-03 
  3.61406e-02  2.35738e+00  5.48765e-03 
  3.71417e-02  2.28906e+00  5.32988e-03 
  3.81428e-02  2.20166e+00  5.17991e-03 
  3.91439e-02  2.14832e+00  5.03718e-03 
  4.01451e-02  2.08038e+00  4.90116e-03 
  4.11462e-02  2.00769e+00  4.77137e-03 
  4.21473e-02  1.95447e+00  4.64736e-03 
  4.31484e-02  1.89634e+00  4.52873e-03 
  4.41496e-02  1.84526e+00  4.41510e-03 
  4.51507e-02  1.79467e+00  4.30614e-03 
  4.61518e-02  1.74195e+00  4.20155e-03 
  4.71529e-02  1.69408e+00  4.10104e-03 
  4.81541e-02  1.64860e+00  4.00438e-03 
  4.91552e-02  1.59989e+00  3.91134e-03 
  5.01563e-02  1.55403e+00  3.82170e-03 
  5.11574e-02  1.51200e+00  3.73529e-03 
  5.21586e-02  1.47479e+00  3.65192e-03 
  5.31597e-02  1.42896e+00  3.57143e-03 
  5.41608e-02  1.39365e+00  3.49368e-03 
  5.51620e-02  1.35745e+00  3.41853e-03 
  5.61631e-02  1.32678e+00  3.34583e-03 
  5.71642e-02  1.28702e+00  3.27549e-03 
  5.81653e-02  1.25477e+00  3.20737e-03 
  5.91665e-02  1.22126e+00  3.14139e-03 
  6.01676e-02  1.19389e+00  3.07742e-03 
  6.11687e-02  1.16385e+00  3.01539e-03 
  6.21698e-02  1.12870e+00  2.95520e-03 
  6.31710e-02  1.09743e+00  2.89678e-03 
  6.41721e-02  1.07088e+00  2.84003e-03 
  6.51732e-02  1.04905e+00  2.78490e-03 
  6.61743e-02  1.01942e+00  2.73131e-03 
  6.71755e-02  9.93642e-01  2.67919e-03 
  6.81766e-02  9.67717e-01  2.62850e-03 
  6.91777e-02  9.44367e-01  2.57917e-03 
  7.01788e-02  9.22642e-01  2.53115e-03 
  7.11800e-02  8.98245e-01  2.48439e-03 
  7.21811e-02  8.75834e-01  2.43884e-03 
  7.31822e-02  8.53085e-01  2.39447e-03 
  7.41834e-02  8.31973e-01  2.35121e-03 
  7.51845e-02  8.08491e-01  2.30905e-03 
  7.61856e-02  7.90577e-01  2.26793e-03 
  7.71867e-02  7.74389e-01  2.22782e-03 
  7.81879e-02  7.49455e-01  2.18868e-03 
  7.91890e-02  7.35964e-01  2.15049e-03 
  8.01901e-02  7.15629e-01  2.11321e-03 
  8.11912e-02  6.96040e-01  2.07680e-03 
  8.21924e-02  6.80272e-01  2.04126e-03 
  8.31935e-02  6.63033e-01  2.00654e-03 
  8.41946e-02  6.45155e-01  1.97262e-03 
  8.51957e-02  6.28311e-01  1.93949e-03 
  8.61969e-02  6.11408e-01  1.90710e-03 
  8.71980e-02  5.97104e-01  1.87545e-03 
  8.81991e-02  5.83640e-01  1.84451e-03 
  8.92003e-02  5.68313e-01  1.81426e-03 
  9.02014e-02  5.53768e-01  1.78468e-03 
  9.12025e-02  5.41095e-01  1.75575e-03 
  9.22036e-02  5.28146e-01  1.72745e-03 
  9.32048e-02  5.14445e-01  1.69978e-03 
  9.42059e-02  4.97805e-01  1.67270e-03 
  9.52070e-02  4.88144e-01  1.64621e-03 
  9.62081e-02  4.78063e-01  1.62029e-03 
  9.72093e-02  4.65684e-01  1.59493e-03 
  9.82104e-02  4.54782e-01  1.57010e-03 
  9.92115e-02  4.42580e-01  1.54581e-03 
  1.00213e-01  4.29663e-01  1.52203e-03 
  1.01214e-01  4.18501e-01  1.49875e-03 
  1.02215e-01  4.09651e-01  1.47597e-03 
  1.03216e-01  3.98102e-01  1.45366e-03 
  1.04217e-01  3.87185e-01  1.43182e-03 
  1.05218e-01  3.80880e-01  1.41043e-03 
  1.06219e-01  3.68315e-01  1.38949e-03 
  1.07221e-01  3.59999e-01  1.36899e-03 
  1.08222e-01  3.49989e-01  1.34891e-03 
  1.09223e-01  3.44583e-01  1.32925e-03 
  1.10224e-01  3.34900e-01  1.30999e-03 
  1.11225e-01  3.24687e-01  1.29114e-03 
  1.12226e-01  3.17717e-01  1.27267e-03 
  1.13227e-01  3.07865e-01  1.25458e-03 
  1.14228e-01  3.01374e-01  1.23687e-03 
  1.15230e-01  2.93897e-01  1.21952e-03 
  1.16231e-01  2.86219e-01  1.20253e-03 
  1.17232e-01  2.79787e-01  1.18589e-03 
  1.18233e-01  2.73227e-01  1.16959e-03 
  1.19234e-01  2.66709e-01  1.15362e-03 
  1.20235e-01  2.57762e-01  1.13798e-03 
  1.21236e-01  2.50739e-01  1.12267e-03 
  1.22237e-01  2.46487e-01  1.10767e-03 
  1.23239e-01  2.39751e-01  1.09297e-03 
  1.24240e-01  2.34593e-01  1.07858e-03 
  1.25241e-01  2.28572e-01  1.06449e-03 
  1.26242e-01  2.20895e-01  1.05068e-03 
  1.27243e-01  2.16057e-01  1.03716e-03 
  1.28244e-01  2.10566e-01  1.02391e-03 
  1.29245e-01  2.05566e-01  1.01094e-03 
  1.30246e-01  1.98627e-01  9.98233e-04 
  1.31248e-01  1.94164e-01  9.85789e-04 
  1.32249e-01  1.89900e-01  9.73601e-04 
  1.33250e-01  1.85002e-01  9.61665e-04 
  1.34251e-01  1.80687e-01  9.49975e-04 
  1.35252e-01  1.78059e-01  9.38528e-04 
  1.36253e-01  1.71384e-01  9.27317e-04 
  1.37254e-01  1.66094e-01  9.16339e-04 
  1.38255e-01  1.63718e-01  9.05589e-04 
  1.39257e-01  1.57855e-01  8.95062e-04 
  1.40258e-01  1.55213e-01  8.84754e-04 
  1.41259e-01  1.50118e-01  8.74661e-04 
  1.42260e-01  1.47812e-01  8.64777e-04 
  1.43261e-01  1.42909e-01  8.55099e-04 
  1.44262e-01  1.39253e-01  8.45623e-04 
  1.45263e-01  1.36812e-01  8.36344e-04 
  1.46264e-01  1.34280e-01  8.27259e-04 
  1.47266e-01  1.29585e-01  8.18364e-04 
  1.48267e-01  1.27909e-01  8.09655e-04 
  1.49268e-01  1.24328e-01  8.01128e-04 
  1.50269e-01  1.19583e-01  7.92780e-04 
  1.51270e-01  1.15835e-01  7.84607e-04 
  1.52271e-01  1.15078e-01  7.76605e-04 
  1.53272e-01  1.11649e-01  7.68771e-04 
  1.54273e-01  1.09180e-01  7.61101e-04 
  1.55275e-01  1.06865e-01  7.53593e-04 
  1.56276e-01  1.04197e-01  7.46242e-04 
