# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  1.00036e+00  1.44914e-02 
  2.25063e-03  1.01469e+00  9.64569e-03 
  3.50125e-03  9.83012e-01  7.71378e-03 
  4.75188e-03  9.75724e-01  6.59717e-03 
  6.00251e-03  9.67918e-01  5.84185e-03 
  7.25313e-03  9.59716e-01  5.28314e-03 
  8.50376e-03  9.50133e-01  4.84504e-03 
  9.75439e-03  9.31316e-01  4.48699e-03 
  1.10050e-02  9.16178e-01  4.18517e-03 
  1.22556e-02  8.95561e-01  3.92454e-03 
  1.35063e-02  8.75484e-01  3.69510e-03 
  1.47569e-02  8.46296e-01  3.48992e-03 
  1.60075e-02  8.24596e-01  3.30403e-03 
  1.72581e-02  7.95507e-01  3.13377e-03 
  1.85088e-02  7.73509e-01  2.97640e-03 
  1.97594e-02  7.36751e-01  2.82980e-03 
  2.10100e-02  7.07615e-01  2.69231e-03 
  2.22607e-02  6.79962e-01  2.56265e-03 
  2.35113e-02  6.47219e-01  2.43977e-03 
  2.47619e-02  6.13958e-01  2.32284e-03 
  2.60125e-02  5.81307e-01  2.21119e-03 
  2.72632e-02  5.53492e-01  2.10425e-03 
  2.85138e-02  5.24426e-01  2.00157e-03 
  2.97644e-02  4.86793e-01  1.90279e-03 
  3.10150e-02  4.56143e-01  1.80760e-03 
  3.22657e-02  4.25057e-01  1.71574e-03 
  3.35163e-02  3.94893e-01  1.62702e-03 
  3.47669e-02  3.62150e-01  1.54127e-03 
  3.60175e-02  3.32287e-01  1.45835e-03 
  3.72682e-02  3.05515e-01  1.37817e-03 
  3.85188e-02  2.74628e-01  1.30065e-03 
  3.97694e-02  2.49728e-01  1.22574e-03 
  4.10201e-02  2.25115e-01  1.15341e-03 
  4.22707e-02  1.96983e-01  1.08365e-03 
  4.35213e-02  1.74612e-01  1.01648e-03 
  4.47719e-02  1.51436e-01  9.51922e-04 
  4.60226e-02  1.31011e-01  8.90043e-04 
  4.72732e-02  1.12450e-01  8.30920e-04 
  4.85238e-02  9.50203e-02  7.74661e-04 
  4.97744e-02  7.92738e-02  7.21398e-04 
  5.10251e-02  6.53224e-02  6.71299e-04 
  5.22757e-02  5.10982e-02  6.24561e-04 
