# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  9.74610e-01  1.44914e-02 
  2.25063e-03  1.00788e+00  9.65257e-03 
  3.50125e-03  9.99576e-01  7.72903e-03 
  4.75188e-03  9.92654e-01  6.62222e-03 
  6.00251e-03  9.90861e-01  5.87797e-03 
  7.25313e-03  9.79139e-01  5.33146e-03 
  8.50376e-03  9.69972e-01  4.90655e-03 
  9.75439e-03  9.64823e-01  4.56260e-03 
  1.10050e-02  9.52896e-01  4.27568e-03 
  1.22556e-02  9.48785e-01  4.03069e-03 
  1.35063e-02  9.31332e-01  3.81755e-03 
  1.47569e-02  9.25892e-01  3.62926e-03 
  1.60075e-02  9.09232e-01  3.46080e-03 
  1.72581e-02  8.98271e-01  3.30843e-03 
  1.85088e-02  8.76573e-01  3.16936e-03 
  1.97594e-02  8.74101e-01  3.04140e-03 
  2.10100e-02  8.48413e-01  2.92286e-03 
  2.22607e-02  8.30031e-01  2.81238e-03 
  2.35113e-02  8.09581e-01  2.70887e-03 
  2.47619e-02  7.92254e-01  2.61143e-03 
  2.60125e-02  7.76061e-01  2.51934e-03 
  2.72632e-02  7.59726e-01  2.43199e-03 
  2.85138e-02  7.35115e-01  2.34887e-03 
  2.97644e-02  7.11646e-01  2.26955e-03 
  3.10150e-02  6.95874e-01  2.19367e-03 
  3.22657e-02  6.74608e-01  2.12093e-03 
  3.35163e-02  6.51080e-01  2.05105e-03 
  3.47669e-02  6.32918e-01  1.98382e-03 
  3.60175e-02  6.12804e-01  1.91903e-03 
  3.72682e-02  5.94094e-01  1.85652e-03 
  3.85188e-02  5.72989e-01  1.79615e-03 
  3.97694e-02  5.54281e-01  1.73778e-03 
  4.10201e-02  5.28913e-01  1.68131e-03 
  4.22707e-02  5.08545e-01  1.62663e-03 
  4.35213e-02  4.91344e-01  1.57366e-03 
  4.47719e-02  4.65789e-01  1.52234e-03 
  4.60226e-02  4.51322e-01  1.47258e-03 
  4.72732e-02  4.30754e-01  1.42434e-03 
  4.85238e-02  4.10359e-01  1.37756e-03 
  4.97744e-02  3.91609e-01  1.33220e-03 
  5.10251e-02  3.74955e-01  1.28821e-03 
  5.22757e-02  3.54878e-01  1.24557e-03 
  5.35263e-02  3.37215e-01  1.20423e-03 
  5.47769e-02  3.20695e-01  1.16416e-03 
  5.60276e-02  3.05131e-01  1.12535e-03 
  5.72782e-02  2.87811e-01  1.08776e-03 
  5.85288e-02  2.72229e-01  1.05138e-03 
  5.97794e-02  2.57628e-01  1.01618e-03 
  6.10301e-02  2.44163e-01  9.82143e-04 
  6.22807e-02  2.30612e-01  9.49249e-04 
  6.35313e-02  2.17604e-01  9.17481e-04 
  6.47820e-02  2.04485e-01  8.86822e-04 
  6.60326e-02  1.92691e-01  8.57255e-04 
  6.72832e-02  1.82319e-01  8.28762e-04 
