# q                 I(q)             
  1.00000e-03       9.99765e-01      
  2.12531e-03       9.98941e-01      
  3.25063e-03       9.97524e-01      
  4.37594e-03       9.95517e-01      
  5.50125e-03       9.92922e-01      
  6.62657e-03       9.89745e-01      
  7.75188e-03       9.85989e-01      
  8.87719e-03       9.81660e-01      
  1.00025e-02       9.76765e-01      
  1.11278e-02       9.71312e-01      
  1.22531e-02       9.65308e-01      
  1.33784e-02       9.58763e-01      
  1.45038e-02       9.51686e-01      
  1.56291e-02       9.44088e-01      
  1.67544e-02       9.35981e-01      
  1.78797e-02       9.27377e-01      
  1.90050e-02       9.18288e-01      
  2.01303e-02       9.08727e-01      
  2.12556e-02       8.98710e-01      
  2.23810e-02       8.88250e-01      
  2.35063e-02       8.77364e-01      
  2.46316e-02       8.66066e-01      
  2.57569e-02       8.54373e-01      
  2.68822e-02       8.42303e-01      
  2.80075e-02       8.29871e-01      
  2.91328e-02       8.17097e-01      
  3.02581e-02       8.03997e-01      
  3.13835e-02       7.90591e-01      
  3.25088e-02       7.76897e-01      
  3.36341e-02       7.62934e-01      
  3.47594e-02       7.48722e-01      
  3.58847e-02       7.34278e-01      
  3.70100e-02       7.19624e-01      
  3.81353e-02       7.04778e-01      
  3.92607e-02       6.89760e-01      
  4.03860e-02       6.74591e-01      
  4.15113e-02       6.59288e-01      
  4.26366e-02       6.43873e-01      
  4.37619e-02       6.28364e-01      
  4.48872e-02       6.12781e-01      
  4.60125e-02       5.97143e-01      
  4.71378e-02       5.81469e-01      
  4.82632e-02       5.65779e-01      
  4.93885e-02       5.50089e-01      
  5.05138e-02       5.34420e-01      
  5.16391e-02       5.18788e-01      
  5.27644e-02       5.03211e-01      
  5.38897e-02       4.87706e-01      
  5.50150e-02       4.72290e-01      
  5.61404e-02       4.56979e-01      
  5.72657e-02       4.41790e-01      
  5.83910e-02       4.26736e-01      
  5.95163e-02       4.11834e-01      
  6.06416e-02       3.97097e-01      
  6.17669e-02       3.82540e-01      
  6.28922e-02       3.68174e-01      
  6.40175e-02       3.54014e-01      
  6.51429e-02       3.40070e-01      
  6.62682e-02       3.26354e-01      
  6.73935e-02       3.12876e-01      
  6.85188e-02       2.99648e-01      
  6.96441e-02       2.86677e-01      
  7.07694e-02       2.73974e-01      
  7.18947e-02       2.61545e-01      
  7.30201e-02       2.49399e-01      
  7.41454e-02       2.37542e-01      
  7.52707e-02       2.25980e-01      
  7.63960e-02       2.14718e-01      
  7.75213e-02       2.03762e-01      
  7.86466e-02       1.93116e-01      
  7.97719e-02       1.82783e-01      
  8.08972e-02       1.72765e-01      
  8.20226e-02       1.63066e-01      
  8.31479e-02       1.53686e-01      
  8.42732e-02       1.44626e-01      
  8.53985e-02       1.35888e-01      
  8.65238e-02       1.27470e-01      
  8.76491e-02       1.19371e-01      
  8.87744e-02       1.11592e-01      
  8.98997e-02       1.04129e-01      
  9.10251e-02       9.69802e-02      
  9.21504e-02       9.01428e-02      
  9.32757e-02       8.36133e-02      
  9.44010e-02       7.73879e-02      
  9.55263e-02       7.14623e-02      
  9.66516e-02       6.58318e-02      
  9.77769e-02       6.04914e-02      
  9.89023e-02       5.54355e-02      
  1.00028e-01       5.06584e-02      
  1.01153e-01       4.61539e-02      
  1.02278e-01       4.19156e-02      
  1.03404e-01       3.79368e-02      
  1.04529e-01       3.42104e-02      
  1.05654e-01       3.07294e-02      
  1.06779e-01       2.74863e-02      
  1.07905e-01       2.44736e-02      
  1.09030e-01       2.16834e-02      
  1.10155e-01       1.91080e-02      
  1.11281e-01       1.67392e-02      
  1.12406e-01       1.45692e-02      
  1.13531e-01       1.25896e-02      
  1.14657e-01       1.07924e-02      
  1.15782e-01       9.16924e-03      
  1.16907e-01       7.71202e-03      
  1.18033e-01       6.41249e-03      
  1.19158e-01       5.26252e-03      
  1.20283e-01       4.25398e-03      
