Sample description: DMPC_25_200
Sample: DMPC_25_200  c= 1 mg/ml  Code: DMPC_25_200_water
Parent(s): analysis/processed/subtracted/DMPC_25_200_water_0432_sub.dat
  2.879180e-02   6.716582e+04   3.744007e+02
  3.155110e-02   4.859372e+04   2.715448e+02
  3.431040e-02   3.377898e+04   2.032982e+02
  3.706970e-02   2.269720e+04   1.488048e+02
  3.982890e-02   1.520243e+04   1.187560e+02
  4.258820e-02   1.162065e+04   8.907698e+01
  4.534750e-02   9.291628e+03   7.676146e+01
  4.810670e-02   8.286291e+03   6.586958e+01
  5.086600e-02   7.522584e+03   5.948328e+01
  5.362530e-02   6.570205e+03   5.085796e+01
  5.638460e-02   5.604197e+03   4.497767e+01
  5.914380e-02   4.807758e+03   4.118197e+01
  6.190310e-02   4.060384e+03   3.557256e+01
  6.466240e-02   3.498702e+03   3.246117e+01
  6.742170e-02   3.029120e+03   2.937607e+01
  7.018090e-02   2.719486e+03   2.653760e+01
  7.294020e-02   2.471124e+03   2.523643e+01
  7.569950e-02   2.193756e+03   2.209601e+01
  7.845880e-02   1.982417e+03   2.087678e+01
  8.121800e-02   1.777931e+03   1.950838e+01
  8.397730e-02   1.607788e+03   1.784232e+01
  8.673660e-02   1.467995e+03   1.699946e+01
  8.949590e-02   1.319071e+03   1.550239e+01
  9.225510e-02   1.176306e+03   1.467681e+01
  9.501440e-02   1.044517e+03   1.348314e+01
  9.777370e-02   1.000262e+03   1.304285e+01
  1.005330e-01   8.920812e+02   1.241228e+01
  1.032920e-01   8.167143e+02   1.132321e+01
  1.060510e-01   7.776634e+02   1.143294e+01
  1.088110e-01   7.099684e+02   1.031244e+01
  1.115700e-01   6.506625e+02   1.006905e+01
  1.143290e-01   6.188119e+02   9.703652e+00
  1.170890e-01   5.730201e+02   8.985948e+00
  1.198480e-01   5.202606e+02   8.886092e+00
  1.226070e-01   4.926814e+02   8.186391e+00
  1.253660e-01   4.586336e+02   8.127964e+00
  1.281260e-01   4.155952e+02   7.810059e+00
  1.308850e-01   4.026057e+02   7.366708e+00
  1.336440e-01   3.774498e+02   7.321129e+00
  1.364040e-01   3.517228e+02   6.848744e+00
  1.391630e-01   3.248385e+02   6.816884e+00
  1.419220e-01   3.104333e+02   6.494285e+00
  1.446810e-01   2.863854e+02   6.227105e+00
  1.474410e-01   2.672130e+02   6.114986e+00
  1.502000e-01   2.629059e+02   5.968644e+00
  1.529590e-01   2.395594e+02   5.833822e+00
  1.557180e-01   2.234146e+02   5.521298e+00
  1.584780e-01   2.221109e+02   5.502015e+00
  1.612370e-01   2.010882e+02   5.291852e+00
  1.639960e-01   1.899982e+02   5.229314e+00
  1.667560e-01   1.826619e+02   5.033449e+00
  1.695150e-01   1.741425e+02   4.889639e+00
  1.722740e-01   1.591420e+02   4.863047e+00
  1.750330e-01   1.506795e+02   4.676871e+00
  1.777930e-01   1.454597e+02   4.642123e+00
  1.805520e-01   1.389872e+02   4.557459e+00
  1.833110e-01   1.302508e+02   4.421388e+00
  1.860700e-01   1.233746e+02   4.363679e+00
  1.888300e-01   1.091091e+02   4.197392e+00
  1.915890e-01   1.068636e+02   4.208481e+00
  1.943480e-01   1.054223e+02   4.116556e+00
  1.971080e-01   1.089731e+02   4.042741e+00
  1.998670e-01   9.471507e+01   4.032577e+00
  2.026260e-01   8.358203e+01   3.817038e+00
  2.053850e-01   8.256054e+01   3.846569e+00
  2.081450e-01   8.283658e+01   3.757537e+00
  2.109040e-01   7.413807e+01   3.730773e+00
  2.136630e-01   7.111397e+01   3.788789e+00
  2.164220e-01   7.029651e+01   3.694999e+00
  2.191820e-01   6.367204e+01   3.733616e+00
  2.219410e-01   6.271843e+01   3.662494e+00
  2.247000e-01   6.078729e+01   3.693570e+00
  2.274600e-01   5.448509e+01   3.688363e+00
  2.302190e-01   5.388994e+01   3.623790e+00
  2.329780e-01   5.107823e+01   3.712719e+00
  2.357370e-01   4.595461e+01   3.502089e+00
  2.384970e-01   4.368593e+01   3.543854e+00
  2.412560e-01   4.450577e+01   3.516789e+00
  2.440150e-01   4.211830e+01   3.528503e+00
  2.467740e-01   3.844460e+01   3.493208e+00
  2.495340e-01   3.342958e+01   3.344992e+00
  2.522930e-01   3.402504e+01   3.458608e+00
  2.550520e-01   3.019573e+01   3.389949e+00
  2.578120e-01   2.918996e+01   3.324277e+00
  2.605710e-01   2.719012e+01   3.300900e+00
  2.633300e-01   2.842615e+01   3.155557e+00
  2.660890e-01   2.169612e+01   3.168551e+00
  2.688490e-01   2.948849e+01   3.096880e+00
  2.716080e-01   2.261521e+01   3.058236e+00
  2.743670e-01   2.278024e+01   3.046952e+00
  2.771260e-01   2.417054e+01   2.936212e+00
  2.798860e-01   2.152975e+01   3.006775e+00
  2.826450e-01   2.349677e+01   2.949934e+00
  2.854040e-01   1.771346e+01   2.896223e+00
  2.881640e-01   2.040910e+01   2.876631e+00
  2.909230e-01   1.756866e+01   2.827254e+00
  2.936820e-01   1.628331e+01   2.860588e+00
  2.964410e-01   1.419702e+01   2.807405e+00
  2.992010e-01   1.250700e+01   2.766642e+00
  3.019600e-01   1.110637e+01   2.721472e+00
  3.047190e-01   1.188728e+01   2.747227e+00
  3.074780e-01   1.048202e+01   2.720463e+00
  3.102380e-01   1.175721e+01   2.684969e+00
  3.129970e-01   7.597984e+00   2.665506e+00
  3.157560e-01   1.106845e+01   2.661939e+00
  3.185160e-01   1.032251e+01   2.630028e+00
  3.212750e-01   9.773347e+00   2.613922e+00
  3.240340e-01   8.800471e+00   2.571478e+00
  3.267930e-01   6.529199e+00   2.583682e+00
  3.295530e-01   4.926483e+00   2.554106e+00
  3.323120e-01   9.999024e+00   2.560069e+00
  3.350710e-01   4.043783e+00   2.531889e+00
  3.378310e-01   3.382103e+00   2.526269e+00
  3.405900e-01   7.743437e+00   2.570278e+00
  3.433490e-01   3.428586e+00   2.545004e+00
  3.461080e-01   6.799207e-01   2.584499e+00
  3.488680e-01   6.931647e+00   2.568883e+00
  3.516270e-01   4.097697e+00   2.599649e+00
  3.543860e-01   4.926803e+00   2.552581e+00
  3.571450e-01   1.547406e+00   2.574204e+00
  3.599050e-01   7.148262e+00   2.582935e+00
  3.626640e-01   4.416475e+00   2.584400e+00
  3.654230e-01   3.818645e+00   2.605579e+00
  3.681830e-01   5.577371e+00   2.556970e+00
  3.709420e-01   8.832177e+00   2.547653e+00
  3.737010e-01   2.384362e+00   2.576376e+00
  3.764600e-01   5.558004e+00   2.557841e+00
  3.792200e-01   6.653940e+00   2.592952e+00
  3.819790e-01  -2.067635e+00   2.512971e+00
  3.847380e-01   1.287082e-01   2.563288e+00
  3.874970e-01   3.115121e+00   2.560596e+00
  3.902570e-01   5.780049e+00   2.503834e+00
  3.930160e-01   2.668072e+00   2.581458e+00
  3.957750e-01  -4.370463e-01   2.482343e+00
  3.985350e-01   6.087193e+00   2.572168e+00
  4.012940e-01  -1.352579e+00   2.512220e+00
  4.040530e-01   2.217240e+00   2.500005e+00
  4.068120e-01   2.339375e+00   2.502762e+00
  4.095720e-01   7.585325e+00   2.471551e+00
  4.123310e-01   5.404869e+00   2.535147e+00
  4.150900e-01   2.438949e+00   2.467813e+00
  4.178490e-01   2.052707e+00   2.489590e+00
  4.206090e-01   1.116967e+00   2.493534e+00
  4.233680e-01   4.103598e+00   2.486835e+00
  4.261270e-01   7.787550e+00   2.529677e+00
  4.288870e-01   2.756802e+00   2.455202e+00
  4.316460e-01   5.392159e+00   2.514950e+00
  4.344050e-01   3.585975e+00   2.465338e+00
  4.371640e-01   8.112834e+00   2.448962e+00
  4.399240e-01   7.842944e+00   2.496463e+00
  4.426830e-01   6.541001e+00   2.431908e+00
  4.454420e-01   1.657874e+00   2.475986e+00
  4.482010e-01   3.576577e+00   2.443749e+00
  4.509610e-01   6.793390e+00   2.459646e+00
  4.537200e-01   3.634442e+00   2.467204e+00
  4.564790e-01   8.606972e+00   2.440360e+00
  4.592390e-01   6.743376e+00   2.531565e+00
  4.619980e-01   4.070950e+00   2.470168e+00
  4.647570e-01   6.790011e+00   2.531987e+00
  4.675160e-01   5.929099e+00   2.527068e+00
  4.702760e-01   5.334748e+00   2.509241e+00
  4.730350e-01   1.002596e+01   2.562074e+00
  4.757940e-01   3.158494e+00   2.521702e+00
  4.785530e-01   9.930669e+00   2.545133e+00
  4.813130e-01   5.137500e+00   2.508323e+00
  4.840720e-01   5.306085e+00   2.498956e+00
  4.868310e-01   8.636762e+00   2.495424e+00
  4.895910e-01   1.294652e+01   2.497616e+00
