Sample description: DMPC_25
Sample: DMPC_25  c= 1 mg/ml  Code: DMPC_25_water
Parent(s): analysis/processed/subtracted/DMPC_25_water_0097_sub.dat
  5.638460e-02   7.600232e+03   5.508650e+01
  5.914380e-02   6.813545e+03   5.124157e+01
  6.190310e-02   6.009535e+03   4.500205e+01
  6.466240e-02   5.235065e+03   4.109988e+01
  6.742170e-02   4.529257e+03   3.721848e+01
  7.018090e-02   3.921102e+03   3.331581e+01
  7.294020e-02   3.337504e+03   3.113230e+01
  7.569950e-02   2.764573e+03   2.668612e+01
  7.845880e-02   2.334767e+03   2.472682e+01
  8.121800e-02   1.980162e+03   2.268246e+01
  8.397730e-02   1.667746e+03   2.040649e+01
  8.673660e-02   1.430303e+03   1.911351e+01
  8.949590e-02   1.209760e+03   1.703001e+01
  9.225510e-02   1.069255e+03   1.615797e+01
  9.501440e-02   9.199068e+02   1.469156e+01
  9.777370e-02   8.010824e+02   1.398003e+01
  1.005330e-01   7.924456e+02   1.357498e+01
  1.032920e-01   7.242048e+02   1.241942e+01
  1.060510e-01   7.081154e+02   1.254533e+01
  1.088110e-01   6.571728e+02   1.144345e+01
  1.115700e-01   6.539204e+02   1.141920e+01
  1.143290e-01   6.266896e+02   1.104813e+01
  1.170890e-01   6.262438e+02   1.042195e+01
  1.198480e-01   6.214662e+02   1.051678e+01
  1.226070e-01   6.126859e+02   9.847108e+00
  1.253660e-01   6.072610e+02   9.930270e+00
  1.281260e-01   5.972788e+02   9.706732e+00
  1.308850e-01   5.859700e+02   9.222135e+00
  1.336440e-01   5.502155e+02   9.220804e+00
  1.364040e-01   5.406280e+02   8.667487e+00
  1.391630e-01   5.201780e+02   8.698554e+00
  1.419220e-01   4.866080e+02   8.275225e+00
  1.446810e-01   4.584685e+02   7.927707e+00
  1.474410e-01   4.347644e+02   7.785103e+00
  1.502000e-01   4.168387e+02   7.576942e+00
  1.529590e-01   3.780369e+02   7.404081e+00
  1.557180e-01   3.471486e+02   6.916820e+00
  1.584780e-01   3.215833e+02   6.820639e+00
  1.612370e-01   3.045532e+02   6.541047e+00
  1.639960e-01   2.767460e+02   6.447815e+00
  1.667560e-01   2.574289e+02   6.197395e+00
  1.695150e-01   2.512417e+02   6.019577e+00
  1.722740e-01   2.370237e+02   5.964869e+00
  1.750330e-01   2.100377e+02   5.647801e+00
  1.777930e-01   2.050733e+02   5.671772e+00
  1.805520e-01   1.924132e+02   5.461446e+00
  1.833110e-01   1.912858e+02   5.349521e+00
  1.860700e-01   1.812686e+02   5.305841e+00
  1.888300e-01   1.693898e+02   5.127887e+00
  1.915890e-01   1.602141e+02   5.131601e+00
  1.943480e-01   1.596275e+02   4.983834e+00
  1.971080e-01   1.575186e+02   4.887100e+00
  1.998670e-01   1.526977e+02   4.993639e+00
  2.026260e-01   1.516237e+02   4.726940e+00
  2.053850e-01   1.512255e+02   4.778670e+00
  2.081450e-01   1.436127e+02   4.620370e+00
  2.109040e-01   1.336076e+02   4.637535e+00
  2.136630e-01   1.344995e+02   4.728820e+00
  2.164220e-01   1.265887e+02   4.574851e+00
  2.191820e-01   1.198617e+02   4.674512e+00
  2.219410e-01   1.207345e+02   4.551018e+00
  2.247000e-01   1.053795e+02   4.513670e+00
  2.274600e-01   1.024433e+02   4.492339e+00
  2.302190e-01   1.019222e+02   4.435336e+00
  2.329780e-01   1.027607e+02   4.516000e+00
  2.357370e-01   8.569515e+01   4.259845e+00
  2.384970e-01   8.564486e+01   4.348001e+00
  2.412560e-01   7.913726e+01   4.235979e+00
  2.440150e-01   7.067122e+01   4.276401e+00
  2.467740e-01   6.874558e+01   4.211439e+00
  2.495340e-01   6.314925e+01   4.065189e+00
  2.522930e-01   6.692107e+01   4.176866e+00
  2.550520e-01   6.143706e+01   4.052079e+00
  2.578120e-01   5.644934e+01   3.976455e+00
  2.605710e-01   6.241606e+01   3.994489e+00
  2.633300e-01   5.663903e+01   3.815241e+00
  2.660890e-01   5.424758e+01   3.842008e+00
  2.688490e-01   4.910921e+01   3.686489e+00
  2.716080e-01   5.034427e+01   3.697753e+00
  2.743670e-01   4.622819e+01   3.645439e+00
  2.771260e-01   4.405609e+01   3.524052e+00
  2.798860e-01   4.657550e+01   3.603575e+00
  2.826450e-01   3.695006e+01   3.464309e+00
  2.854040e-01   3.530611e+01   3.432397e+00
  2.881640e-01   3.537449e+01   3.410033e+00
  2.909230e-01   3.696039e+01   3.383873e+00
  2.936820e-01   2.851097e+01   3.371452e+00
  2.964410e-01   2.964050e+01   3.296628e+00
  2.992010e-01   3.419185e+01   3.288809e+00
  3.019600e-01   2.945077e+01   3.214281e+00
  3.047190e-01   2.455826e+01   3.212363e+00
  3.074780e-01   2.206955e+01   3.187243e+00
  3.102380e-01   2.470061e+01   3.143077e+00
  3.129970e-01   2.502641e+01   3.137356e+00
  3.157560e-01   2.045381e+01   3.131889e+00
  3.185160e-01   1.938268e+01   3.086722e+00
  3.212750e-01   1.760925e+01   3.071662e+00
  3.240340e-01   1.476559e+01   3.006305e+00
  3.267930e-01   1.777331e+01   3.041926e+00
  3.295530e-01   1.332248e+01   2.974702e+00
  3.323120e-01   2.171525e+01   3.019212e+00
  3.350710e-01   9.663484e+00   2.937832e+00
  3.378310e-01   1.125476e+01   2.925074e+00
  3.405900e-01   1.448454e+01   3.000831e+00
  3.433490e-01   1.131941e+01   2.978717e+00
  3.461080e-01   1.362824e+01   3.001309e+00
  3.488680e-01   1.004523e+01   3.015193e+00
  3.516270e-01   9.351799e+00   3.034292e+00
  3.543860e-01   9.066277e+00   2.982205e+00
  3.571450e-01   1.278119e+01   3.010941e+00
  3.599050e-01   6.467182e+00   2.999755e+00
  3.626640e-01   5.990415e+00   2.964886e+00
  3.654230e-01   9.382751e+00   3.013602e+00
  3.681830e-01   1.045740e+01   2.984381e+00
  3.709420e-01   1.112349e+01   2.993913e+00
  3.737010e-01   1.037173e+01   2.999319e+00
  3.764600e-01   1.087997e+01   2.978634e+00
  3.792200e-01   5.007940e+00   2.982752e+00
  3.819790e-01   4.983517e+00   2.910475e+00
  3.847380e-01   4.844778e+00   2.963357e+00
  3.874970e-01   8.071082e+00   2.971695e+00
  3.902570e-01   9.275821e+00   2.910608e+00
  3.930160e-01   5.882062e+00   2.976566e+00
