q I
0.01258 13.8766267
0.014 11.88131407
0.01542 10.87630871
0.01684 9.318532186
0.01826 8.526105716
0.01967 7.302644314
0.02109 6.236972324
0.02251 5.758271828
0.02393 5.133914595
0.02535 4.8602229
0.02677 4.534624784
0.02818 4.33331997
0.0296 4.141733848
0.03102 3.930729821
0.03244 3.97785631
0.03386 3.819728523
0.03527 3.747060203
0.03669 3.620779667
0.03811 3.442881885
0.03953 3.513422889
0.04095 3.388824585
0.04237 3.336143958
0.04378 3.308218415
0.0452 3.385152992
0.04662 3.371608372
0.04804 3.286939675
0.04946 3.293949738
0.05087 3.24559766
0.05229 3.269329354
0.05371 3.297475317
0.05513 3.314098729
0.05655 3.251769775
0.05797 3.313687168
0.05938 3.368792249
0.0608 3.773077215
0.06222 4.590343438
0.06364 5.514407533
0.06506 4.994993415
0.06647 3.975245448
0.06789 3.588781268
0.06931 3.342488466
0.07073 3.258644011
0.07215 3.336252863
0.07356 3.161134709
0.07498 3.216424326
0.0764 3.142803862
0.07782 3.177001907
0.07924 3.179084135
0.08066 3.163724563
0.08207 3.282735745
0.08349 3.230704718
0.08491 3.333051042
0.08633 3.327221377
0.08775 3.523445683
0.08916 3.745308583
0.09058 3.941093658
0.092 3.722928706
0.09342 3.537132826
0.09484 3.283041656
0.09626 3.230671216
0.09767 3.059763133
0.09909 3.147070558
0.10051 3.156847316
0.10193 3.067905296
0.10335 3.113065117
0.10476 3.163117959
0.10618 3.199042384
0.1076 3.332796447
0.10902 3.593261002
0.11044 3.81712854
0.11185 4.195104708
0.11327 3.721898774
0.11469 3.248314872
0.11611 3.114205107
0.11753 2.908881677
0.11895 2.942371486
0.12036 2.917092267
0.12178 2.798556701
0.1232 2.801403688
0.12462 2.728884202
0.12604 2.8556482
0.12745 2.877673812
0.12887 2.773189425
0.13029 2.76942464
0.13171 2.736767358
0.13313 2.653221042
0.13455 2.736313215
0.13596 2.662754858
0.13738 2.771049136
0.1388 2.699923736
0.14022 2.736352298
0.14164 2.576210229
0.14305 2.730294711
0.14447 2.737617848
0.14589 2.637387176
0.14731 2.739126396
0.14873 2.672738907
0.15015 2.659162592
0.15156 2.674001906
0.15298 2.634276836
0.1544 2.690133553
0.15582 2.69965571
0.15724 2.687443304
0.15865 2.735058173
0.16007 2.736197275
0.16149 2.657738972
0.16291 2.72337434
0.16433 2.744110331
0.16574 2.669480001
0.16716 2.696113441
0.16858 2.652254325
0.17 2.75962511
0.17142 2.653852102
0.17284 2.691908065
0.17425 2.71823051
0.17567 2.618625765
0.17709 2.574367664
0.17851 2.593471091
0.17993 2.543566478
0.18134 2.580984818
0.18276 2.62739067
0.18418 2.558227828
0.1856 2.615463687
0.18702 2.570796885
0.18844 2.469446521
0.18985 2.540160513
0.19127 2.548407566
0.19269 2.621514414
0.19411 2.577997179
0.19553 2.49646715
0.19694 2.537956928
0.19836 2.54799474
0.19978 2.463364144
0.2012 2.423329179
0.20262 2.414654021
0.20403 2.460651214
0.20545 2.514941692
0.20687 2.353499019
0.20829 2.454722627
0.20971 2.482510228
0.21113 2.585673088
0.21254 2.477350224
0.21396 2.402741373
0.21538 2.445766039
0.2168 2.514676511
0.21822 2.488674158
0.21963 2.407288349
0.22105 2.37580031
0.22247 2.457581966
0.22389 2.420200024
0.22531 2.425794784
0.22673 2.423458832
0.22814 2.354604739
0.22956 2.411061991
0.23098 2.431083765
0.2324 2.307200602
0.23382 2.366085894
0.23523 2.324352245
0.23665 2.367936201
0.23807 2.450700816
0.23949 2.41729862
0.24091 2.397536167
0.24233 2.283795454
0.24374 2.31272351
0.24516 2.410006836
0.24658 2.343828237
0.248 2.367781157
0.24942 2.283362436
0.25083 2.388461144
0.25225 2.357318491
0.25367 2.325265261
0.25509 2.384302838
0.25651 2.360572379
0.25792 2.286226968
0.25934 2.348412138
0.26076 2.273236473
0.26218 2.337563383
0.2636 2.338530443
0.26502 2.326727924
0.26643 2.336647748
0.26785 2.419614392
0.26927 2.275104767
0.27069 2.376854987
0.27211 2.38402359
0.27352 2.32590803
0.27494 2.296727774
0.27636 2.409774872
0.27778 2.318665999
0.2792 2.35431941
0.28062 2.386419819
0.28203 2.276991668
0.28345 2.349408001
0.28487 2.465423543
0.28629 2.345368006
0.28771 2.346215783
0.28912 2.257722805
0.29054 2.295099028
0.29196 2.314711637
0.29338 2.307632943
0.2948 2.402883057
0.29621 2.34111417
0.29763 2.373555001
0.29905 2.362739104
0.30047 2.321791451
0.30189 2.416237576
0.30331 2.340469343
0.30472 2.365036928
0.30614 2.429017864
0.30756 2.365064624
0.30898 2.389256675
0.3104 2.293554316
0.31181 2.403484868
0.31323 2.416236524
0.31465 2.335225972
0.31607 2.306112019
0.31749 2.413022937
0.31891 2.264624107
0.32032 2.295884434
0.32174 2.282336051
0.32316 2.351213042
0.32458 2.380635705
0.326 2.264957737
0.32741 2.263174236
0.32883 2.289047168
0.33025 2.398001562
0.33167 2.351909133
0.33309 2.396444944
0.33451 2.329439926
0.33592 2.401682329
0.33734 2.439141017
0.33876 2.355748427
0.34018 2.447643149
0.3416 2.318800795
0.34301 2.326046311
0.34443 2.387705387
0.34585 2.380301464
0.34727 2.371534861
0.34869 2.304339043
0.3501 2.28513851
0.35152 2.392288905
0.35294 2.390588786
0.35436 2.40028589
0.35578 2.365356655
0.3572 2.339883175
0.35861 2.360984881
0.36003 2.449029878
0.36145 2.421128788
0.36287 2.370330109
0.36429 2.282699916
0.3657 2.338459924
0.36712 2.358145829
0.36854 2.333432056
0.36996 2.444635901
0.37138 2.404120979
0.3728 2.334129942
0.37421 2.350723113
0.37563 2.376433655
0.37705 2.37676585
0.37847 2.358055274
0.37989 2.38344519
0.3813 2.426969113
0.38272 2.388238902
0.38414 2.464206442
0.38556 2.469024138
0.38698 2.35366134
0.38839 2.291201578
0.38981 2.302971961
0.39123 2.450884878
0.39265 2.382749595
0.39407 2.39927497
0.39549 2.470437088
0.3969 2.375702591
0.39832 2.399635863
0.39974 2.298058695
0.40116 2.456900423
0.40258 2.368852614
0.40399 2.448283313
0.40541 2.402664434
0.40683 2.438274559
0.40825 2.396154324
0.40967 2.476136864
0.41109 2.419689505
0.4125 2.412142202
0.41392 2.441493689
0.41534 2.476935928
0.41676 2.463184889
0.41818 2.39121221
0.41959 2.374364314
0.42101 2.312637518
0.42243 2.349261596
0.42385 2.424039833
0.42527 2.418694284
0.42669 2.440242071
0.4281 2.380881798
0.42952 2.355541975
0.43094 2.461663605
0.43236 2.395633322
0.43378 2.459939257
0.43519 2.484467648
0.43661 2.456286394
0.43803 2.465566799
0.43945 2.413408669
0.44087 2.39490541
0.44228 2.390967207
0.4437 2.413961012
0.44512 2.374772909
0.44654 2.421539993
0.44796 2.50474736
0.44938 2.437967315
0.45079 2.416255583
0.45221 2.375725822
0.45363 2.423534218
0.45505 2.548748727
0.45647 2.446105855
0.45788 2.413918713
0.4593 2.498686593
0.46072 2.431877924
0.46214 2.402261627
0.46356 2.409303366
0.46498 2.390090878
0.46639 2.420451623
0.46781 2.419361805
0.46923 2.473393043
0.47065 2.429824433
0.47207 2.40252191
0.47348 2.419059006
0.4749 2.440599441
0.47632 2.312492365
0.47774 2.477555263
0.47916 2.401600192
0.48057 2.447660693
