q  I
0.01258  45.95123272
0.014  38.05825245
0.01542  31.11413646
0.01684  24.94773192
0.01826  19.96205671
0.01967  16.23963756
0.02109  13.30461389
0.02251  11.47426977
0.02393  9.761546004
0.02535  8.671069323
0.02677  7.646380334
0.02818  6.893299445
0.0296  6.255314252
0.03102  5.740334778
0.03244  5.290286309
0.03386  4.887311574
0.03527  4.60924487
0.03669  4.355015809
0.03811  4.127394815
0.03953  3.992564956
0.04095  3.800803879
0.04237  3.66388804
0.04378  3.502862765
0.0452  3.420479439
0.04662  3.345639613
0.04804  3.286578721
0.04946  3.207488543
0.05087  3.147876214
0.05229  3.05630804
0.05371  3.03479266
0.05513  3.005586911
0.05655  2.93103069
0.05797  2.917995466
0.05938  2.922374359
0.0608  2.899315517
0.06222  2.806882126
0.06364  2.84636254
0.06506  2.820102138
0.06647  2.76639049
0.06789  2.720023372
0.06931  2.744053794
0.07073  2.734194085
0.07215  2.738485756
0.07356  2.753687251
0.07498  2.762581168
0.0764  2.791849761
0.07782  2.783490514
0.07924  2.681499918
0.08066  2.709824732
0.08207  2.731690553
0.08349  2.707682184
0.08491  2.698365074
0.08633  2.652331851
0.08775  2.630989253
0.08916  2.688780986
0.09058  2.690564582
0.092  2.667620251
0.09342  2.659318396
0.09484  2.662861315
0.09626  2.67235778
0.09767  2.682198197
0.09909  2.6499431
0.10051  2.673725958
0.10193  2.659897239
0.10335  2.669373988
0.10476  2.635794606
0.10618  2.644830085
0.1076  2.653272932
0.10902  2.621149581
0.11044  2.647514305
0.11185  2.656036499
0.11327  2.658723115
0.11469  2.652886179
0.11611  2.626628615
0.11753  2.662683648
0.11895  2.648005145
0.12036  2.662462069
0.12178  2.677188221
0.1232  2.701414647
0.12462  2.812985235
0.12604  2.919562552
0.12745  2.949991007
0.12887  2.861466983
0.13029  2.777933084
0.13171  2.786386327
0.13313  2.77363031
0.13455  2.798074431
0.13596  2.812295744
0.13738  2.847477819
0.1388  2.863618911
0.14022  2.88399237
0.14164  2.937468311
0.14305  2.970167038
0.14447  3.064024514
0.14589  3.218915398
0.14731  3.499776608
0.14873  3.762793569
0.15015  3.497328421
0.15156  3.307340853
0.15298  3.249582157
0.1544  3.357422674
0.15582  3.578410597
0.15724  3.858709938
0.15865  4.051182481
0.16007  3.842606848
0.16149  3.408299842
0.16291  3.182964226
0.16433  3.062077173
0.16574  2.925080954
0.16716  2.951300746
0.16858  2.906016355
0.17  2.870230761
0.17142  2.796998763
0.17284  2.805591418
0.17425  2.795232452
0.17567  2.772337219
0.17709  2.733624876
0.17851  2.747697903
0.17993  2.7397056
0.18134  2.702983471
0.18276  2.714609911
0.18418  2.694924433
0.1856  2.606473059
0.18702  2.656073773
0.18844  2.578387338
0.18985  2.631250312
0.19127  2.658382379
0.19269  2.61500148
0.19411  2.606457326
0.19553  2.612885705
0.19694  2.610296297
0.19836  2.582369328
0.19978  2.594853848
0.2012  2.602993691
0.20262  2.622550629
0.20403  2.622147635
0.20545  2.592019787
0.20687  2.574259929
0.20829  2.593495114
0.20971  2.556446352
0.21113  2.554071184
0.21254  2.530661202
0.21396  2.575348203
0.21538  2.545586071
0.2168  2.553529744
0.21822  2.581604525
0.21963  2.600137688
0.22105  2.594044218
0.22247  2.54398305
0.22389  2.57759982
0.22531  2.559090101
0.22673  2.549047849
0.22814  2.6014951
0.22956  2.552524864
0.23098  2.582545589
0.2324  2.546935105
0.23382  2.561860582
0.23523  2.5585928
0.23665  2.5442305
0.23807  2.554510637
0.23949  2.566418794
0.24091  2.529124463
0.24233  2.588684867
0.24374  2.55189661
0.24516  2.563596728
0.24658  2.530499978
0.248  2.591194076
0.24942  2.541960356
0.25083  2.558171381
0.25225  2.501759994
0.25367  2.533241465
0.25509  2.539254675
0.25651  2.530933007
0.25792  2.532187444
0.25934  2.533118044
0.26076  2.533632723
0.26218  2.528154005
0.2636  2.553608944
0.26502  2.565829558
0.26643  2.594345927
0.26785  2.594999957
0.26927  2.554522223
0.27069  2.55090277
0.27211  2.546164077
0.27352  2.545004437
0.27494  2.593242252
0.27636  2.575855244
0.27778  2.540160983
0.2792  2.562315059
0.28062  2.576788954
0.28203  2.535806048
0.28345  2.573771117
0.28487  2.549667597
0.28629  2.574612036
0.28771  2.557686661
0.28912  2.576300672
0.29054  2.559399442
0.29196  2.566042
0.29338  2.537577595
0.2948  2.56348867
0.29621  2.590843177
0.29763  2.559649348
0.29905  2.534709034
0.30047  2.526563024
0.30189  2.56587276
0.30331  2.527139867
0.30472  2.564958233
0.30614  2.50219041
0.30756  2.492815858
0.30898  2.562876228
0.3104  2.564472299
0.31181  2.584200458
0.31323  2.574171287
0.31465  2.504683656
0.31607  2.588972174
0.31749  2.560903984
0.31891  2.547777967
0.32032  2.592491947
0.32174  2.562349621
0.32316  2.567597996
0.32458  2.573287019
0.326  2.535456778
0.32741  2.569941337
0.32883  2.53286986
0.33025  2.552086968
0.33167  2.536360227
0.33309  2.594268167
0.33451  2.598435493
0.33592  2.578662412
0.33734  2.568224846
0.33876  2.558198165
0.34018  2.558454542
0.3416  2.523244386
0.34301  2.566910634
0.34443  2.566647271
0.34585  2.601621817
0.34727  2.559539952
0.34869  2.588116314
0.3501  2.574327614
0.35152  2.54773438
0.35294  2.579975477
0.35436  2.556573933
0.35578  2.606711262
0.3572  2.591209355
0.35861  2.560724482
0.36003  2.574910472
0.36145  2.577468053
0.36287  2.572788878
0.36429  2.565357346
0.3657  2.583078627
0.36712  2.57331849
0.36854  2.577962367
0.36996  2.578447469
0.37138  2.556303707
0.3728  2.592098336
0.37421  2.54858775
0.37563  2.584279558
0.37705  2.563467235
0.37847  2.575486857
0.37989  2.605932728
0.3813  2.585515097
0.38272  2.562999858
0.38414  2.59978746
0.38556  2.606284072
0.38698  2.566993398
0.38839  2.611285315
0.38981  2.578847906
0.39123  2.573260611
0.39265  2.576123958
0.39407  2.585147836
0.39549  2.620914451
0.3969  2.608688107
0.39832  2.624380268
0.39974  2.589441384
0.40116  2.569203546
0.40258  2.632790621
0.40399  2.635105349
0.40541  2.620298924
0.40683  2.609721341
0.40825  2.616811725
0.40967  2.636187249
0.41109  2.62174712
0.4125  2.622029415
0.41392  2.619814341
0.41534  2.609796979
0.41676  2.607967388
0.41818  2.597268071
0.41959  2.633999063
0.42101  2.651562503
0.42243  2.674773364
0.42385  2.675499344
0.42527  2.649538968
0.42669  2.6376855
0.4281  2.654923268
0.42952  2.609579029
0.43094  2.627675881
0.43236  2.608703737
0.43378  2.651289867
0.43519  2.627756442
0.43661  2.608264614
0.43803  2.614667397
0.43945  2.636135159
0.44087  2.646958102
0.44228  2.653769577
0.4437  2.626478425
0.44512  2.624099448
0.44654  2.633506787
0.44796  2.671352811
0.44938  2.682389167
0.45079  2.628032362
0.45221  2.699305647
0.45363  2.683113424
0.45505  2.648944124
0.45647  2.694235884
0.45788  2.633455985
0.4593  2.68149324
0.46072  2.666256176
0.46214  2.661005178
0.46356  2.639844261
0.46498  2.653191053
0.46639  2.666467426
0.46781  2.673141655
0.46923  2.650202032
0.47065  2.691780325
0.47207  2.659121999
0.47348  2.678522947
0.4749  2.691377641
0.47632  2.666848108
0.47774  2.665575767
0.47916  2.675727506
0.48057  2.646588997
0.48199  2.665195379
0.48341  2.66035202
0.48483  2.634023841
0.48625  2.621572058
0.48767  2.642789388
0.48908  2.648282525
0.4905  2.640156579
0.49192  2.631616201
0.49334  2.651588493
0.49476  2.641660957
0.49617  2.647343899
0.49759  2.644368324
0.49901  2.676941575
0.50043  2.664901365
0.50185  2.703526024
0.50327  2.686011563
0.50468  2.694337186
0.5061  2.661751221
0.50752  2.67563374
0.50894  2.691195431
0.51036  2.669814478
0.51177  2.732450184
0.51319  2.697865446
0.51461  2.71229381
0.51603  2.676061054
0.51745  2.717902444
0.51887  2.734176919
0.52028  2.758791344
0.5217  2.691027014
0.52312  2.729042797
0.52454  2.711376969
0.52596  2.71867635
0.52737  2.725615338
0.52879  2.746949328
0.53021  2.76034799
0.53163  2.733059808
0.53305  2.735106846
0.53446  2.741469807
0.53588  2.739862936
0.5373  2.760010616
0.53872  2.789055981
0.54014  2.749850955
0.54156  2.745721959
0.54297  2.753416096
0.54439  2.777520138
0.54581  2.71505274
0.54723  2.713649808
0.54865  2.761738366
0.55006  2.783034737
0.55148  2.754086555
0.5529  2.78599834
0.55432  2.753896517
0.55574  2.746695424
0.55716  2.725690506
0.55857  2.739539379
0.55999  2.720838834
0.56141  2.754914496
0.56283  2.780641178
0.56425  2.793849379
0.56566  2.778350854
0.56708  2.738389628
0.5685  2.777742447
0.56992  2.786777984
0.57134  2.755736864
0.57275  2.770476049
0.57417  2.781729411
0.57559  2.796525095
0.57701  2.75277742
0.57843  2.804434841
0.57985  2.772377217
0.58126  2.805652057
0.58268  2.803138047
0.5841  2.779336947
0.58552  2.78829087
0.58694  2.784775126
