q I
0.005321221 5.373898085
0.006081395 3.744780851
0.006841568 2.728316376
0.007601742 2.191167832
0.008361916 1.77145566
0.009122089 1.47605514
0.009882262 1.259468271
0.010642435 1.102073502
0.011402608 0.970053993
0.01216278 0.874165532
0.012922953 0.80116347
0.013683124 0.741733168
0.014443296 0.689286852
0.015203467 0.649096768
0.015963638 0.613386983
0.016723809 0.584844104
0.017483979 0.558270635
0.018244149 0.536325512
0.019004318 0.518026525
0.019764487 0.500775718
0.020524655 0.48497094
0.021284823 0.472666859
0.022044991 0.459376065
0.022805158 0.450115406
0.023565325 0.442872685
0.024325491 0.43155323
0.025085656 0.422806336
0.025845821 0.418122434
0.026605985 0.408364431
0.027366149 0.399375346
0.028126312 0.392724282
0.028886475 0.388268192
0.029646636 0.381026327
0.030406798 0.375118358
0.031166958 0.372015503
0.031927118 0.365096804
0.032687277 0.358956504
0.033447435 0.353404505
0.034207593 0.3502736
0.03496775 0.346403782
0.035727906 0.341935403
0.036488061 0.337479465
0.037248215 0.334350677
0.038008369 0.331017954
0.038768521 0.327663485
0.039528673 0.324329508
0.040288824 0.320790178
0.041048974 0.31966187
0.041809123 0.316549994
0.042569271 0.315394101
0.043329419 0.312832559
0.044089565 0.316548715
0.04484971 0.327960036
0.045609854 0.347010395
0.046369998 0.37215857
0.04713014 0.409331234
0.047890281 0.462657901
0.048650421 0.495184361
0.04941056 0.444208823
0.050170698 0.358690483
0.050930834 0.312225087
0.05169097 0.296637784
0.052451104 0.28953161
0.053211237 0.283046568
0.053971369 0.28072526
0.0547315 0.279201438
0.05549163 0.277869316
0.056251758 0.27370587
0.057011885 0.271137417
0.057772011 0.270682765
0.058532135 0.267895109
0.059292258 0.265896067
0.06005238 0.26466517
0.060812501 0.262494353
0.06157262 0.261412062
0.062332737 0.261239425
0.063092854 0.258996286
0.063852969 0.260623239
0.064613082 0.263009918
0.065373194 0.265367391
0.066133305 0.268035014
0.066893414 0.273203767
0.067653521 0.28103349
0.068413627 0.290192776
0.069173732 0.29170042
0.069933834 0.274395866
0.070693936 0.252658884
0.071454036 0.240159452
0.072214134 0.233260565
0.07297423 0.229229337
0.073734325 0.226654364
0.074494418 0.222965772
0.07525451 0.221762743
0.0760146 0.21964416
0.076774688 0.218640365
0.077534774 0.217218729
0.078294859 0.21706212
0.079054942 0.218980246
0.079815023 0.219183754
0.080575102 0.220622677
0.08133518 0.22230873
0.082095255 0.22575899
0.082855329 0.229770785
0.083615401 0.236253747
0.084375471 0.240428055
0.085135539 0.234115173
0.085895606 0.219145059
0.08665567 0.206413173
0.087415732 0.19846984
0.088175793 0.193862535
0.088935851 0.191443829
0.089695908 0.188645229
0.090455962 0.186610564
0.091216015 0.184008066
0.091976065 0.182213633
0.092736113 0.180153564
0.093496159 0.179486986
0.094256204 0.176756861
0.095016246 0.175042527
0.095776285 0.17345599
0.096536323 0.171563193
0.097296359 0.171316704
0.098056392 0.168476075
0.098816423 0.167432635
0.099576452 0.166735971
0.100336478 0.165247907
0.101096503 0.16421439
0.101856525 0.163695459
0.102616545 0.162938924
0.103376562 0.16250034
0.104136577 0.162247444
0.10489659 0.16167641
0.105656601 0.161288624
0.106416609 0.161810255
0.107176615 0.161911213
0.107936618 0.163297293
0.108696619 0.164242363
0.109456617 0.169021702
0.110216613 0.178246476
0.110976607 0.212596747
0.111736598 0.27682994
0.112496586 0.321101817
0.113256572 0.278492801
0.114016556 0.217617162
0.114776536 0.185268246
0.115536515 0.175380623
0.11629649 0.17376489
0.117056463 0.174788925
0.117816434 0.175782681
0.118576402 0.177756985
0.119336367 0.181051898
0.120096329 0.185870459
0.120856289 0.189292655
0.121616246 0.193753938
0.1223762 0.198169654
0.123136152 0.204991871
0.1238961 0.210356182
0.124656046 0.216545147
0.125415989 0.223880668
0.12617593 0.230543842
0.126935867 0.239459706
0.127695802 0.247250855
0.128455734 0.25624843
0.129215662 0.263711331
0.129975588 0.272221657
0.130735512 0.279856381
0.131495432 0.287341867
0.132255349 0.293011113
0.133015263 0.297848651
0.133775174 0.303620544
0.134535082 0.307508838
0.135294987 0.308833183
0.13605489 0.308061077
0.136814789 0.307521157
0.137574685 0.304234632
0.138334577 0.300249697
0.139094467 0.295592711
0.139854354 0.288832197
0.140614237 0.280741083
0.141374118 0.271286087
0.142133995 0.262253564
0.142893869 0.251987501
0.14365374 0.240782572
0.144413607 0.231631288
0.145173471 0.219811888
0.145933332 0.209236535
0.14669319 0.199326472
0.147453044 0.189152293
0.148212896 0.180201365
0.148972743 0.171619643
0.149732588 0.163561626
0.150492429 0.155810087
0.151252267 0.149476652
0.152012101 0.143094487
0.152771932 0.137827519
0.153531759 0.132315347
0.154291583 0.129153222
0.155051404 0.125546698
0.155811221 0.120695075
0.156571034 0.117598318
0.157330844 0.115641356
0.158090651 0.112309345
0.158850453 0.11034944
0.159610253 0.107884289
0.160370048 0.106680425
0.161129841 0.105417425
0.161889629 0.102779401
0.162649414 0.101932971
0.163409195 0.100850839
0.164168973 0.100339519
0.164928747 0.098769954
0.165688517 0.098400974
0.166448283 0.097249717
0.167208046 0.096340901
0.167967805 0.095255033
0.16872756 0.095642174
0.169487311 0.094375993
0.170247059 0.093236054
0.171006803 0.092641751
0.171766542 0.092168889
0.172526278 0.091795923
0.173286011 0.091211586
0.174045739 0.09083921
0.174805463 0.089592455
0.175565183 0.089219369
0.1763249 0.088941027
0.177084612 0.088235908
0.177844321 0.088608805
0.178604025 0.08782629
0.179363726 0.08720061
0.180123422 0.086876906
0.180883115 0.086566416
0.181642803 0.085744417
0.182402487 0.085706268
0.183162167 0.085236356
0.183921844 0.085212175
0.184681515 0.084416492
0.185441183 0.083325367
0.186200847 0.083475661
0.186960506 0.083891294
0.187720161 0.082952632
0.188479812 0.082846768
0.189239459 0.082357215
0.189999102 0.082319422
0.19075874 0.082271234
0.191518374 0.081939816
0.192278003 0.082373562
0.193037629 0.083499215
0.19379725 0.086064447
0.194556866 0.088838855
0.195316479 0.088203553
0.196076086 0.084763023
0.19683569 0.081487834
0.197595289 0.080186775
0.198354883 0.07900435
0.199114474 0.079053966
0.199874059 0.078010723
0.20063364 0.07727236
0.201393217 0.077575536
0.202152789 0.076710572
0.202912357 0.076115673
0.20367192 0.076577575
0.204431478 0.075937687
0.205191032 0.075720219
0.205950581 0.075297041
0.206710126 0.074780603
0.207469666 0.074571672
0.208229201 0.074521384
0.208988732 0.073995303
0.209748258 0.074071438
0.210507779 0.073835946
0.211267295 0.073105274
0.212026807 0.073245465
0.212786314 0.072685961
0.213545816 0.072671005
0.214305314 0.07200006
0.215064806 0.07206769
0.215824294 0.071374781
0.216583777 0.071189713
0.217343255 0.071966185
0.218102728 0.071625464
0.218862196 0.070991554
0.21962166 0.071056701
0.220381118 0.070771786
0.221140572 0.070876528
0.22190002 0.070839152
0.222659464 0.070937652
0.223418902 0.07125238
0.224178336 0.072199513
0.224937764 0.074011968
0.225697187 0.073641375
0.226456606 0.071258652
0.227216019 0.070405558
0.227975427 0.069516082
0.22873483 0.069807671
0.229494228 0.068468849
0.230253621 0.06853554
0.231013008 0.068241507
0.231772391 0.067941587
0.232531768 0.067669017
0.23329114 0.067194912
0.234050506 0.066628601
0.234809868 0.067047382
0.235569224 0.067113394
0.236328575 0.066268242
0.23708792 0.066399523
0.23784726 0.06607999
0.238606595 0.066346121
0.239365925 0.065626052
0.240125249 0.0651983
0.240884568 0.065414146
0.241643881 0.065081761
0.242403189 0.064978537
0.243162491 0.065147542
0.243921788 0.064917391
0.24468108 0.065154389
0.245440366 0.064744325
0.246199647 0.064297627
0.246958922 0.064772942
0.247718191 0.064558533
0.248477455 0.064610494
0.249236713 0.064525645
0.249995966 0.06413426
0.250755213 0.064133783
0.251514454 0.063649443
0.25227369 0.064020492
0.25303292 0.06373315
0.253792145 0.063603998
0.254551364 0.063523024
0.255310577 0.063624476
0.256069784 0.063588295
0.256828986 0.063811569
0.257588181 0.063492503
0.258347371 0.063895587
0.259106556 0.063451666
0.259865734 0.063657638
0.260624907 0.063497446
0.261384073 0.063700813
0.262143234 0.063628631
0.262902389 0.063661188
0.263661538 0.063618531
0.264420681 0.063980503
0.265179818 0.064231016
0.26593895 0.063924602
0.266698075 0.064735944
0.267457194 0.064538697
0.268216308 0.064800664
0.268975415 0.064762146
0.269734516 0.064975486
0.270493611 0.064914105
0.2712527 0.065175569
0.272011783 0.065089509
0.27277086 0.064827467
0.273529931 0.065301051
0.274288996 0.06569747
0.275048054 0.065632313
0.275807106 0.065329608
0.276566152 0.065929466
0.277325192 0.064912947
0.278084226 0.065396708
0.278843253 0.064763087
0.279602275 0.064319826
0.28036129 0.064648631
0.281120298 0.064217903
0.2818793 0.064035155
0.282638296 0.063528004
0.283397286 0.062923326
0.284156269 0.062485351
0.284915246 0.062629862
0.285674217 0.061918355
0.286433181 0.061995926
0.287192138 0.06130318
0.28795109 0.061012099
0.288710034 0.061113252
0.289468973 0.060720725
0.290227904 0.060700658
0.29098683 0.058998737
0.291745748 0.059847038
0.292504661 0.059402534
0.293263566 0.058851091
0.294022465 0.058700812
0.294781358 0.058865931
0.295540244 0.058285437
0.296299123 0.05796575
0.297057995 0.057388021
0.297816861 0.057939675
0.29857572 0.057428705
0.299334573 0.057703198
0.300093419 0.057508228
0.300852258 0.057006751
0.30161109 0.056953479
0.302369915 0.056796773
0.303128734 0.056676225
0.303887546 0.056294125
0.304646351 0.056507004
0.30540515 0.055997556
0.306163941 0.055854627
0.306922726 0.056403792
0.307681503 0.056029499
0.308440274 0.055700851
0.309199038 0.05588632
0.309957795 0.055887069
0.310716545 0.05539287
0.311475288 0.055778348
0.312234024 0.055353927
0.312992753 0.055321279
0.313751475 0.055018703
0.31451019 0.055303195
0.315268898 0.055409882
0.316027598 0.054848868
0.316786292 0.055320316
0.317544979 0.054881885
0.318303658 0.054981143
0.319062331 0.054761388
0.319820996 0.054740097
