# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  1.18993e+00  2.34173e-02 
  2.25063e-03  1.23337e+00  1.56098e-02 
  3.50125e-03  1.23286e+00  1.25158e-02 
  4.75188e-03  1.23061e+00  1.07440e-02 
  6.00251e-03  1.21506e+00  9.56020e-03 
  7.25313e-03  1.21613e+00  8.69785e-03 
  8.50376e-03  1.21750e+00  8.03367e-03 
  9.75439e-03  1.22601e+00  7.50181e-03 
  1.10050e-02  1.22908e+00  7.06343e-03 
  1.22556e-02  1.22468e+00  6.69398e-03 
  1.35063e-02  1.22434e+00  6.37703e-03 
  1.47569e-02  1.22212e+00  6.10114e-03 
  1.60075e-02  1.21759e+00  5.85805e-03 
  1.72581e-02  1.22870e+00  5.64163e-03 
  1.85088e-02  1.21867e+00  5.44721e-03 
  1.97594e-02  1.22812e+00  5.27114e-03 
  2.10100e-02  1.22260e+00  5.11057e-03 
  2.22607e-02  1.22058e+00  4.96316e-03 
  2.35113e-02  1.21173e+00  4.82705e-03 
  2.47619e-02  1.21670e+00  4.70065e-03 
  2.60125e-02  1.21490e+00  4.58266e-03 
  2.72632e-02  1.21289e+00  4.47197e-03 
  2.85138e-02  1.20899e+00  4.36762e-03 
  2.97644e-02  1.20100e+00  4.26879e-03 
  3.10150e-02  1.20175e+00  4.17477e-03 
  3.22657e-02  1.19479e+00  4.08490e-03 
  3.35163e-02  1.19259e+00  3.99863e-03 
  3.47669e-02  1.18191e+00  3.91545e-03 
  3.60175e-02  1.18521e+00  3.83491e-03 
  3.72682e-02  1.17433e+00  3.75660e-03 
  3.85188e-02  1.16362e+00  3.68012e-03 
  3.97694e-02  1.15483e+00  3.60515e-03 
  4.10201e-02  1.14033e+00  3.53135e-03 
  4.22707e-02  1.12549e+00  3.45845e-03 
  4.35213e-02  1.10952e+00  3.38618e-03 
  4.47719e-02  1.09624e+00  3.31429e-03 
  4.60226e-02  1.08000e+00  3.24257e-03 
  4.72732e-02  1.05884e+00  3.17081e-03 
  4.85238e-02  1.03871e+00  3.09885e-03 
  4.97744e-02  1.00725e+00  3.02654e-03 
  5.10251e-02  9.88815e-01  2.95374e-03 
  5.22757e-02  9.63727e-01  2.88037e-03 
  5.35263e-02  9.33666e-01  2.80633e-03 
  5.47769e-02  9.05251e-01  2.73159e-03 
  5.60276e-02  8.71760e-01  2.65612e-03 
  5.72782e-02  8.45007e-01  2.57992e-03 
  5.85288e-02  8.13981e-01  2.50303e-03 
  5.97794e-02  7.79263e-01  2.42549e-03 
  6.10301e-02  7.44177e-01  2.34740e-03 
  6.22807e-02  7.08746e-01  2.26884e-03 
  6.35313e-02  6.72324e-01  2.18994e-03 
  6.47820e-02  6.36883e-01  2.11085e-03 
  6.60326e-02  5.97805e-01  2.03171e-03 
  6.72832e-02  5.64299e-01  1.95269e-03 
  6.85338e-02  5.30004e-01  1.87397e-03 
  6.97845e-02  4.89852e-01  1.79573e-03 
  7.10351e-02  4.59791e-01  1.71813e-03 
  7.22857e-02  4.22638e-01  1.64137e-03 
  7.35363e-02  3.94504e-01  1.56561e-03 
  7.47870e-02  3.63668e-01  1.49102e-03 
  7.60376e-02  3.32686e-01  1.41776e-03 
  7.72882e-02  3.03151e-01  1.34597e-03 
  7.85388e-02  2.73815e-01  1.27578e-03 
  7.97895e-02  2.49822e-01  1.20731e-03 
  8.10401e-02  2.22521e-01  1.14068e-03 
  8.22907e-02  2.02037e-01  1.07597e-03 
  8.35414e-02  1.78952e-01  1.01325e-03 
  8.47920e-02  1.58752e-01  9.52608e-04 
  8.60426e-02  1.42156e-01  8.94089e-04 
  8.72932e-02  1.24595e-01  8.37741e-04 
  8.85439e-02  1.09228e-01  7.83604e-04 
  8.97945e-02  9.58250e-02  7.31710e-04 
  9.10451e-02  8.18128e-02  6.82088e-04 
  9.22957e-02  7.04380e-02  6.34762e-04 
  9.35464e-02  6.03514e-02  5.89760e-04 
  9.47970e-02  5.12101e-02  5.47108e-04 
  9.60476e-02  4.29135e-02  5.06840e-04 
