# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  9.92728e-01  1.44914e-02 
  2.25063e-03  1.01269e+00  9.65013e-03 
  3.50125e-03  9.90627e-01  7.72363e-03 
  4.75188e-03  9.90075e-01  6.61335e-03 
  6.00251e-03  9.79232e-01  5.86517e-03 
  7.25313e-03  9.70677e-01  5.31433e-03 
  8.50376e-03  9.63200e-01  4.88473e-03 
  9.75439e-03  9.55467e-01  4.53577e-03 
  1.10050e-02  9.38660e-01  4.24355e-03 
  1.22556e-02  9.26113e-01  3.99298e-03 
  1.35063e-02  9.09723e-01  3.77402e-03 
  1.47569e-02  8.97814e-01  3.57970e-03 
  1.60075e-02  8.80557e-01  3.40499e-03 
  1.72581e-02  8.61579e-01  3.24620e-03 
  1.85088e-02  8.38815e-01  3.10054e-03 
  1.97594e-02  8.16336e-01  2.96586e-03 
  2.10100e-02  7.99214e-01  2.84046e-03 
  2.22607e-02  7.72069e-01  2.72302e-03 
  2.35113e-02  7.50237e-01  2.61246e-03 
  2.47619e-02  7.24722e-01  2.50790e-03 
  2.60125e-02  7.02169e-01  2.40862e-03 
  2.72632e-02  6.79139e-01  2.31404e-03 
  2.85138e-02  6.59853e-01  2.22367e-03 
  2.97644e-02  6.30126e-01  2.13709e-03 
  3.10150e-02  6.05200e-01  2.05396e-03 
  3.22657e-02  5.77139e-01  1.97398e-03 
  3.35163e-02  5.54324e-01  1.89691e-03 
  3.47669e-02  5.28610e-01  1.82254e-03 
  3.60175e-02  5.01364e-01  1.75068e-03 
  3.72682e-02  4.77808e-01  1.68120e-03 
  3.85188e-02  4.50321e-01  1.61394e-03 
  3.97694e-02  4.24576e-01  1.54881e-03 
  4.10201e-02  4.04274e-01  1.48571e-03 
  4.22707e-02  3.80025e-01  1.42456e-03 
  4.35213e-02  3.57234e-01  1.36529e-03 
  4.47719e-02  3.30648e-01  1.30785e-03 
  4.60226e-02  3.09651e-01  1.25218e-03 
  4.72732e-02  2.87750e-01  1.19825e-03 
  4.85238e-02  2.68624e-01  1.14602e-03 
  4.97744e-02  2.48538e-01  1.09547e-03 
  5.10251e-02  2.30198e-01  1.04657e-03 
  5.22757e-02  2.11702e-01  9.99315e-04 
  5.35263e-02  1.92981e-01  9.53690e-04 
  5.47769e-02  1.76212e-01  9.09687e-04 
  5.60276e-02  1.60919e-01  8.67305e-04 
  5.72782e-02  1.44990e-01  8.26543e-04 
  5.85288e-02  1.30544e-01  7.87404e-04 
  5.97794e-02  1.18273e-01  7.49895e-04 
  6.10301e-02  1.04886e-01  7.14023e-04 
  6.22807e-02  9.28318e-02  6.79798e-04 
  6.35313e-02  8.33504e-02  6.47232e-04 
  6.47820e-02  7.28330e-02  6.16338e-04 
  6.60326e-02  6.32789e-02  5.87128e-04 
  6.72832e-02  5.59523e-02  5.59614e-04 
  6.85338e-02  4.80574e-02  5.33807e-04 
  6.97845e-02  4.10839e-02  5.09715e-04 
  7.10351e-02  3.59215e-02  4.87342e-04 
  7.22857e-02  2.89706e-02  4.66687e-04 
  7.35363e-02  2.37477e-02  4.47740e-04 
  7.47870e-02  1.99045e-02  4.30485e-04 
  7.60376e-02  1.46040e-02  4.14895e-04 
  7.72882e-02  1.18999e-02  4.00931e-04 
  7.85388e-02  1.01633e-02  3.88540e-04 
  7.97895e-02  6.77074e-03  3.77660e-04 
  8.10401e-02  4.77339e-03  3.68211e-04 
  8.22907e-02  3.63718e-03  3.60107e-04 
  8.35414e-02  2.13753e-03  3.53247e-04 
  8.47920e-02  1.29511e-03  3.47525e-04 
  8.60426e-02  1.04194e-03  3.42826e-04 
  8.72932e-02  4.78955e-04  3.39037e-04 
  8.85439e-02  -6.11261e-05 3.36041e-04 
  8.97945e-02  -3.19287e-05 3.33723e-04 
  9.10451e-02  2.61183e-04  3.31976e-04 
  9.22957e-02  8.12211e-04  3.30696e-04 
  9.35464e-02  7.91744e-04  3.29787e-04 
