# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  -4.15664e-03 3.08995e-03 
  2.25063e-03  -1.00188e-03 2.06501e-03 
  3.50125e-03  -2.68525e-03 1.66340e-03 
  4.75188e-03  4.99806e-04  1.43779e-03 
  6.00251e-03  6.91023e-04  1.29140e-03 
  7.25313e-03  3.35854e-03  1.18920e-03 
  8.50376e-03  3.15783e-03  1.11509e-03 
  9.75439e-03  4.27078e-03  1.06052e-03 
  1.10050e-02  8.33029e-03  1.02050e-03 
  1.22556e-02  8.98231e-03  9.91902e-04 
  1.35063e-02  1.31227e-02  9.72612e-04 
  1.47569e-02  1.73364e-02  9.61135e-04 
  1.60075e-02  2.36200e-02  9.56348e-04 
  1.72581e-02  2.85124e-02  9.57358e-04 
  1.85088e-02  3.50451e-02  9.63431e-04 
  1.97594e-02  4.24705e-02  9.73932e-04 
  2.10100e-02  5.22094e-02  9.88304e-04 
  2.22607e-02  6.28287e-02  1.00604e-03 
  2.35113e-02  7.33896e-02  1.02670e-03 
  2.47619e-02  8.75681e-02  1.04984e-03 
  2.60125e-02  1.00483e-01  1.07510e-03 
  2.72632e-02  1.15531e-01  1.10213e-03 
  2.85138e-02  1.30842e-01  1.13059e-03 
  2.97644e-02  1.51482e-01  1.16020e-03 
  3.10150e-02  1.70679e-01  1.19067e-03 
  3.22657e-02  1.90462e-01  1.22177e-03 
  3.35163e-02  2.11394e-01  1.25325e-03 
  3.47669e-02  2.35410e-01  1.28490e-03 
  3.60175e-02  2.60873e-01  1.31652e-03 
  3.72682e-02  2.86302e-01  1.34794e-03 
  3.85188e-02  3.17853e-01  1.37897e-03 
  3.97694e-02  3.45130e-01  1.40947e-03 
  4.10201e-02  3.75237e-01  1.43929e-03 
  4.22707e-02  4.05402e-01  1.46829e-03 
  4.35213e-02  4.37098e-01  1.49634e-03 
  4.47719e-02  4.68328e-01  1.52333e-03 
  4.60226e-02  5.00088e-01  1.54915e-03 
  4.72732e-02  5.33903e-01  1.57371e-03 
  4.85238e-02  5.71671e-01  1.59689e-03 
  4.97744e-02  5.99612e-01  1.61864e-03 
  5.10251e-02  6.34560e-01  1.63885e-03 
  5.22757e-02  6.66504e-01  1.65747e-03 
  5.35263e-02  7.00564e-01  1.67442e-03 
  5.47769e-02  7.31880e-01  1.68965e-03 
  5.60276e-02  7.64706e-01  1.70311e-03 
  5.72782e-02  7.93574e-01  1.71475e-03 
  5.85288e-02  8.21950e-01  1.72453e-03 
  5.97794e-02  8.47504e-01  1.73242e-03 
  6.10301e-02  8.70161e-01  1.73838e-03 
  6.22807e-02  8.93648e-01  1.74240e-03 
  6.35313e-02  9.18311e-01  1.74446e-03 
  6.47820e-02  9.34419e-01  1.74454e-03 
  6.60326e-02  9.51973e-01  1.74264e-03 
  6.72832e-02  9.67484e-01  1.73875e-03 
  6.85338e-02  9.77732e-01  1.73289e-03 
  6.97845e-02  9.86046e-01  1.72505e-03 
  7.10351e-02  9.96331e-01  1.71526e-03 
  7.22857e-02  9.97012e-01  1.70353e-03 
  7.35363e-02  9.99836e-01  1.68989e-03 
  7.47870e-02  9.98411e-01  1.67436e-03 
  7.60376e-02  9.92423e-01  1.65697e-03 
  7.72882e-02  9.87714e-01  1.63777e-03 
  7.85388e-02  9.77760e-01  1.61679e-03 
  7.97895e-02  9.64078e-01  1.59408e-03 
