# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  1.21017e+00  1.57398e-02 
  2.25063e-03  1.17297e+00  1.03885e-02 
  3.50125e-03  1.13491e+00  8.21698e-03 
  4.75188e-03  1.09448e+00  6.95488e-03 
  6.00251e-03  1.06659e+00  6.10762e-03 
  7.25313e-03  1.05051e+00  5.49069e-03 
  8.50376e-03  1.02012e+00  5.01612e-03 
  9.75439e-03  9.97009e-01  4.63586e-03 
  1.10050e-02  9.73079e-01  4.32139e-03 
  1.22556e-02  9.52800e-01  4.05465e-03 
  1.35063e-02  9.39843e-01  3.82370e-03 
  1.47569e-02  9.17295e-01  3.62033e-03 
  1.60075e-02  8.97326e-01  3.43868e-03 
  1.72581e-02  8.74951e-01  3.27449e-03 
  1.85088e-02  8.55106e-01  3.12457e-03 
  1.97594e-02  8.28971e-01  2.98648e-03 
  2.10100e-02  8.08064e-01  2.85835e-03 
  2.22607e-02  7.81581e-01  2.73868e-03 
  2.35113e-02  7.63559e-01  2.62629e-03 
  2.47619e-02  7.35439e-01  2.52022e-03 
  2.60125e-02  7.15261e-01  2.41970e-03 
  2.72632e-02  6.88594e-01  2.32407e-03 
  2.85138e-02  6.59346e-01  2.23282e-03 
  2.97644e-02  6.36373e-01  2.14551e-03 
  3.10150e-02  6.06857e-01  2.06175e-03 
  3.22657e-02  5.84313e-01  1.98124e-03 
  3.35163e-02  5.54943e-01  1.90372e-03 
  3.47669e-02  5.34115e-01  1.82897e-03 
  3.60175e-02  5.04557e-01  1.75678e-03 
  3.72682e-02  4.81237e-01  1.68701e-03 
  3.85188e-02  4.55231e-01  1.61952e-03 
  3.97694e-02  4.30085e-01  1.55418e-03 
  4.10201e-02  4.05312e-01  1.49090e-03 
  4.22707e-02  3.83115e-01  1.42959e-03 
  4.35213e-02  3.59251e-01  1.37018e-03 
  4.47719e-02  3.33661e-01  1.31261e-03 
  4.60226e-02  3.13471e-01  1.25683e-03 
  4.72732e-02  2.92419e-01  1.20280e-03 
  4.85238e-02  2.71687e-01  1.15048e-03 
  4.97744e-02  2.51115e-01  1.09984e-03 
  5.10251e-02  2.31174e-01  1.05087e-03 
  5.22757e-02  2.13061e-01  1.00353e-03 
  5.35263e-02  1.94072e-01  9.57832e-04 
  5.47769e-02  1.78812e-01  9.13753e-04 
  5.60276e-02  1.63501e-01  8.71293e-04 
  5.72782e-02  1.48746e-01  8.30451e-04 
  5.85288e-02  1.32197e-01  7.91228e-04 
  5.97794e-02  1.19587e-01  7.53629e-04 
  6.10301e-02  1.07203e-01  7.17663e-04 
  6.22807e-02  9.55204e-02  6.83338e-04 
  6.35313e-02  8.48618e-02  6.50664e-04 
  6.47820e-02  7.46919e-02  6.19654e-04 
  6.60326e-02  6.63418e-02  5.90319e-04 
  6.72832e-02  5.59901e-02  5.62672e-04 
  6.85338e-02  4.92514e-02  5.36723e-04 
  6.97845e-02  4.23363e-02  5.12479e-04 
  7.10351e-02  3.65314e-02  4.89945e-04 
  7.22857e-02  2.87770e-02  4.69120e-04 
  7.35363e-02  2.50955e-02  4.49997e-04 
  7.47870e-02  2.03488e-02  4.32559e-04 
  7.60376e-02  1.62756e-02  4.16780e-04 
  7.72882e-02  1.33767e-02  4.02623e-04 
  7.85388e-02  9.43015e-03  3.90040e-04 
  7.97895e-02  6.79588e-03  3.78968e-04 
  8.10401e-02  4.68754e-03  3.69332e-04 
  8.22907e-02  3.21689e-03  3.61046e-04 
  8.35414e-02  2.50853e-03  3.54014e-04 
  8.47920e-02  1.62305e-03  3.48129e-04 
  8.60426e-02  1.23243e-03  3.43282e-04 
  8.72932e-02  7.52424e-04  3.39357e-04 
  8.85439e-02  3.84130e-04  3.36240e-04 
  8.97945e-02  1.23902e-04  3.33818e-04 
