Sample description: EDF_DataBlockID                     0.Image.Psd
Sample: EDF_DataBlockID  c= 0 mg/ml  Code: 
Parent(s): /Users/andreashlarsen/Downloads/Group4_120824Afertnoon/merge_001.dat /Users/andreashlarsen/Downloads/Group4_120824Afertnoon/merge_002.dat
  1.239476e-02   1.556932e-01   9.742279e-03
  1.273434e-02   1.539070e-01   9.138288e-03
  1.307392e-02   1.644901e-01   8.429181e-03
  1.341351e-02   1.529639e-01   8.367526e-03
  1.375309e-02   1.648644e-01   8.680076e-03
  1.409267e-02   1.442565e-01   8.180856e-03
  1.443225e-02   1.666436e-01   7.785039e-03
  1.477184e-02   1.453622e-01   7.274273e-03
  1.511142e-02   1.687162e-01   7.261382e-03
  1.545100e-02   1.626589e-01   7.707709e-03
  1.579058e-02   1.512427e-01   6.790839e-03
  1.613017e-02   1.601958e-01   6.922604e-03
  1.646975e-02   1.596621e-01   6.457106e-03
  1.680933e-02   1.530740e-01   6.414227e-03
  1.714891e-02   1.575723e-01   6.408632e-03
  1.748850e-02   1.476002e-01   6.098276e-03
  1.782808e-02   1.553777e-01   6.192898e-03
  1.816766e-02   1.519928e-01   6.153305e-03
  1.850724e-02   1.540267e-01   6.152626e-03
  1.884683e-02   1.607824e-01   5.879276e-03
  1.918641e-02   1.605954e-01   5.722188e-03
  1.952599e-02   1.558213e-01   5.712333e-03
  1.986557e-02   1.562799e-01   5.475976e-03
  2.020516e-02   1.558650e-01   5.691922e-03
  2.054474e-02   1.583596e-01   5.447003e-03
  2.088432e-02   1.498848e-01   5.430595e-03
  2.122390e-02   1.548874e-01   5.356689e-03
  2.156349e-02   1.537052e-01   5.197193e-03
  2.190307e-02   1.559024e-01   5.305507e-03
  2.224265e-02   1.390142e-01   4.882148e-03
  2.258223e-02   1.506879e-01   5.235634e-03
  2.292181e-02   1.470652e-01   4.896583e-03
  2.326140e-02   1.450998e-01   4.856691e-03
  2.360098e-02   1.551493e-01   4.984975e-03
  2.394056e-02   1.517526e-01   4.872736e-03
  2.428014e-02   1.480725e-01   4.896176e-03
  2.461973e-02   1.454986e-01   4.681806e-03
  2.495931e-02   1.449347e-01   4.750217e-03
  2.529889e-02   1.407084e-01   4.577305e-03
  2.563847e-02   1.469212e-01   4.681976e-03
  2.597806e-02   1.461408e-01   4.581823e-03
  2.631764e-02   1.551815e-01   4.630150e-03
  2.665722e-02   1.385942e-01   4.491642e-03
  2.699680e-02   1.383598e-01   4.351212e-03
  2.733639e-02   1.416295e-01   4.370985e-03
  2.767597e-02   1.483896e-01   4.461211e-03
  2.801555e-02   1.364632e-01   4.239853e-03
  2.835513e-02   1.397913e-01   4.350384e-03
  2.869472e-02   1.417601e-01   4.234905e-03
  2.903430e-02   1.360937e-01   4.152552e-03
  2.937388e-02   1.477779e-01   4.366533e-03
  2.971346e-02   1.384040e-01   4.154180e-03
  3.005305e-02   1.370253e-01   4.128733e-03
  3.039263e-02   1.298162e-01   3.865336e-03
  3.073221e-02   1.332468e-01   4.020860e-03
  3.107179e-02   1.400978e-01   4.079714e-03
  3.141138e-02   1.342962e-01   3.982577e-03
  3.175096e-02   1.282367e-01   3.849994e-03
  3.209054e-02   1.322940e-01   3.809258e-03
  3.243012e-02   1.255273e-01   3.840952e-03
  3.276971e-02   1.323476e-01   3.841858e-03
  3.310929e-02   1.298075e-01   3.775432e-03
  3.344887e-02   1.240374e-01   3.707718e-03
  3.378845e-02   1.199440e-01   3.568672e-03
  3.412804e-02   1.207655e-01   3.677908e-03
  3.446762e-02   1.316036e-01   3.700654e-03
  3.480720e-02   1.355903e-01   3.771447e-03
  3.514678e-02   1.229179e-01   3.589549e-03
  3.548637e-02   1.306478e-01   3.654762e-03
  3.582595e-02   1.210282e-01   3.528719e-03
  3.616553e-02   1.245137e-01   3.471257e-03
  3.650511e-02   1.170226e-01   3.462568e-03
  3.684470e-02   1.211523e-01   3.478413e-03
  3.718428e-02   1.162519e-01   3.394491e-03
  3.752386e-02   1.179888e-01   3.385771e-03
  3.786344e-02   1.230949e-01   3.416325e-03
  3.820302e-02   1.165109e-01   3.351534e-03
  3.854261e-02   1.170061e-01   3.300517e-03
  3.888219e-02   1.183927e-01   3.307583e-03
  3.922177e-02   1.133135e-01   3.241195e-03
  3.956135e-02   1.121349e-01   3.195353e-03
  3.990094e-02   1.104946e-01   3.201673e-03
