
           ####      G N O M             Version 5.0 (r12736)      ####
                                               Tue Aug 17 08:24:30 2021

           ####      Configuration                                 ####

    System Type:                   arbitrary monodisperse (job = 0)
    Minimum characteristic size:         0.0000
    Maximum characteristic size:        49.5000
    rad56:                               0.0000
    Force 0.0 at r = rmin:                  yes
    Force 0.0 at r = rmax:                  yes
    Initial alpha:                       0.0000
    Initial random seed:      50819837458648960
    Points in real space:                   221

    Input  1:                      F:/HR-LYS/dat/alys_0.9.dat
    First data point used:                    1
    Last data point used:                   222
    Scaling coefficient:             0.1000E+01
    Experimental setup:            point collimation



           ####      Results                                       ####

    Parameter    DISCRP  OSCILL  STABIL  SYSDEV  POSITV  VALCEN  SMOOTH
    Weight        1.000   3.000   3.000   3.000   1.000   1.000   1.000
    Sigma         0.300   0.600   0.120   0.120   0.120   0.120   0.600
    Ideal         0.700   1.100   0.000   1.000   1.000   0.950   0.000
    Current       0.708   1.446   0.030   0.371   1.000   0.928   0.140
               --------------------------------------------------------
    Estimate      0.999   0.717   0.940   0.000   1.000   0.966   0.947

    Angular range:                       0.0080 to       1.7200
    Reciprocal space Rg:             0.1456E+02
    Reciprocal space I(0):           0.4279E+02

    Real space range:                    0.0000 to      49.5000
    Real space Rg:                   0.1456E+02 +-   0.1072E+00
    Real space I(0):                 0.4279E+02 +-   0.1911E+00

    Highest ALPHA (theor):           0.4685E+03
    Current ALPHA:                   0.5186E+02

    Total Estimate:                      0.6835 (a REASONABLE solution)



           ####      Experimental Data and Fit                     ####

      S          J EXP       ERROR       J REG       I REG

   0.000000E+00                                                0.427870E+02
   0.888889E-03                                                0.427842E+02
   0.177778E-02                                                0.427771E+02
   0.266667E-02                                                0.427651E+02
   0.355556E-02                                                0.427484E+02
   0.444444E-02                                                0.427270E+02
   0.533333E-02                                                0.427008E+02
   0.622222E-02                                                0.426698E+02
   0.711111E-02                                                0.426341E+02
   0.800000E-02   0.430594E+02   0.458247E+01   0.425936E+02   0.425936E+02
   0.900000E-02   0.429287E+02   0.291180E+01   0.425425E+02   0.425425E+02
   0.100000E-01   0.426489E+02   0.219951E+01   0.424854E+02   0.424854E+02
   0.110000E-01   0.418359E+02   0.178363E+01   0.424225E+02   0.424225E+02
   0.120000E-01   0.423160E+02   0.155261E+01   0.423536E+02   0.423536E+02
   0.130000E-01   0.422435E+02   0.133680E+01   0.422788E+02   0.422788E+02
   0.140000E-01   0.421888E+02   0.123087E+01   0.421982E+02   0.421982E+02
   0.150000E-01   0.416906E+02   0.111643E+01   0.421118E+02   0.421118E+02
   0.160000E-01   0.416411E+02   0.103009E+01   0.420197E+02   0.420197E+02
   0.170000E-01   0.416663E+02   0.996180E+00   0.419218E+02   0.419218E+02
   0.180000E-01   0.415131E+02   0.957470E+00   0.418182E+02   0.418182E+02
   0.190000E-01   0.416006E+02   0.902000E+00   0.417090E+02   0.417090E+02
   0.200000E-01   0.414135E+02   0.867410E+00   0.415942E+02   0.415942E+02
   0.210000E-01   0.415254E+02   0.862640E+00   0.414738E+02   0.414738E+02
   0.220000E-01   0.409801E+02   0.835100E+00   0.413479E+02   0.413479E+02
   0.230000E-01   0.411315E+02   0.810800E+00   0.412165E+02   0.412165E+02
   0.240000E-01   0.411543E+02   0.783120E+00   0.410798E+02   0.410798E+02
   0.250000E-01   0.405117E+02   0.775770E+00   0.409376E+02   0.409376E+02
   0.260000E-01   0.407273E+02   0.748410E+00   0.407902E+02   0.407902E+02
   0.270000E-01   0.401573E+02   0.740050E+00   0.406376E+02   0.406376E+02
   0.280000E-01   0.399185E+02   0.741000E+00   0.404798E+02   0.404798E+02
   0.290000E-01   0.396163E+02   0.754580E+00   0.403169E+02   0.403169E+02
   0.300000E-01   0.397325E+02   0.755320E+00   0.401489E+02   0.401489E+02
   0.310000E-01   0.397805E+02   0.724280E+00   0.399759E+02   0.399759E+02
   0.320000E-01   0.398069E+02   0.728270E+00   0.397981E+02   0.397981E+02
   0.330000E-01   0.393770E+02   0.759020E+00   0.396154E+02   0.396154E+02
   0.340000E-01   0.392007E+02   0.753300E+00   0.394279E+02   0.394279E+02
   0.350000E-01   0.391242E+02   0.773640E+00   0.392357E+02   0.392357E+02
   0.360000E-01   0.386920E+02   0.781560E+00   0.390390E+02   0.390390E+02
   0.370000E-01   0.386911E+02   0.791220E+00   0.388376E+02   0.388376E+02
   0.380000E-01   0.386772E+02   0.857870E+00   0.386318E+02   0.386318E+02
   0.390000E-01   0.384100E+02   0.938660E+00   0.384217E+02   0.384217E+02
