# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  2.09115e-02  3.62162e-03 
  2.25063e-03  1.39746e-02  2.41147e-03 
  3.50125e-03  1.17955e-02  1.92972e-03 
  4.75188e-03  1.31750e-02  1.65191e-03 
  6.00251e-03  1.55008e-02  1.46456e-03 
  7.25313e-03  1.38633e-02  1.32652e-03 
  8.50376e-03  1.38965e-02  1.21876e-03 
  9.75439e-03  1.28992e-02  1.13117e-03 
  1.10050e-02  1.28486e-02  1.05777e-03 
  1.22556e-02  1.25689e-02  9.94806e-04 
  1.35063e-02  1.43809e-02  9.39785e-04 
  1.47569e-02  1.17902e-02  8.90975e-04 
  1.60075e-02  1.02960e-02  8.47138e-04 
  1.72581e-02  1.08172e-02  8.07364e-04 
  1.85088e-02  9.94280e-03  7.70969e-04 
  1.97594e-02  9.70573e-03  7.37434e-04 
  2.10100e-02  1.00936e-02  7.06354e-04 
  2.22607e-02  8.16261e-03  6.77414e-04 
  2.35113e-02  8.13093e-03  6.50363e-04 
  2.47619e-02  7.57589e-03  6.25004e-04 
  2.60125e-02  7.31752e-03  6.01178e-04 
  2.72632e-02  6.97947e-03  5.78761e-04 
  2.85138e-02  5.37499e-03  5.57652e-04 
  2.97644e-02  4.58079e-03  5.37770e-04 
  3.10150e-02  3.54021e-03  5.19054e-04 
  3.22657e-02  3.54675e-03  5.01455e-04 
  3.35163e-02  2.63857e-03  4.84935e-04 
  3.47669e-02  2.79395e-03  4.69465e-04 
  3.60175e-02  2.58284e-03  4.55023e-04 
  3.72682e-02  1.36983e-03  4.41593e-04 
  3.85188e-02  1.37717e-03  4.29163e-04 
  3.97694e-02  7.61224e-04  4.17722e-04 
  4.10201e-02  1.12082e-03  4.07261e-04 
  4.22707e-02  1.08741e-03  3.97770e-04 
  4.35213e-02  -1.08512e-04 3.89239e-04 
  4.47719e-02  -2.62623e-04 3.81655e-04 
  4.60226e-02  1.73391e-04  3.75000e-04 
  4.72732e-02  2.87202e-04  3.69253e-04 
  4.85238e-02  1.78629e-04  3.64391e-04 
  4.97744e-02  -3.95914e-04 3.60382e-04 
  5.10251e-02  -1.13747e-04 3.57192e-04 
  5.22757e-02  6.03750e-04  3.54780e-04 
  5.35263e-02  7.85395e-04  3.53105e-04 
  5.47769e-02  7.79657e-04  3.52116e-04 
  5.60276e-02  1.33207e-03  3.51766e-04 
  5.72782e-02  1.22722e-03  3.51999e-04 
  5.85288e-02  1.92751e-03  3.52763e-04 
  5.97794e-02  1.79784e-03  3.54002e-04 
  6.10301e-02  3.07499e-03  3.55662e-04 
  6.22807e-02  3.22262e-03  3.57688e-04 
  6.35313e-02  3.64494e-03  3.60029e-04 
  6.47820e-02  4.76870e-03  3.62633e-04 
  6.60326e-02  5.23843e-03  3.65451e-04 
