No  scale pct2_054.dat pct2_054.dat                                             
  0.968911E-01  0.415361E+04  0.461398E+03
  0.990805E-01  0.415583E+04  0.338446E+03
  0.101271E+00  0.412222E+04  0.290198E+03
  0.103461E+00  0.391306E+04  0.258382E+03
  0.105652E+00  0.395361E+04  0.227191E+03
  0.107842E+00  0.394500E+04  0.205015E+03
  0.110033E+00  0.397556E+04  0.193904E+03
  0.112223E+00  0.399972E+04  0.181978E+03
  0.114413E+00  0.403508E+04  0.166664E+03
  0.116604E+00  0.410836E+04  0.156463E+03
  0.118794E+00  0.412703E+04  0.144572E+03
  0.120985E+00  0.412572E+04  0.137910E+03
  0.123175E+00  0.413797E+04  0.131472E+03
  0.125365E+00  0.410044E+04  0.121835E+03
  0.127556E+00  0.405831E+04  0.117893E+03
  0.129746E+00  0.408117E+04  0.111158E+03
  0.131937E+00  0.404669E+04  0.108352E+03
  0.134127E+00  0.401508E+04  0.101552E+03
  0.136317E+00  0.405936E+04  0.971388E+02
  0.138508E+00  0.407611E+04  0.961240E+02
  0.140698E+00  0.404700E+04  0.877440E+02
  0.142889E+00  0.402342E+04  0.874120E+02
  0.145079E+00  0.398942E+04  0.821148E+02
  0.147269E+00  0.401769E+04  0.794004E+02
  0.149460E+00  0.403033E+04  0.784692E+02
  0.151650E+00  0.404994E+04  0.726264E+02
  0.153841E+00  0.406428E+04  0.709360E+02
  0.156031E+00  0.402731E+04  0.671060E+02
  0.158221E+00  0.403353E+04  0.651656E+02
  0.160412E+00  0.401928E+04  0.625732E+02
  0.162602E+00  0.402497E+04  0.585500E+02
  0.164793E+00  0.399900E+04  0.584060E+02
  0.166983E+00  0.400069E+04  0.550720E+02
  0.169173E+00  0.399114E+04  0.541708E+02
  0.171364E+00  0.402936E+04  0.515484E+02
  0.173554E+00  0.400439E+04  0.492564E+02
  0.175745E+00  0.400964E+04  0.491420E+02
  0.177935E+00  0.400456E+04  0.464696E+02
  0.180126E+00  0.397983E+04  0.460556E+02
  0.182316E+00  0.402658E+04  0.435536E+02
  0.184506E+00  0.400483E+04  0.422328E+02
  0.186697E+00  0.399697E+04  0.421288E+02
  0.188887E+00  0.398931E+04  0.397515E+02
  0.191078E+00  0.397461E+04  0.400856E+02
  0.193268E+00  0.395319E+04  0.378017E+02
  0.195458E+00  0.394894E+04  0.372593E+02
  0.197649E+00  0.395822E+04  0.369290E+02
  0.199839E+00  0.395272E+04  0.340012E+02
  0.202030E+00  0.393556E+04  0.332834E+02
  0.204220E+00  0.391436E+04  0.312716E+02
  0.206410E+00  0.391919E+04  0.307258E+02
  0.208601E+00  0.391086E+04  0.298737E+02
  0.210791E+00  0.389753E+04  0.286508E+02
  0.212982E+00  0.389642E+04  0.281884E+02
  0.215172E+00  0.388606E+04  0.271304E+02
  0.217362E+00  0.388028E+04  0.269653E+02
  0.219553E+00  0.388694E+04  0.262741E+02
  0.221743E+00  0.387611E+04  0.249386E+02
  0.223934E+00  0.388372E+04  0.243650E+02
  0.226124E+00  0.385558E+04  0.231873E+02
  0.228314E+00  0.386183E+04  0.233144E+02
  0.230505E+00  0.384833E+04  0.222824E+02
  0.232695E+00  0.385650E+04  0.218648E+02
  0.234886E+00  0.385494E+04  0.215837E+02
  0.237076E+00  0.384901E+04  0.208064E+02
  0.239266E+00  0.382303E+04  0.208884E+02
  0.241457E+00  0.381690E+04  0.203556E+02
  0.243647E+00  0.381838E+04  0.202936E+02
  0.245838E+00  0.381237E+04  0.198394E+02
  0.248028E+00  0.380509E+04  0.195772E+02
  0.250219E+00  0.378183E+04  0.193700E+02
  0.252409E+00  0.376917E+04  0.188512E+02
  0.254599E+00  0.376204E+04  0.189879E+02
  0.256790E+00  0.374886E+04  0.186391E+02
  0.258980E+00  0.375102E+04  0.183480E+02
  0.261171E+00  0.375101E+04  0.184154E+02
  0.263361E+00  0.373583E+04  0.178850E+02
  0.265551E+00  0.372473E+04  0.179857E+02
  0.267742E+00  0.371692E+04  0.175508E+02
  0.269932E+00  0.370809E+04  0.175510E+02
  0.272123E+00  0.370577E+04  0.173223E+02
  0.274313E+00  0.368979E+04  0.170270E+02
  0.276503E+00  0.368279E+04  0.170608E+02
  0.278694E+00  0.367661E+04  0.167136E+02
  0.280884E+00  0.366934E+04  0.167190E+02
  0.283075E+00  0.365593E+04  0.164942E+02
  0.285265E+00  0.365599E+04  0.163206E+02
  0.287455E+00  0.364108E+04  0.163463E+02
  0.289646E+00  0.362636E+04  0.159612E+02
