Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 0 mg/ml  Code: tmp
Parent(s): /tmp/qt_temp.m22237 /tmp/qt_temp.G22237 /tmp/qt_temp.Y22237
  1.185900e-02   5.212786e+03   2.414375e+02
  1.246700e-02   5.202499e+03   9.126499e+01
  1.307500e-02   5.146038e+03   9.500223e+01
  1.368300e-02   5.100916e+03   1.361378e+02
  1.429100e-02   5.001458e+03   1.196710e+02
  1.489900e-02   4.889945e+03   9.389855e+01
  1.550700e-02   4.764241e+03   8.183802e+01
  1.611500e-02   4.652097e+03   7.172618e+01
  1.672400e-02   4.512991e+03   5.583103e+01
  1.733200e-02   4.391811e+03   4.918618e+01
  1.794000e-02   4.291950e+03   4.612728e+01
  1.854800e-02   4.173201e+03   3.655117e+01
  1.915600e-02   4.054328e+03   3.503348e+01
  1.976400e-02   3.936930e+03   3.495364e+01
  2.037200e-02   3.811591e+03   2.715064e+01
  2.098000e-02   3.678944e+03   2.485277e+01
  2.158900e-02   3.565952e+03   2.047762e+01
  2.219700e-02   3.432660e+03   2.000931e+01
  2.280500e-02   3.307110e+03   1.972946e+01
  2.341300e-02   3.193964e+03   1.939626e+01
  2.402100e-02   3.080386e+03   1.882792e+01
  2.462900e-02   2.949120e+03   1.924387e+01
  2.523700e-02   2.847311e+03   1.855351e+01
  2.584500e-02   2.723867e+03   1.792151e+01
  2.645400e-02   2.604473e+03   1.701262e+01
  2.706200e-02   2.498951e+03   1.597917e+01
  2.767000e-02   2.387060e+03   1.699810e+01
  2.827800e-02   2.284612e+03   1.543849e+01
  2.888600e-02   2.186659e+03   1.282444e+01
  2.949400e-02   2.085290e+03   1.318696e+01
  3.010200e-02   1.987418e+03   1.212809e+01
  3.071000e-02   1.894404e+03   1.178866e+01
  3.131900e-02   1.810099e+03   1.187484e+01
  3.192700e-02   1.661438e+03   4.036195e+01
  3.253500e-02   1.619721e+03   1.508732e+01
  3.314300e-02   1.571801e+03   8.639835e+00
  3.375100e-02   1.503889e+03   6.815522e+00
  3.435900e-02   1.435613e+03   6.514475e+00
  3.496700e-02   1.363578e+03   6.207060e+00
  3.557500e-02   1.293933e+03   5.730417e+00
  3.618400e-02   1.232303e+03   5.358716e+00
  3.679200e-02   1.171183e+03   4.644625e+00
  3.740000e-02   1.111813e+03   4.484180e+00
  3.800800e-02   1.061564e+03   4.373938e+00
  3.861600e-02   1.011539e+03   4.128789e+00
  3.922400e-02   9.635935e+02   4.174172e+00
  3.983200e-02   9.190838e+02   3.880669e+00
  4.044000e-02   8.768975e+02   3.556368e+00
  4.104900e-02   8.378758e+02   3.643395e+00
  4.165700e-02   7.995022e+02   3.237425e+00
  4.226500e-02   7.635924e+02   3.215474e+00
  4.287300e-02   7.303968e+02   3.208552e+00
  4.348100e-02   6.986407e+02   2.923798e+00
  4.408900e-02   6.699066e+02   2.779828e+00
  4.469700e-02   6.447315e+02   2.600795e+00
  4.530500e-02   6.208679e+02   2.446490e+00
  4.591400e-02   6.022008e+02   2.649403e+00
  4.652200e-02   5.842608e+02   2.799852e+00
  4.713000e-02   5.670781e+02   2.464594e+00
  4.773800e-02   5.494912e+02   2.256263e+00
  4.834600e-02   5.343568e+02   2.199674e+00
  4.895400e-02   5.221258e+02   2.049886e+00
  4.956200e-02   5.087197e+02   1.911703e+00
  5.017000e-02   4.978321e+02   1.932330e+00
  5.077900e-02   4.899230e+02   1.873005e+00
  5.138700e-02   4.780267e+02   1.806793e+00
  5.199500e-02   4.696537e+02   1.875488e+00
  5.260300e-02   4.623211e+02   1.711567e+00
  5.321100e-02   4.540922e+02   1.869919e+00
  5.381900e-02   4.476743e+02   1.737948e+00
  5.442700e-02   4.418020e+02   1.691088e+00
  5.503500e-02   4.362375e+02   1.642947e+00
  5.564400e-02   4.316592e+02   1.724553e+00
  5.625200e-02   4.267410e+02   1.634988e+00
  5.686000e-02   4.223600e+02   1.692674e+00
  5.746800e-02   4.193033e+02   3.709688e+00
  5.807600e-02   4.142006e+02   1.948223e+00
  5.868400e-02   4.104070e+02   1.941315e+00
  5.929200e-02   4.061832e+02   2.106992e+00
  5.990000e-02   4.008795e+02   2.540704e+00
  6.050900e-02   3.974295e+02   1.620518e+00
  6.111700e-02   3.928517e+02   1.320564e+00
  6.172500e-02   3.873395e+02   1.239464e+00
  6.233300e-02   3.820430e+02   1.230200e+00
  6.294100e-02   3.766685e+02   1.186085e+00
  6.354900e-02   3.713555e+02   1.181739e+00
  6.415700e-02   3.648973e+02   1.151495e+00
  6.476500e-02   3.588446e+02   1.166058e+00
  6.537400e-02   3.532439e+02   1.167220e+00
  6.598200e-02   3.466790e+02   1.161412e+00
  6.659000e-02   3.397627e+02   1.182376e+00
  6.719800e-02   3.326600e+02   1.177250e+00
  6.780600e-02   3.255824e+02   1.094858e+00
  6.841400e-02   3.187471e+02   1.092658e+00
  6.902200e-02   3.113765e+02   1.042166e+00
  6.963000e-02   3.041715e+02   1.029212e+00
  7.023800e-02   2.967370e+02   1.065829e+00
  7.084700e-02   2.883601e+02   1.041669e+00
  7.145500e-02   2.808913e+02   9.955137e-01
  7.206300e-02   2.736497e+02   1.236270e+00
  7.267100e-02   2.676486e+02   1.961904e+00
  7.327900e-02   2.568272e+02   1.391222e+00
  7.388700e-02   2.475165e+02   1.229403e+00
  7.449500e-02   2.392856e+02   1.175416e+00
  7.510300e-02   2.310545e+02   1.184265e+00
  7.571200e-02   2.237862e+02   1.219010e+00
  7.632000e-02   2.159696e+02   1.174290e+00
  7.692800e-02   2.078615e+02   1.149790e+00
  7.753600e-02   2.002767e+02   1.114327e+00
  7.814400e-02   1.915692e+02   1.103881e+00
  7.875200e-02   1.836736e+02   1.144259e+00
  7.936000e-02   1.758914e+02   1.149185e+00
  7.996800e-02   1.686667e+02   1.134499e+00
  8.057600e-02   1.609887e+02   1.060149e+00
  8.118500e-02   1.538211e+02   1.071657e+00
  8.179300e-02   1.464477e+02   1.027313e+00
  8.240100e-02   1.396926e+02   1.012104e+00
  8.300900e-02   1.329911e+02   1.013978e+00
  8.361700e-02   1.269166e+02   1.003215e+00
  8.422500e-02   1.204611e+02   9.469384e-01
  8.483300e-02   1.138934e+02   9.405835e-01
  8.544100e-02   1.086152e+02   9.714447e-01
  8.604900e-02   1.031144e+02   9.586092e-01
  8.665800e-02   9.796853e+01   9.799226e-01
  8.726600e-02   9.275590e+01   9.471357e-01
  8.787400e-02   8.804885e+01   9.120743e-01
  8.848200e-02   8.369952e+01   8.833075e-01
  8.909000e-02   7.979499e+01   8.775362e-01
  8.969800e-02   7.618871e+01   8.489958e-01
  9.030600e-02   7.268175e+01   8.374170e-01
  9.091400e-02   6.936916e+01   8.408781e-01
  9.152200e-02   6.539515e+01   8.551469e-01
  9.213100e-02   6.235171e+01   8.867455e-01
  9.273900e-02   5.967952e+01   9.058741e-01
  9.334700e-02   5.683646e+01   8.664919e-01
  9.395500e-02   5.452683e+01   8.845336e-01
  9.456300e-02   5.224828e+01   9.131091e-01
  9.517100e-02   5.025431e+01   9.109122e-01
  9.577900e-02   4.855327e+01   8.740075e-01
  9.638700e-02   4.701320e+01   8.775792e-01
  9.699500e-02   4.557222e+01   8.652546e-01
  9.760400e-02   4.410682e+01   8.454402e-01
  9.821200e-02   4.306543e+01   8.587629e-01
