'Name'	'SASDBP9.dat'	'SASDBP9.dat'
'Type; q:'	'I(q)'	'I(q) sd'
0.00247955	7914.18	838.221
0.00275505	8987.25	648.526
0.00303055	5847.54	486.406
0.00330606	6932.28	420.046
0.00358156	6319.08	334.726
0.00385707	6006.11	271.246
0.00413257	6855.34	253.349
0.00440807	5870.5	220.115
0.00468358	6070.6	197.602
0.00495908	5887.19	169.854
0.00523459	7222.57	156.176
0.00551009	6348.49	148.056
0.00578559	6279.67	138.106
0.0060611	5596.17	122.851
0.0063366	5919.87	121.824
0.00661211	6166.62	117.811
0.00688761	6246.9	108.738
0.00716311	5940.43	106.626
0.00743862	5833.59	103.352
0.00771412	6322.11	107.133
0.00798963	5568.17	105.771
0.00826513	5693.1	97.9762
0.00854063	6605.59	98.2994
0.00881614	6104.03	93.0753
0.00909164	5603.76	95.8496
0.00936715	5773.23	92.8537
0.00964265	5750.14	88.1441
0.00991816	5659.89	92.5179
0.0101937	5838.4	86.7883
0.0104692	5519.21	88.2934
0.0107447	5684.65	82.3959
0.0110202	5615.49	83.3058
0.0112957	5563.26	85.0427
0.0115712	5604.17	79.9845
0.0118467	5444.4	79.3809
0.0121222	5465.58	76.6989
0.0123977	5616.89	78.607
0.0126732	5529.15	79.2214
0.0129487	5586.49	76.1345
0.0132242	5376.03	74.8581
0.0134997	5394.57	73.6503
0.0137752	5303	73.4509
0.0140507	5422.84	70.3786
0.0143262	5477.17	72.425
0.0146017	5461.4	73.9688
0.0148772	5384.32	70.1737
0.0151527	5275.73	71.6329
0.0154282	5295.55	66.2593
0.0157037	5289.31	69.4794
0.0159792	5448.16	68.1126
0.0162547	5140.6	66.9339
0.0165303	5244.96	66.8124
0.0168058	5119.26	64.0706
0.0170813	5137.99	64.134
0.0173568	5001.13	63.348
0.0176323	5002.38	63.0682
0.0179078	5088.61	64.4913
0.0181833	5006.8	60.6973
0.0184588	4943.31	62.8266
0.0187343	4902.6	60.9744
0.0190098	4886.42	58.6723
0.0192853	4847.39	61.0893
0.0195608	4866.09	59.1832
0.0198363	4711.14	59.6502
0.0201118	4723.42	56.4344
0.0203873	4789.62	57.6575
0.0206628	4783.47	57.373
0.0209383	4700.1	56.3975
0.0212138	4655.93	56.2109
0.0214893	4541.88	54.9436
0.0217648	4522.26	55.8341
0.0220403	4530.02	54.7689
0.0223158	4572.12	53.7474
0.0225913	4573.99	54.7717
0.0228668	4566.1	52.6568
0.0231423	4526.27	54.3557
0.0234179	4503.07	52.7182
0.0236934	4390.06	51.6446
0.0239689	4343.19	51.7693
0.0242444	4386.56	51.5067
0.0245199	4364.24	52.5403
0.0247954	4248.15	48.7206
0.0250709	4293.99	51.0774
0.0253464	4288.2	49.8455
0.0256219	4181.07	49.3624
0.0258974	4141.76	49.0278
0.0261729	4092.49	47.9341
0.0264484	4229.94	49.5732
0.0267239	4084.86	48.2106
0.0269994	3977.89	46.5275
0.0272749	4059.82	47.8299
0.0275504	3978.39	46.1992
0.0278259	3874.44	46.9972
0.0281014	3826.63	44.6926
0.0283769	3921.08	45.8875
0.0286524	3891.43	46.5627
0.0289279	3877.43	44.7403
0.0292034	3758.38	45.2363
0.0294789	3824.52	43.7897
