'Name'	'SASDBP9-Ang-170_gnom_bin1.sprr'	'SASDBP9-Ang-170_gnom_bin1.sprr'
'Type; q:'	'I(q)'	'I(q) sd'
0	0	0.001
1	25.1845	0.262854
2	51.3978	0.459941
3	78.5838	0.596113
4	106.602	0.674418
5	135.44	0.701035
6	164.943	0.683698
7	194.887	0.632804
8	225.123	0.562268
9	255.382	0.492508
10	285.675	0.451733
11	315.578	0.466356
12	344.824	0.537981
13	373.298	0.645345
14	400.785	0.76528
15	427.041	0.881868
16	451.982	0.984867
17	475.35	1.0677
18	497.113	1.12654
19	516.972	1.15937
20	535.13	1.16857
21	551.24	1.15455
22	565.469	1.12436
23	577.645	1.08261
24	588.034	1.03934
25	596.48	1.0049
26	603.263	0.988978
27	608.263	0.999772
28	611.692	1.03864
29	613.726	1.10242
30	614.464	1.18353
31	614.088	1.27383
32	612.769	1.36427
33	610.693	1.44882
34	607.914	1.5237
35	604.688	1.58604
36	601.068	1.63462
37	597.245	1.67127
38	593.283	1.69764
39	589.312	1.71687
40	585.449	1.73351
41	581.619	1.74969
42	578.052	1.77001
43	574.497	1.7976
44	571.273	1.83201
45	568.195	1.87252
46	565.288	1.91628
47	562.452	1.96172
48	559.701	2.00516
49	556.899	2.04154
50	554.111	2.06955
51	551.167	2.08657
52	547.974	2.0911
53	544.566	2.08528
54	540.779	2.07027
55	536.733	2.04817
56	532.154	2.02332
57	527.093	2.00144
58	521.566	1.98525
59	515.512	1.98037
60	508.738	1.98963
61	501.627	2.01382
62	493.958	2.05046
63	485.749	2.09937
64	477.02	2.15386
65	467.889	2.21074
66	458.377	2.26477
67	448.432	2.31247
68	438.225	2.35004
69	427.752	2.37522
70	417.089	2.38791
71	406.278	2.3869
72	395.382	2.37485
73	384.464	2.35401
74	373.547	2.32701
75	362.618	2.2977
76	351.79	2.27043
77	340.978	2.24967
78	330.473	2.2372
79	320.119	2.23712
80	309.926	2.24811
81	299.916	2.27037
82	290.156	2.30336
83	280.578	2.3429
84	271.226	2.38665
85	261.995	2.43202
86	253.123	2.47707
87	244.32	2.51877
88	235.746	2.55723
89	227.4	2.59074
90	219.216	2.62008
91	211.207	2.64587
92	203.428	2.66966
93	195.78	2.69229
94	188.299	2.71537
95	181.046	2.73911
96	173.99	2.76463
97	167.132	2.79203
98	160.519	2.82143
99	154.068	2.8531
100	147.94	2.8839
101	141.95	2.91437
102	136.157	2.9433
103	130.52	2.96935
104	125.121	2.99122
105	120.031	3.00727
106	115.153	3.017
107	110.952	3.02068
108	106.547	3.01758
109	102.277	3.00839
110	98.3109	2.993
111	94.5116	2.97235
112	90.8641	2.94721
113	87.4234	2.91894
114	84.0915	2.88906
115	81.2517	2.86224
116	78.1807	2.83461
117	75.2208	2.80968
118	72.3466	2.79077
119	69.5338	2.77748
120	66.786	2.77239
121	64.085	2.77538
122	61.4285	2.78717
123	58.7924	2.80604
124	56.455	2.82996
125	53.8495	2.86096
126	51.301	2.89558
127	48.7714	2.93222
128	46.2836	2.96901
129	43.8256	3.00263
130	41.425	3.0327
131	39.0585	3.05735
132	37.0055	3.07504
133	34.7851	3.08826
134	32.651	3.0962
135	30.6036	3.09893
136	28.6592	3.09899
137	26.8166	3.09662
138	25.0897	3.09471
139	23.4729	3.09475
140	21.9711	3.09991
141	20.7203	3.10961
142	19.4295	3.12805
143	18.2526	3.15382
144	17.1731	3.18821
145	16.1836	3.22962
146	15.2901	3.27665
147	14.461	3.32727
148	13.7025	3.38047
149	13.0629	3.42694
150	12.3982	3.47513
151	11.7767	3.51701
152	11.1733	3.54976
153	10.5848	3.56973
154	9.9996	3.57615
155	9.41963	3.56476
156	8.83154	3.53438
157	8.23388	3.4813
158	7.69029	3.41318
159	7.06462	3.31129
160	6.43184	3.18217
161	5.78429	3.02192
162	5.12578	2.82951
163	4.46008	2.60254
164	3.79264	2.34116
165	3.11882	2.03849
166	2.52415	1.73742
167	1.86733	1.36306
168	1.22698	0.949852
169	0.602188	0.495584
170	0	0.001
	
	

Plotted I(q) curves
		
