q	I(q)	SD
0.01551	177.246	5.03634
0.01662	177.056	4.6675
0.01772	174.984	4.29629
0.01882	166.485	3.98115
0.01992	174.582	3.73291
0.02102	161.547	3.65014
0.02213	155.945	3.39694
0.02323	155.56	3.21583
0.02433	154.087	3.00702
0.02543	148.94	2.91265
0.02653	144.356	2.81791
0.02764	131.54	2.61383
0.02874	128.354	2.54112
0.02984	130.976	2.47538
0.03094	124	2.39885
0.03205	121.245	2.32903
0.03315	116.561	2.27483
0.03425	109.127	2.24467
0.03535	109.263	2.22513
0.03645	102.767	2.17043
0.03756	100.234	2.14534
0.03866	97.6942	2.09787
0.03976	93.9329	2.05855
0.04086	90.8492	2.0262
0.04196	87.4784	1.98122
0.04307	83.9246	1.96891
0.04417	81.2784	1.94575
0.04527	77.4746	1.92489
0.04637	76.4567	1.91429
0.04748	71.403	1.89872
0.04858	72.6955	1.90818
0.04968	68.494	1.8741
0.05078	66.4574	1.86483
0.05188	66.4507	1.83156
0.05299	57.6888	1.79967
0.05409	58.1992	1.77307
0.05519	59.3978	1.7755
0.05629	55.6373	1.75547
0.0574	55.65	1.74877
0.0585	53.3314	1.74351
0.0596	47.3217	1.72229
0.0607	48.8008	1.72498
0.0618	47.588	1.72658
0.06291	45.3231	1.71469
0.06401	45.6336	1.72025
0.06511	41.4299	1.69756
0.06621	43.7702	1.68844
0.06731	38.6858	1.669
0.06842	38.1254	1.64889
0.06952	37.6052	1.65391
0.07047	35.1937	1.47443
0.07092	34.5276	1.4679
0.07137	32.628	1.45732
0.07182	32.3005	1.26398
0.07217	32.4333	1.447
0.07263	33.39	1.4717
0.07308	34.7618	1.47964
0.07353	34.6135	1.46532
0.07394	32.5575	1.26684
0.07433	30.7633	1.45151
0.07479	31.5036	1.45636
0.07524	29.6213	1.45427
0.07569	32.5196	1.45966
0.07605	31.847	1.23918
0.07649	28.7046	1.43774
0.07695	29.4413	1.43602
0.0774	30.5088	1.44301
0.07782	26.6014	1.21598
0.0782	30.5425	1.44894
0.07865	27.2673	1.43316
0.07911	29.2065	1.42742
0.07956	28.3616	1.41787
0.07993	27.3367	1.23713
0.08036	28.3907	1.42087
0.08081	28.2892	1.41232
0.08127	25.321	1.41662
0.08169	25.7399	1.20243
0.08207	26.2625	1.40712
0.08252	26.287	1.40939
0.08297	26.6917	1.41001
0.08343	27.3184	1.40552
0.08381	25.5036	1.20787
0.08423	24.968	1.39495
0.08468	24.1062	1.40684
0.08513	25.1666	1.41691
0.08557	25.2378	1.21653
0.08594	24.6848	1.39831
0.08639	26.0476	1.39886
0.08684	24.1975	1.39347
0.08729	23.9	1.39062
0.08769	23.6591	1.20005
0.0881	18.9829	1.37716
0.08855	22.9269	1.38826
0.089	21.5911	1.38571
0.08945	20.1239	0.76902
0.08981	18.9727	1.23597
0.09026	20.1811	1.24446
0.09071	21.398	1.23383
0.09116	20.8641	1.22896
0.09157	21.0975	0.77651
0.09197	19.8704	1.22267
0.09242	22.227	1.23315
0.09287	19.5087	1.22404
0.09332	20.3137	1.21357
0.09368	21.4934	0.79942
0.09413	19.7793	1.21968
0.09458	20.0532	1.21005
0.09503	19.911	1.21223
0.09544	18.6371	0.77501
0.09583	19.4895	1.21168
0.09629	19.2327	1.20428
0.09674	20.299	1.21623
0.09719	20.0724	0.80646
0.09756	19.6086	0.77396
0.09799	17.3997	0.79675
0.09845	18.5755	0.79404
0.0989	18.4552	0.79958
0.09932	17.4047	0.75875
0.0997	15.6031	0.79571
0.10015	16.8777	0.79222
0.10061	18.438	0.80036
0.10106	16.6273	0.79675
0.10144	16.5638	0.75625
0.10186	16.373	0.79635
0.10231	16.1438	0.8004
0.10277	17.0221	0.79251
0.1032	16.0128	0.74789
0.10357	16.6775	0.79654
0.10402	14.8314	0.7977
0.10447	15.1845	0.79988
0.10493	18.045	0.79367
0.10532	15.6855	0.73075
0.10573	14.4148	0.7911
0.10618	16.4057	0.79207
0.10663	15.9291	0.78892
0.10708	15.0275	0.734
0.10744	14.9479	0.78283
0.10789	13.8986	0.79503
0.10834	15.7103	0.78656
0.10879	12.7396	0.78071
0.1092	12.2477	0.73982
0.1096	14.3894	0.78522
0.11005	13.2336	0.78255
0.1105	14.3182	0.78238
0.11095	12.0435	0.77762
0.11131	13.1857	0.73546
0.11176	12.762	0.77008
0.11221	12.2418	0.77166
0.11266	14.1765	0.77811
0.11307	13.1617	0.73693
0.11347	13.684	0.77765
0.11392	12.0714	0.77755
0.11437	11.5428	0.77869
0.11482	12.2119	0.78054
0.11519	12.4317	0.73201
0.11563	11.6375	0.77137
0.11608	12.3386	0.77458
0.11653	12.4799	0.77268
0.11695	11.9182	0.72403
0.11733	12.8405	0.77549
0.11779	11.5292	0.77765
0.11824	12.2532	0.77038
0.11869	10.9464	0.76297
0.11907	10.9869	0.73461
0.11949	10.7618	0.7752
0.11995	11.4987	0.77255
0.1204	12.6015	0.7745
0.12083	10.184	0.72727
0.1212	10.0197	0.76235
0.12165	9.74119	0.76236
0.12211	11.3591	0.76801
0.12256	9.09329	0.76166
0.12295	11.0054	0.71412
0.12336	9.58495	0.75437
0.12381	9.86535	0.75624
0.12427	10.2135	0.76641
0.12471	10.0875	0.72428
0.12507	9.56948	0.76635
0.12552	10.8416	0.77011
0.12597	10.3147	0.76011
0.12643	9.39678	0.75632
0.12682	9.32	0.71274
0.12723	11.4555	0.75815
0.12768	11.0833	0.76637
0.12813	9.13722	0.765
0.12859	9.01073	0.76006
0.12894	9.53786	0.70337
0.12939	8.12871	0.7632
0.12984	8.55319	0.76168
0.13029	8.81501	0.76624
0.1307	9.12168	0.72414
0.1311	9.55372	0.75818
0.13155	8.05001	0.75636
0.132	8.60694	0.75948
0.13245	8.89822	0.75953
0.13282	9.55663	0.72526
0.13326	7.85349	0.74663
0.13371	8.21771	0.74041
0.13416	7.002	0.74705
0.13458	8.19218	0.73852
0.13497	5.75683	0.7622
0.13542	8.19696	0.7586
0.13587	8.52283	0.74989
0.13632	7.99342	0.76309
0.1367	6.67303	0.71868
0.13713	6.94033	0.75299
0.13758	8.77933	0.75246
0.13803	6.59943	0.74993
0.13846	7.74433	0.70913
0.13883	5.87691	0.75211
0.13929	6.74008	0.75714
0.13974	6.56781	0.74323
0.14019	6.43351	0.75486
0.14058	8.50369	0.72149
0.14099	7.37337	0.75529
0.14144	7.2261	0.75301
0.1419	5.98207	0.75109
0.14234	6.34028	0.71772
0.1427	7.08771	0.76274
0.14315	7.04877	0.76271
0.14361	6.88998	0.75558
0.14406	6.52149	0.75372
0.14445	5.89239	0.68516
0.14486	7.07272	0.75525
0.14531	5.9024	0.76586
0.14577	6.33171	0.76099
0.14622	6.77919	0.70464
0.14657	4.91093	0.75121
0.14702	6.12731	0.75338
0.14747	6.17104	0.75172
0.14793	6.1815	0.75024
0.14833	5.74521	0.70643
0.14873	7.1518	0.76321
0.14918	5.23511	0.75872
0.14963	6.16323	0.75834
0.15009	4.41392	0.75027
0.15045	6.03935	0.69651
0.15089	5.2859	0.75187
0.15134	4.00757	0.75052
0.15179	6.3548	0.74753
0.15221	4.34084	0.69944
0.1526	7.04555	0.74052
0.15305	5.20465	0.74601
0.1535	5.02798	0.74939
0.15395	4.68271	0.74764
0.15433	5.21297	0.69361
0.15476	4.56772	0.74808
0.15521	3.11576	0.74307
0.15566	4.6883	0.74721
0.15609	5.62304	0.70499
0.15646	4.73851	0.74884
0.15692	5.02651	0.7427
0.15737	5.09498	0.74459
0.15782	5.2629	0.75223
0.1582	4.90737	0.69421
0.15863	4.09166	0.74244
0.15908	3.70293	0.73804
0.15953	4.51603	0.74675
0.15997	4.71059	0.71115
0.16033	4.94465	0.75387
0.16079	4.14784	0.74921
0.16124	5.95712	0.74417
0.16169	4.24533	0.74556
0.16208	5.14109	0.72993
0.16249	4.32757	0.74661
0.16295	3.4839	0.73568
0.1634	4.11799	0.73512
0.16384	3.37604	0.69217
0.1642	4.64372	0.73942
0.16465	3.8242	0.73507
0.16511	4.2801	0.73981
