'Name'	'SASDM77-jt170_gnom_bin1no0err.sprr'	'SASDM77-jt170_gnom_bin1no0err.sprr'
'Type; q:'	'I(q)'	'I(q) sd'
0	0	0.001
1	26.4151	1.0667
2	55.352	1.86762
3	86.9173	2.39657
4	120.793	2.68303
5	156.802	2.74571
6	194.705	2.61846
7	234.199	2.34094
8	274.884	1.96828
9	316.45	1.58763
10	358.601	1.34786
11	400.505	1.42205
12	442.256	1.78935
13	483.251	2.29367
14	522.674	2.81443
15	560.713	3.29757
16	597.145	3.70641
17	631.065	4.01709
18	662.854	4.22778
19	691.669	4.33749
20	717.765	4.35365
21	740.767	4.29841
22	760.768	4.19987
23	777.747	4.09782
24	791.73	4.0308
25	802.943	4.0348
26	811.263	4.14049
27	816.865	4.3435
28	820.09	4.62733
29	820.829	4.96175
30	819.826	5.31248
31	817.225	5.65158
32	813.127	5.95396
33	807.813	6.20025
34	801.474	6.38149
35	794.448	6.49754
36	786.903	6.55578
37	779.009	6.56533
38	771.166	6.54254
39	763.307	6.50611
40	755.362	6.47549
41	747.852	6.46971
42	740.616	6.49961
43	733.447	6.56869
44	726.865	6.67664
45	720.172	6.81106
46	714.122	6.95529
47	708.087	7.09975
48	701.989	7.23132
49	696.192	7.3359
50	690.365	7.41213
51	684.154	7.46192
52	677.825	7.49107
53	671.409	7.5148
54	664.468	7.54189
55	656.982	7.59837
56	649.158	7.69174
57	640.939	7.83271
58	632.056	8.02544
59	622.879	8.26393
60	613.227	8.53976
61	602.774	8.8387
62	592.2	9.13914
63	581.046	9.42801
64	569.519	9.69871
65	557.846	9.93341
66	545.779	10.1335
67	533.685	10.2999
68	521.546	10.436
69	509.111	10.5539
70	496.684	10.6654
71	484.332	10.781
72	471.867	10.9148
73	459.803	11.0771
74	447.699	11.2673
75	435.515	11.4894
76	423.909	11.7328
77	412.268	11.9895
78	400.614	12.2498
79	389.458	12.4948
80	377.922	12.7124
81	367.11	12.8899
82	355.96	13.0194
83	345.234	13.1013
84	334.533	13.1344
85	323.784	13.1209
86	313.257	13.0707
87	302.826	12.9968
88	292.473	12.9089
89	282.354	12.8192
90	272.388	12.7438
91	262.519	12.6859
92	252.911	12.657
93	243.498	12.6565
94	234.388	12.6812
95	225.64	12.7268
96	217.143	12.7841
97	208.984	12.8458
98	201.291	12.9089
99	193.899	12.9667
100	187.025	13.0186
101	180.359	13.0659
102	174.561	13.1104
103	169.071	13.1603
104	163.633	13.2293
105	158.653	13.3254
106	154.114	13.4452
107	150.223	13.5932
108	146.255	13.7894
109	142.538	14.0166
110	138.997	14.2764
111	135.889	14.5326
112	132.824	14.7991
113	129.649	15.0771
114	126.554	15.3362
115	123.51	15.5636
116	120.654	15.7436
117	117.475	15.8999
118	114.237	16.0181
119	110.886	16.0907
120	107.716	16.1235
121	104.416	16.1261
122	100.862	16.1007
123	97.2764	16.0494
124	93.749	15.9861
125	90.4738	15.9205
126	86.9179	15.8463
127	83.4363	15.7745
128	80.036	15.7071
129	77.0075	15.6536
130	74.0825	15.6099
131	71.1791	15.5748
132	68.532	15.5561
133	66.1489	15.5537
134	64.1381	15.5667
135	62.1812	15.5996
136	60.4605	15.6529
137	59.0629	15.7209
138	57.8184	15.8117
139	56.6832	15.9248
140	55.6932	16.0588
141	54.8556	16.2061
142	54.1284	16.3587
143	53.352	16.533
144	52.5507	16.7152
145	51.6891	16.8996
146	50.8099	17.0647
147	49.7748	17.2273
148	48.5052	17.3857
149	47.0096	17.5266
150	45.3728	17.6422
151	43.5963	17.7244
152	41.4431	17.7851
153	39.0434	17.8061
154	36.4214	17.7787
155	33.8272	17.7082
156	30.9503	17.5689
157	27.8183	17.3491
158	24.5928	17.0313
159	21.4348	16.6227
160	18.4717	16.121
161	15.2979	15.4374
162	12.2683	14.5911
163	9.41811	13.5428
164	7.0268	12.4062
165	4.84464	11.0037
166	2.90664	9.30448
167	1.43206	7.32541
168	0.432238	5.15782
169	-0.0164656	2.83342
170	0	0.001
	
	

Plotted I(q) curves
		
