
Sample:   c= 0 mg/ml  Code: 
 5.655000e-003  2.554095e-001  2.466808e-002
 6.045000e-003  2.586452e-001  1.016178e-002
 6.435000e-003  2.607585e-001  7.359387e-003
 6.825000e-003  2.586848e-001  4.934357e-003
 7.215000e-003  2.602690e-001  4.317326e-003
 7.605000e-003  2.622305e-001  4.305714e-003
 7.995000e-003  2.562960e-001  3.745718e-003
 8.385000e-003  2.551569e-001  3.390161e-003
 8.775000e-003  2.527192e-001  3.401231e-003
 9.165000e-003  2.486472e-001  3.430296e-003
 9.555000e-003  2.489959e-001  3.139351e-003
 9.944990e-003  2.503222e-001  2.934956e-003
 1.033500e-002  2.445531e-001  2.814231e-003
 1.072500e-002  2.441137e-001  2.787894e-003
 1.111500e-002  2.379567e-001  2.683865e-003
 1.150500e-002  2.372137e-001  2.572772e-003
 1.189500e-002  2.340257e-001  2.505161e-003
 1.228500e-002  2.337956e-001  2.385982e-003
 1.267500e-002  2.318729e-001  2.450690e-003
 1.306500e-002  2.281767e-001  2.242452e-003
 1.345500e-002  2.241553e-001  2.272324e-003
 1.384500e-002  2.222775e-001  2.302671e-003
 1.423500e-002  2.210380e-001  2.099852e-003
 1.462500e-002  2.180879e-001  2.166475e-003
 1.501500e-002  2.132525e-001  2.082166e-003
 1.540500e-002  2.119271e-001  1.989392e-003
 1.579500e-002  2.113379e-001  1.986842e-003
 1.618500e-002  2.069388e-001  1.971325e-003
 1.657500e-002  2.048845e-001  1.844789e-003
 1.696500e-002  2.006536e-001  1.832956e-003
 1.735500e-002  1.999533e-001  1.835086e-003
 1.774500e-002  1.951671e-001  1.857551e-003
 1.813490e-002  1.954236e-001  1.712170e-003
 1.852490e-002  1.903766e-001  1.775322e-003
 1.891490e-002  1.873534e-001  1.747744e-003
 1.930490e-002  1.835178e-001  1.719843e-003
 1.969490e-002  1.815140e-001  1.658288e-003
 2.008490e-002  1.802256e-001  1.608181e-003
 2.047490e-002  1.771964e-001  1.582106e-003
 2.086490e-002  1.730372e-001  1.572052e-003
 2.125490e-002  1.709598e-001  1.540243e-003
 2.164490e-002  1.671430e-001  1.524968e-003
 2.203490e-002  1.677719e-001  1.528208e-003
 2.242490e-002  1.627566e-001  1.467782e-003
 2.281490e-002  1.630252e-001  1.405789e-003
 2.320490e-002  1.585783e-001  1.514331e-003
 2.359490e-002  1.566770e-001  1.433717e-003
 2.398490e-002  1.549570e-001  1.420899e-003
 2.437490e-002  1.508005e-001  1.358883e-003
 2.476490e-002  1.485292e-001  1.320732e-003
 2.515490e-002  1.468189e-001  1.323288e-003
 2.554480e-002  1.450720e-001  1.307289e-003
 2.593480e-002  1.423484e-001  1.391194e-003
 2.632480e-002  1.418609e-001  1.295691e-003
 2.671480e-002  1.389814e-001  1.215599e-003
 2.710480e-002  1.357531e-001  1.254805e-003
 2.749480e-002  1.346528e-001  1.219479e-003
 2.788480e-002  1.320692e-001  1.230437e-003
 2.827480e-002  1.293704e-001  1.169878e-003
 2.866480e-002  1.279008e-001  1.180186e-003
 2.905480e-002  1.276474e-001  1.172533e-003
 2.944480e-002  1.246388e-001  1.188271e-003
 2.983470e-002  1.234525e-001  1.145034e-003
 3.022470e-002  1.214584e-001  1.144302e-003
 3.061470e-002  1.199879e-001  1.163167e-003
 3.100470e-002  1.184479e-001  1.136474e-003
 3.139470e-002  1.161094e-001  1.145539e-003
 3.178470e-002  1.143827e-001  1.138188e-003
 3.217470e-002  1.126404e-001  1.290519e-003
 3.256470e-002  1.110540e-001  1.129731e-003
 3.295470e-002  1.100408e-001  1.138809e-003
 3.334460e-002  1.076732e-001  1.136845e-003
 3.373460e-002  1.062085e-001  1.124457e-003
 3.412460e-002  1.050459e-001  1.121845e-003
 3.451460e-002  1.026523e-001  1.106632e-003
 3.490460e-002  1.022610e-001  1.044811e-003
 3.529460e-002  1.002528e-001  1.104121e-003
 3.568460e-002  9.950178e-002  1.079505e-003
 3.607450e-002  9.832041e-002  1.086159e-003
 3.646450e-002  9.691883e-002  1.103663e-003
 3.685450e-002  9.515362e-002  1.070462e-003
 3.724450e-002  9.419427e-002  1.067884e-003
 3.763450e-002  9.373333e-002  1.078575e-003
 3.802450e-002  9.171355e-002  1.013102e-003
 3.841440e-002  9.004032e-002  1.026233e-003
 3.880440e-002  8.986741e-002  9.952196e-004
 3.919440e-002  8.908158e-002  9.836920e-004
 3.958440e-002  8.697966e-002  9.851246e-004
 3.997440e-002  8.672636e-002  9.657311e-004
 4.036440e-002  8.538469e-002  9.568402e-004
 4.075430e-002  8.433293e-002  9.412814e-004
 4.114430e-002  8.264256e-002  9.422682e-004
 4.153430e-002  8.203780e-002  9.284323e-004
 4.192430e-002  8.115722e-002  9.174361e-004
 4.231430e-002  8.121033e-002  9.206024e-004
 4.270420e-002  7.831698e-002  9.288679e-004
 4.309420e-002  7.851581e-002  9.263416e-004
 4.348420e-002  7.766946e-002  9.033461e-004
 4.387420e-002  7.617069e-002  8.637047e-004
 4.426410e-002  7.552731e-002  8.689800e-004
 4.465410e-002  7.425059e-002  8.552651e-004
 4.504410e-002  7.346241e-002  8.458359e-004
 4.543410e-002  7.367628e-002  8.814690e-004
 4.582400e-002  7.182190e-002  8.760235e-004
 4.621400e-002  7.220602e-002  8.723427e-004
 4.660400e-002  7.080700e-002  8.846392e-004
