Sample description: chromixs
Sample: chromixs  c= 0 mg/ml  Code: chromixs
  9.233060e-02   4.691656e+04   8.205653e+01
  9.509480e-02   4.668686e+04   7.869443e+01
  9.785900e-02   4.650944e+04   7.682127e+01
  1.006230e-01   4.625116e+04   7.190979e+01
  1.033880e-01   4.582591e+04   6.990489e+01
  1.061520e-01   4.572958e+04   6.708255e+01
  1.089160e-01   4.537042e+04   6.665140e+01
  1.116800e-01   4.520303e+04   6.422261e+01
  1.144440e-01   4.484511e+04   6.074051e+01
  1.172090e-01   4.465652e+04   6.078022e+01
  1.199730e-01   4.433146e+04   5.872618e+01
  1.227370e-01   4.410234e+04   5.737201e+01
  1.255010e-01   4.381569e+04   5.583219e+01
  1.282660e-01   4.349151e+04   5.427164e+01
  1.310300e-01   4.324526e+04   5.455632e+01
  1.337940e-01   4.288498e+04   5.238179e+01
  1.365580e-01   4.260117e+04   5.095511e+01
  1.393230e-01   4.229219e+04   5.056041e+01
  1.420870e-01   4.208482e+04   4.906371e+01
  1.448510e-01   4.165193e+04   4.936490e+01
  1.476150e-01   4.140445e+04   4.684126e+01
  1.503790e-01   4.106613e+04   4.704617e+01
  1.531440e-01   4.079338e+04   4.592404e+01
  1.559080e-01   4.050864e+04   4.549202e+01
  1.586720e-01   4.007967e+04   4.462284e+01
  1.614360e-01   3.977845e+04   4.388031e+01
  1.642010e-01   3.947227e+04   4.376036e+01
  1.669650e-01   3.912772e+04   4.273961e+01
  1.697290e-01   3.880988e+04   4.202782e+01
  1.724930e-01   3.845112e+04   4.123959e+01
  1.752580e-01   3.810679e+04   4.092788e+01
  1.780220e-01   3.775510e+04   4.052847e+01
  1.807860e-01   3.727672e+04   3.984192e+01
  1.835500e-01   3.696513e+04   3.886442e+01
  1.863140e-01   3.664263e+04   3.853089e+01
  1.890790e-01   3.630820e+04   3.819897e+01
  1.918430e-01   3.592435e+04   3.799684e+01
  1.946070e-01   3.550810e+04   3.663455e+01
  1.973710e-01   3.523659e+04   3.713020e+01
  2.001360e-01   3.481843e+04   3.634347e+01
  2.029000e-01   3.453401e+04   3.568313e+01
  2.056640e-01   3.403896e+04   3.522272e+01
  2.084280e-01   3.362427e+04   3.474946e+01
  2.111930e-01   3.334522e+04   3.504165e+01
  2.139570e-01   3.293207e+04   3.418302e+01
  2.167210e-01   3.261348e+04   3.359479e+01
  2.194850e-01   3.208409e+04   3.409052e+01
  2.222490e-01   3.174059e+04   3.399762e+01
  2.250140e-01   3.140680e+04   3.429041e+01
  2.277780e-01   3.094086e+04   3.401835e+01
  2.305420e-01   3.059962e+04   3.349078e+01
  2.333060e-01   3.020110e+04   3.390660e+01
  2.360710e-01   2.979335e+04   3.338426e+01
  2.388350e-01   2.939680e+04   3.336737e+01
  2.415990e-01   2.897232e+04   3.282048e+01
  2.443630e-01   2.862285e+04   3.283217e+01
  2.471280e-01   2.825660e+04   3.275732e+01
  2.498920e-01   2.784213e+04   3.250312e+01
  2.526560e-01   2.744455e+04   3.201312e+01
  2.554200e-01   2.706938e+04   3.200660e+01
  2.581850e-01   2.667700e+04   3.173536e+01
  2.609490e-01   2.627458e+04   3.139349e+01
  2.637130e-01   2.590873e+04   3.113930e+01
  2.664770e-01   2.549227e+04   3.084891e+01
  2.692410e-01   2.512444e+04   3.111785e+01
  2.720060e-01   2.472207e+04   3.039671e+01
  2.747700e-01   2.436376e+04   3.032798e+01
  2.775340e-01   2.392894e+04   3.019086e+01
  2.802980e-01   2.362257e+04   2.906822e+01
  2.830630e-01   2.322932e+04   2.874288e+01
  2.858270e-01   2.287222e+04   2.804348e+01
  2.885910e-01   2.242182e+04   2.746083e+01
  2.913550e-01   2.209181e+04   2.733596e+01
  2.941200e-01   2.168083e+04   2.667630e+01
  2.968840e-01   2.133361e+04   2.673476e+01
  2.996480e-01   2.093410e+04   2.594619e+01
  3.024120e-01   2.053729e+04   2.581599e+01
  3.051760e-01   2.025530e+04   2.560696e+01
  3.079410e-01   1.988843e+04   2.514452e+01
  3.107050e-01   1.948060e+04   2.494135e+01
  3.134690e-01   1.910166e+04   2.454530e+01
  3.162330e-01   1.872761e+04   2.424134e+01
  3.189980e-01   1.842014e+04   2.436026e+01
  3.217620e-01   1.805405e+04   2.388785e+01
  3.245260e-01   1.767011e+04   2.406274e+01
  3.272900e-01   1.736616e+04   2.427150e+01
  3.300550e-01   1.697251e+04   2.402916e+01
  3.328190e-01   1.663699e+04   2.426136e+01
  3.355830e-01   1.628538e+04   2.350573e+01
  3.383470e-01   1.593659e+04   2.374937e+01
  3.411110e-01   1.559928e+04   2.350720e+01
