# q                 I(q)             
  1.00000e-03       9.99703e-01      
  1.74937e-03       9.99092e-01      
  2.49875e-03       9.98149e-01      
  3.24812e-03       9.96875e-01      
  3.99749e-03       9.95272e-01      
  4.74687e-03       9.93341e-01      
  5.49624e-03       9.91087e-01      
  6.24561e-03       9.88511e-01      
  6.99499e-03       9.85617e-01      
  7.74436e-03       9.82409e-01      
  8.49373e-03       9.78891e-01      
  9.24311e-03       9.75068e-01      
  9.99248e-03       9.70945e-01      
  1.07419e-02       9.66527e-01      
  1.14912e-02       9.61820e-01      
  1.22406e-02       9.56831e-01      
  1.29900e-02       9.51565e-01      
  1.37393e-02       9.46030e-01      
  1.44887e-02       9.40233e-01      
  1.52381e-02       9.34181e-01      
  1.59875e-02       9.27881e-01      
  1.67368e-02       9.21343e-01      
  1.74862e-02       9.14573e-01      
  1.82356e-02       9.07581e-01      
  1.89850e-02       9.00375e-01      
  1.97343e-02       8.92964e-01      
  2.04837e-02       8.85357e-01      
  2.12331e-02       8.77563e-01      
  2.19825e-02       8.69592e-01      
  2.27318e-02       8.61453e-01      
  2.34812e-02       8.53156e-01      
  2.42306e-02       8.44710e-01      
  2.49799e-02       8.36125e-01      
  2.57293e-02       8.27411e-01      
  2.64787e-02       8.18577e-01      
  2.72281e-02       8.09634e-01      
  2.79774e-02       8.00591e-01      
  2.87268e-02       7.91458e-01      
  2.94762e-02       7.82245e-01      
  3.02256e-02       7.72961e-01      
  3.09749e-02       7.63616e-01      
  3.17243e-02       7.54220e-01      
  3.24737e-02       7.44782e-01      
  3.32231e-02       7.35311e-01      
  3.39724e-02       7.25816e-01      
  3.47218e-02       7.16307e-01      
  3.54712e-02       7.06791e-01      
  3.62206e-02       6.97279e-01      
  3.69699e-02       6.87777e-01      
  3.77193e-02       6.78295e-01      
  3.84687e-02       6.68840e-01      
  3.92180e-02       6.59420e-01      
  3.99674e-02       6.50043e-01      
  4.07168e-02       6.40715e-01      
  4.14662e-02       6.31444e-01      
  4.22155e-02       6.22237e-01      
  4.29649e-02       6.13100e-01      
  4.37143e-02       6.04038e-01      
  4.44637e-02       5.95059e-01      
  4.52130e-02       5.86167e-01      
  4.59624e-02       5.77368e-01      
  4.67118e-02       5.68666e-01      
  4.74612e-02       5.60067e-01      
  4.82105e-02       5.51575e-01      
  4.89599e-02       5.43194e-01      
  4.97093e-02       5.34926e-01      
  5.04586e-02       5.26777e-01      
  5.12080e-02       5.18749e-01      
  5.19574e-02       5.10845e-01      
  5.27068e-02       5.03067e-01      
  5.34561e-02       4.95418e-01      
  5.42055e-02       4.87900e-01      
  5.49549e-02       4.80513e-01      
  5.57043e-02       4.73260e-01      
  5.64536e-02       4.66141e-01      
  5.72030e-02       4.59158e-01      
  5.79524e-02       4.52311e-01      
  5.87018e-02       4.45600e-01      
  5.94511e-02       4.39025e-01      
  6.02005e-02       4.32585e-01      
  6.09499e-02       4.26282e-01      
  6.16992e-02       4.20113e-01      
  6.24486e-02       4.14078e-01      
  6.31980e-02       4.08175e-01      
  6.39474e-02       4.02404e-01      
  6.46967e-02       3.96763e-01      
  6.54461e-02       3.91251e-01      
  6.61955e-02       3.85864e-01      
  6.69449e-02       3.80602e-01      
  6.76942e-02       3.75463e-01      
  6.84436e-02       3.70443e-01      
  6.91930e-02       3.65541e-01      
  6.99424e-02       3.60755e-01      
  7.06917e-02       3.56080e-01      
  7.14411e-02       3.51516e-01      
  7.21905e-02       3.47059e-01      
  7.29398e-02       3.42706e-01      
  7.36892e-02       3.38454e-01      
  7.44386e-02       3.34301e-01      
  7.51880e-02       3.30243e-01      
  7.59373e-02       3.26277e-01      
  7.66867e-02       3.22401e-01      
  7.74361e-02       3.18611e-01      
  7.81855e-02       3.14905e-01      
  7.89348e-02       3.11279e-01      
  7.96842e-02       3.07730e-01      
  8.04336e-02       3.04255e-01      
  8.11830e-02       3.00851e-01      
  8.19323e-02       2.97516e-01      
  8.26817e-02       2.94246e-01      
  8.34311e-02       2.91039e-01      
  8.41805e-02       2.87892e-01      
  8.49298e-02       2.84802e-01      
  8.56792e-02       2.81766e-01      
  8.64286e-02       2.78783e-01      
  8.71779e-02       2.75848e-01      
  8.79273e-02       2.72961e-01      
  8.86767e-02       2.70119e-01      
  8.94261e-02       2.67319e-01      
  9.01754e-02       2.64559e-01      
  9.09248e-02       2.61838e-01      
  9.16742e-02       2.59152e-01      
  9.24236e-02       2.56502e-01      
  9.31729e-02       2.53884e-01      
  9.39223e-02       2.51297e-01      
  9.46717e-02       2.48739e-01      
  9.54211e-02       2.46209e-01      
  9.61704e-02       2.43706e-01      
  9.69198e-02       2.41228e-01      
  9.76692e-02       2.38774e-01      
  9.84185e-02       2.36343e-01      
  9.91679e-02       2.33935e-01      
  9.99173e-02       2.31547e-01      
  1.00667e-01       2.29179e-01      
  1.01416e-01       2.26831e-01      
  1.02165e-01       2.24501e-01      
  1.02915e-01       2.22190e-01      
  1.03664e-01       2.19896e-01      
  1.04414e-01       2.17620e-01      
  1.05163e-01       2.15360e-01      
  1.05912e-01       2.13117e-01      
  1.06662e-01       2.10891e-01      
  1.07411e-01       2.08680e-01      
  1.08160e-01       2.06486e-01      
  1.08910e-01       2.04307e-01      
  1.09659e-01       2.02145e-01      
  1.10409e-01       1.99998e-01      
  1.11158e-01       1.97867e-01      
  1.11907e-01       1.95752e-01      
  1.12657e-01       1.93654e-01      
