# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  6.36672e-02  5.46103e-03 
  1.74937e-03  6.38161e-02  4.12771e-03 
  2.49875e-03  6.69156e-02  3.45221e-03 
  3.24812e-03  5.92889e-02  3.02610e-03 
  3.99749e-03  6.80800e-02  2.72570e-03 
  4.74687e-03  6.17484e-02  2.49904e-03 
  5.49624e-03  5.86116e-02  2.31997e-03 
  6.24561e-03  6.21203e-02  2.17370e-03 
  6.99499e-03  6.40469e-02  2.05116e-03 
  7.74436e-03  6.14624e-02  1.94642e-03 
  8.49373e-03  6.04989e-02  1.85547e-03 
  9.24311e-03  6.17598e-02  1.77541e-03 
  9.99248e-03  5.99869e-02  1.70417e-03 
  1.07419e-02  5.94383e-02  1.64015e-03 
  1.14912e-02  5.91476e-02  1.58216e-03 
  1.22406e-02  6.02018e-02  1.52925e-03 
  1.29900e-02  5.76982e-02  1.48067e-03 
  1.37393e-02  5.94048e-02  1.43581e-03 
  1.44887e-02  5.99083e-02  1.39419e-03 
  1.52381e-02  5.73366e-02  1.35539e-03 
  1.59875e-02  5.88475e-02  1.31908e-03 
  1.67368e-02  5.87724e-02  1.28498e-03 
  1.74862e-02  5.69088e-02  1.25284e-03 
  1.82356e-02  5.89083e-02  1.22245e-03 
  1.89850e-02  5.57477e-02  1.19365e-03 
  1.97343e-02  5.66313e-02  1.16629e-03 
  2.04837e-02  5.52757e-02  1.14022e-03 
  2.12331e-02  5.34507e-02  1.11533e-03 
  2.19825e-02  5.51453e-02  1.09153e-03 
  2.27318e-02  5.55589e-02  1.06872e-03 
  2.34812e-02  5.41859e-02  1.04683e-03 
  2.42306e-02  5.15814e-02  1.02578e-03 
  2.49799e-02  5.22795e-02  1.00552e-03 
  2.57293e-02  5.29869e-02  9.85984e-04 
  2.64787e-02  5.19746e-02  9.67129e-04 
  2.72281e-02  5.08318e-02  9.48908e-04 
  2.79774e-02  5.12658e-02  9.31281e-04 
  2.87268e-02  4.95501e-02  9.14213e-04 
  2.94762e-02  5.04013e-02  8.97670e-04 
  3.02256e-02  4.80360e-02  8.81623e-04 
  3.09749e-02  4.90511e-02  8.66045e-04 
  3.17243e-02  4.75380e-02  8.50910e-04 
  3.24737e-02  4.64480e-02  8.36198e-04 
  3.32231e-02  4.61464e-02  8.21886e-04 
  3.39724e-02  4.55627e-02  8.07957e-04 
  3.47218e-02  4.37233e-02  7.94393e-04 
  3.54712e-02  4.30471e-02  7.81178e-04 
  3.62206e-02  4.36092e-02  7.68298e-04 
  3.69699e-02  4.35936e-02  7.55740e-04 
  3.77193e-02  4.18279e-02  7.43491e-04 
  3.84687e-02  4.18463e-02  7.31539e-04 
  3.92180e-02  4.28493e-02  7.19874e-04 
  3.99674e-02  3.90202e-02  7.08486e-04 
  4.07168e-02  3.94470e-02  6.97366e-04 
  4.14662e-02  4.03833e-02  6.86505e-04 
  4.22155e-02  3.96129e-02  6.75895e-04 
  4.29649e-02  3.85919e-02  6.65529e-04 
  4.37143e-02  3.92466e-02  6.55401e-04 
  4.44637e-02  3.84247e-02  6.45502e-04 
  4.52130e-02  3.70167e-02  6.35828e-04 
  4.59624e-02  3.69101e-02  6.26371e-04 
  4.67118e-02  3.49624e-02  6.17128e-04 
  4.74612e-02  3.44179e-02  6.08092e-04 
  4.82105e-02  3.49834e-02  5.99258e-04 
  4.89599e-02  3.35886e-02  5.90623e-04 
  4.97093e-02  3.24426e-02  5.82180e-04 
  5.04586e-02  3.38020e-02  5.73926e-04 
  5.12080e-02  3.24413e-02  5.65858e-04 
  5.19574e-02  3.22316e-02  5.57969e-04 
  5.27068e-02  3.26035e-02  5.50258e-04 
  5.34561e-02  3.15965e-02  5.42720e-04 
  5.42055e-02  3.12938e-02  5.35351e-04 
  5.49549e-02  2.97142e-02  5.28148e-04 
  5.57043e-02  3.01656e-02  5.21108e-04 
  5.64536e-02  2.97516e-02  5.14226e-04 
  5.72030e-02  2.90731e-02  5.07500e-04 
  5.79524e-02  2.81663e-02  5.00927e-04 
  5.87018e-02  2.85139e-02  4.94503e-04 
  5.94511e-02  2.80918e-02  4.88224e-04 
  6.02005e-02  2.67646e-02  4.82089e-04 
  6.09499e-02  2.62843e-02  4.76094e-04 
  6.16992e-02  2.62402e-02  4.70235e-04 
  6.24486e-02  2.56753e-02  4.64510e-04 
  6.31980e-02  2.52004e-02  4.58916e-04 
  6.39474e-02  2.53622e-02  4.53450e-04 
  6.46967e-02  2.51785e-02  4.48109e-04 
  6.54461e-02  2.49120e-02  4.42889e-04 
  6.61955e-02  2.46829e-02  4.37788e-04 
  6.69449e-02  2.32696e-02  4.32804e-04 
  6.76942e-02  2.37989e-02  4.27932e-04 
  6.84436e-02  2.33748e-02  4.23171e-04 
  6.91930e-02  2.22160e-02  4.18517e-04 
  6.99424e-02  2.27873e-02  4.13968e-04 
  7.06917e-02  2.22901e-02  4.09520e-04 
  7.14411e-02  2.29409e-02  4.05172e-04 
  7.21905e-02  2.11776e-02  4.00919e-04 
  7.29398e-02  2.17082e-02  3.96761e-04 
  7.36892e-02  2.10457e-02  3.92693e-04 
  7.44386e-02  2.11608e-02  3.88713e-04 
  7.51880e-02  2.06598e-02  3.84818e-04 
  7.59373e-02  2.07927e-02  3.81006e-04 
  7.66867e-02  2.05782e-02  3.77275e-04 
  7.74361e-02  2.00341e-02  3.73621e-04 
  7.81855e-02  2.01607e-02  3.70042e-04 
  7.89348e-02  1.94928e-02  3.66536e-04 
  7.96842e-02  1.93353e-02  3.63101e-04 
  8.04336e-02  1.85716e-02  3.59733e-04 
  8.11830e-02  1.87636e-02  3.56431e-04 
  8.19323e-02  1.84375e-02  3.53192e-04 
  8.26817e-02  1.86500e-02  3.50014e-04 
  8.34311e-02  1.82961e-02  3.46895e-04 
  8.41805e-02  1.79147e-02  3.43834e-04 
  8.49298e-02  1.81128e-02  3.40827e-04 
  8.56792e-02  1.77008e-02  3.37872e-04 
  8.64286e-02  1.67241e-02  3.34969e-04 
  8.71779e-02  1.75526e-02  3.32115e-04 
  8.79273e-02  1.77219e-02  3.29307e-04 
  8.86767e-02  1.70746e-02  3.26546e-04 
  8.94261e-02  1.70786e-02  3.23828e-04 
  9.01754e-02  1.68225e-02  3.21152e-04 
  9.09248e-02  1.69653e-02  3.18517e-04 
  9.16742e-02  1.56951e-02  3.15921e-04 
  9.24236e-02  1.59976e-02  3.13363e-04 
  9.31729e-02  1.62102e-02  3.10841e-04 
  9.39223e-02  1.59448e-02  3.08354e-04 
  9.46717e-02  1.55863e-02  3.05901e-04 
  9.54211e-02  1.49202e-02  3.03481e-04 
  9.61704e-02  1.47397e-02  3.01092e-04 
  9.69198e-02  1.51236e-02  2.98733e-04 
  9.76692e-02  1.48759e-02  2.96404e-04 
  9.84185e-02  1.43911e-02  2.94104e-04 
  9.91679e-02  1.45878e-02  2.91831e-04 
  9.99173e-02  1.41904e-02  2.89585e-04 
  1.00667e-01  1.42566e-02  2.87365e-04 
  1.01416e-01  1.44108e-02  2.85170e-04 
  1.02165e-01  1.43440e-02  2.83000e-04 
  1.02915e-01  1.39944e-02  2.80854e-04 
  1.03664e-01  1.33787e-02  2.78731e-04 
  1.04414e-01  1.33885e-02  2.76631e-04 
  1.05163e-01  1.36049e-02  2.74554e-04 
  1.05912e-01  1.36126e-02  2.72498e-04 
  1.06662e-01  1.31581e-02  2.70464e-04 
  1.07411e-01  1.30586e-02  2.68451e-04 
  1.08160e-01  1.33639e-02  2.66459e-04 
  1.08910e-01  1.28964e-02  2.64487e-04 
  1.09659e-01  1.23938e-02  2.62535e-04 
  1.10409e-01  1.23526e-02  2.60603e-04 
  1.11158e-01  1.25782e-02  2.58691e-04 
  1.11907e-01  1.23549e-02  2.56798e-04 
  1.12657e-01  1.22638e-02  2.54925e-04 
  1.13406e-01  1.22305e-02  2.53071e-04 
  1.14155e-01  1.19729e-02  2.51235e-04 
  1.14905e-01  1.19062e-02  2.49419e-04 
  1.15654e-01  1.19942e-02  2.47621e-04 
  1.16404e-01  1.15290e-02  2.45841e-04 
  1.17153e-01  1.16406e-02  2.44081e-04 
  1.17902e-01  1.10927e-02  2.42338e-04 
  1.18652e-01  1.07644e-02  2.40614e-04 
  1.19401e-01  1.19198e-02  2.38908e-04 
  1.20150e-01  1.11103e-02  2.37221e-04 
  1.20900e-01  1.06903e-02  2.35551e-04 
  1.21649e-01  1.10601e-02  2.33899e-04 
  1.22398e-01  1.06621e-02  2.32266e-04 
  1.23148e-01  1.06607e-02  2.30650e-04 
  1.23897e-01  1.00710e-02  2.29053e-04 
  1.24647e-01  1.02835e-02  2.27473e-04 
  1.25396e-01  1.00974e-02  2.25910e-04 
  1.26145e-01  9.91318e-03  2.24366e-04 
  1.26895e-01  9.84579e-03  2.22839e-04 
  1.27644e-01  9.21269e-03  2.21329e-04 
  1.28393e-01  9.46054e-03  2.19837e-04 
  1.29143e-01  8.93833e-03  2.18362e-04 
  1.29892e-01  9.47520e-03  2.16904e-04 
  1.30642e-01  9.52005e-03  2.15463e-04 
  1.31391e-01  9.28903e-03  2.14039e-04 
  1.32140e-01  8.67394e-03  2.12632e-04 
  1.32890e-01  8.72316e-03  2.11241e-04 
  1.33639e-01  8.87289e-03  2.09867e-04 
