# q                 I(q)             
  1.00000e-03       9.99656e-01      
  1.74937e-03       9.98946e-01      
  2.49875e-03       9.97852e-01      
  3.24812e-03       9.96375e-01      
  3.99749e-03       9.94517e-01      
  4.74687e-03       9.92281e-01      
  5.49624e-03       9.89671e-01      
  6.24561e-03       9.86692e-01      
  6.99499e-03       9.83348e-01      
  7.74436e-03       9.79646e-01      
  8.49373e-03       9.75590e-01      
  9.24311e-03       9.71189e-01      
  9.99248e-03       9.66449e-01      
  1.07419e-02       9.61377e-01      
  1.14912e-02       9.55983e-01      
  1.22406e-02       9.50275e-01      
  1.29900e-02       9.44262e-01      
  1.37393e-02       9.37953e-01      
  1.44887e-02       9.31359e-01      
  1.52381e-02       9.24490e-01      
  1.59875e-02       9.17357e-01      
  1.67368e-02       9.09971e-01      
  1.74862e-02       9.02342e-01      
  1.82356e-02       8.94483e-01      
  1.89850e-02       8.86406e-01      
  1.97343e-02       8.78121e-01      
  2.04837e-02       8.69642e-01      
  2.12331e-02       8.60980e-01      
  2.19825e-02       8.52148e-01      
  2.27318e-02       8.43159e-01      
  2.34812e-02       8.34024e-01      
  2.42306e-02       8.24756e-01      
  2.49799e-02       8.15368e-01      
  2.57293e-02       8.05871e-01      
  2.64787e-02       7.96278e-01      
  2.72281e-02       7.86602e-01      
  2.79774e-02       7.76854e-01      
  2.87268e-02       7.67046e-01      
  2.94762e-02       7.57190e-01      
  3.02256e-02       7.47296e-01      
  3.09749e-02       7.37378e-01      
  3.17243e-02       7.27444e-01      
  3.24737e-02       7.17506e-01      
  3.32231e-02       7.07575e-01      
  3.39724e-02       6.97660e-01      
  3.47218e-02       6.87772e-01      
  3.54712e-02       6.77918e-01      
  3.62206e-02       6.68109e-01      
  3.69699e-02       6.58354e-01      
  3.77193e-02       6.48659e-01      
  3.84687e-02       6.39034e-01      
  3.92180e-02       6.29486e-01      
  3.99674e-02       6.20022e-01      
  4.07168e-02       6.10647e-01      
  4.14662e-02       6.01370e-01      
  4.22155e-02       5.92195e-01      
  4.29649e-02       5.83128e-01      
  4.37143e-02       5.74174e-01      
  4.44637e-02       5.65337e-01      
  4.52130e-02       5.56622e-01      
  4.59624e-02       5.48032e-01      
  4.67118e-02       5.39571e-01      
  4.74612e-02       5.31241e-01      
  4.82105e-02       5.23046e-01      
  4.89599e-02       5.14987e-01      
  4.97093e-02       5.07067e-01      
  5.04586e-02       4.99286e-01      
  5.12080e-02       4.91646e-01      
  5.19574e-02       4.84147e-01      
  5.27068e-02       4.76791e-01      
  5.34561e-02       4.69576e-01      
  5.42055e-02       4.62504e-01      
  5.49549e-02       4.55574e-01      
  5.57043e-02       4.48784e-01      
  5.64536e-02       4.42134e-01      
  5.72030e-02       4.35624e-01      
  5.79524e-02       4.29250e-01      
  5.87018e-02       4.23013e-01      
  5.94511e-02       4.16909e-01      
  6.02005e-02       4.10938e-01      
  6.09499e-02       4.05096e-01      
  6.16992e-02       3.99383e-01      
  6.24486e-02       3.93794e-01      
  6.31980e-02       3.88329e-01      
  6.39474e-02       3.82983e-01      
  6.46967e-02       3.77755e-01      
  6.54461e-02       3.72642e-01      
