# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  6.05577e-02  5.39498e-03 
  1.74937e-03  6.42353e-02  4.07766e-03 
  2.49875e-03  6.23000e-02  3.41018e-03 
  3.24812e-03  6.13321e-02  2.98906e-03 
  3.99749e-03  5.99273e-02  2.69212e-03 
  4.74687e-03  6.15752e-02  2.46802e-03 
  5.49624e-03  5.75389e-02  2.29091e-03 
  6.24561e-03  5.45998e-02  2.14619e-03 
  6.99499e-03  5.84309e-02  2.02490e-03 
  7.74436e-03  5.74563e-02  1.92120e-03 
  8.49373e-03  5.53792e-02  1.83110e-03 
  9.24311e-03  5.62309e-02  1.75176e-03 
  9.99248e-03  5.66459e-02  1.68113e-03 
  1.07419e-02  5.59653e-02  1.61763e-03 
  1.14912e-02  5.71030e-02  1.56008e-03 
  1.22406e-02  5.21428e-02  1.50755e-03 
  1.29900e-02  5.66960e-02  1.45929e-03 
  1.37393e-02  5.49345e-02  1.41471e-03 
  1.44887e-02  5.18980e-02  1.37333e-03 
  1.52381e-02  5.26743e-02  1.33475e-03 
  1.59875e-02  5.54451e-02  1.29862e-03 
  1.67368e-02  5.35651e-02  1.26468e-03 
  1.74862e-02  5.31849e-02  1.23268e-03 
  1.82356e-02  5.26062e-02  1.20243e-03 
  1.89850e-02  5.02760e-02  1.17374e-03 
  1.97343e-02  5.13696e-02  1.14648e-03 
  2.04837e-02  5.22591e-02  1.12051e-03 
  2.12331e-02  5.00462e-02  1.09572e-03 
  2.19825e-02  5.10980e-02  1.07201e-03 
  2.27318e-02  4.92978e-02  1.04930e-03 
  2.34812e-02  4.92252e-02  1.02750e-03 
  2.42306e-02  4.86346e-02  1.00655e-03 
  2.49799e-02  4.83722e-02  9.86381e-04 
  2.57293e-02  4.81199e-02  9.66951e-04 
  2.64787e-02  4.42785e-02  9.48205e-04 
  2.72281e-02  4.60876e-02  9.30102e-04 
  2.79774e-02  4.52615e-02  9.12600e-04 
  2.87268e-02  4.48859e-02  8.95666e-04 
  2.94762e-02  4.44353e-02  8.79267e-04 
  3.02256e-02  4.38269e-02  8.63374e-04 
  3.09749e-02  4.18439e-02  8.47961e-04 
  3.17243e-02  4.26812e-02  8.33004e-04 
  3.24737e-02  4.16225e-02  8.18480e-04 
  3.32231e-02  4.23821e-02  8.04370e-04 
  3.39724e-02  4.09976e-02  7.90654e-04 
  3.47218e-02  4.10240e-02  7.77317e-04 
  3.54712e-02  3.86501e-02  7.64343e-04 
  3.62206e-02  3.98461e-02  7.51716e-04 
  3.69699e-02  3.87652e-02  7.39424e-04 
  3.77193e-02  3.72415e-02  7.27453e-04 
  3.84687e-02  3.61442e-02  7.15794e-04 
  3.92180e-02  3.63731e-02  7.04434e-04 
  3.99674e-02  3.69613e-02  6.93364e-04 
  4.07168e-02  3.54511e-02  6.82573e-04 
  4.14662e-02  3.62935e-02  6.72054e-04 
  4.22155e-02  3.40401e-02  6.61798e-04 
  4.29649e-02  3.38614e-02  6.51797e-04 
  4.37143e-02  3.41204e-02  6.42043e-04 
  4.44637e-02  3.35630e-02  6.32530e-04 
  4.52130e-02  3.26691e-02  6.23250e-04 
  4.59624e-02  3.20258e-02  6.14197e-04 
  4.67118e-02  3.22301e-02  6.05365e-04 
  4.74612e-02  3.17611e-02  5.96748e-04 
  4.82105e-02  3.03499e-02  5.88340e-04 
  4.89599e-02  2.93472e-02  5.80135e-04 
  4.97093e-02  2.92638e-02  5.72129e-04 
  5.04586e-02  2.89172e-02  5.64316e-04 
  5.12080e-02  2.82103e-02  5.56691e-04 
  5.19574e-02  2.90406e-02  5.49250e-04 
  5.27068e-02  2.81417e-02  5.41987e-04 
  5.34561e-02  2.81129e-02  5.34897e-04 
  5.42055e-02  2.59874e-02  5.27978e-04 
  5.49549e-02  2.63172e-02  5.21223e-04 
  5.57043e-02  2.64631e-02  5.14629e-04 
  5.64536e-02  2.65755e-02  5.08191e-04 
  5.72030e-02  2.54970e-02  5.01906e-04 
  5.79524e-02  2.50345e-02  4.95769e-04 
  5.87018e-02  2.50649e-02  4.89776e-04 
  5.94511e-02  2.39417e-02  4.83923e-04 
  6.02005e-02  2.46144e-02  4.78207e-04 
  6.09499e-02  2.38837e-02  4.72624e-04 
  6.16992e-02  2.37694e-02  4.67170e-04 
  6.24486e-02  2.22605e-02  4.61841e-04 
  6.31980e-02  2.38569e-02  4.56634e-04 
  6.39474e-02  2.29335e-02  4.51545e-04 
  6.46967e-02  2.23234e-02  4.46571e-04 
  6.54461e-02  2.23921e-02  4.41709e-04 
  6.61955e-02  2.15966e-02  4.36955e-04 
  6.69449e-02  2.16002e-02  4.32306e-04 
  6.76942e-02  2.15751e-02  4.27758e-04 
  6.84436e-02  2.03413e-02  4.23310e-04 
  6.91930e-02  1.97901e-02  4.18957e-04 
  6.99424e-02  2.03263e-02  4.14696e-04 
  7.06917e-02  2.11394e-02  4.10526e-04 
  7.14411e-02  1.97144e-02  4.06443e-04 
  7.21905e-02  2.01753e-02  4.02444e-04 
  7.29398e-02  1.96606e-02  3.98527e-04 
  7.36892e-02  1.88287e-02  3.94689e-04 
  7.44386e-02  1.89915e-02  3.90927e-04 
  7.51880e-02  1.88162e-02  3.87240e-04 
  7.59373e-02  1.72413e-02  3.83624e-04 
  7.66867e-02  1.81054e-02  3.80079e-04 
  7.74361e-02  1.73403e-02  3.76600e-04 
  7.81855e-02  1.74432e-02  3.73187e-04 
  7.89348e-02  1.69856e-02  3.69837e-04 
  7.96842e-02  1.77131e-02  3.66548e-04 
  8.04336e-02  1.71332e-02  3.63319e-04 
  8.11830e-02  1.67132e-02  3.60147e-04 
  8.19323e-02  1.63422e-02  3.57031e-04 
  8.26817e-02  1.59912e-02  3.53969e-04 
  8.34311e-02  1.62432e-02  3.50960e-04 
  8.41805e-02  1.58038e-02  3.48001e-04 
  8.49298e-02  1.62390e-02  3.45092e-04 
  8.56792e-02  1.55459e-02  3.42231e-04 
  8.64286e-02  1.55734e-02  3.39416e-04 
  8.71779e-02  1.48278e-02  3.36647e-04 
  8.79273e-02  1.54677e-02  3.33921e-04 
  8.86767e-02  1.55000e-02  3.31239e-04 
  8.94261e-02  1.52783e-02  3.28598e-04 
  9.01754e-02  1.44703e-02  3.25999e-04 
  9.09248e-02  1.44992e-02  3.23438e-04 
  9.16742e-02  1.45627e-02  3.20916e-04 
  9.24236e-02  1.45409e-02  3.18432e-04 
  9.31729e-02  1.33712e-02  3.15985e-04 
  9.39223e-02  1.39396e-02  3.13574e-04 
  9.46717e-02  1.33713e-02  3.11197e-04 
  9.54211e-02  1.38693e-02  3.08855e-04 
  9.61704e-02  1.37189e-02  3.06547e-04 
  9.69198e-02  1.32860e-02  3.04271e-04 
  9.76692e-02  1.30156e-02  3.02027e-04 
  9.84185e-02  1.28015e-02  2.99815e-04 
  9.91679e-02  1.31921e-02  2.97634e-04 
  9.99173e-02  1.30837e-02  2.95482e-04 
  1.00667e-01  1.23957e-02  2.93361e-04 
  1.01416e-01  1.25668e-02  2.91268e-04 
  1.02165e-01  1.19474e-02  2.89204e-04 
  1.02915e-01  1.24865e-02  2.87168e-04 
  1.03664e-01  1.14443e-02  2.85159e-04 
  1.04414e-01  1.23686e-02  2.83177e-04 
  1.05163e-01  1.15366e-02  2.81222e-04 
  1.05912e-01  1.20196e-02  2.79292e-04 
  1.06662e-01  1.14249e-02  2.77388e-04 
  1.07411e-01  1.15127e-02  2.75509e-04 
  1.08160e-01  1.17823e-02  2.73655e-04 
  1.08910e-01  1.14904e-02  2.71825e-04 
  1.09659e-01  1.12935e-02  2.70019e-04 
  1.10409e-01  1.06373e-02  2.68236e-04 
  1.11158e-01  1.06892e-02  2.66476e-04 
  1.11907e-01  1.03892e-02  2.64738e-04 
