# Structure factor, S(q), used in: I(q) = P(q)*S(q)
# Default: S(q) = 1.0
# q                 S(q)             
  1.00000e-03      1.00000e+00      
  1.74937e-03      1.00000e+00      
  2.49875e-03      1.00000e+00      
  3.24812e-03      1.00000e+00      
  3.99749e-03      1.00000e+00      
  4.74687e-03      1.00000e+00      
  5.49624e-03      1.00000e+00      
  6.24561e-03      1.00000e+00      
  6.99499e-03      1.00000e+00      
  7.74436e-03      1.00000e+00      
  8.49373e-03      1.00000e+00      
  9.24311e-03      1.00000e+00      
  9.99248e-03      1.00000e+00      
  1.07419e-02      1.00000e+00      
  1.14912e-02      1.00000e+00      
  1.22406e-02      1.00000e+00      
  1.29900e-02      1.00000e+00      
  1.37393e-02      1.00000e+00      
  1.44887e-02      1.00000e+00      
  1.52381e-02      1.00000e+00      
  1.59875e-02      1.00000e+00      
  1.67368e-02      1.00000e+00      
  1.74862e-02      1.00000e+00      
  1.82356e-02      1.00000e+00      
  1.89850e-02      1.00000e+00      
  1.97343e-02      1.00000e+00      
  2.04837e-02      1.00000e+00      
  2.12331e-02      1.00000e+00      
  2.19825e-02      1.00000e+00      
  2.27318e-02      1.00000e+00      
  2.34812e-02      1.00000e+00      
  2.42306e-02      1.00000e+00      
  2.49799e-02      1.00000e+00      
  2.57293e-02      1.00000e+00      
  2.64787e-02      1.00000e+00      
  2.72281e-02      1.00000e+00      
  2.79774e-02      1.00000e+00      
  2.87268e-02      1.00000e+00      
  2.94762e-02      1.00000e+00      
  3.02256e-02      1.00000e+00      
  3.09749e-02      1.00000e+00      
  3.17243e-02      1.00000e+00      
  3.24737e-02      1.00000e+00      
  3.32231e-02      1.00000e+00      
  3.39724e-02      1.00000e+00      
  3.47218e-02      1.00000e+00      
  3.54712e-02      1.00000e+00      
  3.62206e-02      1.00000e+00      
  3.69699e-02      1.00000e+00      
  3.77193e-02      1.00000e+00      
  3.84687e-02      1.00000e+00      
  3.92180e-02      1.00000e+00      
  3.99674e-02      1.00000e+00      
  4.07168e-02      1.00000e+00      
  4.14662e-02      1.00000e+00      
  4.22155e-02      1.00000e+00      
  4.29649e-02      1.00000e+00      
  4.37143e-02      1.00000e+00      
  4.44637e-02      1.00000e+00      
  4.52130e-02      1.00000e+00      
  4.59624e-02      1.00000e+00      
  4.67118e-02      1.00000e+00      
  4.74612e-02      1.00000e+00      
  4.82105e-02      1.00000e+00      
  4.89599e-02      1.00000e+00      
  4.97093e-02      1.00000e+00      
  5.04586e-02      1.00000e+00      
  5.12080e-02      1.00000e+00      
  5.19574e-02      1.00000e+00      
  5.27068e-02      1.00000e+00      
  5.34561e-02      1.00000e+00      
  5.42055e-02      1.00000e+00      
  5.49549e-02      1.00000e+00      
  5.57043e-02      1.00000e+00      
  5.64536e-02      1.00000e+00      
  5.72030e-02      1.00000e+00      
  5.79524e-02      1.00000e+00      
  5.87018e-02      1.00000e+00      
  5.94511e-02      1.00000e+00      
  6.02005e-02      1.00000e+00      
  6.09499e-02      1.00000e+00      
  6.16992e-02      1.00000e+00      
  6.24486e-02      1.00000e+00      
  6.31980e-02      1.00000e+00      
  6.39474e-02      1.00000e+00      
  6.46967e-02      1.00000e+00      
  6.54461e-02      1.00000e+00      
  6.61955e-02      1.00000e+00      
  6.69449e-02      1.00000e+00      
  6.76942e-02      1.00000e+00      
  6.84436e-02      1.00000e+00      
  6.91930e-02      1.00000e+00      
  6.99424e-02      1.00000e+00      
  7.06917e-02      1.00000e+00      
  7.14411e-02      1.00000e+00      
  7.21905e-02      1.00000e+00      
  7.29398e-02      1.00000e+00      
  7.36892e-02      1.00000e+00      
  7.44386e-02      1.00000e+00      
  7.51880e-02      1.00000e+00      
  7.59373e-02      1.00000e+00      
  7.66867e-02      1.00000e+00      
  7.74361e-02      1.00000e+00      
  7.81855e-02      1.00000e+00      
  7.89348e-02      1.00000e+00      
  7.96842e-02      1.00000e+00      
  8.04336e-02      1.00000e+00      
  8.11830e-02      1.00000e+00      
  8.19323e-02      1.00000e+00      
  8.26817e-02      1.00000e+00      
  8.34311e-02      1.00000e+00      
  8.41805e-02      1.00000e+00      
  8.49298e-02      1.00000e+00      
  8.56792e-02      1.00000e+00      
  8.64286e-02      1.00000e+00      
  8.71779e-02      1.00000e+00      
  8.79273e-02      1.00000e+00      
  8.86767e-02      1.00000e+00      
  8.94261e-02      1.00000e+00      
  9.01754e-02      1.00000e+00      
