# r                 p(r)             
  7.14065e-01       1.24646e-02      
  2.14220e+00       7.90891e-02      
  3.57033e+00       1.97908e-01      
  4.99846e+00       3.43004e-01      
  6.42659e+00       5.02206e-01      
  7.85472e+00       6.53547e-01      
  9.28285e+00       7.91235e-01      
  1.07110e+01       8.98469e-01      
  1.21391e+01       9.63286e-01      
  1.35672e+01       9.99382e-01      
  1.49954e+01       1.00000e+00      
  1.64235e+01       9.65403e-01      
  1.78516e+01       9.17496e-01      
  1.92798e+01       8.55791e-01      
  2.07079e+01       8.09430e-01      
  2.21360e+01       7.81649e-01      
  2.35642e+01       7.59228e-01      
  2.49923e+01       7.36429e-01      
  2.64204e+01       7.15959e-01      
  2.78485e+01       6.99599e-01      
  2.92767e+01       6.84255e-01      
  3.07048e+01       6.66967e-01      
  3.21329e+01       6.51293e-01      
  3.35611e+01       6.37090e-01      
  3.49892e+01       6.22454e-01      
  3.64173e+01       6.05317e-01      
  3.78455e+01       5.92997e-01      
  3.92736e+01       5.75921e-01      
  4.07017e+01       5.59506e-01      
  4.21299e+01       5.47426e-01      
  4.35580e+01       5.33216e-01      
  4.49861e+01       5.16587e-01      
  4.64142e+01       5.01347e-01      
  4.78424e+01       4.87687e-01      
  4.92705e+01       4.72865e-01      
  5.06986e+01       4.58387e-01      
  5.21268e+01       4.46472e-01      
  5.35549e+01       4.31252e-01      
  5.49830e+01       4.18478e-01      
  5.64112e+01       4.03382e-01      
  5.78393e+01       3.88616e-01      
  5.92674e+01       3.78570e-01      
  6.06955e+01       3.62793e-01      
  6.21237e+01       3.46666e-01      
  6.35518e+01       3.34944e-01      
  6.49799e+01       3.24279e-01      
  6.64081e+01       3.08331e-01      
  6.78362e+01       2.92932e-01      
  6.92643e+01       2.83780e-01      
  7.06925e+01       2.69370e-01      
  7.21206e+01       2.56466e-01      
  7.35487e+01       2.43534e-01      
  7.49769e+01       2.33454e-01      
  7.64050e+01       2.20213e-01      
  7.78331e+01       2.10758e-01      
  7.92612e+01       1.99846e-01      
  8.06894e+01       1.87594e-01      
  8.21175e+01       1.78607e-01      
  8.35456e+01       1.68004e-01      
  8.49738e+01       1.57855e-01      
  8.64019e+01       1.48648e-01      
  8.78300e+01       1.38925e-01      
  8.92582e+01       1.29435e-01      
  9.06863e+01       1.19300e-01      
  9.21144e+01       1.10326e-01      
  9.35426e+01       1.03455e-01      
  9.49707e+01       9.48451e-02      
  9.63988e+01       8.64002e-02      
  9.78269e+01       8.05390e-02      
  9.92551e+01       7.36539e-02      
  1.00683e+02       6.72636e-02      
  1.02111e+02       6.00280e-02      
  1.03539e+02       5.43386e-02      
  1.04968e+02       4.84911e-02      
  1.06396e+02       4.34681e-02      
  1.07824e+02       3.85963e-02      
  1.09252e+02       3.34978e-02      
  1.10680e+02       2.98972e-02      
  1.12108e+02       2.55545e-02      
  1.13536e+02       2.17615e-02      
  1.14965e+02       2.01949e-02      
  1.16393e+02       1.60446e-02      
  1.17821e+02       1.44229e-02      
  1.19249e+02       1.11591e-02      
  1.20677e+02       9.94283e-03      
  1.22105e+02       7.95701e-03      
  1.23533e+02       5.73757e-03      
  1.24961e+02       4.59693e-03      
  1.26390e+02       3.26389e-03      
  1.27818e+02       2.82412e-03      
  1.29246e+02       1.46360e-03      
  1.30674e+02       1.05819e-03      
  1.32102e+02       4.80994e-04      
  1.33530e+02       1.92398e-04      
  1.34958e+02       6.18421e-05      
  1.36386e+02       1.37427e-05      
  1.37815e+02       0.00000e+00      
  1.39243e+02       0.00000e+00      
  1.40671e+02       0.00000e+00      
  1.42099e+02       0.00000e+00      
