# q                 I(q)             
  1.00000e-03       9.99709e-01      
  1.74937e-03       9.99109e-01      
  2.49875e-03       9.98184e-01      
  3.24812e-03       9.96933e-01      
  3.99749e-03       9.95360e-01      
  4.74687e-03       9.93465e-01      
  5.49624e-03       9.91253e-01      
  6.24561e-03       9.88724e-01      
  6.99499e-03       9.85884e-01      
  7.74436e-03       9.82734e-01      
  8.49373e-03       9.79281e-01      
  9.24311e-03       9.75527e-01      
  9.99248e-03       9.71479e-01      
  1.07419e-02       9.67140e-01      
  1.14912e-02       9.62518e-01      
  1.22406e-02       9.57617e-01      
  1.29900e-02       9.52444e-01      
  1.37393e-02       9.47006e-01      
  1.44887e-02       9.41309e-01      
  1.52381e-02       9.35361e-01      
  1.59875e-02       9.29169e-01      
  1.67368e-02       9.22741e-01      
  1.74862e-02       9.16085e-01      
  1.82356e-02       9.09208e-01      
  1.89850e-02       9.02120e-01      
  1.97343e-02       8.94829e-01      
  2.04837e-02       8.87343e-01      
  2.12331e-02       8.79672e-01      
  2.19825e-02       8.71825e-01      
  2.27318e-02       8.63810e-01      
  2.34812e-02       8.55637e-01      
  2.42306e-02       8.47316e-01      
  2.49799e-02       8.38856e-01      
  2.57293e-02       8.30267e-01      
  2.64787e-02       8.21557e-01      
  2.72281e-02       8.12737e-01      
  2.79774e-02       8.03815e-01      
  2.87268e-02       7.94802e-01      
  2.94762e-02       7.85708e-01      
  3.02256e-02       7.76540e-01      
  3.09749e-02       7.67310e-01      
  3.17243e-02       7.58025e-01      
  3.24737e-02       7.48696e-01      
  3.32231e-02       7.39331e-01      
  3.39724e-02       7.29940e-01      
  3.47218e-02       7.20530e-01      
  3.54712e-02       7.11111e-01      
  3.62206e-02       7.01692e-01      
  3.69699e-02       6.92279e-01      
  3.77193e-02       6.82882e-01      
  3.84687e-02       6.73508e-01      
  3.92180e-02       6.64165e-01      
  3.99674e-02       6.54860e-01      
  4.07168e-02       6.45601e-01      
  4.14662e-02       6.36394e-01      
  4.22155e-02       6.27246e-01      
  4.29649e-02       6.18163e-01      
  4.37143e-02       6.09152e-01      
  4.44637e-02       6.00218e-01      
  4.52130e-02       5.91367e-01      
  4.59624e-02       5.82605e-01      
  4.67118e-02       5.73935e-01      
  4.74612e-02       5.65363e-01      
  4.82105e-02       5.56894e-01      
  4.89599e-02       5.48530e-01      
  4.97093e-02       5.40277e-01      
  5.04586e-02       5.32138e-01      
  5.12080e-02       5.24115e-01      
  5.19574e-02       5.16212e-01      
  5.27068e-02       5.08431e-01      
  5.34561e-02       5.00775e-01      
  5.42055e-02       4.93246e-01      
  5.49549e-02       4.85845e-01      
  5.57043e-02       4.78575e-01      
  5.64536e-02       4.71435e-01      
  5.72030e-02       4.64428e-01      
  5.79524e-02       4.57554e-01      
  5.87018e-02       4.50812e-01      
  5.94511e-02       4.44205e-01      
  6.02005e-02       4.37730e-01      
  6.09499e-02       4.31389e-01      
  6.16992e-02       4.25180e-01      
  6.24486e-02       4.19104e-01      
  6.31980e-02       4.13158e-01      
  6.39474e-02       4.07342e-01      
  6.46967e-02       4.01655e-01      
  6.54461e-02       3.96095e-01      
  6.61955e-02       3.90660e-01      
  6.69449e-02       3.85349e-01      
  6.76942e-02       3.80160e-01      
  6.84436e-02       3.75090e-01      
  6.91930e-02       3.70137e-01      
  6.99424e-02       3.65300e-01      
  7.06917e-02       3.60575e-01      
  7.14411e-02       3.55961e-01      
  7.21905e-02       3.51453e-01      
  7.29398e-02       3.47051e-01      
  7.36892e-02       3.42751e-01      
  7.44386e-02       3.38549e-01      
  7.51880e-02       3.34445e-01      
  7.59373e-02       3.30433e-01      
  7.66867e-02       3.26513e-01      
  7.74361e-02       3.22680e-01      
  7.81855e-02       3.18932e-01      
  7.89348e-02       3.15265e-01      
  7.96842e-02       3.11677e-01      
  8.04336e-02       3.08166e-01      
  8.11830e-02       3.04727e-01      
  8.19323e-02       3.01358e-01      
  8.26817e-02       2.98057e-01      
  8.34311e-02       2.94820e-01      
  8.41805e-02       2.91645e-01      
  8.49298e-02       2.88529e-01      
  8.56792e-02       2.85470e-01      
  8.64286e-02       2.82464e-01      
  8.71779e-02       2.79510e-01      
  8.79273e-02       2.76605e-01      
  8.86767e-02       2.73747e-01      
  8.94261e-02       2.70933e-01      
  9.01754e-02       2.68161e-01      
  9.09248e-02       2.65430e-01      
  9.16742e-02       2.62736e-01      
  9.24236e-02       2.60079e-01      
  9.31729e-02       2.57456e-01      
  9.39223e-02       2.54865e-01      
  9.46717e-02       2.52306e-01      
  9.54211e-02       2.49776e-01      
  9.61704e-02       2.47274e-01      
  9.69198e-02       2.44799e-01      
  9.76692e-02       2.42349e-01      
  9.84185e-02       2.39923e-01      
  9.91679e-02       2.37520e-01      
  9.99173e-02       2.35139e-01      
  1.00667e-01       2.32779e-01      
  1.01416e-01       2.30439e-01      
  1.02165e-01       2.28119e-01      
  1.02915e-01       2.25817e-01      
  1.03664e-01       2.23534e-01      
  1.04414e-01       2.21268e-01      
  1.05163e-01       2.19020e-01      
  1.05912e-01       2.16788e-01      
  1.06662e-01       2.14572e-01      
  1.07411e-01       2.12372e-01      
  1.08160e-01       2.10189e-01      
  1.08910e-01       2.08021e-01      
  1.09659e-01       2.05868e-01      
  1.10409e-01       2.03731e-01      
  1.11158e-01       2.01610e-01      
  1.11907e-01       1.99503e-01      
  1.12657e-01       1.97413e-01      
  1.13406e-01       1.95338e-01      
  1.14155e-01       1.93278e-01      
  1.14905e-01       1.91234e-01      
  1.15654e-01       1.89206e-01      
  1.16404e-01       1.87194e-01      
  1.17153e-01       1.85199e-01      
  1.17902e-01       1.83220e-01      
  1.18652e-01       1.81257e-01      
