# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  6.69713e-02  5.47613e-03 
  1.74937e-03  5.95724e-02  4.13915e-03 
  2.49875e-03  5.75970e-02  3.46182e-03 
  3.24812e-03  6.22950e-02  3.03456e-03 
  3.99749e-03  6.25940e-02  2.73337e-03 
  4.74687e-03  6.47228e-02  2.50614e-03 
  5.49624e-03  6.21114e-02  2.32662e-03 
  6.24561e-03  5.93796e-02  2.17999e-03 
  6.99499e-03  5.85872e-02  2.05716e-03 
  7.74436e-03  5.72099e-02  1.95219e-03 
  8.49373e-03  6.04330e-02  1.86104e-03 
  9.24311e-03  6.00889e-02  1.78082e-03 
  9.99248e-03  6.17488e-02  1.70944e-03 
  1.07419e-02  6.03988e-02  1.64531e-03 
  1.14912e-02  6.24506e-02  1.58723e-03 
  1.22406e-02  6.03537e-02  1.53424e-03 
  1.29900e-02  6.10433e-02  1.48559e-03 
  1.37393e-02  6.06319e-02  1.44068e-03 
  1.44887e-02  5.67472e-02  1.39901e-03 
  1.52381e-02  5.98691e-02  1.36018e-03 
  1.59875e-02  5.84027e-02  1.32384e-03 
  1.67368e-02  5.79548e-02  1.28971e-03 
  1.74862e-02  5.56215e-02  1.25756e-03 
  1.82356e-02  5.55373e-02  1.22717e-03 
  1.89850e-02  5.62987e-02  1.19836e-03 
  1.97343e-02  5.83607e-02  1.17099e-03 
  2.04837e-02  5.50777e-02  1.14493e-03 
  2.12331e-02  5.48255e-02  1.12005e-03 
  2.19825e-02  5.45464e-02  1.09626e-03 
  2.27318e-02  5.35410e-02  1.07346e-03 
  2.34812e-02  5.46202e-02  1.05158e-03 
  2.42306e-02  5.24510e-02  1.03055e-03 
  2.49799e-02  5.17599e-02  1.01031e-03 
  2.57293e-02  5.31801e-02  9.90796e-04 
  2.64787e-02  5.19662e-02  9.71963e-04 
  2.72281e-02  5.31663e-02  9.53765e-04 
  2.79774e-02  4.93007e-02  9.36163e-04 
  2.87268e-02  4.99327e-02  9.19119e-04 
  2.94762e-02  4.89290e-02  9.02602e-04 
  3.02256e-02  4.93359e-02  8.86581e-04 
  3.09749e-02  4.70127e-02  8.71028e-04 
  3.17243e-02  4.75493e-02  8.55920e-04 
  3.24737e-02  4.70450e-02  8.41233e-04 
  3.32231e-02  4.31043e-02  8.26948e-04 
  3.39724e-02  4.52377e-02  8.13044e-04 
  3.47218e-02  4.46997e-02  7.99505e-04 
  3.54712e-02  4.36609e-02  7.86315e-04 
  3.62206e-02  4.36000e-02  7.73460e-04 
  3.69699e-02  4.33381e-02  7.60925e-04 
  3.77193e-02  4.19949e-02  7.48698e-04 
  3.84687e-02  4.22870e-02  7.36768e-04 
  3.92180e-02  4.14608e-02  7.25123e-04 
  3.99674e-02  4.13124e-02  7.13755e-04 
  4.07168e-02  4.07258e-02  7.02653e-04 
  4.14662e-02  3.90033e-02  6.91810e-04 
  4.22155e-02  3.96301e-02  6.81216e-04 
  4.29649e-02  3.97761e-02  6.70866e-04 
  4.37143e-02  3.75472e-02  6.60750e-04 
  4.44637e-02  3.79664e-02  6.50864e-04 
  4.52130e-02  3.69423e-02  6.41200e-04 
  4.59624e-02  3.60888e-02  6.31753e-04 
  4.67118e-02  3.60448e-02  6.22518e-04 
  4.74612e-02  3.54707e-02  6.13488e-04 
  4.82105e-02  3.50696e-02  6.04660e-04 
  4.89599e-02  3.41243e-02  5.96027e-04 
  4.97093e-02  3.39283e-02  5.87587e-04 
  5.04586e-02  3.25516e-02  5.79334e-04 
  5.12080e-02  3.29293e-02  5.71264e-04 
  5.19574e-02  3.27158e-02  5.63374e-04 
  5.27068e-02  3.10788e-02  5.55658e-04 
  5.34561e-02  3.16842e-02  5.48115e-04 
  5.42055e-02  3.09835e-02  5.40739e-04 
  5.49549e-02  3.04444e-02  5.33528e-04 
  5.57043e-02  3.03982e-02  5.26478e-04 
  5.64536e-02  2.94956e-02  5.19586e-04 
  5.72030e-02  2.83262e-02  5.12848e-04 
  5.79524e-02  2.91604e-02  5.06262e-04 
  5.87018e-02  2.85234e-02  4.99823e-04 
  5.94511e-02  2.75351e-02  4.93530e-04 
  6.02005e-02  2.76441e-02  4.87378e-04 
  6.09499e-02  2.66704e-02  4.81365e-04 
  6.16992e-02  2.59330e-02  4.75488e-04 
  6.24486e-02  2.65698e-02  4.69744e-04 
  6.31980e-02  2.68033e-02  4.64130e-04 
  6.39474e-02  2.55849e-02  4.58643e-04 
  6.46967e-02  2.45053e-02  4.53280e-04 
  6.54461e-02  2.58244e-02  4.48039e-04 
  6.61955e-02  2.45542e-02  4.42916e-04 
  6.69449e-02  2.44594e-02  4.37908e-04 
  6.76942e-02  2.34448e-02  4.33014e-04 
  6.84436e-02  2.33986e-02  4.28229e-04 
  6.91930e-02  2.32092e-02  4.23552e-04 
  6.99424e-02  2.28411e-02  4.18979e-04 
  7.06917e-02  2.27815e-02  4.14508e-04 
  7.14411e-02  2.21189e-02  4.10135e-04 
  7.21905e-02  2.15745e-02  4.05860e-04 
  7.29398e-02  2.13968e-02  4.01677e-04 
  7.36892e-02  2.09038e-02  3.97586e-04 
  7.44386e-02  2.10684e-02  3.93584e-04 
  7.51880e-02  2.15454e-02  3.89667e-04 
  7.59373e-02  2.03273e-02  3.85833e-04 
  7.66867e-02  2.03503e-02  3.82080e-04 
  7.74361e-02  2.04160e-02  3.78405e-04 
  7.81855e-02  2.01170e-02  3.74806e-04 
  7.89348e-02  1.91187e-02  3.71281e-04 
  7.96842e-02  1.92307e-02  3.67826e-04 
  8.04336e-02  1.84482e-02  3.64441e-04 
  8.11830e-02  1.94836e-02  3.61121e-04 
  8.19323e-02  1.88680e-02  3.57866e-04 
  8.26817e-02  1.95053e-02  3.54673e-04 
  8.34311e-02  1.79995e-02  3.51539e-04 
  8.41805e-02  1.82333e-02  3.48463e-04 
  8.49298e-02  1.82640e-02  3.45443e-04 
  8.56792e-02  1.76767e-02  3.42477e-04 
  8.64286e-02  1.75462e-02  3.39563e-04 
  8.71779e-02  1.77546e-02  3.36699e-04 
  8.79273e-02  1.74082e-02  3.33882e-04 
  8.86767e-02  1.74058e-02  3.31113e-04 
  8.94261e-02  1.72018e-02  3.28388e-04 
  9.01754e-02  1.69922e-02  3.25706e-04 
  9.09248e-02  1.63474e-02  3.23065e-04 
  9.16742e-02  1.59623e-02  3.20465e-04 
  9.24236e-02  1.58089e-02  3.17903e-04 
  9.31729e-02  1.63925e-02  3.15379e-04 
  9.39223e-02  1.57182e-02  3.12890e-04 
  9.46717e-02  1.57172e-02  3.10436e-04 
  9.54211e-02  1.54749e-02  3.08016e-04 
  9.61704e-02  1.53784e-02  3.05628e-04 
  9.69198e-02  1.53568e-02  3.03270e-04 
  9.76692e-02  1.50082e-02  3.00944e-04 
  9.84185e-02  1.51046e-02  2.98646e-04 
  9.91679e-02  1.51314e-02  2.96376e-04 
  9.99173e-02  1.51003e-02  2.94134e-04 
  1.00667e-01  1.51685e-02  2.91919e-04 
  1.01416e-01  1.47701e-02  2.89729e-04 
  1.02165e-01  1.42466e-02  2.87564e-04 
  1.02915e-01  1.40877e-02  2.85424e-04 
  1.03664e-01  1.44355e-02  2.83307e-04 
  1.04414e-01  1.39488e-02  2.81213e-04 
  1.05163e-01  1.37479e-02  2.79142e-04 
  1.05912e-01  1.40398e-02  2.77094e-04 
  1.06662e-01  1.35072e-02  2.75067e-04 
  1.07411e-01  1.35104e-02  2.73061e-04 
  1.08160e-01  1.35231e-02  2.71075e-04 
  1.08910e-01  1.26145e-02  2.69111e-04 
  1.09659e-01  1.34074e-02  2.67166e-04 
  1.10409e-01  1.28093e-02  2.65241e-04 
  1.11158e-01  1.26517e-02  2.63336e-04 
  1.11907e-01  1.25539e-02  2.61450e-04 
  1.12657e-01  1.25467e-02  2.59583e-04 
  1.13406e-01  1.23296e-02  2.57735e-04 
  1.14155e-01  1.22486e-02  2.55905e-04 
  1.14905e-01  1.20523e-02  2.54094e-04 
  1.15654e-01  1.18520e-02  2.52302e-04 
  1.16404e-01  1.18810e-02  2.50527e-04 
  1.17153e-01  1.17733e-02  2.48771e-04 
  1.17902e-01  1.16149e-02  2.47032e-04 
  1.18652e-01  1.14954e-02  2.45311e-04 
  1.19401e-01  1.06371e-02  2.43608e-04 
  1.20150e-01  1.10309e-02  2.41923e-04 
  1.20900e-01  1.12879e-02  2.40255e-04 
  1.21649e-01  1.10095e-02  2.38605e-04 
  1.22398e-01  1.09261e-02  2.36972e-04 
  1.23148e-01  1.05690e-02  2.35356e-04 
  1.23897e-01  1.11901e-02  2.33758e-04 
  1.24647e-01  1.01051e-02  2.32177e-04 
  1.25396e-01  1.01686e-02  2.30613e-04 
  1.26145e-01  1.01998e-02  2.29066e-04 
  1.26895e-01  1.03474e-02  2.27535e-04 
  1.27644e-01  9.96129e-03  2.26022e-04 
  1.28393e-01  1.01845e-02  2.24525e-04 
  1.29143e-01  9.37613e-03  2.23045e-04 
  1.29892e-01  9.73934e-03  2.21582e-04 
  1.30642e-01  9.42561e-03  2.20134e-04 
  1.31391e-01  9.57887e-03  2.18703e-04 
  1.32140e-01  9.16798e-03  2.17289e-04 
  1.32890e-01  8.91930e-03  2.15890e-04 
  1.33639e-01  8.98969e-03  2.14507e-04 
  1.34388e-01  8.94584e-03  2.13140e-04 
  1.35138e-01  9.08504e-03  2.11788e-04 
  1.35887e-01  8.94760e-03  2.10452e-04 
  1.36637e-01  8.99457e-03  2.09131e-04 
  1.37386e-01  8.66880e-03  2.07826e-04 
  1.38135e-01  8.68943e-03  2.06535e-04 
  1.38885e-01  8.61131e-03  2.05258e-04 
  1.39634e-01  8.33364e-03  2.03996e-04 
  1.40383e-01  8.44131e-03  2.02749e-04 
  1.41133e-01  8.06018e-03  2.01516e-04 
  1.41882e-01  8.21497e-03  2.00296e-04 
  1.42632e-01  7.87831e-03  1.99090e-04 
  1.43381e-01  7.73070e-03  1.97897e-04 
  1.44130e-01  7.59339e-03  1.96718e-04 
  1.44880e-01  7.58727e-03  1.95552e-04 
  1.45629e-01  7.81126e-03  1.94398e-04 
  1.46378e-01  7.48561e-03  1.93257e-04 
  1.47128e-01  7.31105e-03  1.92128e-04 
  1.47877e-01  7.02915e-03  1.91011e-04 
  1.48627e-01  7.38671e-03  1.89906e-04 
  1.49376e-01  7.14768e-03  1.88812e-04 
  1.50125e-01  7.07577e-03  1.87730e-04 
  1.50875e-01  7.13435e-03  1.86659e-04 
  1.51624e-01  7.01645e-03  1.85599e-04 
  1.52373e-01  7.12041e-03  1.84549e-04 
  1.53123e-01  7.00103e-03  1.83509e-04 
  1.53872e-01  6.85230e-03  1.82480e-04 
  1.54622e-01  6.65223e-03  1.81461e-04 
  1.55371e-01  6.53873e-03  1.80451e-04 
  1.56120e-01  6.83685e-03  1.79451e-04 
  1.56870e-01  6.64791e-03  1.78461e-04 
  1.57619e-01  6.43892e-03  1.77479e-04 
  1.58368e-01  6.51964e-03  1.76507e-04 
  1.59118e-01  6.27021e-03  1.75543e-04 
  1.59867e-01  6.35884e-03  1.74587e-04 
  1.60617e-01  6.07162e-03  1.73640e-04 
  1.61366e-01  6.06922e-03  1.72702e-04 
  1.62115e-01  5.76045e-03  1.71771e-04 
  1.62865e-01  5.94184e-03  1.70848e-04 
  1.63614e-01  5.86246e-03  1.69933e-04 
  1.64363e-01  5.92166e-03  1.69026e-04 
  1.65113e-01  5.87086e-03  1.68126e-04 
  1.65862e-01  5.97903e-03  1.67234e-04 
  1.66612e-01  5.57220e-03  1.66349e-04 
  1.67361e-01  5.87927e-03  1.65471e-04 
  1.68110e-01  5.44346e-03  1.64600e-04 
  1.68860e-01  5.61862e-03  1.63736e-04 
  1.69609e-01  5.51576e-03  1.62880e-04 
  1.70358e-01  5.44467e-03  1.62030e-04 
  1.71108e-01  5.22403e-03  1.61186e-04 
  1.71857e-01  5.03698e-03  1.60350e-04 
  1.72607e-01  5.15909e-03  1.59520e-04 
  1.73356e-01  5.19814e-03  1.58697e-04 
  1.74105e-01  5.13551e-03  1.57880e-04 
  1.74855e-01  5.01693e-03  1.57070e-04 
  1.75604e-01  4.98912e-03  1.56267e-04 
  1.76353e-01  4.69004e-03  1.55469e-04 
  1.77103e-01  4.71728e-03  1.54679e-04 
  1.77852e-01  4.76984e-03  1.53895e-04 
  1.78602e-01  4.60326e-03  1.53117e-04 
  1.79351e-01  4.59183e-03  1.52345e-04 
  1.80100e-01  4.67208e-03  1.51580e-04 
  1.80850e-01  4.84187e-03  1.50822e-04 
  1.81599e-01  4.45355e-03  1.50070e-04 
  1.82348e-01  4.43195e-03  1.49324e-04 
  1.83098e-01  4.52161e-03  1.48585e-04 
  1.83847e-01  4.31268e-03  1.47852e-04 
  1.84596e-01  4.20664e-03  1.47125e-04 
  1.85346e-01  4.58056e-03  1.46405e-04 
  1.86095e-01  4.24560e-03  1.45691e-04 
  1.86845e-01  4.19610e-03  1.44983e-04 
  1.87594e-01  4.04572e-03  1.44282e-04 
  1.88343e-01  4.11929e-03  1.43588e-04 
  1.89093e-01  4.14286e-03  1.42899e-04 
  1.89842e-01  4.00339e-03  1.42217e-04 
  1.90591e-01  4.16839e-03  1.41542e-04 
  1.91341e-01  3.94838e-03  1.40872e-04 
  1.92090e-01  3.99803e-03  1.40209e-04 
  1.92840e-01  3.71930e-03  1.39553e-04 
  1.93589e-01  3.93353e-03  1.38903e-04 
  1.94338e-01  3.77314e-03  1.38259e-04 
  1.95088e-01  3.52593e-03  1.37621e-04 
  1.95837e-01  3.62830e-03  1.36989e-04 
  1.96586e-01  3.51291e-03  1.36364e-04 
  1.97336e-01  3.62194e-03  1.35745e-04 
  1.98085e-01  3.46379e-03  1.35132e-04 
  1.98835e-01  3.32179e-03  1.34525e-04 
  1.99584e-01  3.44523e-03  1.33924e-04 
  2.00333e-01  3.44161e-03  1.33329e-04 
  2.01083e-01  3.35685e-03  1.32740e-04 
  2.01832e-01  3.15914e-03  1.32157e-04 
  2.02581e-01  3.17550e-03  1.31579e-04 
  2.03331e-01  3.35275e-03  1.31008e-04 
  2.04080e-01  3.05443e-03  1.30442e-04 
  2.04830e-01  3.08634e-03  1.29882e-04 
  2.05579e-01  2.94739e-03  1.29327e-04 
  2.06328e-01  3.10540e-03  1.28778e-04 
  2.07078e-01  3.06964e-03  1.28234e-04 
  2.07827e-01  2.64924e-03  1.27696e-04 
  2.08576e-01  2.76690e-03  1.27163e-04 
  2.09326e-01  3.09388e-03  1.26635e-04 
  2.10075e-01  2.95050e-03  1.26112e-04 
  2.10825e-01  2.66358e-03  1.25594e-04 
  2.11574e-01  2.64880e-03  1.25081e-04 
  2.12323e-01  2.68916e-03  1.24572e-04 
  2.13073e-01  2.71515e-03  1.24069e-04 
  2.13822e-01  2.65408e-03  1.23570e-04 
  2.14571e-01  2.56723e-03  1.23076e-04 
  2.15321e-01  2.49107e-03  1.22586e-04 
  2.16070e-01  2.35327e-03  1.22101e-04 
  2.16820e-01  2.58833e-03  1.21620e-04 
  2.17569e-01  2.39305e-03  1.21143e-04 
  2.18318e-01  2.44180e-03  1.20671e-04 
  2.19068e-01  2.40347e-03  1.20202e-04 
  2.19817e-01  2.52677e-03  1.19738e-04 
  2.20566e-01  2.42413e-03  1.19277e-04 
  2.21316e-01  2.50502e-03  1.18820e-04 
  2.22065e-01  2.34356e-03  1.18367e-04 
  2.22815e-01  2.18151e-03  1.17918e-04 
  2.23564e-01  2.19209e-03  1.17472e-04 
  2.24313e-01  2.29774e-03  1.17030e-04 
  2.25063e-01  2.12525e-03  1.16591e-04 
  2.25812e-01  2.36551e-03  1.16156e-04 
  2.26561e-01  2.16392e-03  1.15724e-04 
  2.27311e-01  2.35682e-03  1.15295e-04 
  2.28060e-01  2.02118e-03  1.14869e-04 
  2.28810e-01  2.09215e-03  1.14447e-04 
  2.29559e-01  2.00343e-03  1.14028e-04 
  2.30308e-01  1.97186e-03  1.13612e-04 
  2.31058e-01  1.97391e-03  1.13199e-04 
  2.31807e-01  1.93120e-03  1.12789e-04 
  2.32556e-01  2.07551e-03  1.12382e-04 
  2.33306e-01  1.81769e-03  1.11978e-04 
  2.34055e-01  1.97769e-03  1.11577e-04 
  2.34805e-01  1.83473e-03  1.11179e-04 
  2.35554e-01  1.99567e-03  1.10784e-04 
  2.36303e-01  1.95731e-03  1.10392e-04 
  2.37053e-01  1.86347e-03  1.10002e-04 
  2.37802e-01  1.70554e-03  1.09615e-04 
  2.38551e-01  1.56727e-03  1.09231e-04 
  2.39301e-01  1.62803e-03  1.08850e-04 
  2.40050e-01  1.69426e-03  1.08472e-04 
  2.40799e-01  1.45544e-03  1.08096e-04 
  2.41549e-01  1.75590e-03  1.07723e-04 
  2.42298e-01  1.47270e-03  1.07353e-04 
  2.43048e-01  1.53027e-03  1.06986e-04 
  2.43797e-01  1.53186e-03  1.06622e-04 
