# r                 p(r)             
  5.31907e-01       5.63760e-03      
  1.59572e+00       3.81237e-02      
  2.65954e+00       9.64496e-02      
  3.72335e+00       1.79742e-01      
  4.78716e+00       2.77421e-01      
  5.85098e+00       3.84171e-01      
  6.91479e+00       4.94184e-01      
  7.97861e+00       6.05961e-01      
  9.04242e+00       7.10024e-01      
  1.01062e+01       8.03244e-01      
  1.11700e+01       8.78202e-01      
  1.22339e+01       9.39241e-01      
  1.32977e+01       9.84232e-01      
  1.43615e+01       1.00000e+00      
  1.54253e+01       9.98898e-01      
  1.64891e+01       9.82316e-01      
  1.75529e+01       9.45481e-01      
  1.86168e+01       8.89088e-01      
  1.96806e+01       8.37222e-01      
  2.07444e+01       7.85424e-01      
  2.18082e+01       7.53895e-01      
  2.28720e+01       7.30726e-01      
  2.39358e+01       7.06879e-01      
  2.49996e+01       6.89398e-01      
  2.60634e+01       6.69501e-01      
  2.71273e+01       6.59201e-01      
  2.81911e+01       6.40728e-01      
  2.92549e+01       6.30199e-01      
  3.03187e+01       6.14481e-01      
  3.13825e+01       6.01358e-01      
  3.24463e+01       5.91787e-01      
  3.35101e+01       5.73636e-01      
  3.45740e+01       5.68440e-01      
  3.56378e+01       5.55969e-01      
  3.67016e+01       5.40353e-01      
  3.77654e+01       5.26162e-01      
  3.88292e+01       5.17243e-01      
  3.98930e+01       5.04620e-01      
  4.09568e+01       4.89734e-01      
  4.20207e+01       4.81951e-01      
  4.30845e+01       4.68980e-01      
  4.41483e+01       4.66505e-01      
  4.52121e+01       4.49940e-01      
  4.62759e+01       4.43539e-01      
  4.73397e+01       4.37181e-01      
  4.84035e+01       4.30721e-01      
  4.94674e+01       4.19946e-01      
  5.05312e+01       4.13351e-01      
  5.15950e+01       4.04246e-01      
  5.26588e+01       3.97574e-01      
  5.37226e+01       3.92818e-01      
  5.47864e+01       3.86070e-01      
  5.58502e+01       3.75702e-01      
  5.69141e+01       3.68580e-01      
  5.79779e+01       3.57025e-01      
  5.90417e+01       3.47039e-01      
  6.01055e+01       3.39595e-01      
  6.11693e+01       3.30465e-01      
  6.22331e+01       3.22479e-01      
  6.32969e+01       3.08254e-01      
  6.43608e+01       3.00378e-01      
  6.54246e+01       2.91934e-01      
  6.64884e+01       2.75768e-01      
  6.75522e+01       2.67087e-01      
  6.86160e+01       2.54523e-01      
  6.96798e+01       2.45647e-01      
  7.07436e+01       2.41925e-01      
  7.18075e+01       2.32201e-01      
  7.28713e+01       2.24148e-01      
  7.39351e+01       2.11541e-01      
  7.49989e+01       2.01843e-01      
  7.60627e+01       1.93094e-01      
  7.71265e+01       1.87262e-01      
  7.81903e+01       1.77385e-01      
  7.92542e+01       1.69645e-01      
  8.03180e+01       1.60752e-01      
  8.13818e+01       1.52944e-01      
  8.24456e+01       1.42720e-01      
  8.35094e+01       1.31114e-01      
  8.45732e+01       1.22052e-01      
  8.56370e+01       1.14592e-01      
  8.67009e+01       1.06572e-01      
  8.77647e+01       1.01155e-01      
  8.88285e+01       9.22277e-02      
  8.98923e+01       8.38434e-02      
  9.09561e+01       7.11355e-02      
  9.20199e+01       6.14371e-02      
  9.30837e+01       5.24848e-02      
  9.41476e+01       4.54145e-02      
  9.52114e+01       3.81916e-02      
  9.62752e+01       3.18842e-02      
  9.73390e+01       2.58567e-02      
  9.84028e+01       1.87100e-02      
  9.94666e+01       1.05631e-02      
  1.00530e+02       1.85659e-03      
  1.01594e+02       6.78208e-05      
  1.02658e+02       0.00000e+00      
  1.03722e+02       0.00000e+00      
  1.04786e+02       0.00000e+00      
  1.05850e+02       0.00000e+00      
