# q                 I(q)             
  1.00000e-03       9.99579e-01      
  1.74937e-03       9.98713e-01      
  2.49875e-03       9.97376e-01      
  3.24812e-03       9.95569e-01      
  3.99749e-03       9.93296e-01      
  4.74687e-03       9.90560e-01      
  5.49624e-03       9.87365e-01      
  6.24561e-03       9.83714e-01      
  6.99499e-03       9.79613e-01      
  7.74436e-03       9.75068e-01      
  8.49373e-03       9.70085e-01      
  9.24311e-03       9.64670e-01      
  9.99248e-03       9.58831e-01      
  1.07419e-02       9.52577e-01      
  1.14912e-02       9.45915e-01      
  1.22406e-02       9.38854e-01      
  1.29900e-02       9.31405e-01      
  1.37393e-02       9.23577e-01      
  1.44887e-02       9.15380e-01      
  1.52381e-02       9.06826e-01      
  1.59875e-02       8.97926e-01      
  1.67368e-02       8.88692e-01      
  1.74862e-02       8.79135e-01      
  1.82356e-02       8.69269e-01      
  1.89850e-02       8.59106e-01      
  1.97343e-02       8.48659e-01      
  2.04837e-02       8.37941e-01      
  2.12331e-02       8.26966e-01      
  2.19825e-02       8.15749e-01      
  2.27318e-02       8.04302e-01      
  2.34812e-02       7.92641e-01      
  2.42306e-02       7.80779e-01      
  2.49799e-02       7.68731e-01      
  2.57293e-02       7.56511e-01      
  2.64787e-02       7.44135e-01      
  2.72281e-02       7.31616e-01      
  2.79774e-02       7.18970e-01      
  2.87268e-02       7.06211e-01      
  2.94762e-02       6.93353e-01      
  3.02256e-02       6.80411e-01      
  3.09749e-02       6.67399e-01      
  3.17243e-02       6.54332e-01      
  3.24737e-02       6.41224e-01      
  3.32231e-02       6.28089e-01      
  3.39724e-02       6.14940e-01      
  3.47218e-02       6.01791e-01      
  3.54712e-02       5.88655e-01      
  3.62206e-02       5.75545e-01      
  3.69699e-02       5.62475e-01      
  3.77193e-02       5.49456e-01      
  3.84687e-02       5.36500e-01      
  3.92180e-02       5.23620e-01      
  3.99674e-02       5.10827e-01      
  4.07168e-02       4.98131e-01      
  4.14662e-02       4.85544e-01      
  4.22155e-02       4.73076e-01      
  4.29649e-02       4.60737e-01      
  4.37143e-02       4.48535e-01      
