# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  2.94082e-01  1.18287e-02 
  1.74937e-03  3.12050e-01  8.93936e-03 
  2.49875e-03  3.18570e-01  7.47474e-03 
  3.24812e-03  3.13899e-01  6.55011e-03 
  3.99749e-03  3.11986e-01  5.89761e-03 
  4.74687e-03  3.02209e-01  5.40467e-03 
  5.49624e-03  3.01645e-01  5.01464e-03 
  6.24561e-03  3.13712e-01  4.69552e-03 
  6.99499e-03  2.98696e-01  4.42765e-03 
  7.74436e-03  3.09183e-01  4.19823e-03 
  8.49373e-03  3.03792e-01  3.99853e-03 
  9.24311e-03  3.01154e-01  3.82234e-03 
  9.99248e-03  3.05209e-01  3.66511e-03 
  1.07419e-02  2.94451e-01  3.52344e-03 
  1.14912e-02  2.95492e-01  3.39472e-03 
  1.22406e-02  2.92333e-01  3.27691e-03 
  1.29900e-02  2.88179e-01  3.16838e-03 
  1.37393e-02  2.92443e-01  3.06783e-03 
  1.44887e-02  2.87839e-01  2.97419e-03 
  1.52381e-02  2.82873e-01  2.88660e-03 
  1.59875e-02  2.81962e-01  2.80431e-03 
  1.67368e-02  2.77670e-01  2.72673e-03 
  1.74862e-02  2.80026e-01  2.65333e-03 
  1.82356e-02  2.73540e-01  2.58366e-03 
  1.89850e-02  2.69963e-01  2.51736e-03 
  1.97343e-02  2.64521e-01  2.45409e-03 
  2.04837e-02  2.59321e-01  2.39358e-03 
  2.12331e-02  2.62564e-01  2.33557e-03 
  2.19825e-02  2.57573e-01  2.27984e-03 
  2.27318e-02  2.51090e-01  2.22622e-03 
  2.34812e-02  2.48578e-01  2.17453e-03 
  2.42306e-02  2.44898e-01  2.12462e-03 
  2.49799e-02  2.42282e-01  2.07636e-03 
  2.57293e-02  2.38921e-01  2.02963e-03 
  2.64787e-02  2.33348e-01  1.98433e-03 
  2.72281e-02  2.30303e-01  1.94037e-03 
  2.79774e-02  2.24371e-01  1.89766e-03 
  2.87268e-02  2.20898e-01  1.85612e-03 
  2.94762e-02  2.19589e-01  1.81568e-03 
  3.02256e-02  2.14573e-01  1.77629e-03 
  3.09749e-02  2.06110e-01  1.73788e-03 
  3.17243e-02  2.06236e-01  1.70041e-03 
  3.24737e-02  2.01654e-01  1.66383e-03 
  3.32231e-02  1.98593e-01  1.62810e-03 
  3.39724e-02  1.93828e-01  1.59318e-03 
  3.47218e-02  1.89150e-01  1.55903e-03 
  3.54712e-02  1.87689e-01  1.52562e-03 
  3.62206e-02  1.78614e-01  1.49294e-03 
  3.69699e-02  1.79197e-01  1.46093e-03 
  3.77193e-02  1.73474e-01  1.42960e-03 
  3.84687e-02  1.66697e-01  1.39890e-03 
  3.92180e-02  1.62707e-01  1.36883e-03 
  3.99674e-02  1.59529e-01  1.33936e-03 
  4.07168e-02  1.58620e-01  1.31048e-03 
  4.14662e-02  1.52364e-01  1.28216e-03 
  4.22155e-02  1.48957e-01  1.25441e-03 
  4.29649e-02  1.46480e-01  1.22719e-03 
  4.37143e-02  1.40133e-01  1.20051e-03 
  4.44637e-02  1.36889e-01  1.17435e-03 
  4.52130e-02  1.34243e-01  1.14870e-03 
  4.59624e-02  1.29748e-01  1.12355e-03 
  4.67118e-02  1.26555e-01  1.09889e-03 
  4.74612e-02  1.21859e-01  1.07472e-03 
  4.82105e-02  1.19578e-01  1.05102e-03 
  4.89599e-02  1.16283e-01  1.02779e-03 
  4.97093e-02  1.11219e-01  1.00503e-03 
  5.04586e-02  1.08293e-01  9.82727e-04 
  5.12080e-02  1.05749e-01  9.60876e-04 
  5.19574e-02  1.01711e-01  9.39472e-04 
  5.27068e-02  9.73066e-02  9.18512e-04 
  5.34561e-02  9.57476e-02  8.97991e-04 
  5.42055e-02  9.33657e-02  8.77904e-04 
  5.49549e-02  9.00026e-02  8.58249e-04 
  5.57043e-02  8.57610e-02  8.39020e-04 
  5.64536e-02  8.39870e-02  8.20216e-04 
  5.72030e-02  8.22100e-02  8.01832e-04 
  5.79524e-02  7.90060e-02  7.83866e-04 
  5.87018e-02  7.64602e-02  7.66313e-04 
  5.94511e-02  7.43534e-02  7.49171e-04 
  6.02005e-02  7.21482e-02  7.32438e-04 
  6.09499e-02  6.85185e-02  7.16109e-04 
  6.16992e-02  6.67307e-02  7.00182e-04 
  6.24486e-02  6.52817e-02  6.84653e-04 
  6.31980e-02  6.26837e-02  6.69520e-04 
  6.39474e-02  6.10318e-02  6.54779e-04 
  6.46967e-02  5.81803e-02  6.40427e-04 
  6.54461e-02  5.76079e-02  6.26461e-04 
  6.61955e-02  5.49708e-02  6.12876e-04 
  6.69449e-02  5.27173e-02  5.99669e-04 
  6.76942e-02  5.21000e-02  5.86837e-04 
  6.84436e-02  4.97794e-02  5.74374e-04 
  6.91930e-02  4.90621e-02  5.62277e-04 
  6.99424e-02  4.79095e-02  5.50541e-04 
  7.06917e-02  4.58313e-02  5.39162e-04 
  7.14411e-02  4.37563e-02  5.28133e-04 
  7.21905e-02  4.24188e-02  5.17451e-04 
  7.29398e-02  4.17339e-02  5.07109e-04 
  7.36892e-02  3.97577e-02  4.97101e-04 
  7.44386e-02  3.84607e-02  4.87422e-04 
  7.51880e-02  3.80228e-02  4.78065e-04 
  7.59373e-02  3.69992e-02  4.69023e-04 
  7.66867e-02  3.54849e-02  4.60290e-04 
  7.74361e-02  3.53640e-02  4.51858e-04 
  7.81855e-02  3.44582e-02  4.43720e-04 
  7.89348e-02  3.28374e-02  4.35868e-04 
  7.96842e-02  3.13256e-02  4.28295e-04 
  8.04336e-02  3.06418e-02  4.20991e-04 
  8.11830e-02  2.99298e-02  4.13950e-04 
  8.19323e-02  2.99769e-02  4.07161e-04 
  8.26817e-02  2.83460e-02  4.00617e-04 
  8.34311e-02  2.88215e-02  3.94309e-04 
  8.41805e-02  2.73531e-02  3.88227e-04 
  8.49298e-02  2.71430e-02  3.82364e-04 
  8.56792e-02  2.68211e-02  3.76709e-04 
  8.64286e-02  2.60907e-02  3.71253e-04 
  8.71779e-02  2.60110e-02  3.65988e-04 
  8.79273e-02  2.47949e-02  3.60905e-04 
  8.86767e-02  2.50555e-02  3.55994e-04 
  8.94261e-02  2.37414e-02  3.51247e-04 
  9.01754e-02  2.29602e-02  3.46654e-04 
  9.09248e-02  2.35419e-02  3.42207e-04 
  9.16742e-02  2.24119e-02  3.37899e-04 
  9.24236e-02  2.17026e-02  3.33719e-04 
  9.31729e-02  2.20897e-02  3.29660e-04 
  9.39223e-02  2.15822e-02  3.25715e-04 
  9.46717e-02  2.14222e-02  3.21876e-04 
  9.54211e-02  2.03878e-02  3.18135e-04 
  9.61704e-02  2.06179e-02  3.14485e-04 
  9.69198e-02  1.97714e-02  3.10920e-04 
  9.76692e-02  1.98312e-02  3.07433e-04 
  9.84185e-02  1.90835e-02  3.04018e-04 
  9.91679e-02  1.96257e-02  3.00668e-04 
  9.99173e-02  1.86791e-02  2.97380e-04 
  1.00667e-01  1.86019e-02  2.94146e-04 
  1.01416e-01  1.84298e-02  2.90963e-04 
  1.02165e-01  1.84134e-02  2.87826e-04 
  1.02915e-01  1.76740e-02  2.84730e-04 
  1.03664e-01  1.79133e-02  2.81671e-04 
  1.04414e-01  1.74985e-02  2.78647e-04 
  1.05163e-01  1.70439e-02  2.75653e-04 
  1.05912e-01  1.67586e-02  2.72687e-04 
  1.06662e-01  1.68205e-02  2.69745e-04 
  1.07411e-01  1.61423e-02  2.66826e-04 
  1.08160e-01  1.61008e-02  2.63927e-04 
  1.08910e-01  1.57859e-02  2.61046e-04 
  1.09659e-01  1.53779e-02  2.58182e-04 
  1.10409e-01  1.48494e-02  2.55333e-04 
  1.11158e-01  1.52714e-02  2.52498e-04 
  1.11907e-01  1.47823e-02  2.49676e-04 
  1.12657e-01  1.43940e-02  2.46866e-04 
  1.13406e-01  1.40936e-02  2.44068e-04 
  1.14155e-01  1.38552e-02  2.41281e-04 
  1.14905e-01  1.40742e-02  2.38505e-04 
  1.15654e-01  1.40284e-02  2.35740e-04 
  1.16404e-01  1.37238e-02  2.32987e-04 
  1.17153e-01  1.28648e-02  2.30245e-04 
  1.17902e-01  1.33137e-02  2.27515e-04 
  1.18652e-01  1.24730e-02  2.24797e-04 
  1.19401e-01  1.22410e-02  2.22093e-04 
  1.20150e-01  1.19374e-02  2.19402e-04 
  1.20900e-01  1.18297e-02  2.16727e-04 
  1.21649e-01  1.15298e-02  2.14067e-04 
  1.22398e-01  1.15721e-02  2.11424e-04 
  1.23148e-01  1.08604e-02  2.08798e-04 
  1.23897e-01  1.10499e-02  2.06192e-04 
  1.24647e-01  1.09224e-02  2.03606e-04 
  1.25396e-01  1.02249e-02  2.01041e-04 
