# r                 p(r)             
  5.33608e-01       1.82489e-03      
  1.60082e+00       1.23025e-02      
  2.66804e+00       3.18424e-02      
  3.73526e+00       5.70308e-02      
  4.80247e+00       9.20512e-02      
  5.86969e+00       1.32757e-01      
  6.93690e+00       1.75015e-01      
  8.00412e+00       2.23219e-01      
  9.07133e+00       2.72963e-01      
  1.01386e+01       3.29075e-01      
  1.12058e+01       3.83921e-01      
  1.22730e+01       4.37973e-01      
  1.33402e+01       4.90981e-01      
  1.44074e+01       5.38018e-01      
  1.54746e+01       5.97470e-01      
  1.65418e+01       6.34812e-01      
  1.76091e+01       6.78895e-01      
  1.86763e+01       7.10538e-01      
  1.97435e+01       7.47247e-01      
  2.08107e+01       7.69195e-01      
  2.18779e+01       7.96407e-01      
  2.29451e+01       8.16258e-01      
  2.40124e+01       8.37238e-01      
  2.50796e+01       8.59000e-01      
  2.61468e+01       8.75113e-01      
  2.72140e+01       8.87962e-01      
  2.82812e+01       9.08557e-01      
  2.93484e+01       9.23553e-01      
  3.04157e+01       9.39046e-01      
  3.14829e+01       9.49201e-01      
  3.25501e+01       9.56935e-01      
  3.36173e+01       9.61317e-01      
  3.46845e+01       9.80535e-01      
  3.57517e+01       9.94476e-01      
  3.68189e+01       9.85848e-01      
  3.78862e+01       9.92216e-01      
  3.89534e+01       9.95692e-01      
  4.00206e+01       9.95953e-01      
  4.10878e+01       9.99094e-01      
  4.21550e+01       1.00000e+00      
  4.32222e+01       9.94116e-01      
  4.42895e+01       9.92204e-01      
  4.53567e+01       9.88492e-01      
  4.64239e+01       9.85935e-01      
  4.74911e+01       9.83079e-01      
  4.85583e+01       9.70107e-01      
  4.96255e+01       9.60448e-01      
  5.06928e+01       9.55644e-01      
  5.17600e+01       9.42423e-01      
  5.28272e+01       9.25267e-01      
  5.38944e+01       9.20897e-01      
  5.49616e+01       9.08793e-01      
  5.60288e+01       9.00736e-01      
  5.70961e+01       8.81370e-01      
  5.81633e+01       8.58776e-01      
  5.92305e+01       8.46250e-01      
  6.02977e+01       8.29119e-01      
  6.13649e+01       8.04290e-01      
  6.24321e+01       7.87606e-01      
  6.34993e+01       7.71790e-01      
  6.45666e+01       7.47558e-01      
  6.56338e+01       7.26404e-01      
  6.67010e+01       7.04480e-01      
  6.77682e+01       6.83326e-01      
  6.88354e+01       6.53582e-01      
  6.99026e+01       6.29337e-01      
  7.09699e+01       6.08407e-01      
  7.20371e+01       5.83194e-01      
  7.31043e+01       5.60885e-01      
  7.41715e+01       5.35784e-01      
  7.52387e+01       5.13178e-01      
  7.63059e+01       4.88387e-01      
  7.73732e+01       4.57972e-01      
  7.84404e+01       4.30027e-01      
  7.95076e+01       4.06068e-01      
  8.05748e+01       3.76584e-01      
  8.16420e+01       3.53419e-01      
  8.27092e+01       3.25748e-01      
  8.37765e+01       3.00448e-01      
  8.48437e+01       2.75049e-01      
  8.59109e+01       2.51077e-01      
  8.69781e+01       2.24709e-01      
  8.80453e+01       2.04710e-01      
  8.91125e+01       1.78541e-01      
  9.01797e+01       1.54333e-01      
  9.12470e+01       1.31032e-01      
  9.23142e+01       1.12274e-01      
  9.33814e+01       9.03753e-02      
  9.44486e+01       7.01153e-02      
  9.55158e+01       5.01906e-02      
  9.65830e+01       3.37045e-02      
  9.76503e+01       1.89192e-02      
  9.87175e+01       7.74645e-03      
  9.97847e+01       2.25938e-03      
  1.00852e+02       1.48970e-04      
  1.01919e+02       1.24142e-05      
  1.02986e+02       0.00000e+00      
  1.04054e+02       0.00000e+00      
  1.05121e+02       0.00000e+00      
  1.06188e+02       0.00000e+00      
