# q                 I(q)             
  1.00000e-03       9.99629e-01      
  1.74937e-03       9.98866e-01      
  2.49875e-03       9.97687e-01      
  3.24812e-03       9.96096e-01      
  3.99749e-03       9.94093e-01      
  4.74687e-03       9.91683e-01      
  5.49624e-03       9.88867e-01      
  6.24561e-03       9.85651e-01      
  6.99499e-03       9.82038e-01      
  7.74436e-03       9.78034e-01      
  8.49373e-03       9.73645e-01      
  9.24311e-03       9.68876e-01      
  9.99248e-03       9.63733e-01      
  1.07419e-02       9.58226e-01      
  1.14912e-02       9.52359e-01      
  1.22406e-02       9.46143e-01      
  1.29900e-02       9.39585e-01      
  1.37393e-02       9.32695e-01      
  1.44887e-02       9.25481e-01      
  1.52381e-02       9.17954e-01      
  1.59875e-02       9.10123e-01      
  1.67368e-02       9.02000e-01      
  1.74862e-02       8.93595e-01      
  1.82356e-02       8.84919e-01      
  1.89850e-02       8.75984e-01      
  1.97343e-02       8.66801e-01      
  2.04837e-02       8.57383e-01      
  2.12331e-02       8.47742e-01      
  2.19825e-02       8.37890e-01      
  2.27318e-02       8.27839e-01      
  2.34812e-02       8.17604e-01      
  2.42306e-02       8.07195e-01      
  2.49799e-02       7.96627e-01      
  2.57293e-02       7.85913e-01      
  2.64787e-02       7.75066e-01      
  2.72281e-02       7.64098e-01      
  2.79774e-02       7.53024e-01      
  2.87268e-02       7.41855e-01      
  2.94762e-02       7.30607e-01      
  3.02256e-02       7.19290e-01      
  3.09749e-02       7.07920e-01      
  3.17243e-02       6.96507e-01      
  3.24737e-02       6.85066e-01      
  3.32231e-02       6.73609e-01      
  3.39724e-02       6.62148e-01      
  3.47218e-02       6.50695e-01      
  3.54712e-02       6.39263e-01      
  3.62206e-02       6.27864e-01      
  3.69699e-02       6.16508e-01      
  3.77193e-02       6.05207e-01      
  3.84687e-02       5.93972e-01      
  3.92180e-02       5.82814e-01      
  3.99674e-02       5.71743e-01      
  4.07168e-02       5.60770e-01      
  4.14662e-02       5.49903e-01      
  4.22155e-02       5.39152e-01      
  4.29649e-02       5.28527e-01      
  4.37143e-02       5.18035e-01      
  4.44637e-02       5.07685e-01      
  4.52130e-02       4.97484e-01      
  4.59624e-02       4.87441e-01      
  4.67118e-02       4.77561e-01      
  4.74612e-02       4.67851e-01      
  4.82105e-02       4.58317e-01      
  4.89599e-02       4.48966e-01      
  4.97093e-02       4.39801e-01      
  5.04586e-02       4.30828e-01      
  5.12080e-02       4.22052e-01      
  5.19574e-02       4.13475e-01      
  5.27068e-02       4.05102e-01      
  5.34561e-02       3.96934e-01      
  5.42055e-02       3.88976e-01      
  5.49549e-02       3.81228e-01      
  5.57043e-02       3.73693e-01      
  5.64536e-02       3.66371e-01      
  5.72030e-02       3.59264e-01      
  5.79524e-02       3.52372e-01      
  5.87018e-02       3.45694e-01      
  5.94511e-02       3.39231e-01      
  6.02005e-02       3.32981e-01      
  6.09499e-02       3.26944e-01      
  6.16992e-02       3.21117e-01      
  6.24486e-02       3.15499e-01      
  6.31980e-02       3.10088e-01      
  6.39474e-02       3.04881e-01      
  6.46967e-02       2.99875e-01      
  6.54461e-02       2.95066e-01      
  6.61955e-02       2.90452e-01      
  6.69449e-02       2.86029e-01      
  6.76942e-02       2.81792e-01      
  6.84436e-02       2.77737e-01      
  6.91930e-02       2.73860e-01      
  6.99424e-02       2.70155e-01      
  7.06917e-02       2.66619e-01      
  7.14411e-02       2.63245e-01      
  7.21905e-02       2.60029e-01      
  7.29398e-02       2.56964e-01      
  7.36892e-02       2.54047e-01      
  7.44386e-02       2.51270e-01      
  7.51880e-02       2.48627e-01      
  7.59373e-02       2.46114e-01      
  7.66867e-02       2.43724e-01      
  7.74361e-02       2.41450e-01      
  7.81855e-02       2.39288e-01      
  7.89348e-02       2.37230e-01      
  7.96842e-02       2.35271e-01      
  8.04336e-02       2.33404e-01      
  8.11830e-02       2.31624e-01      
  8.19323e-02       2.29925e-01      
  8.26817e-02       2.28299e-01      
  8.34311e-02       2.26742e-01      
  8.41805e-02       2.25247e-01      
  8.49298e-02       2.23809e-01      
  8.56792e-02       2.22422e-01      
  8.64286e-02       2.21081e-01      
  8.71779e-02       2.19779e-01      
  8.79273e-02       2.18512e-01      
  8.86767e-02       2.17274e-01      
  8.94261e-02       2.16060e-01      
  9.01754e-02       2.14866e-01      
  9.09248e-02       2.13686e-01      
  9.16742e-02       2.12516e-01      
  9.24236e-02       2.11351e-01      
  9.31729e-02       2.10188e-01      
  9.39223e-02       2.09022e-01      
  9.46717e-02       2.07849e-01      
  9.54211e-02       2.06666e-01      
  9.61704e-02       2.05470e-01      
  9.69198e-02       2.04256e-01      
  9.76692e-02       2.03022e-01      
  9.84185e-02       2.01766e-01      
  9.91679e-02       2.00483e-01      
  9.99173e-02       1.99173e-01      
  1.00667e-01       1.97833e-01      
  1.01416e-01       1.96460e-01      
  1.02165e-01       1.95054e-01      
  1.02915e-01       1.93611e-01      
  1.03664e-01       1.92132e-01      
  1.04414e-01       1.90615e-01      
  1.05163e-01       1.89058e-01      
  1.05912e-01       1.87461e-01      
  1.06662e-01       1.85824e-01      
  1.07411e-01       1.84146e-01      
  1.08160e-01       1.82426e-01      
  1.08910e-01       1.80665e-01      
  1.09659e-01       1.78863e-01      
  1.10409e-01       1.77020e-01      
  1.11158e-01       1.75136e-01      
  1.11907e-01       1.73212e-01      
  1.12657e-01       1.71249e-01      
  1.13406e-01       1.69248e-01      
  1.14155e-01       1.67209e-01      
  1.14905e-01       1.65134e-01      
  1.15654e-01       1.63023e-01      
  1.16404e-01       1.60879e-01      
  1.17153e-01       1.58703e-01      
  1.17902e-01       1.56496e-01      
  1.18652e-01       1.54260e-01      
  1.19401e-01       1.51996e-01      
  1.20150e-01       1.49707e-01      
  1.20900e-01       1.47394e-01      
  1.21649e-01       1.45059e-01      
  1.22398e-01       1.42704e-01      
  1.23148e-01       1.40332e-01      
  1.23897e-01       1.37944e-01      
  1.24647e-01       1.35541e-01      
  1.25396e-01       1.33128e-01      
  1.26145e-01       1.30704e-01      
  1.26895e-01       1.28273e-01      
  1.27644e-01       1.25837e-01      
  1.28393e-01       1.23398e-01      
  1.29143e-01       1.20957e-01      
  1.29892e-01       1.18517e-01      
  1.30642e-01       1.16081e-01      
  1.31391e-01       1.13649e-01      
  1.32140e-01       1.11225e-01      
  1.32890e-01       1.08809e-01      
  1.33639e-01       1.06404e-01      
  1.34388e-01       1.04012e-01      
  1.35138e-01       1.01635e-01      
  1.35887e-01       9.92738e-02      
  1.36637e-01       9.69308e-02      
  1.37386e-01       9.46076e-02      
  1.38135e-01       9.23056e-02      
  1.38885e-01       9.00265e-02      
  1.39634e-01       8.77716e-02      
  1.40383e-01       8.55424e-02      
  1.41133e-01       8.33401e-02      
  1.41882e-01       8.11660e-02      
  1.42632e-01       7.90212e-02      
  1.43381e-01       7.69068e-02      
  1.44130e-01       7.48238e-02      
  1.44880e-01       7.27732e-02      
  1.45629e-01       7.07557e-02      
  1.46378e-01       6.87723e-02      
  1.47128e-01       6.68234e-02      
  1.47877e-01       6.49098e-02      
  1.48627e-01       6.30321e-02      
  1.49376e-01       6.11906e-02      
  1.50125e-01       5.93858e-02      
  1.50875e-01       5.76179e-02      
  1.51624e-01       5.58874e-02      
  1.52373e-01       5.41942e-02      
  1.53123e-01       5.25387e-02      
  1.53872e-01       5.09207e-02      
  1.54622e-01       4.93403e-02      
  1.55371e-01       4.77975e-02      
  1.56120e-01       4.62920e-02      
  1.56870e-01       4.48238e-02      
  1.57619e-01       4.33926e-02      
  1.58368e-01       4.19980e-02      
  1.59118e-01       4.06398e-02      
  1.59867e-01       3.93176e-02      
  1.60617e-01       3.80310e-02      
  1.61366e-01       3.67795e-02      
  1.62115e-01       3.55626e-02      
  1.62865e-01       3.43798e-02      
  1.63614e-01       3.32305e-02      
  1.64363e-01       3.21141e-02      
  1.65113e-01       3.10300e-02      
  1.65862e-01       2.99777e-02      
  1.66612e-01       2.89564e-02      
  1.67361e-01       2.79654e-02      
  1.68110e-01       2.70041e-02      
  1.68860e-01       2.60718e-02      
  1.69609e-01       2.51678e-02      
  1.70358e-01       2.42913e-02      
  1.71108e-01       2.34417e-02      
  1.71857e-01       2.26181e-02      
  1.72607e-01       2.18200e-02      
  1.73356e-01       2.10465e-02      
  1.74105e-01       2.02970e-02      
  1.74855e-01       1.95708e-02      
  1.75604e-01       1.88671e-02      
  1.76353e-01       1.81852e-02      
  1.77103e-01       1.75246e-02      
  1.77852e-01       1.68844e-02      
  1.78602e-01       1.62640e-02      
  1.79351e-01       1.56629e-02      
  1.80100e-01       1.50803e-02      
  1.80850e-01       1.45157e-02      
  1.81599e-01       1.39684e-02      
  1.82348e-01       1.34379e-02      
  1.83098e-01       1.29236e-02      
  1.83847e-01       1.24250e-02      
  1.84596e-01       1.19416e-02      
  1.85346e-01       1.14728e-02      
  1.86095e-01       1.10183e-02      
  1.86845e-01       1.05774e-02      
  1.87594e-01       1.01498e-02      
  1.88343e-01       9.73515e-03      
  1.89093e-01       9.33293e-03      
  1.89842e-01       8.94280e-03      
  1.90591e-01       8.56440e-03      
  1.91341e-01       8.19739e-03      
  1.92090e-01       7.84145e-03      
  1.92840e-01       7.49629e-03      
  1.93589e-01       7.16161e-03      
  1.94338e-01       6.83715e-03      
  1.95088e-01       6.52266e-03      
  1.95837e-01       6.21790e-03      
  1.96586e-01       5.92266e-03      
  1.97336e-01       5.63673e-03      
  1.98085e-01       5.35991e-03      
  1.98835e-01       5.09204e-03      
  1.99584e-01       4.83295e-03      
  2.00333e-01       4.58247e-03      
  2.01083e-01       4.34047e-03      
  2.01832e-01       4.10682e-03      
  2.02581e-01       3.88138e-03      
  2.03331e-01       3.66403e-03      
  2.04080e-01       3.45468e-03      
  2.04830e-01       3.25321e-03      
  2.05579e-01       3.05952e-03      
  2.06328e-01       2.87352e-03      
  2.07078e-01       2.69513e-03      
  2.07827e-01       2.52424e-03      
  2.08576e-01       2.36078e-03      
  2.09326e-01       2.20466e-03      
  2.10075e-01       2.05581e-03      
  2.10825e-01       1.91413e-03      
  2.11574e-01       1.77955e-03      
  2.12323e-01       1.65199e-03      
  2.13073e-01       1.53135e-03      
  2.13822e-01       1.41757e-03      
  2.14571e-01       1.31054e-03      
  2.15321e-01       1.21018e-03      
  2.16070e-01       1.11639e-03      
  2.16820e-01       1.02909e-03      
  2.17569e-01       9.48157e-04      
  2.18318e-01       8.73504e-04      
  2.19068e-01       8.05019e-04      
  2.19817e-01       7.42590e-04      
  2.20566e-01       6.86101e-04      
  2.21316e-01       6.35433e-04      
  2.22065e-01       5.90461e-04      
  2.22815e-01       5.51057e-04      
  2.23564e-01       5.17087e-04      
  2.24313e-01       4.88415e-04      
  2.25063e-01       4.64899e-04      
  2.25812e-01       4.46395e-04      
  2.26561e-01       4.32753e-04      
  2.27311e-01       4.23820e-04      
  2.28060e-01       4.19442e-04      
  2.28810e-01       4.19457e-04      
  2.29559e-01       4.23704e-04      
  2.30308e-01       4.32019e-04      
  2.31058e-01       4.44234e-04      
  2.31807e-01       4.60180e-04      
  2.32556e-01       4.79686e-04      
  2.33306e-01       5.02580e-04      
  2.34055e-01       5.28688e-04      
  2.34805e-01       5.57835e-04      
  2.35554e-01       5.89849e-04      
  2.36303e-01       6.24554e-04      
  2.37053e-01       6.61776e-04      
  2.37802e-01       7.01341e-04      
  2.38551e-01       7.43078e-04      
  2.39301e-01       7.86816e-04      
  2.40050e-01       8.32385e-04      
  2.40799e-01       8.79618e-04      
  2.41549e-01       9.28351e-04      
  2.42298e-01       9.78422e-04      
  2.43048e-01       1.02967e-03      
  2.43797e-01       1.08195e-03      
  2.44546e-01       1.13509e-03      
  2.45296e-01       1.18896e-03      
  2.46045e-01       1.24341e-03      
  2.46794e-01       1.29830e-03      
  2.47544e-01       1.35349e-03      
  2.48293e-01       1.40886e-03      
  2.49043e-01       1.46428e-03      
  2.49792e-01       1.51963e-03      
  2.50541e-01       1.57479e-03      
  2.51291e-01       1.62966e-03      
  2.52040e-01       1.68413e-03      
  2.52789e-01       1.73810e-03      
  2.53539e-01       1.79147e-03      
  2.54288e-01       1.84417e-03      
  2.55038e-01       1.89610e-03      
  2.55787e-01       1.94719e-03      
  2.56536e-01       1.99737e-03      
  2.57286e-01       2.04658e-03      
  2.58035e-01       2.09475e-03      
  2.58784e-01       2.14183e-03      
  2.59534e-01       2.18776e-03      
  2.60283e-01       2.23251e-03      
  2.61033e-01       2.27604e-03      
  2.61782e-01       2.31830e-03      
  2.62531e-01       2.35928e-03      
  2.63281e-01       2.39894e-03      
  2.64030e-01       2.43726e-03      
  2.64779e-01       2.47423e-03      
  2.65529e-01       2.50983e-03      
  2.66278e-01       2.54406e-03      
  2.67028e-01       2.57691e-03      
  2.67777e-01       2.60838e-03      
  2.68526e-01       2.63847e-03      
  2.69276e-01       2.66718e-03      
  2.70025e-01       2.69452e-03      
  2.70774e-01       2.72051e-03      
  2.71524e-01       2.74515e-03      
  2.72273e-01       2.76846e-03      
  2.73023e-01       2.79046e-03      
