# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  1.41882e-01  7.93858e-03 
  1.74937e-03  1.42004e-01  5.99985e-03 
  2.49875e-03  1.38699e-01  5.01733e-03 
  3.24812e-03  1.35691e-01  4.39726e-03 
  3.99749e-03  1.39239e-01  3.95987e-03 
  4.74687e-03  1.35760e-01  3.62962e-03 
  5.49624e-03  1.36517e-01  3.36848e-03 
  6.24561e-03  1.36173e-01  3.15497e-03 
  6.99499e-03  1.30425e-01  2.97589e-03 
  7.74436e-03  1.31429e-01  2.82267e-03 
  8.49373e-03  1.35671e-01  2.68942e-03 
  9.24311e-03  1.31430e-01  2.57198e-03 
  9.99248e-03  1.34254e-01  2.46730e-03 
  1.07419e-02  1.32298e-01  2.37310e-03 
  1.14912e-02  1.30542e-01  2.28762e-03 
  1.22406e-02  1.28895e-01  2.20948e-03 
  1.29900e-02  1.31476e-01  2.13761e-03 
  1.37393e-02  1.27011e-01  2.07112e-03 
  1.44887e-02  1.28951e-01  2.00930e-03 
  1.52381e-02  1.21245e-01  1.95156e-03 
  1.59875e-02  1.27717e-01  1.89741e-03 
  1.67368e-02  1.24946e-01  1.84644e-03 
  1.74862e-02  1.20876e-01  1.79831e-03 
  1.82356e-02  1.20933e-01  1.75270e-03 
  1.89850e-02  1.20167e-01  1.70938e-03 
  1.97343e-02  1.18447e-01  1.66812e-03 
  2.04837e-02  1.19429e-01  1.62873e-03 
  2.12331e-02  1.16358e-01  1.59105e-03 
  2.19825e-02  1.18239e-01  1.55492e-03 
  2.27318e-02  1.15140e-01  1.52023e-03 
  2.34812e-02  1.13159e-01  1.48685e-03 
  2.42306e-02  1.08230e-01  1.45469e-03 
  2.49799e-02  1.09866e-01  1.42367e-03 
  2.57293e-02  1.09232e-01  1.39369e-03 
  2.64787e-02  1.06529e-01  1.36470e-03 
  2.72281e-02  1.06856e-01  1.33662e-03 
  2.79774e-02  1.03303e-01  1.30941e-03 
  2.87268e-02  1.00767e-01  1.28300e-03 
  2.94762e-02  9.89374e-02  1.25736e-03 
  3.02256e-02  9.92675e-02  1.23244e-03 
  3.09749e-02  9.74854e-02  1.20820e-03 
  3.17243e-02  9.43892e-02  1.18461e-03 
  3.24737e-02  9.27310e-02  1.16164e-03 
  3.32231e-02  9.13981e-02  1.13927e-03 
  3.39724e-02  8.98435e-02  1.11746e-03 
  3.47218e-02  9.01367e-02  1.09619e-03 
  3.54712e-02  8.87534e-02  1.07544e-03 
  3.62206e-02  8.52069e-02  1.05519e-03 
  3.69699e-02  8.65992e-02  1.03543e-03 
  3.77193e-02  8.36402e-02  1.01613e-03 
  3.84687e-02  8.16099e-02  9.97288e-04 
  3.92180e-02  8.09940e-02  9.78884e-04 
  3.99674e-02  7.86055e-02  9.60906e-04 
  4.07168e-02  7.64531e-02  9.43343e-04 
  4.14662e-02  7.38882e-02  9.26185e-04 
  4.22155e-02  7.43404e-02  9.09421e-04 
  4.29649e-02  7.37421e-02  8.93043e-04 
  4.37143e-02  7.26212e-02  8.77043e-04 
  4.44637e-02  6.89693e-02  8.61413e-04 
  4.52130e-02  6.81840e-02  8.46146e-04 
  4.59624e-02  6.65673e-02  8.31235e-04 
  4.67118e-02  6.48451e-02  8.16674e-04 
  4.74612e-02  6.45153e-02  8.02458e-04 
  4.82105e-02  6.15215e-02  7.88581e-04 
  4.89599e-02  6.02019e-02  7.75037e-04 
  4.97093e-02  6.05322e-02  7.61823e-04 
  5.04586e-02  5.78054e-02  7.48933e-04 
  5.12080e-02  5.89169e-02  7.36363e-04 
  5.19574e-02  5.61086e-02  7.24110e-04 
  5.27068e-02  5.60652e-02  7.12168e-04 
  5.34561e-02  5.36400e-02  7.00533e-04 
  5.42055e-02  5.39840e-02  6.89203e-04 
  5.49549e-02  5.13406e-02  6.78173e-04 
  5.57043e-02  5.12333e-02  6.67439e-04 
  5.64536e-02  4.99401e-02  6.56997e-04 
  5.72030e-02  5.02446e-02  6.46843e-04 
  5.79524e-02  4.91599e-02  6.36975e-04 
  5.87018e-02  4.77063e-02  6.27386e-04 
  5.94511e-02  4.74560e-02  6.18075e-04 
  6.02005e-02  4.64986e-02  6.09036e-04 
  6.09499e-02  4.48424e-02  6.00265e-04 
  6.16992e-02  4.31334e-02  5.91758e-04 
  6.24486e-02  4.33304e-02  5.83510e-04 
  6.31980e-02  4.20858e-02  5.75518e-04 
  6.39474e-02  4.23092e-02  5.67775e-04 
  6.46967e-02  4.18309e-02  5.60278e-04 
  6.54461e-02  4.02995e-02  5.53022e-04 
  6.61955e-02  3.98620e-02  5.46000e-04 
  6.69449e-02  3.91636e-02  5.39209e-04 
  6.76942e-02  3.82717e-02  5.32641e-04 
  6.84436e-02  3.76280e-02  5.26293e-04 
  6.91930e-02  3.74232e-02  5.20158e-04 
  6.99424e-02  3.70911e-02  5.14230e-04 
  7.06917e-02  3.74810e-02  5.08504e-04 
  7.14411e-02  3.61703e-02  5.02972e-04 
  7.21905e-02  3.62398e-02  4.97630e-04 
  7.29398e-02  3.55378e-02  4.92471e-04 
  7.36892e-02  3.46685e-02  4.87487e-04 
  7.44386e-02  3.45850e-02  4.82674e-04 
  7.51880e-02  3.41195e-02  4.78025e-04 
  7.59373e-02  3.41180e-02  4.73532e-04 
  7.66867e-02  3.38365e-02  4.69189e-04 
  7.74361e-02  3.35674e-02  4.64991e-04 
  7.81855e-02  3.30898e-02  4.60929e-04 
  7.89348e-02  3.24968e-02  4.56998e-04 
  7.96842e-02  3.17457e-02  4.53192e-04 
  8.04336e-02  3.21516e-02  4.49503e-04 
  8.11830e-02  3.12206e-02  4.45925e-04 
  8.19323e-02  3.14455e-02  4.42453e-04 
  8.26817e-02  3.06168e-02  4.39079e-04 
  8.34311e-02  3.15613e-02  4.35797e-04 
  8.41805e-02  3.19828e-02  4.32602e-04 
  8.49298e-02  3.11379e-02  4.29488e-04 
  8.56792e-02  3.03114e-02  4.26449e-04 
  8.64286e-02  3.05818e-02  4.23479e-04 
  8.71779e-02  3.07887e-02  4.20573e-04 
  8.79273e-02  3.01353e-02  4.17725e-04 
  8.86767e-02  2.87763e-02  4.14931e-04 
  8.94261e-02  2.99471e-02  4.12185e-04 
  9.01754e-02  2.97720e-02  4.09483e-04 
  9.09248e-02  2.93516e-02  4.06819e-04 
  9.16742e-02  2.93118e-02  4.04191e-04 
  9.24236e-02  2.97007e-02  4.01592e-04 
  9.31729e-02  2.89984e-02  3.99020e-04 
  9.39223e-02  2.82900e-02  3.96471e-04 
  9.46717e-02  2.85469e-02  3.93940e-04 
  9.54211e-02  2.81837e-02  3.91425e-04 
  9.61704e-02  2.86239e-02  3.88922e-04 
  9.69198e-02  2.79240e-02  3.86427e-04 
  9.76692e-02  2.79065e-02  3.83939e-04 
  9.84185e-02  2.77079e-02  3.81455e-04 
  9.91679e-02  2.73904e-02  3.78971e-04 
  9.99173e-02  2.77878e-02  3.76485e-04 
  1.00667e-01  2.71959e-02  3.73997e-04 
  1.01416e-01  2.73049e-02  3.71502e-04 
  1.02165e-01  2.70924e-02  3.69000e-04 
  1.02915e-01  2.67790e-02  3.66489e-04 
  1.03664e-01  2.60126e-02  3.63968e-04 
  1.04414e-01  2.62970e-02  3.61434e-04 
  1.05163e-01  2.58377e-02  3.58887e-04 
  1.05912e-01  2.59230e-02  3.56327e-04 
  1.06662e-01  2.55874e-02  3.53751e-04 
  1.07411e-01  2.56492e-02  3.51159e-04 
  1.08160e-01  2.51297e-02  3.48552e-04 
  1.08910e-01  2.49792e-02  3.45927e-04 
  1.09659e-01  2.42383e-02  3.43285e-04 
  1.10409e-01  2.47176e-02  3.40625e-04 
  1.11158e-01  2.44922e-02  3.37948e-04 
  1.11907e-01  2.35307e-02  3.35254e-04 
  1.12657e-01  2.34519e-02  3.32541e-04 
  1.13406e-01  2.37195e-02  3.29812e-04 
  1.14155e-01  2.23847e-02  3.27065e-04 
  1.14905e-01  2.23626e-02  3.24301e-04 
  1.15654e-01  2.26931e-02  3.21522e-04 
  1.16404e-01  2.22835e-02  3.18726e-04 
  1.17153e-01  2.19128e-02  3.15916e-04 
  1.17902e-01  2.16944e-02  3.13091e-04 
  1.18652e-01  2.12585e-02  3.10252e-04 
  1.19401e-01  2.08811e-02  3.07400e-04 
  1.20150e-01  2.10708e-02  3.04537e-04 
  1.20900e-01  2.04969e-02  3.01662e-04 
  1.21649e-01  1.98944e-02  2.98778e-04 
  1.22398e-01  1.94090e-02  2.95884e-04 
