# r                 p(r)             
  5.18914e-01       2.60412e-03      
  1.55674e+00       1.83971e-02      
  2.59457e+00       4.86960e-02      
  3.63240e+00       8.97578e-02      
  4.67022e+00       1.41305e-01      
  5.70805e+00       1.99972e-01      
  6.74588e+00       2.69065e-01      
  7.78370e+00       3.42258e-01      
  8.82153e+00       4.22233e-01      
  9.85936e+00       4.89603e-01      
  1.08972e+01       5.65697e-01      
  1.19350e+01       6.38672e-01      
  1.29728e+01       7.06388e-01      
  1.40107e+01       7.77868e-01      
  1.50485e+01       8.34990e-01      
  1.60863e+01       8.87657e-01      
  1.71241e+01       9.28946e-01      
  1.81620e+01       9.65196e-01      
  1.91998e+01       9.84573e-01      
  2.02376e+01       9.99574e-01      
  2.12755e+01       9.96218e-01      
  2.23133e+01       1.00000e+00      
  2.33511e+01       9.85019e-01      
  2.43889e+01       9.52918e-01      
  2.54268e+01       9.15470e-01      
  2.64646e+01       8.70062e-01      
  2.75024e+01       8.16326e-01      
  2.85402e+01       7.54461e-01      
  2.95781e+01       6.87744e-01      
  3.06159e+01       6.17106e-01      
  3.16537e+01       5.53350e-01      
  3.26916e+01       4.80930e-01      
  3.37294e+01       4.18817e-01      
  3.47672e+01       3.53843e-01      
  3.58050e+01       3.03068e-01      
  3.68429e+01       2.54649e-01      
  3.78807e+01       2.22944e-01      
  3.89185e+01       2.03586e-01      
  3.99563e+01       2.07497e-01      
  4.09942e+01       2.20330e-01      
  4.20320e+01       2.37885e-01      
  4.30698e+01       2.58124e-01      
  4.41077e+01       2.77026e-01      
  4.51455e+01       2.96245e-01      
  4.61833e+01       3.19019e-01      
  4.72211e+01       3.43209e-01      
  4.82590e+01       3.67576e-01      
  4.92968e+01       3.86617e-01      
  5.03346e+01       4.17777e-01      
  5.13724e+01       4.42264e-01      
  5.24103e+01       4.65285e-01      
  5.34481e+01       4.89306e-01      
  5.44859e+01       5.12644e-01      
  5.55238e+01       5.38804e-01      
  5.65616e+01       5.55647e-01      
  5.75994e+01       5.78609e-01      
  5.86372e+01       5.90936e-01      
  5.96751e+01       6.02788e-01      
  6.07129e+01       6.15383e-01      
  6.17507e+01       6.23611e-01      
  6.27885e+01       6.26770e-01      
  6.38264e+01       6.20859e-01      
  6.48642e+01       6.16353e-01      
  6.59020e+01       6.04214e-01      
  6.69399e+01       5.91976e-01      
  6.79777e+01       5.83847e-01      
  6.90155e+01       5.63598e-01      
  7.00533e+01       5.48498e-01      
  7.10912e+01       5.28526e-01      
  7.21290e+01       5.01386e-01      
  7.31668e+01       4.78504e-01      
  7.42047e+01       4.49145e-01      
  7.52425e+01       4.21273e-01      
  7.62803e+01       3.94776e-01      
  7.73181e+01       3.62526e-01      
  7.83560e+01       3.35446e-01      
  7.93938e+01       3.01602e-01      
  8.04316e+01       2.73125e-01      
  8.14694e+01       2.39787e-01      
  8.25073e+01       2.12676e-01      
  8.35451e+01       1.81803e-01      
  8.45829e+01       1.57821e-01      
  8.56208e+01       1.34523e-01      
  8.66586e+01       1.11472e-01      
  8.76964e+01       9.01737e-02      
  8.87342e+01       7.13013e-02      
  8.97721e+01       5.33299e-02      
  9.08099e+01       4.04578e-02      
  9.18477e+01       2.96948e-02      
  9.28855e+01       1.97933e-02      
  9.39234e+01       1.46246e-02      
  9.49612e+01       7.73313e-03      
  9.59990e+01       4.52502e-03      
  9.70368e+01       1.56445e-03      
  9.80747e+01       5.14882e-04      
  9.91125e+01       4.95079e-05      
  1.00150e+02       0.00000e+00      
  1.01188e+02       0.00000e+00      
  1.02226e+02       0.00000e+00      
  1.03264e+02       0.00000e+00      
