# q                 I(q)             
  1.00000e-03       9.99498e-01      
  1.74937e-03       9.98463e-01      
  2.49875e-03       9.96866e-01      
  3.24812e-03       9.94709e-01      
  3.99749e-03       9.91996e-01      
  4.74687e-03       9.88730e-01      
  5.49624e-03       9.84916e-01      
  6.24561e-03       9.80559e-01      
  6.99499e-03       9.75665e-01      
  7.74436e-03       9.70243e-01      
  8.49373e-03       9.64299e-01      
  9.24311e-03       9.57842e-01      
  9.99248e-03       9.50881e-01      
  1.07419e-02       9.43427e-01      
  1.14912e-02       9.35489e-01      
  1.22406e-02       9.27079e-01      
  1.29900e-02       9.18209e-01      
  1.37393e-02       9.08892e-01      
  1.44887e-02       8.99140e-01      
  1.52381e-02       8.88967e-01      
  1.59875e-02       8.78387e-01      
  1.67368e-02       8.67414e-01      
  1.74862e-02       8.56065e-01      
  1.82356e-02       8.44354e-01      
  1.89850e-02       8.32297e-01      
  1.97343e-02       8.19910e-01      
  2.04837e-02       8.07211e-01      
  2.12331e-02       7.94216e-01      
  2.19825e-02       7.80943e-01      
  2.27318e-02       7.67408e-01      
  2.34812e-02       7.53630e-01      
  2.42306e-02       7.39626e-01      
  2.49799e-02       7.25415e-01      
  2.57293e-02       7.11014e-01      
  2.64787e-02       6.96441e-01      
  2.72281e-02       6.81716e-01      
  2.79774e-02       6.66855e-01      
  2.87268e-02       6.51877e-01      
  2.94762e-02       6.36801e-01      
  3.02256e-02       6.21644e-01      
  3.09749e-02       6.06424e-01      
  3.17243e-02       5.91159e-01      
  3.24737e-02       5.75867e-01      
  3.32231e-02       5.60564e-01      
  3.39724e-02       5.45268e-01      
  3.47218e-02       5.29996e-01      
  3.54712e-02       5.14763e-01      
  3.62206e-02       4.99587e-01      
  3.69699e-02       4.84483e-01      
  3.77193e-02       4.69467e-01      
  3.84687e-02       4.54553e-01      
  3.92180e-02       4.39756e-01      
  3.99674e-02       4.25090e-01      
  4.07168e-02       4.10569e-01      
  4.14662e-02       3.96206e-01      
  4.22155e-02       3.82014e-01      
  4.29649e-02       3.68004e-01      
  4.37143e-02       3.54189e-01      
  4.44637e-02       3.40580e-01      
  4.52130e-02       3.27187e-01      
  4.59624e-02       3.14019e-01      
  4.67118e-02       3.01088e-01      
  4.74612e-02       2.88400e-01      
  4.82105e-02       2.75965e-01      
  4.89599e-02       2.63790e-01      
  4.97093e-02       2.51882e-01      
  5.04586e-02       2.40247e-01      
  5.12080e-02       2.28892e-01      
  5.19574e-02       2.17821e-01      
  5.27068e-02       2.07040e-01      
  5.34561e-02       1.96551e-01      
  5.42055e-02       1.86359e-01      
  5.49549e-02       1.76466e-01      
  5.57043e-02       1.66876e-01      
  5.64536e-02       1.57588e-01      
  5.72030e-02       1.48605e-01      
  5.79524e-02       1.39927e-01      
  5.87018e-02       1.31555e-01      
  5.94511e-02       1.23487e-01      
  6.02005e-02       1.15723e-01      
  6.09499e-02       1.08261e-01      
  6.16992e-02       1.01100e-01      
  6.24486e-02       9.42372e-02      
  6.31980e-02       8.76693e-02      
  6.39474e-02       8.13932e-02      
  6.46967e-02       7.54055e-02      
  6.54461e-02       6.97018e-02      
  6.61955e-02       6.42779e-02      
  6.69449e-02       5.91290e-02      
  6.76942e-02       5.42498e-02      
  6.84436e-02       4.96350e-02      
  6.91930e-02       4.52789e-02      
  6.99424e-02       4.11753e-02      
  7.06917e-02       3.73182e-02      
  7.14411e-02       3.37009e-02      
  7.21905e-02       3.03168e-02      
  7.29398e-02       2.71591e-02      
  7.36892e-02       2.42207e-02      
  7.44386e-02       2.14944e-02      
  7.51880e-02       1.89728e-02      
  7.59373e-02       1.66487e-02      
  7.66867e-02       1.45145e-02      
  7.74361e-02       1.25626e-02      
  7.81855e-02       1.07855e-02      
  7.89348e-02       9.17549e-03      
  7.96842e-02       7.72496e-03      
  8.04336e-02       6.42629e-03      
  8.11830e-02       5.27189e-03      
  8.19323e-02       4.25422e-03      
  8.26817e-02       3.36578e-03      
  8.34311e-02       2.59919e-03      
  8.41805e-02       1.94711e-03      
  8.49298e-02       1.40235e-03      
  8.56792e-02       9.57813e-04      
  8.64286e-02       6.06557e-04      
  8.71779e-02       3.41771e-04      
  8.79273e-02       1.56805e-04      
  8.86767e-02       4.51774e-05      
  8.94261e-02       5.82460e-07      
  9.01754e-02       1.69011e-05      
  9.09248e-02       8.82083e-05      
  9.16742e-02       2.08781e-04      
  9.24236e-02       3.73103e-04      
  9.31729e-02       5.75873e-04      
  9.39223e-02       8.12009e-04      
  9.46717e-02       1.07665e-03      
  9.54211e-02       1.36516e-03      
  9.61704e-02       1.67315e-03      
  9.69198e-02       1.99643e-03      
  9.76692e-02       2.33106e-03      
  9.84185e-02       2.67333e-03      
  9.91679e-02       3.01978e-03      
  9.99173e-02       3.36715e-03      
  1.00667e-01       3.71243e-03      
  1.01416e-01       4.05282e-03      
  1.02165e-01       4.38578e-03      
  1.02915e-01       4.70895e-03      
  1.03664e-01       5.02021e-03      
  1.04414e-01       5.31766e-03      
  1.05163e-01       5.59959e-03      
  1.05912e-01       5.86449e-03      
  1.06662e-01       6.11108e-03      
  1.07411e-01       6.33822e-03      
  1.08160e-01       6.54501e-03      
  1.08910e-01       6.73069e-03      
  1.09659e-01       6.89467e-03      
  1.10409e-01       7.03655e-03      
  1.11158e-01       7.15606e-03      
  1.11907e-01       7.25310e-03      
  1.12657e-01       7.32767e-03      
  1.13406e-01       7.37995e-03      
  1.14155e-01       7.41022e-03      
  1.14905e-01       7.41886e-03      
  1.15654e-01       7.40638e-03      
  1.16404e-01       7.37339e-03      
  1.17153e-01       7.32057e-03      
  1.17902e-01       7.24869e-03      
  1.18652e-01       7.15860e-03      
  1.19401e-01       7.05122e-03      
  1.20150e-01       6.92750e-03      
  1.20900e-01       6.78847e-03      
  1.21649e-01       6.63519e-03      
  1.22398e-01       6.46875e-03      
  1.23148e-01       6.29027e-03      
  1.23897e-01       6.10090e-03      
  1.24647e-01       5.90179e-03      
  1.25396e-01       5.69410e-03      
  1.26145e-01       5.47899e-03      
  1.26895e-01       5.25762e-03      
  1.27644e-01       5.03115e-03      
  1.28393e-01       4.80069e-03      
  1.29143e-01       4.56736e-03      
  1.29892e-01       4.33225e-03      
  1.30642e-01       4.09640e-03      
  1.31391e-01       3.86083e-03      
  1.32140e-01       3.62652e-03      
  1.32890e-01       3.39442e-03      
  1.33639e-01       3.16542e-03      
  1.34388e-01       2.94036e-03      
  1.35138e-01       2.72004e-03      
  1.35887e-01       2.50522e-03      
  1.36637e-01       2.29658e-03      
  1.37386e-01       2.09476e-03      
  1.38135e-01       1.90036e-03      
  1.38885e-01       1.71388e-03      
  1.39634e-01       1.53581e-03      
  1.40383e-01       1.36656e-03      
  1.41133e-01       1.20649e-03      
  1.41882e-01       1.05589e-03      
  1.42632e-01       9.15008e-04      
  1.43381e-01       7.84039e-04      
  1.44130e-01       6.63116e-04      
  1.44880e-01       5.52323e-04      
  1.45629e-01       4.51692e-04      
  1.46378e-01       3.61205e-04      
  1.47128e-01       2.80798e-04      
  1.47877e-01       2.10362e-04      
  1.48627e-01       1.49743e-04      
  1.49376e-01       9.87467e-05      
  1.50125e-01       5.71413e-05      
  1.50875e-01       2.46576e-05      
  1.51624e-01       9.93693e-07      
  1.52373e-01       -1.41835e-05     
  1.53123e-01       -2.12350e-05     
  1.53872e-01       -2.05471e-05     
  1.54622e-01       -1.25291e-05     
  1.55371e-01       2.39038e-06      
  1.56120e-01       2.37653e-05      
  1.56870e-01       5.11356e-05      
  1.57619e-01       8.40294e-05      
  1.58368e-01       1.21966e-04      
  1.59118e-01       1.64459e-04      
  1.59867e-01       2.11017e-04      
  1.60617e-01       2.61149e-04      
  1.61366e-01       3.14364e-04      
  1.62115e-01       3.70176e-04      
  1.62865e-01       4.28104e-04      
  1.63614e-01       4.87675e-04      
  1.64363e-01       5.48425e-04      
  1.65113e-01       6.09905e-04      
  1.65862e-01       6.71677e-04      
  1.66612e-01       7.33319e-04      
  1.67361e-01       7.94426e-04      
  1.68110e-01       8.54612e-04      
  1.68860e-01       9.13510e-04      
  1.69609e-01       9.70773e-04      
  1.70358e-01       1.02608e-03      
  1.71108e-01       1.07912e-03      
  1.71857e-01       1.12963e-03      
  1.72607e-01       1.17734e-03      
  1.73356e-01       1.22203e-03      
  1.74105e-01       1.26348e-03      
  1.74855e-01       1.30153e-03      
  1.75604e-01       1.33601e-03      
  1.76353e-01       1.36679e-03      
  1.77103e-01       1.39377e-03      
  1.77852e-01       1.41686e-03      
  1.78602e-01       1.43601e-03      
  1.79351e-01       1.45117e-03      
  1.80100e-01       1.46235e-03      
  1.80850e-01       1.46954e-03      
  1.81599e-01       1.47278e-03      
  1.82348e-01       1.47212e-03      
  1.83098e-01       1.46764e-03      
  1.83847e-01       1.45942e-03      
  1.84596e-01       1.44756e-03      
  1.85346e-01       1.43220e-03      
  1.86095e-01       1.41347e-03      
  1.86845e-01       1.39152e-03      
  1.87594e-01       1.36652e-03      
  1.88343e-01       1.33865e-03      
  1.89093e-01       1.30809e-03      
  1.89842e-01       1.27504e-03      
  1.90591e-01       1.23969e-03      
  1.91341e-01       1.20227e-03      
  1.92090e-01       1.16299e-03      
  1.92840e-01       1.12205e-03      
  1.93589e-01       1.07969e-03      
  1.94338e-01       1.03612e-03      
  1.95088e-01       9.91577e-04      
  1.95837e-01       9.46268e-04      
  1.96586e-01       9.00416e-04      
  1.97336e-01       8.54237e-04      
  1.98085e-01       8.07942e-04      
  1.98835e-01       7.61737e-04      
  1.99584e-01       7.15822e-04      
  2.00333e-01       6.70389e-04      
  2.01083e-01       6.25624e-04      
  2.01832e-01       5.81702e-04      
  2.02581e-01       5.38792e-04      
  2.03331e-01       4.97050e-04      
  2.04080e-01       4.56624e-04      
  2.04830e-01       4.17649e-04      
  2.05579e-01       3.80251e-04      
  2.06328e-01       3.44544e-04      
  2.07078e-01       3.10629e-04      
  2.07827e-01       2.78596e-04      
  2.08576e-01       2.48523e-04      
  2.09326e-01       2.20475e-04      
  2.10075e-01       1.94506e-04      
  2.10825e-01       1.70657e-04      
  2.11574e-01       1.48957e-04      
  2.12323e-01       1.29425e-04      
  2.13073e-01       1.12067e-04      
  2.13822e-01       9.68763e-05      
  2.14571e-01       8.38385e-05      
  2.15321e-01       7.29268e-05      
  2.16070e-01       6.41047e-05      
  2.16820e-01       5.73261e-05      
  2.17569e-01       5.25358e-05      
  2.18318e-01       4.96703e-05      
  2.19068e-01       4.86577e-05      
  2.19817e-01       4.94192e-05      
  2.20566e-01       5.18690e-05      
  2.21316e-01       5.59152e-05      
  2.22065e-01       6.14604e-05      
  2.22815e-01       6.84024e-05      
  2.23564e-01       7.66350e-05      
  2.24313e-01       8.60484e-05      
  2.25063e-01       9.65300e-05      
  2.25812e-01       1.07965e-04      
  2.26561e-01       1.20237e-04      
  2.27311e-01       1.33230e-04      
  2.28060e-01       1.46825e-04      
  2.28810e-01       1.60906e-04      
  2.29559e-01       1.75358e-04      
  2.30308e-01       1.90066e-04      
  2.31058e-01       2.04918e-04      
  2.31807e-01       2.19805e-04      
  2.32556e-01       2.34620e-04      
  2.33306e-01       2.49262e-04      
  2.34055e-01       2.63631e-04      
  2.34805e-01       2.77634e-04      
  2.35554e-01       2.91181e-04      
  2.36303e-01       3.04190e-04      
  2.37053e-01       3.16581e-04      
  2.37802e-01       3.28282e-04      
  2.38551e-01       3.39226e-04      
  2.39301e-01       3.49354e-04      
  2.40050e-01       3.58611e-04      
  2.40799e-01       3.66949e-04      
  2.41549e-01       3.74328e-04      
  2.42298e-01       3.80712e-04      
  2.43048e-01       3.86075e-04      
  2.43797e-01       3.90395e-04      
  2.44546e-01       3.93657e-04      
  2.45296e-01       3.95852e-04      
  2.46045e-01       3.96978e-04      
  2.46794e-01       3.97039e-04      
  2.47544e-01       3.96045e-04      
  2.48293e-01       3.94012e-04      
  2.49043e-01       3.90959e-04      
  2.49792e-01       3.86914e-04      
  2.50541e-01       3.81908e-04      
  2.51291e-01       3.75976e-04      
  2.52040e-01       3.69157e-04      
  2.52789e-01       3.61497e-04      
  2.53539e-01       3.53042e-04      
  2.54288e-01       3.43844e-04      
  2.55038e-01       3.33956e-04      
  2.55787e-01       3.23434e-04      
  2.56536e-01       3.12337e-04      
  2.57286e-01       3.00725e-04      
  2.58035e-01       2.88659e-04      
  2.58784e-01       2.76203e-04      
  2.59534e-01       2.63420e-04      
  2.60283e-01       2.50372e-04      
  2.61033e-01       2.37124e-04      
  2.61782e-01       2.23739e-04      
  2.62531e-01       2.10279e-04      
  2.63281e-01       1.96805e-04      
  2.64030e-01       1.83377e-04      
  2.64779e-01       1.70054e-04      
  2.65529e-01       1.56891e-04      
  2.66278e-01       1.43943e-04      
  2.67028e-01       1.31261e-04      
  2.67777e-01       1.18894e-04      
  2.68526e-01       1.06888e-04      
  2.69276e-01       9.52851e-05      
  2.70025e-01       8.41257e-05      
  2.70774e-01       7.34457e-05      
  2.71524e-01       6.32779e-05      
  2.72273e-01       5.36513e-05      
  2.73023e-01       4.45915e-05      
  2.73772e-01       3.61200e-05      
  2.74521e-01       2.82548e-05      
  2.75271e-01       2.10102e-05      
  2.76020e-01       1.43965e-05      
  2.76769e-01       8.42036e-06      
  2.77519e-01       3.08494e-06      
  2.78268e-01       -1.61036e-06     
  2.79018e-01       -5.66962e-06     
  2.79767e-01       -9.10029e-06     
  2.80516e-01       -1.19131e-05     
  2.81266e-01       -1.41220e-05     
  2.82015e-01       -1.57437e-05     
  2.82764e-01       -1.67980e-05     
  2.83514e-01       -1.73072e-05     
  2.84263e-01       -1.72960e-05     
  2.85013e-01       -1.67915e-05     
  2.85762e-01       -1.58227e-05     
  2.86511e-01       -1.44204e-05     
  2.87261e-01       -1.26173e-05     
  2.88010e-01       -1.04471e-05     
  2.88759e-01       -7.94500e-06     
  2.89509e-01       -5.14686e-06     
  2.90258e-01       -2.08942e-06     
  2.91008e-01       1.19017e-06      
  2.91757e-01       4.65447e-06      
  2.92506e-01       8.26605e-06      
  2.93256e-01       1.19876e-05      
  2.94005e-01       1.57823e-05      
  2.94754e-01       1.96139e-05      
  2.95504e-01       2.34468e-05      
  2.96253e-01       2.72466e-05      
  2.97003e-01       3.09800e-05      
  2.97752e-01       3.46149e-05      
  2.98501e-01       3.81209e-05      
  2.99251e-01       4.14691e-05      
  3.00000e-01       4.46324e-05      
