# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  1.01525e+00  2.15697e-02 
  1.74937e-03  1.04711e+00  1.62997e-02 
  2.49875e-03  1.03987e+00  1.36274e-02 
  3.24812e-03  1.03714e+00  1.19395e-02 
  3.99749e-03  1.04000e+00  1.07477e-02 
  4.74687e-03  1.02339e+00  9.84670e-03 
  5.49624e-03  1.03209e+00  9.13319e-03 
  6.24561e-03  1.02795e+00  8.54880e-03 
  6.99499e-03  1.02038e+00  8.05775e-03 
  7.74436e-03  1.00526e+00  7.63668e-03 
  8.49373e-03  1.01509e+00  7.26966e-03 
  9.24311e-03  1.01442e+00  6.94539e-03 
  9.99248e-03  9.91798e-01  6.65558e-03 
  1.07419e-02  9.91934e-01  6.39403e-03 
  1.14912e-02  9.79759e-01  6.15598e-03 
  1.22406e-02  9.73685e-01  5.93771e-03 
  1.29900e-02  9.59132e-01  5.73627e-03 
  1.37393e-02  9.35516e-01  5.54929e-03 
  1.44887e-02  9.38047e-01  5.37482e-03 
  1.52381e-02  9.28433e-01  5.21128e-03 
  1.59875e-02  9.19434e-01  5.05733e-03 
  1.67368e-02  9.05200e-01  4.91186e-03 
  1.74862e-02  8.97972e-01  4.77394e-03 
  1.82356e-02  8.89940e-01  4.64275e-03 
  1.89850e-02  8.72699e-01  4.51761e-03 
  1.97343e-02  8.59696e-01  4.39793e-03 
  2.04837e-02  8.47053e-01  4.28319e-03 
  2.12331e-02  8.19615e-01  4.17295e-03 
  2.19825e-02  8.16911e-01  4.06681e-03 
  2.27318e-02  8.00459e-01  3.96443e-03 
  2.34812e-02  7.84359e-01  3.86551e-03 
  2.42306e-02  7.71246e-01  3.76976e-03 
  2.49799e-02  7.64024e-01  3.67697e-03 
  2.57293e-02  7.51279e-01  3.58691e-03 
  2.64787e-02  7.29019e-01  3.49939e-03 
  2.72281e-02  7.14526e-01  3.41425e-03 
  2.79774e-02  6.96617e-01  3.33132e-03 
  2.87268e-02  6.76834e-01  3.25048e-03 
  2.94762e-02  6.70593e-01  3.17160e-03 
  3.02256e-02  6.49112e-01  3.09457e-03 
  3.09749e-02  6.35548e-01  3.01928e-03 
  3.17243e-02  6.23908e-01  2.94565e-03 
  3.24737e-02  6.03288e-01  2.87359e-03 
  3.32231e-02  5.84981e-01  2.80302e-03 
  3.39724e-02  5.70128e-01  2.73389e-03 
  3.47218e-02  5.53935e-01  2.66612e-03 
  3.54712e-02  5.42855e-01  2.59966e-03 
  3.62206e-02  5.22768e-01  2.53445e-03 
  3.69699e-02  5.07250e-01  2.47046e-03 
  3.77193e-02  4.97532e-01  2.40763e-03 
  3.84687e-02  4.84059e-01  2.34593e-03 
  3.92180e-02  4.61626e-01  2.28532e-03 
  3.99674e-02  4.44363e-01  2.22577e-03 
  4.07168e-02  4.25648e-01  2.16724e-03 
  4.14662e-02  4.15856e-01  2.10971e-03 
  4.22155e-02  4.03372e-01  2.05316e-03 
  4.29649e-02  3.83045e-01  1.99755e-03 
  4.37143e-02  3.68003e-01  1.94288e-03 
  4.44637e-02  3.55385e-01  1.88911e-03 
  4.52130e-02  3.41775e-01  1.83624e-03 
  4.59624e-02  3.25804e-01  1.78424e-03 
  4.67118e-02  3.13847e-01  1.73310e-03 
  4.74612e-02  2.99368e-01  1.68281e-03 
  4.82105e-02  2.88502e-01  1.63334e-03 
  4.89599e-02  2.78587e-01  1.58470e-03 
  4.97093e-02  2.62723e-01  1.53687e-03 
  5.04586e-02  2.55055e-01  1.48983e-03 
  5.12080e-02  2.39459e-01  1.44359e-03 
  5.19574e-02  2.27574e-01  1.39813e-03 
  5.27068e-02  2.20087e-01  1.35344e-03 
  5.34561e-02  2.05170e-01  1.30951e-03 
  5.42055e-02  1.94831e-01  1.26635e-03 
  5.49549e-02  1.86521e-01  1.22393e-03 
  5.57043e-02  1.74050e-01  1.18227e-03 
  5.64536e-02  1.64880e-01  1.14134e-03 
  5.72030e-02  1.54303e-01  1.10115e-03 
  5.79524e-02  1.46800e-01  1.06169e-03 
  5.87018e-02  1.38321e-01  1.02295e-03 
  5.94511e-02  1.27945e-01  9.84935e-04 
  6.02005e-02  1.20946e-01  9.47637e-04 
  6.09499e-02  1.12520e-01  9.11052e-04 
  6.16992e-02  1.05730e-01  8.75176e-04 
  6.24486e-02  9.78033e-02  8.40005e-04 
  6.31980e-02  9.24536e-02  8.05536e-04 
  6.39474e-02  8.57467e-02  7.71765e-04 
  6.46967e-02  7.88716e-02  7.38689e-04 
  6.54461e-02  7.24641e-02  7.06304e-04 
  6.61955e-02  6.77393e-02  6.74607e-04 
  6.69449e-02  6.28639e-02  6.43595e-04 
