# r                 p(r)             
  5.23049e-01       4.33995e-04      
  1.56915e+00       2.89692e-03      
  2.61525e+00       8.63650e-03      
  3.66134e+00       1.54611e-02      
  4.70744e+00       2.58118e-02      
  5.75354e+00       3.79745e-02      
  6.79964e+00       5.33271e-02      
  7.84574e+00       6.81480e-02      
  8.89184e+00       8.78297e-02      
  9.93793e+00       1.06133e-01      
  1.09840e+01       1.27410e-01      
  1.20301e+01       1.51453e-01      
  1.30762e+01       1.74433e-01      
  1.41223e+01       2.01873e-01      
  1.51684e+01       2.24788e-01      
  1.62145e+01       2.52618e-01      
  1.72606e+01       2.78484e-01      
  1.83067e+01       3.10241e-01      
  1.93528e+01       3.34469e-01      
  2.03989e+01       3.67344e-01      
  2.14450e+01       3.97355e-01      
  2.24911e+01       4.25933e-01      
  2.35372e+01       4.55543e-01      
  2.45833e+01       4.86313e-01      
  2.56294e+01       5.14490e-01      
  2.66755e+01       5.43861e-01      
  2.77216e+01       5.77007e-01      
  2.87677e+01       6.08222e-01      
  2.98138e+01       6.35379e-01      
  3.08599e+01       6.67462e-01      
  3.19060e+01       6.91310e-01      
  3.29521e+01       7.24446e-01      
  3.39982e+01       7.44345e-01      
  3.50443e+01       7.78782e-01      
  3.60904e+01       7.99277e-01      
  3.71365e+01       8.18373e-01      
  3.81826e+01       8.37903e-01      
  3.92287e+01       8.65407e-01      
  4.02748e+01       8.83407e-01      
  4.13209e+01       8.98782e-01      
  4.23670e+01       9.13819e-01      
  4.34131e+01       9.36550e-01      
  4.44592e+01       9.44069e-01      
  4.55053e+01       9.53530e-01      
  4.65514e+01       9.67852e-01      
  4.75975e+01       9.72723e-01      
  4.86436e+01       9.87826e-01      
  4.96897e+01       9.93794e-01      
  5.07358e+01       9.95541e-01      
  5.17819e+01       9.94977e-01      
  5.28280e+01       1.00000e+00      
  5.38741e+01       9.91331e-01      
  5.49202e+01       9.89975e-01      
  5.59663e+01       9.87121e-01      
  5.70124e+01       9.80752e-01      
  5.80585e+01       9.70868e-01      
  5.91046e+01       9.60713e-01      
  6.01507e+01       9.49982e-01      
  6.11968e+01       9.33881e-01      
  6.22428e+01       9.16966e-01      
  6.32889e+01       9.04966e-01      
  6.43350e+01       8.81812e-01      
  6.53811e+01       8.64301e-01      
  6.64272e+01       8.46073e-01      
  6.74733e+01       8.22409e-01      
  6.85194e+01       7.97954e-01      
  6.95655e+01       7.76482e-01      
  7.06116e+01       7.48988e-01      
  7.16577e+01       7.17762e-01      
  7.27038e+01       6.90692e-01      
  7.37499e+01       6.57806e-01      
  7.47960e+01       6.29542e-01      
  7.58421e+01       5.95690e-01      
  7.68882e+01       5.64953e-01      
  7.79343e+01       5.38696e-01      
  7.89804e+01       4.97184e-01      
  8.00265e+01       4.66360e-01      
  8.10726e+01       4.30436e-01      
  8.21187e+01       3.93948e-01      
  8.31648e+01       3.54780e-01      
  8.42109e+01       3.27210e-01      
  8.52570e+01       2.92523e-01      
  8.63031e+01       2.57912e-01      
  8.73492e+01       2.24668e-01      
  8.83953e+01       1.98618e-01      
  8.94414e+01       1.70451e-01      
  9.04875e+01       1.41840e-01      
  9.15336e+01       1.15963e-01      
  9.25797e+01       9.36018e-02      
  9.36258e+01       7.03723e-02      
  9.46719e+01       5.17647e-02      
  9.57180e+01       3.27124e-02      
  9.67641e+01       1.84122e-02      
  9.78102e+01       8.62565e-03      
  9.88563e+01       2.70162e-03      
  9.99024e+01       1.08499e-04      
  1.00948e+02       0.00000e+00      
  1.01995e+02       0.00000e+00      
  1.03041e+02       0.00000e+00      
  1.04087e+02       0.00000e+00      
