# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  1.34969e+01  7.73928e-02 
  2.25063e-03  1.34096e+01  5.15013e-02 
  3.50125e-03  1.32779e+01  4.11685e-02 
  4.75188e-03  1.32526e+01  3.51873e-02 
  6.00251e-03  1.30024e+01  3.11336e-02 
  7.25313e-03  1.28568e+01  2.81282e-02 
  8.50376e-03  1.27351e+01  2.57655e-02 
  9.75439e-03  1.24643e+01  2.38291e-02 
  1.10050e-02  1.21914e+01  2.21921e-02 
  1.22556e-02  1.19076e+01  2.07744e-02 
  1.35063e-02  1.15739e+01  1.95230e-02 
  1.47569e-02  1.12252e+01  1.84009e-02 
  1.60075e-02  1.08996e+01  1.73819e-02 
  1.72581e-02  1.04932e+01  1.64467e-02 
  1.85088e-02  1.00952e+01  1.55807e-02 
  1.97594e-02  9.68933e+00  1.47729e-02 
  2.10100e-02  9.28162e+00  1.40147e-02 
  2.22607e-02  8.84276e+00  1.32994e-02 
  2.35113e-02  8.42129e+00  1.26214e-02 
  2.47619e-02  7.99405e+00  1.19766e-02 
  2.60125e-02  7.53781e+00  1.13614e-02 
  2.72632e-02  7.09616e+00  1.07731e-02 
  2.85138e-02  6.68438e+00  1.02092e-02 
  2.97644e-02  6.25562e+00  9.66793e-03 
  3.10150e-02  5.84167e+00  9.14769e-03 
  3.22657e-02  5.42890e+00  8.64717e-03 
  3.35163e-02  5.02095e+00  8.16530e-03 
  3.47669e-02  4.62882e+00  7.70119e-03 
  3.60175e-02  4.26063e+00  7.25408e-03 
  3.72682e-02  3.88498e+00  6.82335e-03 
  3.85188e-02  3.55472e+00  6.40848e-03 
  3.97694e-02  3.23436e+00  6.00902e-03 
  4.10201e-02  2.90797e+00  5.62461e-03 
  4.22707e-02  2.61048e+00  5.25491e-03 
  4.35213e-02  2.33810e+00  4.89967e-03 
  4.47719e-02  2.08949e+00  4.55864e-03 
  4.60226e-02  1.85022e+00  4.23162e-03 
  4.72732e-02  1.62437e+00  3.91845e-03 
  4.85238e-02  1.42314e+00  3.61896e-03 
  4.97744e-02  1.24172e+00  3.33302e-03 
  5.10251e-02  1.06222e+00  3.06051e-03 
  5.22757e-02  9.22602e-01  2.80135e-03 
  5.35263e-02  7.83565e-01  2.55544e-03 
  5.47769e-02  6.55463e-01  2.32274e-03 
  5.60276e-02  5.48215e-01  2.10323e-03 
  5.72782e-02  4.60583e-01  1.89691e-03 
  5.85288e-02  3.75226e-01  1.70386e-03 
  5.97794e-02  3.07226e-01  1.52420e-03 
  6.10301e-02  2.45424e-01  1.35814e-03 
  6.22807e-02  1.99448e-01  1.20603e-03 
  6.35313e-02  1.57841e-01  1.06832e-03 
  6.47820e-02  1.26420e-01  9.45658e-04 
  6.60326e-02  9.89996e-02  8.38834e-04 
  6.72832e-02  8.01650e-02  7.48751e-04 
  6.85338e-02  6.48619e-02  6.76245e-04 
  6.97845e-02  5.47198e-02  6.21780e-04 
  7.10351e-02  4.91042e-02  5.85032e-04 
  7.22857e-02  4.63236e-02  5.64573e-04 
  7.35363e-02  4.52245e-02  5.57883e-04 
  7.47870e-02  4.65824e-02  5.61760e-04 
  7.60376e-02  4.86937e-02  5.72896e-04 
  7.72882e-02  5.43660e-02  5.88339e-04 
  7.85388e-02  5.90443e-02  6.05713e-04 
  7.97895e-02  6.39778e-02  6.23234e-04 
  8.10401e-02  6.90667e-02  6.39635e-04 
  8.22907e-02  7.30177e-02  6.54052e-04 
  8.35414e-02  7.83028e-02  6.65932e-04 
  8.47920e-02  8.18890e-02  6.74943e-04 
  8.60426e-02  8.43798e-02  6.80920e-04 
  8.72932e-02  8.50822e-02  6.83816e-04 
  8.85439e-02  8.67415e-02  6.83671e-04 
  8.97945e-02  8.86502e-02  6.80587e-04 
  9.10451e-02  8.66773e-02  6.74712e-04 
  9.22957e-02  8.62369e-02  6.66228e-04 
  9.35464e-02  8.52315e-02  6.55339e-04 
  9.47970e-02  8.22068e-02  6.42265e-04 
  9.60476e-02  7.77723e-02  6.27241e-04 
  9.72982e-02  7.56826e-02  6.10505e-04 
  9.85489e-02  7.13325e-02  5.92300e-04 
  9.97995e-02  6.76865e-02  5.72873e-04 
  1.01050e-01  6.41629e-02  5.52468e-04 
  1.02301e-01  5.88589e-02  5.31330e-04 
  1.03551e-01  5.42685e-02  5.09698e-04 
  1.04802e-01  5.07803e-02  4.87812e-04 
  1.06053e-01  4.57523e-02  4.65903e-04 
  1.07303e-01  4.21993e-02  4.44200e-04 
  1.08554e-01  3.82174e-02  4.22924e-04 
  1.09805e-01  3.38599e-02  4.02289e-04 
  1.11055e-01  3.09359e-02  3.82498e-04 
  1.12306e-01  2.73826e-02  3.63745e-04 
  1.13556e-01  2.42456e-02  3.46204e-04 
  1.14807e-01  2.21078e-02  3.30033e-04 
  1.16058e-01  1.99831e-02  3.15360e-04 
  1.17308e-01  1.78484e-02  3.02285e-04 
  1.18559e-01  1.71511e-02  2.90867e-04 
  1.19810e-01  1.57763e-02  2.81124e-04 
  1.21060e-01  1.43544e-02  2.73027e-04 
  1.22311e-01  1.32198e-02  2.66500e-04 
  1.23561e-01  1.27770e-02  2.61427e-04 
  1.24812e-01  1.28907e-02  2.57656e-04 
  1.26063e-01  1.24906e-02  2.55008e-04 
  1.27313e-01  1.26798e-02  2.53293e-04 
  1.28564e-01  1.27596e-02  2.52314e-04 
  1.29815e-01  1.23364e-02  2.51881e-04 
  1.31065e-01  1.26163e-02  2.51817e-04 
  1.32316e-01  1.27127e-02  2.51962e-04 
  1.33566e-01  1.28991e-02  2.52176e-04 
  1.34817e-01  1.36323e-02  2.52341e-04 
  1.36068e-01  1.39347e-02  2.52362e-04 
  1.37318e-01  1.34887e-02  2.52160e-04 
  1.38569e-01  1.41894e-02  2.51679e-04 
  1.39820e-01  1.41088e-02  2.50879e-04 
  1.41070e-01  1.36501e-02  2.49732e-04 
  1.42321e-01  1.35784e-02  2.48227e-04 
  1.43571e-01  1.34749e-02  2.46363e-04 
  1.44822e-01  1.33100e-02  2.44148e-04 
  1.46073e-01  1.33091e-02  2.41598e-04 
  1.47323e-01  1.31670e-02  2.38738e-04 
  1.48574e-01  1.25993e-02  2.35596e-04 
  1.49825e-01  1.22283e-02  2.32207e-04 
  1.51075e-01  1.15188e-02  2.28606e-04 
  1.52326e-01  1.13158e-02  2.24834e-04 
  1.53576e-01  1.11313e-02  2.20931e-04 
  1.54827e-01  1.04580e-02  2.16939e-04 
  1.56078e-01  1.00911e-02  2.12898e-04 
  1.57328e-01  9.43616e-03  2.08849e-04 
  1.58579e-01  8.67486e-03  2.04830e-04 
  1.59830e-01  8.56555e-03  2.00878e-04 
  1.61080e-01  8.17574e-03  1.97026e-04 
  1.62331e-01  7.67565e-03  1.93304e-04 
  1.63581e-01  7.44946e-03  1.89738e-04 
  1.64832e-01  7.07655e-03  1.86350e-04 
  1.66083e-01  6.65793e-03  1.83155e-04 
  1.67333e-01  6.18779e-03  1.80166e-04 
  1.68584e-01  5.98560e-03  1.77391e-04 
  1.69835e-01  5.44590e-03  1.74831e-04 
  1.71085e-01  5.30629e-03  1.72485e-04 
  1.72336e-01  5.46141e-03  1.70346e-04 
  1.73586e-01  5.18907e-03  1.68405e-04 
  1.74837e-01  4.93610e-03  1.66648e-04 
  1.76088e-01  4.76685e-03  1.65059e-04 
  1.77338e-01  4.72092e-03  1.63622e-04 
  1.78589e-01  4.85853e-03  1.62318e-04 
  1.79840e-01  5.04317e-03  1.61127e-04 
  1.81090e-01  4.63919e-03  1.60030e-04 
  1.82341e-01  4.51939e-03  1.59009e-04 
  1.83591e-01  4.31820e-03  1.58045e-04 
  1.84842e-01  4.45682e-03  1.57122e-04 
  1.86093e-01  4.33102e-03  1.56225e-04 
  1.87343e-01  4.15389e-03  1.55341e-04 
  1.88594e-01  4.07518e-03  1.54458e-04 
  1.89845e-01  4.21954e-03  1.53565e-04 
  1.91095e-01  4.10165e-03  1.52656e-04 
  1.92346e-01  3.93550e-03  1.51724e-04 
  1.93596e-01  4.13332e-03  1.50765e-04 
  1.94847e-01  3.76575e-03  1.49776e-04 
  1.96098e-01  3.89493e-03  1.48755e-04 
  1.97348e-01  3.76412e-03  1.47703e-04 
  1.98599e-01  3.63532e-03  1.46621e-04 
  1.99850e-01  3.71847e-03  1.45511e-04 
  2.01100e-01  3.66718e-03  1.44376e-04 
  2.02351e-01  3.42012e-03  1.43219e-04 
  2.03602e-01  3.35241e-03  1.42045e-04 
  2.04852e-01  3.48665e-03  1.40857e-04 
  2.06103e-01  3.13448e-03  1.39662e-04 
  2.07353e-01  3.05940e-03  1.38463e-04 
  2.08604e-01  2.99482e-03  1.37265e-04 
  2.09855e-01  2.73466e-03  1.36073e-04 
  2.11105e-01  2.70762e-03  1.34890e-04 
  2.12356e-01  2.75767e-03  1.33722e-04 
  2.13607e-01  2.70645e-03  1.32571e-04 
  2.14857e-01  2.48359e-03  1.31441e-04 
  2.16108e-01  2.07144e-03  1.30335e-04 
  2.17358e-01  2.27145e-03  1.29254e-04 
  2.18609e-01  2.23017e-03  1.28201e-04 
  2.19860e-01  2.17661e-03  1.27177e-04 
  2.21110e-01  2.21189e-03  1.26183e-04 
  2.22361e-01  2.04669e-03  1.25220e-04 
  2.23612e-01  1.94269e-03  1.24287e-04 
  2.24862e-01  1.69814e-03  1.23385e-04 
  2.26113e-01  1.86626e-03  1.22513e-04 
  2.27363e-01  1.63840e-03  1.21670e-04 
  2.28614e-01  1.65605e-03  1.20855e-04 
  2.29865e-01  1.64974e-03  1.20068e-04 
  2.31115e-01  1.62812e-03  1.19307e-04 
  2.32366e-01  1.38800e-03  1.18572e-04 
  2.33617e-01  1.52539e-03  1.17860e-04 
  2.34867e-01  1.23987e-03  1.17170e-04 
  2.36118e-01  1.33327e-03  1.16502e-04 
  2.37368e-01  1.21540e-03  1.15855e-04 
  2.38619e-01  1.33174e-03  1.15227e-04 
  2.39870e-01  1.36584e-03  1.14617e-04 
  2.41120e-01  1.28466e-03  1.14025e-04 
  2.42371e-01  1.18929e-03  1.13449e-04 
  2.43622e-01  1.08242e-03  1.12890e-04 
  2.44872e-01  1.18642e-03  1.12347e-04 
  2.46123e-01  1.05240e-03  1.11819e-04 
  2.47373e-01  9.39890e-04  1.11306e-04 
  2.48624e-01  9.56054e-04  1.10808e-04 
  2.49875e-01  1.14347e-03  1.10324e-04 
  2.51125e-01  8.30760e-04  1.09854e-04 
  2.52376e-01  8.79818e-04  1.09399e-04 
  2.53627e-01  1.03870e-03  1.08957e-04 
  2.54877e-01  1.01965e-03  1.08528e-04 
  2.56128e-01  8.66505e-04  1.08113e-04 
  2.57378e-01  7.89667e-04  1.07711e-04 
  2.58629e-01  1.01748e-03  1.07322e-04 
  2.59880e-01  5.83542e-04  1.06945e-04 
  2.61130e-01  6.44299e-04  1.06580e-04 
  2.62381e-01  7.85953e-04  1.06227e-04 
  2.63632e-01  5.93174e-04  1.05884e-04 
  2.64882e-01  9.43921e-04  1.05552e-04 
  2.66133e-01  7.50444e-04  1.05229e-04 
  2.67383e-01  8.55550e-04  1.04916e-04 
  2.68634e-01  8.71733e-04  1.04610e-04 
  2.69885e-01  6.40739e-04  1.04312e-04 
  2.71135e-01  7.01832e-04  1.04021e-04 
  2.72386e-01  8.08315e-04  1.03735e-04 
  2.73637e-01  6.35339e-04  1.03455e-04 
  2.74887e-01  7.66436e-04  1.03179e-04 
  2.76138e-01  7.73677e-04  1.02906e-04 
  2.77388e-01  6.72280e-04  1.02637e-04 
  2.78639e-01  6.91671e-04  1.02369e-04 
  2.79890e-01  7.57535e-04  1.02103e-04 
  2.81140e-01  6.99186e-04  1.01838e-04 
  2.82391e-01  6.91532e-04  1.01573e-04 
  2.83642e-01  7.36631e-04  1.01308e-04 
  2.84892e-01  5.31098e-04  1.01042e-04 
  2.86143e-01  6.42893e-04  1.00775e-04 
  2.87393e-01  4.69017e-04  1.00508e-04 
  2.88644e-01  5.86769e-04  1.00239e-04 
  2.89895e-01  7.06169e-04  9.99681e-05 
  2.91145e-01  7.56598e-04  9.96959e-05 
  2.92396e-01  6.87567e-04  9.94222e-05 
  2.93647e-01  6.36118e-04  9.91470e-05 
  2.94897e-01  5.46307e-04  9.88702e-05 
  2.96148e-01  4.33216e-04  9.85922e-05 
  2.97398e-01  4.31013e-04  9.83130e-05 
  2.98649e-01  5.20240e-04  9.80329e-05 
  2.99900e-01  5.59380e-04  9.77520e-05 
  3.01150e-01  4.62341e-04  9.74707e-05 
  3.02401e-01  5.60302e-04  9.71892e-05 
  3.03652e-01  4.79908e-04  9.69077e-05 
  3.04902e-01  4.83615e-04  9.66265e-05 
  3.06153e-01  5.59139e-04  9.63459e-05 
  3.07404e-01  4.11568e-04  9.60661e-05 
  3.08654e-01  3.63394e-04  9.57874e-05 
  3.09905e-01  4.66219e-04  9.55101e-05 
  3.11155e-01  4.86497e-04  9.52342e-05 
  3.12406e-01  3.05825e-04  9.49600e-05 
  3.13657e-01  2.75760e-04  9.46877e-05 
  3.14907e-01  2.96938e-04  9.44174e-05 
  3.16158e-01  4.34112e-04  9.41493e-05 
  3.17409e-01  4.79479e-04  9.38834e-05 
  3.18659e-01  3.68545e-04  9.36197e-05 
