# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  1.01749e+00  1.44914e-02 
  2.25063e-03  1.00522e+00  9.65028e-03 
  3.50125e-03  9.84865e-01  7.72397e-03 
  4.75188e-03  9.90267e-01  6.61390e-03 
  6.00251e-03  9.79367e-01  5.86597e-03 
  7.25313e-03  9.79865e-01  5.31540e-03 
  8.50376e-03  9.61785e-01  4.88610e-03 
  9.75439e-03  9.55935e-01  4.53745e-03 
  1.10050e-02  9.35005e-01  4.24556e-03 
  1.22556e-02  9.27549e-01  3.99534e-03 
  1.35063e-02  9.15138e-01  3.77673e-03 
  1.47569e-02  8.99033e-01  3.58277e-03 
  1.60075e-02  8.77767e-01  3.40845e-03 
  1.72581e-02  8.57160e-01  3.25005e-03 
  1.85088e-02  8.45176e-01  3.10478e-03 
  1.97594e-02  8.26190e-01  2.97050e-03 
  2.10100e-02  7.99420e-01  2.84551e-03 
  2.22607e-02  7.73521e-01  2.72848e-03 
  2.35113e-02  7.53743e-01  2.61832e-03 
  2.47619e-02  7.25321e-01  2.51417e-03 
  2.60125e-02  7.07685e-01  2.41530e-03 
  2.72632e-02  6.84627e-01  2.32113e-03 
  2.85138e-02  6.60623e-01  2.23116e-03 
  2.97644e-02  6.31553e-01  2.14498e-03 
  3.10150e-02  6.08553e-01  2.06224e-03 
  3.22657e-02  5.82913e-01  1.98264e-03 
  3.35163e-02  5.58835e-01  1.90594e-03 
  3.47669e-02  5.32142e-01  1.83193e-03 
  3.60175e-02  5.10376e-01  1.76043e-03 
  3.72682e-02  4.80548e-01  1.69128e-03 
  3.85188e-02  4.57320e-01  1.62435e-03 
  3.97694e-02  4.33956e-01  1.55953e-03 
  4.10201e-02  4.08930e-01  1.49672e-03 
  4.22707e-02  3.83454e-01  1.43584e-03 
  4.35213e-02  3.63138e-01  1.37683e-03 
  4.47719e-02  3.39079e-01  1.31962e-03 
  4.60226e-02  3.16980e-01  1.26417e-03 
  4.72732e-02  2.96772e-01  1.21043e-03 
  4.85238e-02  2.75189e-01  1.15837e-03 
  4.97744e-02  2.55083e-01  1.10795e-03 
  5.10251e-02  2.34894e-01  1.05917e-03 
  5.22757e-02  2.16638e-01  1.01201e-03 
  5.35263e-02  1.99347e-01  9.66438e-04 
  5.47769e-02  1.81876e-01  9.22463e-04 
  5.60276e-02  1.66289e-01  8.80075e-04 
  5.72782e-02  1.51610e-01  8.39272e-04 
  5.85288e-02  1.37025e-01  8.00057e-04 
  5.97794e-02  1.23603e-01  7.62434e-04 
  6.10301e-02  1.10834e-01  7.26410e-04 
  6.22807e-02  9.95772e-02  6.91992e-04 
  6.35313e-02  8.82918e-02  6.59190e-04 
  6.47820e-02  7.80042e-02  6.28017e-04 
  6.60326e-02  6.89829e-02  5.98482e-04 
  6.72832e-02  5.88230e-02  5.70598e-04 
  6.85338e-02  5.18607e-02  5.44375e-04 
  6.97845e-02  4.44844e-02  5.19820e-04 
  7.10351e-02  3.78816e-02  4.96939e-04 
  7.22857e-02  3.17165e-02  4.75733e-04 
  7.35363e-02  2.67264e-02  4.56195e-04 
  7.47870e-02  2.20279e-02  4.38313e-04 
  7.60376e-02  1.82646e-02  4.22064e-04 
  7.72882e-02  1.43902e-02  4.07417e-04 
  7.85388e-02  1.14080e-02  3.94329e-04 
  7.97895e-02  8.19633e-03  3.82742e-04 
  8.10401e-02  6.38063e-03  3.72591e-04 
  8.22907e-02  4.73412e-03  3.63794e-04 
  8.35414e-02  3.02165e-03  3.56264e-04 
  8.47920e-02  1.72311e-03  3.49901e-04 
  8.60426e-02  9.57680e-04  3.44600e-04 
  8.72932e-02  8.45620e-04  3.40251e-04 
  8.85439e-02  2.64255e-04  3.36744e-04 
  8.97945e-02  2.40485e-04  3.33968e-04 
  9.10451e-02  -1.72589e-04 3.31815e-04 
  9.22957e-02  5.90663e-04  3.30184e-04 
  9.35464e-02  3.60841e-04  3.28977e-04 
  9.47970e-02  1.13868e-03  3.28107e-04 
  9.60476e-02  1.86106e-03  3.27491e-04 
  9.72982e-02  1.75528e-03  3.27058e-04 
  9.85489e-02  2.44471e-03  3.26744e-04 
  9.97995e-02  2.64910e-03  3.26491e-04 
  1.01050e-01  3.62954e-03  3.26253e-04 
  1.02301e-01  4.98069e-03  3.25989e-04 
  1.03551e-01  5.52607e-03  3.25665e-04 
  1.04802e-01  5.51665e-03  3.25252e-04 
  1.06053e-01  5.46277e-03  3.24730e-04 
  1.07303e-01  6.46322e-03  3.24082e-04 
  1.08554e-01  6.79181e-03  3.23295e-04 
  1.09805e-01  6.52215e-03  3.22362e-04 
  1.11055e-01  7.28910e-03  3.21280e-04 
  1.12306e-01  7.28270e-03  3.20046e-04 
  1.13556e-01  7.70536e-03  3.18663e-04 
  1.14807e-01  7.61222e-03  3.17136e-04 
  1.16058e-01  7.68847e-03  3.15470e-04 
  1.17308e-01  7.58566e-03  3.13675e-04 
  1.18559e-01  8.38068e-03  3.11759e-04 
  1.19810e-01  7.68721e-03  3.09734e-04 
  1.21060e-01  7.70216e-03  3.07611e-04 
  1.22311e-01  7.04129e-03  3.05404e-04 
  1.23561e-01  6.76405e-03  3.03125e-04 
  1.24812e-01  6.75607e-03  3.00788e-04 
  1.26063e-01  5.93943e-03  2.98407e-04 
  1.27313e-01  5.89625e-03  2.95995e-04 
  1.28564e-01  5.23505e-03  2.93565e-04 
  1.29815e-01  4.69347e-03  2.91130e-04 
  1.31065e-01  4.91593e-03  2.88704e-04 
  1.32316e-01  4.32907e-03  2.86297e-04 
  1.33566e-01  4.28680e-03  2.83921e-04 
  1.34817e-01  3.35313e-03  2.81587e-04 
  1.36068e-01  3.15063e-03  2.79303e-04 
  1.37318e-01  3.23524e-03  2.77078e-04 
  1.38569e-01  1.95878e-03  2.74920e-04 
  1.39820e-01  2.20466e-03  2.72835e-04 
  1.41070e-01  1.88918e-03  2.70827e-04 
  1.42321e-01  1.13000e-03  2.68902e-04 
  1.43571e-01  1.13854e-03  2.67061e-04 
  1.44822e-01  1.28339e-03  2.65308e-04 
  1.46073e-01  5.41774e-04  2.63641e-04 
  1.47323e-01  4.15225e-04  2.62063e-04 
  1.48574e-01  4.22927e-04  2.60570e-04 
  1.49825e-01  6.69337e-04  2.59161e-04 
  1.51075e-01  -4.61120e-04 2.57834e-04 
  1.52326e-01  3.17799e-04  2.56585e-04 
  1.53576e-01  -2.99188e-04 2.55408e-04 
  1.54827e-01  6.17768e-05  2.54301e-04 
  1.56078e-01  1.58511e-04  2.53257e-04 
  1.57328e-01  9.21830e-05  2.52272e-04 
  1.58579e-01  2.75202e-05  2.51339e-04 
  1.59830e-01  2.25531e-04  2.50453e-04 
  1.61080e-01  2.92714e-04  2.49607e-04 
  1.62331e-01  7.31756e-04  2.48797e-04 
  1.63581e-01  5.99632e-04  2.48017e-04 
  1.64832e-01  5.94675e-04  2.47260e-04 
  1.66083e-01  -4.22892e-05 2.46522e-04 
  1.67333e-01  6.18759e-04  2.45799e-04 
  1.68584e-01  5.37191e-04  2.45084e-04 
  1.69835e-01  9.94571e-04  2.44375e-04 
  1.71085e-01  7.87004e-04  2.43667e-04 
  1.72336e-01  8.63471e-04  2.42957e-04 
  1.73586e-01  7.50732e-04  2.42242e-04 
  1.74837e-01  1.17455e-03  2.41519e-04 
  1.76088e-01  1.73619e-03  2.40788e-04 
  1.77338e-01  1.41035e-03  2.40045e-04 
  1.78589e-01  1.20009e-03  2.39289e-04 
  1.79840e-01  1.11188e-03  2.38521e-04 
  1.81090e-01  1.00606e-03  2.37740e-04 
  1.82341e-01  1.43525e-03  2.36945e-04 
  1.83591e-01  9.07957e-04  2.36137e-04 
  1.84842e-01  1.22759e-03  2.35316e-04 
  1.86093e-01  1.25457e-03  2.34484e-04 
  1.87343e-01  1.13044e-03  2.33642e-04 
  1.88594e-01  7.96088e-04  2.32791e-04 
  1.89845e-01  1.01260e-03  2.31932e-04 
  1.91095e-01  1.14021e-03  2.31068e-04 
  1.92346e-01  1.04749e-03  2.30200e-04 
  1.93596e-01  8.99118e-04  2.29330e-04 
  1.94847e-01  1.02208e-03  2.28459e-04 
  1.96098e-01  1.13288e-03  2.27591e-04 
  1.97348e-01  5.30700e-04  2.26726e-04 
  1.98599e-01  8.94220e-04  2.25866e-04 
  1.99850e-01  6.86777e-04  2.25014e-04 
  2.01100e-01  8.61888e-04  2.24171e-04 
  2.02351e-01  4.11155e-04  2.23339e-04 
  2.03602e-01  4.69958e-04  2.22519e-04 
  2.04852e-01  3.82498e-04  2.21711e-04 
  2.06103e-01  2.96866e-04  2.20919e-04 
  2.07353e-01  1.16132e-04  2.20141e-04 
  2.08604e-01  2.22999e-05  2.19380e-04 
  2.09855e-01  3.78151e-04  2.18635e-04 
  2.11105e-01  1.82897e-04  2.17907e-04 
  2.12356e-01  -1.30814e-04 2.17197e-04 
  2.13607e-01  1.79268e-04  2.16503e-04 
  2.14857e-01  1.33573e-04  2.15827e-04 
  2.16108e-01  -2.25879e-04 2.15167e-04 
  2.17358e-01  4.05051e-04  2.14524e-04 
  2.18609e-01  -7.03734e-05 2.13897e-04 
  2.19860e-01  -2.54821e-04 2.13284e-04 
  2.21110e-01  -2.05600e-04 2.12686e-04 
  2.22361e-01  -1.01310e-04 2.12101e-04 
  2.23612e-01  2.47409e-04  2.11529e-04 
  2.24862e-01  6.47679e-05  2.10968e-04 
  2.26113e-01  -1.21167e-04 2.10417e-04 
  2.27363e-01  -3.94234e-05 2.09875e-04 
  2.28614e-01  -7.12207e-06 2.09342e-04 
  2.29865e-01  2.72119e-05  2.08816e-04 
  2.31115e-01  2.80368e-04  2.08295e-04 
  2.32366e-01  -1.13302e-05 2.07780e-04 
  2.33617e-01  5.70775e-04  2.07268e-04 
  2.34867e-01  -1.85932e-04 2.06760e-04 
  2.36118e-01  1.76647e-04  2.06253e-04 
  2.37368e-01  6.25261e-04  2.05749e-04 
  2.38619e-01  -3.53316e-05 2.05245e-04 
  2.39870e-01  3.89326e-04  2.04741e-04 
  2.41120e-01  2.61105e-04  2.04238e-04 
  2.42371e-01  5.73536e-04  2.03733e-04 
  2.43622e-01  -1.82133e-04 2.03228e-04 
  2.44872e-01  3.12972e-04  2.02721e-04 
  2.46123e-01  2.19518e-04  2.02214e-04 
  2.47373e-01  3.26373e-04  2.01705e-04 
  2.48624e-01  4.16355e-04  2.01194e-04 
  2.49875e-01  1.02746e-04  2.00683e-04 
  2.51125e-01  4.10921e-04  2.00171e-04 
  2.52376e-01  1.47155e-04  1.99658e-04 
  2.53627e-01  2.16931e-04  1.99145e-04 
  2.54877e-01  4.46642e-04  1.98631e-04 
  2.56128e-01  -1.72073e-05 1.98119e-04 
  2.57378e-01  1.46034e-04  1.97607e-04 
  2.58629e-01  1.16243e-05  1.97097e-04 
  2.59880e-01  1.57897e-04  1.96588e-04 
  2.61130e-01  3.57401e-04  1.96082e-04 
  2.62381e-01  1.07917e-04  1.95578e-04 
  2.63632e-01  6.50422e-04  1.95078e-04 
  2.64882e-01  2.90294e-04  1.94582e-04 
  2.66133e-01  1.50046e-04  1.94090e-04 
  2.67383e-01  -2.06698e-04 1.93602e-04 
  2.68634e-01  1.91706e-05  1.93119e-04 
  2.69885e-01  7.29085e-05  1.92642e-04 
  2.71135e-01  5.77866e-05  1.92170e-04 
  2.72386e-01  -3.88634e-04 1.91703e-04 
  2.73637e-01  -8.78623e-05 1.91243e-04 
  2.74887e-01  -2.36152e-04 1.90789e-04 
  2.76138e-01  9.57671e-05  1.90341e-04 
  2.77388e-01  -2.19095e-04 1.89899e-04 
  2.78639e-01  -2.13929e-04 1.89463e-04 
  2.79890e-01  -1.88709e-04 1.89033e-04 
  2.81140e-01  2.71136e-04  1.88609e-04 
  2.82391e-01  -2.23909e-04 1.88191e-04 
  2.83642e-01  3.23330e-04  1.87778e-04 
  2.84892e-01  9.48859e-06  1.87371e-04 
  2.86143e-01  -1.10321e-04 1.86969e-04 
  2.87393e-01  1.44113e-04  1.86572e-04 
  2.88644e-01  -2.61258e-04 1.86179e-04 
  2.89895e-01  9.72823e-05  1.85791e-04 
  2.91145e-01  1.71700e-04  1.85406e-04 
  2.92396e-01  -1.32589e-04 1.85025e-04 
  2.93647e-01  3.61124e-04  1.84647e-04 
  2.94897e-01  -1.81934e-04 1.84272e-04 
  2.96148e-01  2.07227e-06  1.83900e-04 
  2.97398e-01  1.74485e-04  1.83529e-04 
  2.98649e-01  1.40777e-04  1.83161e-04 
  2.99900e-01  -1.95256e-05 1.82794e-04 
  3.01150e-01  1.38079e-04  1.82429e-04 
  3.02401e-01  1.34093e-04  1.82065e-04 
  3.03652e-01  1.39745e-04  1.81702e-04 
  3.04902e-01  4.00504e-04  1.81339e-04 
  3.06153e-01  7.75727e-05  1.80978e-04 
  3.07404e-01  3.58828e-04  1.80617e-04 
  3.08654e-01  -2.00303e-05 1.80256e-04 
  3.09905e-01  3.00622e-04  1.79896e-04 
  3.11155e-01  -1.09577e-05 1.79536e-04 
  3.12406e-01  2.22571e-04  1.79176e-04 
  3.13657e-01  2.91899e-04  1.78817e-04 
  3.14907e-01  2.37357e-04  1.78459e-04 
  3.16158e-01  2.83981e-04  1.78101e-04 
  3.17409e-01  1.22924e-04  1.77744e-04 
  3.18659e-01  5.40900e-05  1.77387e-04 
  3.19910e-01  3.84696e-05  1.77032e-04 
  3.21160e-01  4.17052e-04  1.76678e-04 
  3.22411e-01  1.72194e-04  1.76325e-04 
  3.23662e-01  7.28992e-05  1.75973e-04 
  3.24912e-01  -9.98771e-05 1.75623e-04 
  3.26163e-01  1.38186e-04  1.75275e-04 
  3.27414e-01  8.25446e-05  1.74928e-04 
  3.28664e-01  1.48934e-04  1.74584e-04 
  3.29915e-01  -2.02266e-05 1.74242e-04 
  3.31165e-01  1.03915e-05  1.73902e-04 
  3.32416e-01  1.83230e-04  1.73565e-04 
  3.33667e-01  -4.98997e-05 1.73230e-04 
  3.34917e-01  -5.30211e-05 1.72898e-04 
  3.36168e-01  4.50659e-05  1.72569e-04 
  3.37419e-01  -4.15326e-05 1.72243e-04 
  3.38669e-01  8.74610e-05  1.71919e-04 
  3.39920e-01  5.89370e-05  1.71598e-04 
  3.41170e-01  -1.59112e-04 1.71281e-04 
  3.42421e-01  4.46723e-06  1.70966e-04 
  3.43672e-01  -3.89013e-05 1.70654e-04 
  3.44922e-01  2.54066e-04  1.70344e-04 
  3.46173e-01  2.97092e-06  1.70038e-04 
  3.47424e-01  2.23244e-04  1.69734e-04 
  3.48674e-01  4.50280e-04  1.69432e-04 
  3.49925e-01  5.94585e-05  1.69133e-04 
  3.51175e-01  5.06856e-05  1.68836e-04 
  3.52426e-01  9.06541e-05  1.68542e-04 
  3.53677e-01  1.43042e-04  1.68249e-04 
  3.54927e-01  -1.07312e-04 1.67958e-04 
  3.56178e-01  1.07531e-04  1.67670e-04 
  3.57429e-01  -3.81563e-04 1.67382e-04 
  3.58679e-01  6.38166e-05  1.67096e-04 
  3.59930e-01  6.33126e-05  1.66812e-04 
  3.61180e-01  -1.54153e-04 1.66529e-04 
  3.62431e-01  2.61899e-05  1.66247e-04 
  3.63682e-01  -1.06911e-04 1.65966e-04 
  3.64932e-01  4.29900e-04  1.65686e-04 
  3.66183e-01  1.38505e-04  1.65406e-04 
  3.67434e-01  -1.81249e-05 1.65128e-04 
  3.68684e-01  1.12343e-04  1.64850e-04 
  3.69935e-01  3.65772e-04  1.64572e-04 
  3.71185e-01  -4.04475e-05 1.64295e-04 
  3.72436e-01  1.23871e-05  1.64019e-04 
  3.73687e-01  -4.68874e-05 1.63743e-04 
  3.74937e-01  -5.29673e-05 1.63468e-04 
  3.76188e-01  2.64893e-04  1.63193e-04 
  3.77439e-01  2.56996e-04  1.62919e-04 
  3.78689e-01  1.80494e-04  1.62645e-04 
  3.79940e-01  2.15627e-04  1.62372e-04 
  3.81190e-01  1.67675e-05  1.62100e-04 
  3.82441e-01  6.11511e-05  1.61828e-04 
  3.83692e-01  1.76828e-04  1.61557e-04 
  3.84942e-01  2.42014e-04  1.61287e-04 
  3.86193e-01  -2.51712e-05 1.61018e-04 
  3.87444e-01  2.16883e-04  1.60750e-04 
  3.88694e-01  -3.99369e-05 1.60483e-04 
  3.89945e-01  -3.53234e-05 1.60217e-04 
  3.91195e-01  -2.11832e-04 1.59952e-04 
  3.92446e-01  -5.34293e-05 1.59689e-04 
  3.93697e-01  2.19251e-04  1.59427e-04 
  3.94947e-01  -1.94606e-04 1.59167e-04 
  3.96198e-01  2.15677e-05  1.58908e-04 
  3.97449e-01  9.20325e-05  1.58650e-04 
  3.98699e-01  -2.57793e-04 1.58394e-04 
  3.99950e-01  2.79384e-04  1.58140e-04 
  4.01201e-01  4.64071e-05  1.57888e-04 
  4.02451e-01  3.46738e-05  1.57637e-04 
