# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  5.26804e-01  1.54555e-02 
  2.25063e-03  5.42104e-01  1.02956e-02 
  3.50125e-03  5.37658e-01  8.24508e-03 
  4.75188e-03  5.13369e-01  7.06580e-03 
  6.00251e-03  5.30171e-01  6.27334e-03 
  7.25313e-03  5.22458e-01  5.69188e-03 
  8.50376e-03  5.22045e-01  5.24022e-03 
  9.75439e-03  5.22412e-01  4.87499e-03 
  1.10050e-02  5.08084e-01  4.57065e-03 
  1.22556e-02  5.14666e-01  4.31108e-03 
  1.35063e-02  5.06485e-01  4.08552e-03 
  1.47569e-02  5.01958e-01  3.88648e-03 
  1.60075e-02  4.99117e-01  3.70859e-03 
  1.72581e-02  4.86117e-01  3.54786e-03 
  1.85088e-02  4.77754e-01  3.40129e-03 
  1.97594e-02  4.73118e-01  3.26654e-03 
  2.10100e-02  4.69638e-01  3.14179e-03 
  2.22607e-02  4.56602e-01  3.02557e-03 
  2.35113e-02  4.45922e-01  2.91671e-03 
  2.47619e-02  4.42457e-01  2.81424e-03 
  2.60125e-02  4.33380e-01  2.71737e-03 
  2.72632e-02  4.18595e-01  2.62544e-03 
  2.85138e-02  4.10537e-01  2.53790e-03 
  2.97644e-02  4.02531e-01  2.45427e-03 
  3.10150e-02  3.90159e-01  2.37417e-03 
  3.22657e-02  3.82401e-01  2.29724e-03 
  3.35163e-02  3.71048e-01  2.22320e-03 
  3.47669e-02  3.58892e-01  2.15179e-03 
  3.60175e-02  3.46433e-01  2.08279e-03 
  3.72682e-02  3.43315e-01  2.01602e-03 
  3.85188e-02  3.28010e-01  1.95131e-03 
  3.97694e-02  3.16782e-01  1.88851e-03 
  4.10201e-02  3.08398e-01  1.82749e-03 
  4.22707e-02  2.96793e-01  1.76815e-03 
  4.35213e-02  2.86561e-01  1.71039e-03 
  4.47719e-02  2.72201e-01  1.65411e-03 
  4.60226e-02  2.63634e-01  1.59924e-03 
  4.72732e-02  2.50753e-01  1.54571e-03 
  4.85238e-02  2.42953e-01  1.49346e-03 
  4.97744e-02  2.31800e-01  1.44244e-03 
  5.10251e-02  2.22756e-01  1.39260e-03 
  5.22757e-02  2.11540e-01  1.34389e-03 
  5.35263e-02  2.01202e-01  1.29628e-03 
  5.47769e-02  1.92207e-01  1.24974e-03 
  5.60276e-02  1.81237e-01  1.20423e-03 
  5.72782e-02  1.70968e-01  1.15973e-03 
  5.85288e-02  1.63172e-01  1.11621e-03 
  5.97794e-02  1.54288e-01  1.07366e-03 
  6.10301e-02  1.45253e-01  1.03205e-03 
  6.22807e-02  1.36026e-01  9.91364e-04 
  6.35313e-02  1.28091e-01  9.51590e-04 
  6.47820e-02  1.20281e-01  9.12714e-04 
  6.60326e-02  1.12558e-01  8.74724e-04 
  6.72832e-02  1.03268e-01  8.37608e-04 
  6.85338e-02  9.75500e-02  8.01356e-04 
  6.97845e-02  8.98828e-02  7.65961e-04 
  7.10351e-02  8.44178e-02  7.31414e-04 
  7.22857e-02  7.65830e-02  6.97708e-04 
  7.35363e-02  7.10560e-02  6.64837e-04 
  7.47870e-02  6.55782e-02  6.32796e-04 
  7.60376e-02  5.96700e-02  6.01579e-04 
  7.72882e-02  5.62818e-02  5.71182e-04 
  7.85388e-02  4.93289e-02  5.41601e-04 
  7.97895e-02  4.57108e-02  5.12833e-04 
  8.10401e-02  4.16412e-02  4.84875e-04 
  8.22907e-02  3.63713e-02  4.57724e-04 
  8.35414e-02  3.38510e-02  4.31380e-04 
  8.47920e-02  2.95112e-02  4.05841e-04 
  8.60426e-02  2.62152e-02  3.81106e-04 
  8.72932e-02  2.31952e-02  3.57178e-04 
  8.85439e-02  2.09049e-02  3.34056e-04 
  8.97945e-02  1.80627e-02  3.11746e-04 
  9.10451e-02  1.61042e-02  2.90251e-04 
  9.22957e-02  1.32033e-02  2.69578e-04 
  9.35464e-02  1.14043e-02  2.49737e-04 
  9.47970e-02  9.91541e-03  2.30740e-04 
  9.60476e-02  8.45836e-03  2.12605e-04 
  9.72982e-02  6.53879e-03  1.95354e-04 
  9.85489e-02  5.83762e-03  1.79016e-04 
  9.97995e-02  4.51751e-03  1.63628e-04 
  1.01050e-01  3.51928e-03  1.49239e-04 
  1.02301e-01  2.95247e-03  1.35910e-04 
  1.03551e-01  1.77395e-03  1.23718e-04 
  1.04802e-01  1.27158e-03  1.12754e-04 
  1.06053e-01  1.03568e-03  1.03127e-04 
  1.07303e-01  4.30343e-04  9.49516e-05 
  1.08554e-01  4.72656e-04  8.83392e-05 
  1.09805e-01  -1.11306e-05 8.33703e-05 
  1.11055e-01  -5.05342e-06 8.00683e-05 
  1.12306e-01  8.55675e-05  7.83753e-05 
  1.13556e-01  1.31689e-04  7.81462e-05 
  1.14807e-01  2.19787e-05  7.91660e-05 
  1.16058e-01  8.44820e-05  8.11832e-05 
  1.17308e-01  2.48956e-04  8.39447e-05 
  1.18559e-01  4.48944e-04  8.72205e-05 
  1.19810e-01  6.66176e-04  9.08158e-05 
  1.21060e-01  9.17941e-04  9.45735e-05 
  1.22311e-01  9.58329e-04  9.83706e-05 
  1.23561e-01  1.06199e-03  1.02113e-04 
  1.24812e-01  1.57568e-03  1.05730e-04 
  1.26063e-01  1.83001e-03  1.09169e-04 
  1.27313e-01  2.14499e-03  1.12392e-04 
  1.28564e-01  2.45660e-03  1.15370e-04 
  1.29815e-01  2.31537e-03  1.18085e-04 
  1.31065e-01  2.75883e-03  1.20523e-04 
  1.32316e-01  2.78885e-03  1.22678e-04 
  1.33566e-01  3.09829e-03  1.24546e-04 
  1.34817e-01  3.22993e-03  1.26126e-04 
  1.36068e-01  3.35436e-03  1.27420e-04 
  1.37318e-01  3.64939e-03  1.28433e-04 
  1.38569e-01  3.82989e-03  1.29170e-04 
  1.39820e-01  3.67273e-03  1.29638e-04 
  1.41070e-01  3.82486e-03  1.29846e-04 
  1.42321e-01  3.63832e-03  1.29802e-04 
  1.43571e-01  3.80144e-03  1.29516e-04 
  1.44822e-01  3.94780e-03  1.28998e-04 
  1.46073e-01  4.11695e-03  1.28260e-04 
  1.47323e-01  3.91149e-03  1.27312e-04 
  1.48574e-01  3.61145e-03  1.26166e-04 
  1.49825e-01  3.64151e-03  1.24835e-04 
  1.51075e-01  3.52825e-03  1.23329e-04 
  1.52326e-01  3.63097e-03  1.21663e-04 
  1.53576e-01  3.20715e-03  1.19847e-04 
  1.54827e-01  3.16907e-03  1.17896e-04 
  1.56078e-01  3.14970e-03  1.15821e-04 
  1.57328e-01  2.89805e-03  1.13636e-04 
  1.58579e-01  2.89526e-03  1.11354e-04 
  1.59830e-01  2.69593e-03  1.08988e-04 
  1.61080e-01  2.35564e-03  1.06551e-04 
  1.62331e-01  2.38101e-03  1.04056e-04 
  1.63581e-01  2.38840e-03  1.01518e-04 
  1.64832e-01  2.28181e-03  9.89497e-05 
  1.66083e-01  2.03158e-03  9.63643e-05 
  1.67333e-01  1.75205e-03  9.37757e-05 
  1.68584e-01  1.52826e-03  9.11974e-05 
  1.69835e-01  1.47993e-03  8.86433e-05 
  1.71085e-01  1.35998e-03  8.61269e-05 
  1.72336e-01  1.23556e-03  8.36617e-05 
  1.73586e-01  9.61781e-04  8.12613e-05 
