# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  1.80304e+00  2.84693e-02 
  2.25063e-03  1.67428e+00  1.81226e-02 
  3.50125e-03  1.48511e+00  1.37753e-02 
  4.75188e-03  1.36850e+00  1.12927e-02 
  6.00251e-03  1.27353e+00  9.69237e-03 
  7.25313e-03  1.18662e+00  8.57531e-03 
  8.50376e-03  1.15197e+00  7.74663e-03 
  9.75439e-03  1.10185e+00  7.10168e-03 
  1.10050e-02  1.07287e+00  6.58026e-03 
  1.22556e-02  1.05409e+00  6.14569e-03 
  1.35063e-02  1.00947e+00  5.77453e-03 
  1.47569e-02  9.89168e-01  5.45109e-03 
  1.60075e-02  9.60004e-01  5.16457e-03 
  1.72581e-02  9.38329e-01  4.90723e-03 
  1.85088e-02  9.12454e-01  4.67340e-03 
  1.97594e-02  8.78062e-01  4.45886e-03 
  2.10100e-02  8.59287e-01  4.26035e-03 
  2.22607e-02  8.29287e-01  4.07535e-03 
  2.35113e-02  8.04866e-01  3.90189e-03 
  2.47619e-02  7.70882e-01  3.73835e-03 
  2.60125e-02  7.51961e-01  3.58347e-03 
  2.72632e-02  7.25386e-01  3.43619e-03 
  2.85138e-02  6.94178e-01  3.29565e-03 
  2.97644e-02  6.65673e-01  3.16113e-03 
  3.10150e-02  6.36121e-01  3.03203e-03 
  3.22657e-02  6.13237e-01  2.90786e-03 
  3.35163e-02  5.86225e-01  2.78819e-03 
  3.47669e-02  5.58525e-01  2.67266e-03 
  3.60175e-02  5.29381e-01  2.56096e-03 
  3.72682e-02  5.08584e-01  2.45284e-03 
  3.85188e-02  4.78181e-01  2.34806e-03 
  3.97694e-02  4.49698e-01  2.24645e-03 
  4.10201e-02  4.20203e-01  2.14783e-03 
  4.22707e-02  3.98439e-01  2.05207e-03 
  4.35213e-02  3.74909e-01  1.95904e-03 
  4.47719e-02  3.47277e-01  1.86864e-03 
  4.60226e-02  3.26057e-01  1.78077e-03 
  4.72732e-02  3.04395e-01  1.69536e-03 
  4.85238e-02  2.80526e-01  1.61233e-03 
  4.97744e-02  2.58207e-01  1.53164e-03 
  5.10251e-02  2.41061e-01  1.45322e-03 
  5.22757e-02  2.20434e-01  1.37703e-03 
  5.35263e-02  2.01511e-01  1.30304e-03 
  5.47769e-02  1.84932e-01  1.23121e-03 
  5.60276e-02  1.68446e-01  1.16150e-03 
  5.72782e-02  1.51114e-01  1.09390e-03 
  5.85288e-02  1.36589e-01  1.02839e-03 
  5.97794e-02  1.24047e-01  9.64927e-04 
  6.10301e-02  1.11809e-01  9.03512e-04 
  6.22807e-02  9.76159e-02  8.44125e-04 
  6.35313e-02  8.62748e-02  7.86752e-04 
  6.47820e-02  7.62910e-02  7.31382e-04 
  6.60326e-02  6.61190e-02  6.78007e-04 
  6.72832e-02  5.74728e-02  6.26620e-04 
  6.85338e-02  4.97838e-02  5.77216e-04 
