# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  1.04142e+00  2.15794e-02 
  2.25063e-03  1.07135e+00  1.43677e-02 
  3.50125e-03  1.02636e+00  1.14958e-02 
  4.75188e-03  1.04179e+00  9.83885e-03 
  6.00251e-03  1.02569e+00  8.72068e-03 
  7.25313e-03  1.00395e+00  7.89596e-03 
  8.50376e-03  1.00915e+00  7.25143e-03 
  9.75439e-03  9.86597e-01  6.72666e-03 
  1.10050e-02  9.74824e-01  6.28611e-03 
  1.22556e-02  9.63946e-01  5.90734e-03 
  1.35063e-02  9.43854e-01  5.57543e-03 
  1.47569e-02  9.19171e-01  5.28001e-03 
  1.60075e-02  9.00631e-01  5.01364e-03 
  1.72581e-02  8.78448e-01  4.77085e-03 
  1.85088e-02  8.54932e-01  4.54750e-03 
  1.97594e-02  8.37425e-01  4.34040e-03 
  2.10100e-02  8.12261e-01  4.14707e-03 
  2.22607e-02  7.83852e-01  3.96555e-03 
  2.35113e-02  7.61523e-01  3.79423e-03 
  2.47619e-02  7.34190e-01  3.63186e-03 
  2.60125e-02  7.03141e-01  3.47738e-03 
  2.72632e-02  6.66866e-01  3.32992e-03 
  2.85138e-02  6.52108e-01  3.18877e-03 
  2.97644e-02  6.25038e-01  3.05333e-03 
  3.10150e-02  5.97560e-01  2.92311e-03 
  3.22657e-02  5.66624e-01  2.79768e-03 
  3.35163e-02  5.36830e-01  2.67668e-03 
  3.47669e-02  5.09669e-01  2.55981e-03 
  3.60175e-02  4.87081e-01  2.44681e-03 
  3.72682e-02  4.53501e-01  2.33746e-03 
  3.85188e-02  4.30786e-01  2.23159e-03 
  3.97694e-02  4.02130e-01  2.12901e-03 
  4.10201e-02  3.83479e-01  2.02961e-03 
  4.22707e-02  3.55804e-01  1.93325e-03 
  4.35213e-02  3.31463e-01  1.83984e-03 
  4.47719e-02  3.06894e-01  1.74928e-03 
  4.60226e-02  2.83429e-01  1.66151e-03 
  4.72732e-02  2.62900e-01  1.57646e-03 
  4.85238e-02  2.43753e-01  1.49406e-03 
  4.97744e-02  2.21421e-01  1.41427e-03 
  5.10251e-02  2.01605e-01  1.33705e-03 
  5.22757e-02  1.85514e-01  1.26236e-03 
  5.35263e-02  1.67161e-01  1.19016e-03 
  5.47769e-02  1.52602e-01  1.12042e-03 
  5.60276e-02  1.39989e-01  1.05312e-03 
  5.72782e-02  1.25031e-01  9.88235e-04 
  5.85288e-02  1.13164e-01  9.25745e-04 
  5.97794e-02  9.94324e-02  8.65630e-04 
  6.10301e-02  8.79762e-02  8.07876e-04 
  6.22807e-02  7.81018e-02  7.52468e-04 
  6.35313e-02  6.94495e-02  6.99397e-04 
  6.47820e-02  6.03272e-02  6.48654e-04 
  6.60326e-02  5.10348e-02  6.00235e-04 
  6.72832e-02  4.44837e-02  5.54138e-04 
  6.85338e-02  3.85926e-02  5.10368e-04 
  6.97845e-02  3.24479e-02  4.68933e-04 
  7.10351e-02  2.81938e-02  4.29851e-04 
  7.22857e-02  2.38292e-02  3.93146e-04 
  7.35363e-02  1.97091e-02  3.58854e-04 
  7.47870e-02  1.66831e-02  3.27021e-04 
  7.60376e-02  1.45293e-02  2.97708e-04 
  7.72882e-02  1.13442e-02  2.70991e-04 
  7.85388e-02  9.47744e-03  2.46956e-04 
  7.97895e-02  7.76577e-03  2.25699e-04 
  8.10401e-02  6.55516e-03  2.07312e-04 
  8.22907e-02  5.50598e-03  1.91867e-04 
  8.35414e-02  4.36975e-03  1.79388e-04 
  8.47920e-02  3.88986e-03  1.69827e-04 
  8.60426e-02  3.54485e-03  1.63034e-04 
  8.72932e-02  3.55468e-03  1.58756e-04 
  8.85439e-02  3.40373e-03  1.56649e-04 
  8.97945e-02  3.30809e-03  1.56311e-04 
  9.10451e-02  3.75823e-03  1.57329e-04 
  9.22957e-02  3.90321e-03  1.59308e-04 
  9.35464e-02  3.98418e-03  1.61903e-04 
  9.47970e-02  4.54362e-03  1.64823e-04 
  9.60476e-02  4.40924e-03  1.67834e-04 
  9.72982e-02  4.96164e-03  1.70757e-04 
  9.85489e-02  5.14537e-03  1.73456e-04 
  9.97995e-02  5.55996e-03  1.75831e-04 
  1.01050e-01  5.72781e-03  1.77813e-04 
  1.02301e-01  5.95861e-03  1.79357e-04 
  1.03551e-01  6.15942e-03  1.80436e-04 
  1.04802e-01  5.84602e-03  1.81036e-04 
  1.06053e-01  6.10282e-03  1.81156e-04 
  1.07303e-01  6.42356e-03  1.80804e-04 
  1.08554e-01  6.49229e-03  1.79994e-04 
  1.09805e-01  6.26155e-03  1.78747e-04 
  1.11055e-01  6.40701e-03  1.77085e-04 
  1.12306e-01  6.40655e-03  1.75037e-04 
  1.13556e-01  6.02475e-03  1.72632e-04 
  1.14807e-01  5.97449e-03  1.69901e-04 
  1.16058e-01  6.13910e-03  1.66879e-04 
  1.17308e-01  5.37338e-03  1.63597e-04 
  1.18559e-01  5.26002e-03  1.60092e-04 
  1.19810e-01  5.06551e-03  1.56398e-04 
  1.21060e-01  4.77003e-03  1.52550e-04 
  1.22311e-01  4.54809e-03  1.48583e-04 
  1.23561e-01  4.25332e-03  1.44531e-04 
  1.24812e-01  4.07152e-03  1.40430e-04 
  1.26063e-01  3.61203e-03  1.36311e-04 
  1.27313e-01  3.50969e-03  1.32209e-04 
  1.28564e-01  3.52266e-03  1.28154e-04 
  1.29815e-01  3.15148e-03  1.24177e-04 
  1.31065e-01  2.75252e-03  1.20308e-04 
  1.32316e-01  2.62200e-03  1.16574e-04 
  1.33566e-01  2.26822e-03  1.12999e-04 
  1.34817e-01  2.27746e-03  1.09608e-04 
  1.36068e-01  2.06849e-03  1.06419e-04 
  1.37318e-01  1.77821e-03  1.03450e-04 
  1.38569e-01  1.56432e-03  1.00714e-04 
  1.39820e-01  1.59353e-03  9.82203e-05 
  1.41070e-01  1.41635e-03  9.59751e-05 
  1.42321e-01  1.26916e-03  9.39793e-05 
  1.43571e-01  1.23519e-03  9.22297e-05 
  1.44822e-01  1.15348e-03  9.07192e-05 
  1.46073e-01  1.01735e-03  8.94367e-05 
  1.47323e-01  1.11999e-03  8.83677e-05 
  1.48574e-01  1.08142e-03  8.74951e-05 
  1.49825e-01  1.06561e-03  8.67994e-05 
  1.51075e-01  1.08272e-03  8.62596e-05 
  1.52326e-01  1.09089e-03  8.58543e-05 
  1.53576e-01  1.03633e-03  8.55613e-05 
  1.54827e-01  8.50719e-04  8.53594e-05 
  1.56078e-01  1.06914e-03  8.52278e-05 
  1.57328e-01  1.06009e-03  8.51472e-05 
  1.58579e-01  1.17940e-03  8.50997e-05 
  1.59830e-01  1.05706e-03  8.50692e-05 
  1.61080e-01  1.02228e-03  8.50413e-05 
  1.62331e-01  1.21980e-03  8.50034e-05 
  1.63581e-01  1.22356e-03  8.49448e-05 
