# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  4.34424e-01  1.36086e-02 
  2.25063e-03  4.27597e-01  9.06535e-03 
  3.50125e-03  4.12395e-01  7.25999e-03 
  4.75188e-03  4.15550e-01  6.22178e-03 
  6.00251e-03  4.11291e-01  5.52418e-03 
  7.25313e-03  4.00816e-01  5.01239e-03 
  8.50376e-03  4.10637e-01  4.61492e-03 
  9.75439e-03  4.04256e-01  4.29358e-03 
  1.10050e-02  3.94699e-01  4.02588e-03 
  1.22556e-02  3.98789e-01  3.79763e-03 
  1.35063e-02  3.93225e-01  3.59935e-03 
  1.47569e-02  3.87295e-01  3.42447e-03 
  1.60075e-02  3.76516e-01  3.26825e-03 
  1.72581e-02  3.85540e-01  3.12718e-03 
  1.85088e-02  3.65692e-01  2.99863e-03 
  1.97594e-02  3.61689e-01  2.88053e-03 
  2.10100e-02  3.59117e-01  2.77129e-03 
  2.22607e-02  3.51036e-01  2.66961e-03 
  2.35113e-02  3.51544e-01  2.57448e-03 
  2.47619e-02  3.42376e-01  2.48503e-03 
  2.60125e-02  3.34309e-01  2.40058e-03 
  2.72632e-02  3.26588e-01  2.32055e-03 
  2.85138e-02  3.22366e-01  2.24445e-03 
  2.97644e-02  3.16696e-01  2.17187e-03 
  3.10150e-02  3.03797e-01  2.10247e-03 
  3.22657e-02  2.98139e-01  2.03594e-03 
  3.35163e-02  2.91139e-01  1.97203e-03 
  3.47669e-02  2.84750e-01  1.91053e-03 
  3.60175e-02  2.75352e-01  1.85124e-03 
  3.72682e-02  2.68542e-01  1.79399e-03 
  3.85188e-02  2.59684e-01  1.73864e-03 
  3.97694e-02  2.52589e-01  1.68507e-03 
  4.10201e-02  2.48622e-01  1.63316e-03 
  4.22707e-02  2.38446e-01  1.58281e-03 
  4.35213e-02  2.25747e-01  1.53394e-03 
  4.47719e-02  2.20309e-01  1.48647e-03 
  4.60226e-02  2.12884e-01  1.44034e-03 
  4.72732e-02  2.03450e-01  1.39547e-03 
