# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  2.15133e-01  7.19901e-03 
  2.25063e-03  2.11417e-01  4.80031e-03 
  3.50125e-03  2.09171e-01  3.85099e-03 
  4.75188e-03  2.08136e-01  3.30849e-03 
  6.00251e-03  2.08292e-01  2.94705e-03 
  7.25313e-03  2.08492e-01  2.68471e-03 
  8.50376e-03  2.13843e-01  2.48356e-03 
  9.75439e-03  2.16085e-01  2.32335e-03 
  1.10050e-02  2.17969e-01  2.19213e-03 
  1.22556e-02  2.15696e-01  2.08235e-03 
  1.35063e-02  2.15322e-01  1.98896e-03 
  1.47569e-02  2.18626e-01  1.90844e-03 
  1.60075e-02  2.18393e-01  1.83826e-03 
  1.72581e-02  2.23852e-01  1.77652e-03 
  1.85088e-02  2.24020e-01  1.72180e-03 
  1.97594e-02  2.29716e-01  1.67298e-03 
  2.10100e-02  2.26768e-01  1.62918e-03 
  2.22607e-02  2.30716e-01  1.58967e-03 
  2.35113e-02  2.32611e-01  1.55389e-03 
  2.47619e-02  2.37062e-01  1.52133e-03 
  2.60125e-02  2.40463e-01  1.49159e-03 
  2.72632e-02  2.41362e-01  1.46431e-03 
  2.85138e-02  2.46506e-01  1.43918e-03 
  2.97644e-02  2.47508e-01  1.41591e-03 
  3.10150e-02  2.52025e-01  1.39425e-03 
  3.22657e-02  2.53779e-01  1.37396e-03 
  3.35163e-02  2.56630e-01  1.35480e-03 
  3.47669e-02  2.61944e-01  1.33655e-03 
  3.60175e-02  2.63897e-01  1.31898e-03 
  3.72682e-02  2.65459e-01  1.30186e-03 
  3.85188e-02  2.67860e-01  1.28495e-03 
  3.97694e-02  2.69949e-01  1.26801e-03 
  4.10201e-02  2.71362e-01  1.25077e-03 
  4.22707e-02  2.69797e-01  1.23296e-03 
  4.35213e-02  2.70223e-01  1.21431e-03 
  4.47719e-02  2.69400e-01  1.19453e-03 
  4.60226e-02  2.66739e-01  1.17336e-03 
  4.72732e-02  2.64946e-01  1.15054e-03 
  4.85238e-02  2.55831e-01  1.12584e-03 
  4.97744e-02  2.49645e-01  1.09907e-03 
  5.10251e-02  2.42518e-01  1.07013e-03 
  5.22757e-02  2.32366e-01  1.03897e-03 
  5.35263e-02  2.19964e-01  1.00565e-03 
  5.47769e-02  2.06971e-01  9.70317e-04 
  5.60276e-02  1.95469e-01  9.33232e-04 
  5.72782e-02  1.79190e-01  8.94736e-04 
  5.85288e-02  1.63706e-01  8.55246e-04 
  5.97794e-02  1.47658e-01  8.15231e-04 
  6.10301e-02  1.33886e-01  7.75182e-04 
  6.22807e-02  1.19430e-01  7.35588e-04 
  6.35313e-02  1.04154e-01  6.96908e-04 
  6.47820e-02  9.18845e-02  6.59556e-04 
  6.60326e-02  7.80953e-02  6.23883e-04 
  6.72832e-02  6.83232e-02  5.90173e-04 
  6.85338e-02  5.64762e-02  5.58638e-04 
