# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  3.13800e-01  1.16289e-02 
  2.25063e-03  3.02904e-01  7.75109e-03 
  3.50125e-03  3.02303e-01  6.21380e-03 
  4.75188e-03  2.99983e-01  5.33300e-03 
  6.00251e-03  2.95555e-01  4.74409e-03 
  7.25313e-03  2.98090e-01  4.31471e-03 
  8.50376e-03  3.00996e-01  3.98368e-03 
  9.75439e-03  2.93971e-01  3.71831e-03 
  1.10050e-02  2.95119e-01  3.49934e-03 
  1.22556e-02  3.04319e-01  3.31459e-03 
  1.35063e-02  2.92344e-01  3.15593e-03 
  1.47569e-02  2.95435e-01  3.01768e-03 
  1.60075e-02  2.99822e-01  2.89578e-03 
  1.72581e-02  2.97350e-01  2.78720e-03 
  1.85088e-02  2.97147e-01  2.68963e-03 
  1.97594e-02  2.94827e-01  2.60130e-03 
  2.10100e-02  2.93922e-01  2.52081e-03 
  2.22607e-02  2.96458e-01  2.44704e-03 
  2.35113e-02  2.92744e-01  2.37906e-03 
  2.47619e-02  2.90806e-01  2.31614e-03 
  2.60125e-02  2.90953e-01  2.25766e-03 
  2.72632e-02  2.90016e-01  2.20309e-03 
  2.85138e-02  2.91355e-01  2.15199e-03 
  2.97644e-02  2.91035e-01  2.10399e-03 
  3.10150e-02  2.90262e-01  2.05877e-03 
  3.22657e-02  2.89242e-01  2.01605e-03 
  3.35163e-02  2.88118e-01  1.97559e-03 
  3.47669e-02  2.90483e-01  1.93717e-03 
  3.60175e-02  2.81930e-01  1.90062e-03 
  3.72682e-02  2.86567e-01  1.86576e-03 
  3.85188e-02  2.86611e-01  1.83245e-03 
  3.97694e-02  2.85333e-01  1.80055e-03 
  4.10201e-02  2.83510e-01  1.76996e-03 
  4.22707e-02  2.82161e-01  1.74056e-03 
  4.35213e-02  2.78808e-01  1.71226e-03 
  4.47719e-02  2.81724e-01  1.68497e-03 
  4.60226e-02  2.81046e-01  1.65862e-03 
  4.72732e-02  2.77614e-01  1.63312e-03 
  4.85238e-02  2.75473e-01  1.60841e-03 
  4.97744e-02  2.75135e-01  1.58444e-03 
  5.10251e-02  2.74355e-01  1.56113e-03 
  5.22757e-02  2.73831e-01  1.53845e-03 
  5.35263e-02  2.70623e-01  1.51633e-03 
  5.47769e-02  2.69587e-01  1.49474e-03 
  5.60276e-02  2.67192e-01  1.47363e-03 
  5.72782e-02  2.64808e-01  1.45295e-03 
  5.85288e-02  2.62797e-01  1.43267e-03 
  5.97794e-02  2.64314e-01  1.41275e-03 
  6.10301e-02  2.58614e-01  1.39316e-03 
  6.22807e-02  2.58541e-01  1.37386e-03 
  6.35313e-02  2.56868e-01  1.35482e-03 
  6.47820e-02  2.54339e-01  1.33601e-03 
  6.60326e-02  2.51215e-01  1.31741e-03 
  6.72832e-02  2.50842e-01  1.29899e-03 
  6.85338e-02  2.46140e-01  1.28071e-03 
  6.97845e-02  2.43101e-01  1.26256e-03 
  7.10351e-02  2.42451e-01  1.24451e-03 
  7.22857e-02  2.36928e-01  1.22655e-03 
  7.35363e-02  2.34125e-01  1.20864e-03 
  7.47870e-02  2.32166e-01  1.19078e-03 
  7.60376e-02  2.27606e-01  1.17294e-03 
  7.72882e-02  2.26193e-01  1.15511e-03 
  7.85388e-02  2.23751e-01  1.13727e-03 
  7.97895e-02  2.17552e-01  1.11940e-03 
  8.10401e-02  2.14840e-01  1.10151e-03 
  8.22907e-02  2.11240e-01  1.08357e-03 
  8.35414e-02  2.08050e-01  1.06558e-03 
  8.47920e-02  2.03576e-01  1.04752e-03 
  8.60426e-02  1.99860e-01  1.02940e-03 
  8.72932e-02  1.95855e-01  1.01121e-03 
  8.85439e-02  1.90295e-01  9.92939e-04 
  8.97945e-02  1.84006e-01  9.74595e-04 
  9.10451e-02  1.80698e-01  9.56176e-04 
  9.22957e-02  1.76838e-01  9.37684e-04 
  9.35464e-02  1.71439e-01  9.19122e-04 
  9.47970e-02  1.66267e-01  9.00497e-04 
  9.60476e-02  1.62771e-01  8.81814e-04 
  9.72982e-02  1.57474e-01  8.63082e-04 
  9.85489e-02  1.53067e-01  8.44310e-04 
  9.97995e-02  1.47467e-01  8.25511e-04 
  1.01050e-01  1.40441e-01  8.06695e-04 
  1.02301e-01  1.36208e-01  7.87877e-04 
  1.03551e-01  1.30788e-01  7.69071e-04 
  1.04802e-01  1.26945e-01  7.50293e-04 
  1.06053e-01  1.22670e-01  7.31558e-04 
  1.07303e-01  1.17280e-01  7.12883e-04 
  1.08554e-01  1.12318e-01  6.94286e-04 
  1.09805e-01  1.06921e-01  6.75785e-04 
  1.11055e-01  1.01444e-01  6.57398e-04 
  1.12306e-01  9.74316e-02  6.39142e-04 
  1.13556e-01  9.26799e-02  6.21037e-04 
  1.14807e-01  8.76811e-02  6.03100e-04 
  1.16058e-01  8.26418e-02  5.85350e-04 
  1.17308e-01  7.92688e-02  5.67804e-04 
  1.18559e-01  7.45775e-02  5.50479e-04 
