# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  1.29985e-01  7.66541e-03 
  2.25063e-03  1.26417e-01  5.10811e-03 
  3.50125e-03  1.32113e-01  4.09337e-03 
  4.75188e-03  1.22572e-01  3.51112e-03 
  6.00251e-03  1.30152e-01  3.12107e-03 
  7.25313e-03  1.31374e-01  2.83597e-03 
  8.50376e-03  1.31150e-01  2.61553e-03 
  9.75439e-03  1.31619e-01  2.43820e-03 
  1.10050e-02  1.27832e-01  2.29130e-03 
  1.22556e-02  1.27860e-01  2.16682e-03 
  1.35063e-02  1.30498e-01  2.05940e-03 
  1.47569e-02  1.27445e-01  1.96532e-03 
  1.60075e-02  1.24976e-01  1.88189e-03 
  1.72581e-02  1.23863e-01  1.80712e-03 
  1.85088e-02  1.24572e-01  1.73951e-03 
  1.97594e-02  1.24371e-01  1.67790e-03 
  2.10100e-02  1.20297e-01  1.62136e-03 
  2.22607e-02  1.24083e-01  1.56915e-03 
  2.35113e-02  1.21958e-01  1.52069e-03 
  2.47619e-02  1.18722e-01  1.47548e-03 
  2.60125e-02  1.14776e-01  1.43312e-03 
  2.72632e-02  1.18104e-01  1.39328e-03 
  2.85138e-02  1.16383e-01  1.35566e-03 
  2.97644e-02  1.16807e-01  1.32003e-03 
  3.10150e-02  1.13162e-01  1.28618e-03 
  3.22657e-02  1.11545e-01  1.25392e-03 
  3.35163e-02  1.12271e-01  1.22312e-03 
  3.47669e-02  1.09734e-01  1.19363e-03 
  3.60175e-02  1.09935e-01  1.16533e-03 
  3.72682e-02  1.08346e-01  1.13813e-03 
  3.85188e-02  1.06286e-01  1.11193e-03 
  3.97694e-02  1.03710e-01  1.08665e-03 
  4.10201e-02  1.01135e-01  1.06222e-03 
  4.22707e-02  1.01197e-01  1.03857e-03 
  4.35213e-02  9.90429e-02  1.01566e-03 
  4.47719e-02  9.72311e-02  9.93422e-04 
  4.60226e-02  9.52262e-02  9.71818e-04 
  4.72732e-02  9.49935e-02  9.50806e-04 
  4.85238e-02  9.22450e-02  9.30347e-04 
  4.97744e-02  9.16288e-02  9.10409e-04 
  5.10251e-02  8.94806e-02  8.90960e-04 
  5.22757e-02  8.85642e-02  8.71973e-04 
  5.35263e-02  8.61076e-02  8.53423e-04 
  5.47769e-02  8.34961e-02  8.35287e-04 
  5.60276e-02  8.27756e-02  8.17543e-04 
  5.72782e-02  8.17142e-02  8.00172e-04 
  5.85288e-02  7.90755e-02  7.83157e-04 
  5.97794e-02  7.89039e-02  7.66483e-04 
  6.10301e-02  7.42401e-02  7.50133e-04 
  6.22807e-02  7.33151e-02  7.34094e-04 
  6.35313e-02  7.27866e-02  7.18355e-04 
  6.47820e-02  7.13623e-02  7.02903e-04 
  6.60326e-02  6.82788e-02  6.87729e-04 
  6.72832e-02  6.72729e-02  6.72822e-04 
  6.85338e-02  6.62661e-02  6.58173e-04 
  6.97845e-02  6.31588e-02  6.43775e-04 
  7.10351e-02  6.19584e-02  6.29619e-04 
  7.22857e-02  6.09258e-02  6.15699e-04 
  7.35363e-02  5.86340e-02  6.02008e-04 
  7.47870e-02  5.67986e-02  5.88541e-04 
  7.60376e-02  5.63005e-02  5.75291e-04 
