# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  5.28133e+00  4.81952e-02 
  2.25063e-03  5.14610e+00  3.20729e-02 
  3.50125e-03  5.17792e+00  2.56397e-02 
  4.75188e-03  5.13791e+00  2.19167e-02 
  6.00251e-03  5.03850e+00  1.93943e-02 
  7.25313e-03  5.00222e+00  1.75248e-02 
  8.50376e-03  4.93439e+00  1.60556e-02 
  9.75439e-03  4.84934e+00  1.48522e-02 
  1.10050e-02  4.74511e+00  1.38353e-02 
  1.22556e-02  4.60372e+00  1.29550e-02 
  1.35063e-02  4.51251e+00  1.21784e-02 
  1.47569e-02  4.37748e+00  1.14824e-02 
  1.60075e-02  4.24386e+00  1.08506e-02 
  1.72581e-02  4.09239e+00  1.02710e-02 
  1.85088e-02  3.93905e+00  9.73460e-03 
  1.97594e-02  3.78704e+00  9.23442e-03 
  2.10100e-02  3.62897e+00  8.76510e-03 
  2.22607e-02  3.45474e+00  8.32242e-03 
  2.35113e-02  3.29610e+00  7.90301e-03 
  2.47619e-02  3.13312e+00  7.50419e-03 
  2.60125e-02  2.96497e+00  7.12376e-03 
  2.72632e-02  2.80017e+00  6.75996e-03 
  2.85138e-02  2.63723e+00  6.41133e-03 
  2.97644e-02  2.46157e+00  6.07667e-03 
  3.10150e-02  2.30914e+00  5.75499e-03 
  3.22657e-02  2.15391e+00  5.44549e-03 
  3.35163e-02  1.99673e+00  5.14747e-03 
  3.47669e-02  1.84827e+00  4.86038e-03 
  3.60175e-02  1.69551e+00  4.58373e-03 
  3.72682e-02  1.55850e+00  4.31714e-03 
  3.85188e-02  1.42803e+00  4.06026e-03 
  3.97694e-02  1.30103e+00  3.81281e-03 
  4.10201e-02  1.17548e+00  3.57456e-03 
  4.22707e-02  1.06528e+00  3.34530e-03 
  4.35213e-02  9.52409e-01  3.12486e-03 
  4.47719e-02  8.55467e-01  2.91308e-03 
  4.60226e-02  7.58145e-01  2.70984e-03 
